,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,3158,2019-01-01,3PLAND,EQ,12.0,12.0,12.05,12.0,12.0,12.0,12.0,101,121205000.0,4.0,101.0,1.0
1,1,1,1,1,1,1,1,1,1,3159,2019-01-02,3PLAND,EQ,12.0,11.3,12.0,11.3,12.0,12.0,11.6,1031,1196000000.0,6.0,631.0,0.612
2,2,2,2,2,2,2,2,2,2,3160,2019-01-03,3PLAND,EQ,12.0,11.65,12.8,11.6,11.6,11.6,12.34,648,799945000.0,6.0,515.0,0.7948000000000001
3,3,3,3,3,3,3,3,3,3,3161,2019-01-04,3PLAND,EQ,11.6,11.0,12.4,11.0,11.6,11.6,11.6,499,578800000.0,8.0,493.0,0.988
4,4,4,4,4,4,4,4,4,4,3162,2019-01-07,3PLAND,EQ,11.6,11.6,11.6,11.5,11.5,11.5,11.56,440,508700000.0,5.0,270.0,0.6136
5,5,5,5,5,5,5,5,5,5,3163,2019-01-08,3PLAND,EQ,11.5,12.65,12.65,12.25,12.25,12.25,12.35,167,206255000.00000003,5.0,167.0,1.0
6,6,6,6,6,6,6,6,6,6,3164,2019-01-09,3PLAND,EQ,12.25,12.0,12.0,11.05,11.05,11.1,11.2,1220,1365790000.0,10.0,1000.0,0.8197
7,7,7,7,7,7,7,7,7,7,3165,2019-01-10,3PLAND,EQ,11.1,11.1,12.0,10.95,11.05,11.05,11.19,1087,1216535000.0,19.0,796.0,0.7323000000000001
8,8,8,8,8,8,8,8,8,8,3166,2019-01-11,3PLAND,EQ,11.05,11.05,11.05,11.05,11.05,11.05,11.05,78,86190000.0,1.0,78.0,1.0
9,9,9,9,9,9,9,9,9,9,3167,2019-01-14,3PLAND,EQ,11.05,10.95,11.15,10.95,10.95,10.95,10.95,2457,2690665000.0,8.0,2447.0,0.9959
10,10,10,10,10,10,10,10,10,10,3168,2019-01-15,3PLAND,EQ,10.95,11.2,11.9,11.0,11.9,11.85,11.32,1107,1253380000.0,15.0,1069.0,0.9657
11,11,11,11,11,11,11,11,11,11,3169,2019-01-16,3PLAND,EQ,11.85,11.85,12.0,10.95,11.05,11.05,11.04,2171,2397105000.0,21.0,2132.0,0.982
12,12,12,12,12,12,12,12,12,12,3170,2019-01-17,3PLAND,EQ,11.05,11.85,11.85,11.15,11.15,11.6,11.57,1404,1624800000.0,16.0,653.0,0.4651
13,13,13,13,13,13,13,13,13,13,3171,2019-01-18,3PLAND,EQ,11.6,12.4,12.4,10.8,10.95,10.95,11.47,3679,4220340000.0,32.0,334.0,0.0908
14,14,14,14,14,14,14,14,14,14,3172,2019-01-21,3PLAND,EQ,10.95,12.3,12.3,10.95,11.0,11.0,11.14,4006,4462440000.0,63.0,1557.0,0.3887
15,15,15,15,15,15,15,15,15,15,3173,2019-01-22,3PLAND,EQ,11.0,11.95,11.95,10.0,10.95,10.95,11.11,1388,1542690000.0,19.0,1334.0,0.9611
16,16,16,16,16,16,16,16,16,16,3174,2019-01-23,3PLAND,EQ,10.95,10.95,11.45,10.95,11.0,11.2,10.97,329,361030000.0,16.0,325.0,0.9878
17,17,17,17,17,17,17,17,17,17,3175,2019-01-24,3PLAND,EQ,11.2,11.0,11.75,10.95,11.0,11.0,11.27,2215,2496785000.0,13.0,2213.0,0.9991
18,18,18,18,18,18,18,18,18,18,3176,2019-01-25,3PLAND,EQ,11.0,11.0,11.45,10.95,10.95,10.95,10.97,1148,1258830000.0,18.0,1106.0,0.9634
19,19,19,19,19,19,19,19,19,19,3177,2019-01-28,3PLAND,EQ,10.95,11.4,11.4,10.0,11.05,11.05,10.93,1771,1935625000.0,10.0,1759.0,0.9932
20,20,20,20,20,20,20,20,20,20,3178,2019-01-29,3PLAND,EQ,11.05,10.0,11.0,10.0,11.0,10.75,10.93,60,65579999.99999999,6.0,52.0,0.8667
21,21,21,21,21,21,21,21,21,21,3179,2019-01-30,3PLAND,EQ,10.75,11.4,11.4,10.0,10.5,10.5,10.52,2508,2638730000.0,14.0,1007.0,0.4015
22,22,22,22,22,22,22,22,22,22,3180,2019-01-31,3PLAND,EQ,10.5,10.5,10.5,10.5,10.5,10.5,10.5,90,94500000.0,1.0,90.0,1.0
23,23,23,23,23,23,23,23,23,23,3181,2019-02-01,3PLAND,EQ,10.5,11.2,12.1,10.3,11.5,11.5,11.39,861,980435000.0,19.0,682.0,0.7920999999999999
24,24,24,24,24,24,24,24,24,24,3182,2019-02-04,3PLAND,EQ,11.5,11.8,13.7,10.15,12.2,12.2,11.66,2496,2911180000.0,28.0,1500.0,0.601
25,25,25,25,25,25,25,25,25,25,3183,2019-02-05,3PLAND,EQ,12.2,11.05,13.0,11.05,11.15,11.25,11.5,1212,1394165000.0,23.0,1153.0,0.9513
26,26,26,26,26,26,26,26,26,26,3184,2019-02-06,3PLAND,EQ,11.25,10.0,12.4,10.0,10.6,11.9,11.0,15180,16705160000.0,56.0,3666.0,0.2415
27,27,27,27,27,27,27,27,27,27,3185,2019-02-07,3PLAND,EQ,11.9,12.9,12.9,10.95,11.6,11.8,11.73,1615,1894835000.0,73.0,499.0,0.309
28,28,28,28,28,28,28,28,28,28,3186,2019-02-08,3PLAND,EQ,11.8,12.0,12.5,11.0,11.0,11.0,11.85,74,87660000.0,13.0,39.0,0.527
29,29,29,29,29,29,29,29,29,29,3187,2019-02-11,3PLAND,EQ,11.0,11.0,12.0,9.9,11.5,11.5,11.0,2597,2855615000.0,57.0,537.0,0.2068
30,30,30,30,30,30,30,30,30,30,3188,2019-02-12,3PLAND,EQ,11.5,10.4,11.95,10.4,10.75,10.75,10.96,1632,1788980000.0,21.0,136.0,0.0833
31,31,31,31,31,31,31,31,31,31,3189,2019-02-13,3PLAND,EQ,10.75,10.25,11.35,10.05,11.35,10.75,10.72,422,452370000.0,9.0,14.0,0.0332
32,32,32,32,32,32,32,32,32,32,3190,2019-02-14,3PLAND,EQ,10.75,11.5,11.5,9.8,9.95,9.95,10.09,1607,1620880000.0,14.0,1549.0,0.9639
33,33,33,33,33,33,33,33,33,33,3191,2019-02-15,3PLAND,EQ,9.95,9.95,10.9,9.95,10.9,10.9,10.33,1818,1877385000.0,8.0,1710.0,0.9406
34,34,34,34,34,34,34,34,34,34,3192,2019-02-18,3PLAND,EQ,10.9,10.5,11.9,10.0,11.3,10.85,10.9,274,298610000.0,15.0,39.0,0.1423
35,35,35,35,35,35,35,35,35,35,3193,2019-02-20,3PLAND,EQ,10.85,10.1,10.75,10.1,10.15,10.2,10.17,70,71160000.0,7.0,37.0,0.5286
36,36,36,36,36,36,36,36,36,36,3194,2019-02-21,3PLAND,EQ,10.2,10.15,10.7,10.1,10.7,10.7,10.22,57,58235000.0,4.0,57.0,1.0
37,37,37,37,37,37,37,37,37,37,3195,2019-02-22,3PLAND,EQ,10.7,10.5,10.9,10.2,10.9,10.85,10.84,1356,1470445000.0,9.0,1311.0,0.9668
38,38,38,38,38,38,38,38,38,38,3196,2019-02-25,3PLAND,EQ,10.85,10.9,11.25,10.5,10.55,10.55,11.02,2297,2531830000.0,16.0,1815.0,0.7902
39,39,39,39,39,39,39,39,39,39,3197,2019-02-26,3PLAND,EQ,10.55,10.55,11.05,10.5,11.05,11.0,10.99,8757,9622990000.0,16.0,8537.0,0.9749
40,40,40,40,40,40,40,40,40,40,3198,2019-02-27,3PLAND,EQ,11.0,10.45,11.0,10.45,11.0,10.65,10.59,300,317705000.0,5.0,200.0,0.6667000000000001
41,41,41,41,41,41,41,41,41,41,3199,2019-02-28,3PLAND,EQ,10.65,10.45,11.15,10.45,11.15,11.15,11.11,1560,1732675000.0,19.0,1033.0,0.6622
42,42,42,42,42,42,42,42,42,42,3200,2019-03-01,3PLAND,EQ,11.15,11.65,11.65,10.6,10.75,10.75,11.49,526,604415000.0,11.0,500.0,0.9506
43,43,43,43,43,43,43,43,43,43,3201,2019-03-05,3PLAND,EQ,10.75,10.3,11.25,10.3,11.2,11.2,11.07,936,1036135000.0,15.0,501.0,0.5353
44,44,44,44,44,44,44,44,44,44,3202,2019-03-06,3PLAND,EQ,11.2,11.0,11.65,10.7,10.7,10.7,11.09,45,49920000.0,5.0,9.0,0.2
45,45,45,45,45,45,45,45,45,45,3203,2019-03-07,3PLAND,EQ,10.7,11.2,11.2,10.6,10.6,10.6,10.87,30,32620000.0,4.0,30.0,1.0
46,46,46,46,46,46,46,46,46,46,3204,2019-03-08,3PLAND,EQ,10.6,11.1,11.1,10.5,10.55,10.95,10.9,563,613710000.0,14.0,231.0,0.4103
47,47,47,47,47,47,47,47,47,47,3205,2019-03-11,3PLAND,EQ,10.95,10.55,11.45,10.55,11.45,11.45,11.15,560,624325000.0,3.0,545.0,0.9732
48,48,48,48,48,48,48,48,48,48,3206,2019-03-12,3PLAND,EQ,11.45,11.45,11.45,11.45,11.45,11.45,11.45,1,1145000.0,1.0,1.0,1.0
49,49,49,49,49,49,49,49,49,49,3207,2019-03-13,3PLAND,EQ,11.45,11.0,11.4,10.9,11.4,11.4,11.31,1074,1215000000.0,7.0,1074.0,1.0
50,50,50,50,50,50,50,50,50,50,3208,2019-03-14,3PLAND,EQ,11.4,11.9,11.95,11.9,11.95,11.95,11.94,1842,2200145000.0,12.0,1742.0,0.9457
51,51,51,51,51,51,51,51,51,51,3209,2019-03-15,3PLAND,EQ,11.95,12.5,12.5,11.55,11.6,11.6,11.81,517,610605000.0,9.0,407.0,0.7872
52,52,52,52,52,52,52,52,52,52,3210,2019-03-18,3PLAND,EQ,11.6,11.6,11.65,11.6,11.65,11.65,11.61,12,13930000.000000002,2.0,12.0,1.0
53,53,53,53,53,53,53,53,53,53,3211,2019-03-19,3PLAND,EQ,11.65,11.15,12.2,11.15,12.15,12.2,11.37,1730,1967290000.0,8.0,1690.0,0.9769
54,54,54,54,54,54,54,54,54,54,3212,2019-03-20,3PLAND,EQ,12.2,11.65,11.65,11.65,11.65,11.65,11.65,505,588325000.0,3.0,505.0,1.0
55,55,55,55,55,55,55,55,55,55,3213,2019-03-22,3PLAND,EQ,11.65,11.65,11.9,11.25,11.25,11.8,11.6,1404,1629025000.0,6.0,1403.0,0.9993
56,56,56,56,56,56,56,56,56,56,3214,2019-03-25,3PLAND,EQ,11.8,11.25,11.9,11.25,11.9,11.9,11.28,682,769265000.0,8.0,656.0,0.9619
57,57,57,57,57,57,57,57,57,57,3215,2019-03-26,3PLAND,EQ,11.9,11.9,11.9,11.35,11.35,11.35,11.38,1050,1194500000.0,2.0,1050.0,1.0
58,58,58,58,58,58,58,58,58,58,3216,2019-03-27,3PLAND,EQ,11.35,10.9,11.75,10.8,11.75,11.75,10.91,1201,1309725000.0,14.0,1151.0,0.9584
59,59,59,59,59,59,59,59,59,59,3217,2019-03-29,3PLAND,EQ,11.75,11.2,11.2,11.2,11.2,11.2,11.2,100,112000000.0,2.0,100.0,1.0
60,60,60,60,60,60,60,60,60,60,3218,2019-04-01,3PLAND,EQ,11.2,11.6,11.6,10.65,10.7,11.1,11.15,903,1006875000.0,10.0,403.0,0.4463
61,61,61,61,61,61,61,61,61,61,3219,2019-04-02,3PLAND,EQ,11.1,11.55,11.65,10.6,10.65,10.65,11.55,2114,2441405000.0,14.0,2004.0,0.948
62,62,62,62,62,62,62,62,62,62,3220,2019-04-03,3PLAND,EQ,10.65,11.15,11.15,10.95,11.15,11.1,11.12,1243,1381710000.0,17.0,1230.0,0.9895
63,63,63,63,63,63,63,63,63,63,3221,2019-04-04,3PLAND,EQ,11.1,10.7,11.6,10.7,11.55,11.55,11.58,229,265090000.0,8.0,228.0,0.9956
64,64,64,64,64,64,64,64,64,64,3222,2019-04-05,3PLAND,EQ,11.55,11.55,11.55,10.7,11.55,11.55,10.77,2257,2431030000.0,10.0,2256.0,0.9996
65,65,65,65,65,65,65,65,65,65,3223,2019-04-08,3PLAND,EQ,11.55,10.7,11.25,10.4,11.25,11.25,10.41,1011,1052675000.0,5.0,1000.0,0.9891
66,66,66,66,66,66,66,66,66,66,3224,2019-04-09,3PLAND,EQ,11.25,11.45,11.45,10.2,10.75,10.75,11.1,1409,1564365000.0,21.0,1017.0,0.7218000000000001
67,67,67,67,67,67,67,67,67,67,3225,2019-04-10,3PLAND,EQ,10.75,10.95,10.95,10.5,10.7,10.7,10.88,665,723575000.0,7.0,552.0,0.8301000000000001
68,68,68,68,68,68,68,68,68,68,3226,2019-04-15,3PLAND,EQ,10.7,10.7,11.6,10.0,10.1,10.1,10.67,20,21330000.0,7.0,15.0,0.75
69,69,69,69,69,69,69,69,69,69,3227,2019-04-16,3PLAND,EQ,10.1,11.1,11.1,10.45,11.05,10.6,10.73,1810,1942425000.0,6.0,1810.0,1.0
