,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,2019-10-11,AKASH,EQ,58.0,60.5,60.5,60.5,60.5,60.5,60.5,23,139150000.0,3,23,1.0
1,1,1,1,1,1,1,1,1,1,1,2019-10-14,AKASH,EQ,60.5,63.5,63.5,59.1,59.15,59.15,60.78,804,4886650000.0,6,304,0.3781000000000001
2,2,2,2,2,2,2,2,2,2,2,2019-10-15,AKASH,EQ,59.15,59.0,59.0,59.0,59.0,59.0,59.0,50,295000000.0,1,50,1.0
3,3,3,3,3,3,3,3,3,3,3,2019-10-17,AKASH,EQ,59.0,58.0,61.9,58.0,58.0,58.0,58.03,271,1572580000.0,4,271,1.0
4,4,4,4,4,4,4,4,4,4,4,2019-10-22,AKASH,EQ,58.0,60.0,60.5,58.1,58.1,58.6,59.37,4146,24615750000.0,23,2000,0.4824000000000001
5,5,5,5,5,5,5,5,5,5,5,2019-10-23,AKASH,EQ,58.6,59.5,60.05,57.0,57.0,57.0,59.6,2044,12181225000.0,8,39,0.0191
6,6,6,6,6,6,6,6,6,6,6,2019-10-24,AKASH,EQ,57.0,58.0,58.2,58.0,58.15,58.15,58.13,2005,11654075000.0,8,0,0.0
7,7,7,7,7,7,7,7,7,7,7,2019-10-25,AKASH,EQ,58.15,58.25,61.05,58.25,61.05,61.05,58.36,2008,11718900000.0,10,3,0.0015
8,8,8,8,8,8,8,8,8,8,8,2019-10-27,AKASH,EQ,61.05,61.5,64.1,61.5,64.1,61.6,61.6,1024,6307565000.0,6,19,0.0186
9,9,9,9,9,9,9,9,9,9,9,2019-10-29,AKASH,EQ,61.6,64.0,64.0,60.0,63.9,63.9,62.12,2030,12610910000.0,13,25,0.0123
10,10,10,10,10,10,10,10,10,10,10,2019-10-30,AKASH,EQ,63.9,66.5,66.5,62.05,62.1,62.1,65.64,2755,18084140000.0,16,500,0.1815
11,11,11,11,11,11,11,11,11,11,11,2019-10-31,AKASH,EQ,62.1,62.25,64.9,62.25,64.85,64.85,62.86,2115,13294310000.0,14,113,0.0534
12,12,12,12,12,12,12,12,12,12,12,2019-11-01,AKASH,EQ,64.85,65.0,65.2,63.0,63.0,63.0,64.52,2300,14838720000.000004,11,300,0.1304
13,13,13,13,13,13,13,13,13,13,13,2019-11-04,AKASH,EQ,63.0,63.0,64.2,62.15,62.15,62.15,63.14,2000,12628750000.0,7,0,0.0
14,14,14,14,14,14,14,14,14,14,14,2019-11-05,AKASH,EQ,62.15,65.2,65.2,61.1,61.1,61.1,62.65,2607,16332535000.0,13,97,0.0372
15,15,15,15,15,15,15,15,15,15,15,2019-11-06,AKASH,EQ,61.1,64.0,64.15,61.0,64.1,62.45,62.01,3459,21447810000.0,31,48,0.0139
16,16,16,16,16,16,16,16,16,16,16,2019-11-07,AKASH,EQ,62.45,62.5,64.0,61.0,63.95,62.5,62.74,2305,14460875000.0,14,200,0.0868
17,17,17,17,17,17,17,17,17,17,17,2019-11-08,AKASH,EQ,62.5,62.55,63.25,62.0,63.2,63.2,62.68,2205,13821375000.0,9,0,0.0
18,18,18,18,18,18,18,18,18,18,18,2019-11-11,AKASH,EQ,63.2,63.2,64.0,61.5,64.0,64.0,62.99,2010,12661250000.0,10,10,0.005
19,19,19,19,19,19,19,19,19,19,19,2019-11-13,AKASH,EQ,64.0,64.05,64.2,62.05,62.05,62.05,63.6,2610,16599875000.0,12,0,0.0
20,20,20,20,20,20,20,20,20,20,20,2019-11-14,AKASH,EQ,62.05,63.0,65.1,60.0,60.0,60.15,62.73,2282,14314710000.0,18,50,0.0219
21,21,21,21,21,21,21,21,21,21,21,2019-11-15,AKASH,EQ,60.15,61.1,62.5,59.0,62.45,62.45,61.25,2050,12555750000.0,7,0,0.0
22,22,22,22,22,22,22,22,22,22,22,2019-11-18,AKASH,EQ,62.45,63.5,64.95,60.1,64.0,62.05,63.83,2015,12861320000.0,11,0,0.0
23,23,23,23,23,23,23,23,23,23,23,2019-11-19,AKASH,EQ,62.05,62.25,63.0,62.25,62.45,62.45,62.49,2005,12528825000.0,7,0,0.0
24,24,24,24,24,24,24,24,24,24,24,2019-11-20,AKASH,EQ,62.45,62.5,64.5,61.0,64.5,64.5,62.92,2001,12591100000.0,8,1,0.0005
25,25,25,25,25,25,25,25,25,25,25,2019-11-21,AKASH,EQ,64.5,64.55,65.0,61.5,61.5,61.5,63.31,3570,22601205000.0,19,1203,0.337
26,26,26,26,26,26,26,26,26,26,26,2019-11-22,AKASH,EQ,61.5,61.55,61.75,61.55,61.7,61.7,61.67,2011,12401120000.0,11,0,0.0
27,27,27,27,27,27,27,27,27,27,27,2019-11-25,AKASH,EQ,61.7,62.5,64.0,59.0,60.0,63.6,61.75,4853,29964925000.0,22,1747,0.36
28,28,28,28,28,28,28,28,28,28,28,2019-11-26,AKASH,EQ,63.6,64.0,64.15,64.0,64.0,64.0,64.05,2005,12842850000.0,7,0,0.0
29,29,29,29,29,29,29,29,29,29,29,2019-11-27,AKASH,EQ,64.0,63.5,63.65,61.25,63.65,63.65,63.0,2600,16380750000.0,9,0,0.0
30,30,30,30,30,30,30,30,30,30,30,2019-11-28,AKASH,EQ,63.65,64.0,65.0,63.65,64.0,64.0,64.08,2110,13520650000.0,9,100,0.047400000000000005
31,31,31,31,31,31,31,31,31,31,31,2019-11-29,AKASH,EQ,64.0,63.0,63.1,62.0,62.0,62.4,62.53,2805,17540525000.0,11,1000,0.3565
32,32,32,32,32,32,32,32,32,32,32,2019-12-03,AKASH,EQ,62.4,62.0,62.0,62.0,62.0,62.0,62.0,10000,62000000000.0,2,10000,1.0
33,33,33,33,33,33,33,33,33,33,33,2019-12-04,AKASH,EQ,62.0,62.0,62.5,62.0,62.5,62.5,62.41,197,1229400000.0,2,197,1.0
34,34,34,34,34,34,34,34,34,34,34,2019-12-05,AKASH,EQ,62.5,62.0,62.0,62.0,62.0,62.0,62.0,2000,12400000000.0,3,2000,1.0
35,35,35,35,35,35,35,35,35,35,35,2019-12-06,AKASH,EQ,62.0,68.2,68.2,57.2,64.95,64.95,63.92,4113,26288440000.000004,18,1,0.0002
36,36,36,36,36,36,36,36,36,36,36,2019-12-09,AKASH,EQ,64.95,64.95,67.0,62.0,62.0,62.0,62.42,1200,7490000000.0,20,1001,0.8342
37,37,37,37,37,37,37,37,37,37,37,2019-12-10,AKASH,EQ,62.0,62.5,62.5,62.5,62.5,62.5,62.5,80,500000000.0,1,80,1.0
38,38,38,38,38,38,38,38,38,38,38,2019-12-11,AKASH,EQ,62.5,65.0,65.0,62.0,62.0,62.0,62.1,1060,6582375000.0,6,1000,0.9434
39,39,39,39,39,39,39,39,39,39,39,2019-12-12,AKASH,EQ,62.0,63.15,65.0,62.0,62.0,62.6,63.45,1801,11426540000.0,41,1302,0.7229000000000001
40,40,40,40,40,40,40,40,40,40,40,2019-12-13,AKASH,EQ,62.6,62.05,68.7,62.0,63.5,63.5,63.81,843,5379355000.0,14,132,0.15660000000000002
41,41,41,41,41,41,41,41,41,41,41,2019-12-16,AKASH,EQ,63.5,62.0,62.0,62.0,62.0,62.0,62.0,70,434000000.0,3,70,1.0
42,42,42,42,42,42,42,42,42,42,42,2019-12-17,AKASH,EQ,62.0,62.0,65.9,62.0,65.85,65.15,64.98,3602,23406280000.0,13,1500,0.4164
43,43,43,43,43,43,43,43,43,43,43,2019-12-18,AKASH,EQ,65.15,64.9,64.9,62.1,62.1,62.1,63.5,200,1270000000.0,3,100,0.5
44,44,44,44,44,44,44,44,44,44,44,2019-12-19,AKASH,EQ,62.1,63.9,63.9,63.9,63.9,63.9,63.9,5,31950000.0,1,5,1.0
45,45,45,45,45,45,45,45,45,45,45,2019-12-20,AKASH,EQ,63.9,65.0,65.0,64.0,64.0,64.0,64.63,1740,11246000000.0,12,1740,1.0
46,46,46,46,46,46,46,46,46,46,46,2019-12-23,AKASH,EQ,64.0,62.1,70.25,62.0,65.5,65.5,65.38,366,2392805000.0,20,121,0.3306
47,47,47,47,47,47,47,47,47,47,47,2019-12-24,AKASH,EQ,65.5,62.2,65.4,62.2,65.4,65.4,63.7,331,2108390000.0,11,31,0.0937
48,48,48,48,48,48,48,48,48,48,48,2019-12-26,AKASH,EQ,65.4,62.25,65.0,62.25,64.9,64.9,64.91,306,1986120000.0,13,252,0.8235
49,49,49,49,49,49,49,49,49,49,49,2019-12-27,AKASH,EQ,64.9,62.1,65.0,62.0,62.0,62.0,63.54,201,1277200000.0,4,101,0.5025000000000001
50,50,50,50,50,50,50,50,50,50,50,2019-12-30,AKASH,EQ,62.0,65.9,65.9,61.05,61.05,61.05,63.48,98,622055000.0,2,0,0.0
51,51,51,51,51,51,51,51,51,51,51,2019-12-31,AKASH,EQ,61.05,58.05,65.4,58.05,65.0,65.0,61.51,546,3358505000.0000005,15,169,0.3095
