Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,ALPHAGEO,EQ,473.8,475.45,480.0,473.55,480.0,478.55,476.76,1301,62026519999.999985,183.0,806,0.6195
2019-01-02,ALPHAGEO,EQ,478.55,479.95,483.55,469.3,477.0,475.05,476.29,1650,78588375000.0,331.0,758,0.4594
2019-01-03,ALPHAGEO,EQ,475.05,477.05,478.35,464.0,464.0,468.45,470.02,1967,92452910000.0,353.0,1084,0.5511
2019-01-04,ALPHAGEO,EQ,468.45,480.0,480.0,461.35,465.45,465.4,468.83,2875,134787445000.0,459.0,1700,0.5913
2019-01-07,ALPHAGEO,EQ,465.4,467.0,470.3,461.6,462.25,463.7,466.68,3796,177150725000.0,329.0,2901,0.7642
2019-01-08,ALPHAGEO,EQ,463.7,462.0,464.7,457.0,460.0,459.1,460.6,2370,109161185000.00003,352.0,1083,0.457
2019-01-09,ALPHAGEO,EQ,459.1,464.0,464.0,454.9,455.0,455.85,458.55,3225,147882175000.0,352.0,2319,0.7191
2019-01-10,ALPHAGEO,EQ,455.85,453.1,458.9,453.1,458.9,458.3,456.36,2695,122987964999.99995,342.0,1708,0.6338
2019-01-11,ALPHAGEO,EQ,458.3,459.0,472.95,455.55,462.0,468.05,465.89,5162,240493555000.0,757.0,2688,0.5207
2019-01-14,ALPHAGEO,EQ,468.05,465.1,477.2,464.1,471.4,474.1,471.05,3627,170849865000.0,522.0,2263,0.6239
2019-01-15,ALPHAGEO,EQ,474.1,476.9,487.9,469.0,472.1,477.0,478.11,5044,241161020000.0001,667.0,2349,0.4657
2019-01-16,ALPHAGEO,EQ,477.0,477.0,484.35,475.0,482.9,479.8,480.33,3271,157116010000.0,330.0,1758,0.5375
2019-01-17,ALPHAGEO,EQ,479.8,480.4,487.0,465.0,480.05,480.55,476.1,7249,345121300000.0,1375.0,2394,0.33030000000000004
2019-01-18,ALPHAGEO,EQ,480.55,479.95,480.3,468.1,472.0,474.55,475.94,1442,68630960000.0,204.0,1057,0.733
2019-01-21,ALPHAGEO,EQ,474.55,474.0,474.0,463.6,468.85,468.75,468.24,6723,314797750000.0,470.0,4026,0.5988
2019-01-22,ALPHAGEO,EQ,468.75,463.4,470.65,457.5,461.25,461.65,464.44,2641,122657914999.99995,334.0,1731,0.6554000000000001
2019-01-23,ALPHAGEO,EQ,461.65,466.6,466.6,440.0,454.55,452.9,450.78,10071,453981660000.0,611.0,7609,0.7555
2019-01-24,ALPHAGEO,EQ,452.9,454.85,470.95,449.95,465.55,466.85,460.53,4536,208898015000.0,557.0,2251,0.4963
2019-01-25,ALPHAGEO,EQ,466.85,463.6,468.0,458.2,467.5,466.55,462.68,4188,193770015000.0,216.0,3771,0.9004000000000001
2019-01-28,ALPHAGEO,EQ,466.55,456.0,472.5,439.9,472.5,467.3,455.11,5326,242389940000.0,523.0,3731,0.7005
2019-01-29,ALPHAGEO,EQ,467.3,463.0,494.9,446.35,494.9,483.75,475.14,8654,411189125000.0,849.0,4951,0.5721
2019-01-30,ALPHAGEO,EQ,483.75,483.75,494.9,468.0,469.6,470.9,479.64,3196,153292685000.0,531.0,1792,0.5607
2019-01-31,ALPHAGEO,EQ,470.9,470.05,476.2,462.0,462.0,464.3,466.41,2389,111425150000.0,270.0,1721,0.7204
2019-02-01,ALPHAGEO,EQ,464.3,465.05,466.65,440.0,450.0,451.8,447.17,10895,487187065000.0001,753.0,6622,0.6078
2019-02-04,ALPHAGEO,EQ,451.8,461.7,461.7,450.95,458.0,458.65,454.44,1577,71665210000.0,219.0,1072,0.6798000000000001
2019-02-05,ALPHAGEO,EQ,458.65,456.85,458.0,444.0,444.75,445.85,447.66,4370,195627010000.0,400.0,3234,0.74
2019-02-06,ALPHAGEO,EQ,445.85,445.6,445.6,432.2,433.0,433.6,438.68,4214,184857710000.0,353.0,2773,0.6579999999999999
2019-02-07,ALPHAGEO,EQ,433.6,430.55,439.0,430.55,433.5,434.25,434.7,4112,178747205000.0,229.0,3244,0.7889
2019-02-08,ALPHAGEO,EQ,434.25,438.5,438.9,427.5,429.0,430.55,430.98,4215,181658990000.0,316.0,2121,0.5032
2019-02-11,ALPHAGEO,EQ,430.55,438.7,444.9,403.7,412.05,412.95,420.53,5345,224774120000.00006,529.0,3776,0.7065
2019-02-12,ALPHAGEO,EQ,412.95,411.1,411.1,391.65,395.5,394.65,398.68,9052,360889170000.0,579.0,6258,0.6912999999999999
