,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,4812,2019-01-01,IPAPPM,EQ,443.35,443.95,456.0,443.9,446.35,446.8,449.64,75580,3398402585000.0,2696.0,30132.0,0.3987
1,1,1,1,1,1,1,1,1,1,4813,2019-01-02,IPAPPM,EQ,446.8,445.2,450.2,441.0,443.0,443.25,445.52,40598,1808714665000.0,1563.0,17233.0,0.4245
2,2,2,2,2,2,2,2,2,2,4814,2019-01-03,IPAPPM,EQ,443.25,445.3,456.9,444.2,450.9,451.95,452.52,82042,3712543450000.0,3458.0,29362.0,0.3579
3,3,3,3,3,3,3,3,3,3,4815,2019-01-04,IPAPPM,EQ,451.95,452.05,453.8,445.7,451.0,452.0,450.04,35669,1605242380000.0,4302.0,12640.0,0.3544
4,4,4,4,4,4,4,4,4,4,4816,2019-01-07,IPAPPM,EQ,452.0,453.4,456.7,448.0,448.1,450.6,450.99,42509,1917122570000.0,3298.0,23500.0,0.5528000000000001
5,5,5,5,5,5,5,5,5,5,4817,2019-01-08,IPAPPM,EQ,450.6,455.0,462.4,453.2,455.0,454.7,457.28,60580,2770215940000.0,2891.0,24198.0,0.3994
6,6,6,6,6,6,6,6,6,6,4818,2019-01-09,IPAPPM,EQ,454.7,455.95,464.9,454.05,463.9,463.2,460.74,65610,3022940635000.0,2037.0,27739.0,0.4228
7,7,7,7,7,7,7,7,7,7,4819,2019-01-10,IPAPPM,EQ,463.2,460.0,464.05,455.65,456.0,457.1,459.68,15842,728223010000.0,744.0,8404.0,0.5305
8,8,8,8,8,8,8,8,8,8,4820,2019-01-11,IPAPPM,EQ,457.1,455.05,459.45,448.1,449.0,451.75,453.03,17753,804258480000.0,962.0,10730.0,0.6043999999999999
9,9,9,9,9,9,9,9,9,9,4821,2019-01-14,IPAPPM,EQ,451.75,451.25,452.15,443.45,445.0,445.05,446.68,26816,1197814940000.0,1544.0,16140.0,0.6019
10,10,10,10,10,10,10,10,10,10,4822,2019-01-15,IPAPPM,EQ,445.05,444.75,453.45,444.75,447.85,448.35,450.59,28460,1282383310000.0,1258.0,13016.0,0.4573
11,11,11,11,11,11,11,11,11,11,4823,2019-01-16,IPAPPM,EQ,448.35,451.25,458.0,449.95,452.0,451.8,454.49,28769,1307527895000.0,1269.0,12958.0,0.4504
12,12,12,12,12,12,12,12,12,12,4824,2019-01-17,IPAPPM,EQ,451.8,455.8,455.85,447.2,448.1,449.1,450.87,14904,671981110000.0,787.0,7283.0,0.4887
13,13,13,13,13,13,13,13,13,13,4825,2019-01-18,IPAPPM,EQ,449.1,447.8,449.1,444.0,446.0,445.85,446.46,17267,770905675000.0,716.0,9029.0,0.5229
14,14,14,14,14,14,14,14,14,14,4826,2019-01-21,IPAPPM,EQ,445.85,446.0,458.3,446.0,451.9,451.2,451.45,31794,1435355575000.0,869.0,21956.0,0.6906
15,15,15,15,15,15,15,15,15,15,4827,2019-01-22,IPAPPM,EQ,451.2,453.0,453.0,442.3,445.9,443.95,445.99,12359,551197655000.0,550.0,7364.0,0.5958
