Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,ASTRON,EQ,109.85,110.8,110.8,107.6,108.6,108.6,108.79,222026,2415366630000.0,3014,82286,0.3706
2019-01-02,ASTRON,EQ,108.6,109.7,111.35,108.65,109.7,109.8,109.92,125081,1374832200000.0,1590,55268,0.4419
2019-01-03,ASTRON,EQ,109.8,110.45,113.7,109.55,113.0,112.65,112.05,189045,2118225695000.0,2178,97042,0.5133
2019-01-04,ASTRON,EQ,112.65,113.0,114.8,112.2,113.0,113.35,113.59,25217,286447965000.0,498,14404,0.5712
2019-01-07,ASTRON,EQ,113.35,113.4,116.0,112.35,115.4,114.85,114.86,181972,2090164215000.0,1301,49521,0.2721
2019-01-08,ASTRON,EQ,114.85,116.0,117.5,115.0,117.0,116.85,116.5,195498,2277623585000.0,2068,71576,0.3661
2019-01-09,ASTRON,EQ,116.85,116.35,118.5,116.05,116.75,117.2,117.49,178702,2099537055000.0,1518,54011,0.3022
2019-01-10,ASTRON,EQ,117.2,118.5,118.5,114.0,114.85,114.45,116.0,147935,1715984620000.0,932,78252,0.529
2019-01-11,ASTRON,EQ,114.45,116.55,116.55,111.8,112.0,112.95,113.1,89216,1009050485000.0,1250,69605,0.7802
2019-01-14,ASTRON,EQ,112.95,114.0,115.0,112.0,114.5,114.2,114.06,30082,343101530000.0,582,18085,0.6012
2019-01-15,ASTRON,EQ,114.2,114.3,114.6,111.65,112.65,112.75,112.75,55887,630130870000.0,1076,28266,0.5058
2019-01-16,ASTRON,EQ,112.75,112.05,114.0,111.95,112.5,112.5,112.79,144812,1633276550000.0,1696,86519,0.5975
2019-01-17,ASTRON,EQ,112.5,110.05,113.2,110.05,112.95,112.55,112.54,59003,664020590000.0,746,38469,0.652
2019-01-18,ASTRON,EQ,112.55,114.0,124.5,112.0,119.6,120.85,116.99,425173,4974280970000.0,8255,194762,0.4581
2019-01-21,ASTRON,EQ,120.85,120.0,123.3,116.15,120.5,119.85,120.11,229230,2753329730000.0,2940,106188,0.4632
2019-01-22,ASTRON,EQ,119.85,118.05,120.5,116.5,118.5,118.25,118.41,162758,1927240605000.0,1198,123429,0.7584000000000001
2019-01-23,ASTRON,EQ,118.25,118.1,118.95,116.2,116.75,117.4,117.47,92283,1084023390000.0,1061,42370,0.4591
2019-01-24,ASTRON,EQ,117.4,119.2,119.2,116.05,116.5,116.75,117.78,93273,1098613650000.0,2127,32441,0.3478
2019-01-25,ASTRON,EQ,116.75,117.9,119.0,116.15,118.25,118.65,118.29,119259,1410725910000.0,1379,86317,0.7238
