Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,BAJAJCORP,EQ,369.15,370.0,378.0,370.0,374.45,373.4,373.19,25730,960209865000.0,1031.0,14994,0.5827
2019-01-02,BAJAJCORP,EQ,373.4,376.1,380.0,375.15,379.5,378.05,378.05,54079,2044468805000.0,2254.0,20980,0.38799999999999996
2019-01-03,BAJAJCORP,EQ,378.05,382.9,382.9,371.15,380.4,375.9,376.48,28528,1074023340000.0,2202.0,10578,0.3708
2019-01-04,BAJAJCORP,EQ,375.9,377.0,384.75,374.1,382.5,382.5,380.69,29082,1107115755000.0,1121.0,16517,0.5679
2019-01-07,BAJAJCORP,EQ,382.5,391.0,397.2,381.55,382.0,384.55,388.58,139651,5426573585000.0,4363.0,55616,0.3982
2019-01-08,BAJAJCORP,EQ,384.55,383.0,387.85,378.0,383.0,384.25,384.0,53316,2047327280000.0,2055.0,32432,0.6083
2019-01-09,BAJAJCORP,EQ,384.25,385.0,389.25,369.1,370.0,371.75,379.82,680121,25832490280000.0,24555.0,231641,0.3406
2019-01-10,BAJAJCORP,EQ,371.75,370.0,385.5,370.0,383.85,383.9,381.68,384696,14683014040000.0,11204.0,130256,0.3386
2019-01-11,BAJAJCORP,EQ,383.9,386.6,389.0,381.2,386.5,386.6,386.07,219342,8468234534999.999,5721.0,82265,0.3751
2019-01-14,BAJAJCORP,EQ,386.6,388.8,394.9,384.15,385.75,385.95,388.66,310171,12055082785000.0,6416.0,192769,0.6215
2019-01-15,BAJAJCON,EQ,385.95,386.0,389.9,384.5,386.5,385.95,386.34,117252,4529963855000.0,4039.0,74824,0.6381
2019-01-16,BAJAJCON,EQ,385.95,388.0,389.75,385.0,389.0,388.65,387.92,131706,5109187930000.0,10162.0,94379,0.7166
2019-01-17,BAJAJCON,EQ,388.65,389.0,389.9,382.0,385.5,385.7,386.4,223230,8625676895000.0,4127.0,140073,0.6275000000000001
2019-01-18,BAJAJCON,EQ,385.7,369.05,372.0,368.5,371.0,370.05,370.65,90514,3354895595000.0,2104.0,37902,0.4187
