Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,BALKRISIND,EQ,923.9,924.2,935.0,924.0,927.0,928.85,930.72,597058,55569190595000.01,14134.0,87221.0,0.1461
2019-01-02,BALKRISIND,EQ,928.85,928.0,932.75,908.45,911.8,912.3,919.4,534985,49186423095000.0,15139.0,101271.0,0.1893
2019-01-03,BALKRISIND,EQ,912.3,912.9,920.95,899.0,901.0,900.75,908.27,406107,36885519750000.0,17498.0,96111.0,0.2367
2019-01-04,BALKRISIND,EQ,900.75,901.05,908.7,885.15,893.25,891.8,892.7,633551,56557408565000.0,15399.0,229246.0,0.3618
2019-01-07,BALKRISIND,EQ,891.8,895.9,903.95,880.3,881.4,883.0,890.73,302648,26957629720000.0,12570.0,77710.0,0.25680000000000003
2019-01-08,BALKRISIND,EQ,883.0,887.0,889.2,865.0,870.0,867.55,873.98,426497,37275171690000.0,17572.0,142326.0,0.3337
2019-01-09,BALKRISIND,EQ,867.55,871.3,898.0,870.9,886.55,885.7,886.74,911257,80804458095000.0,31308.0,195233.0,0.21420000000000008
2019-01-10,BALKRISIND,EQ,885.7,885.0,894.85,881.25,887.4,889.1,888.79,404057,35912278685000.0,14376.0,90696.0,0.2245
2019-01-11,BALKRISIND,EQ,889.1,887.4,896.5,884.1,886.65,886.65,890.07,362890,32299883145000.0,11603.0,97105.0,0.2676
2019-01-14,BALKRISIND,EQ,886.65,886.05,890.45,876.15,883.0,880.4,881.81,184601,16278247744999.998,6346.0,49492.0,0.2681
2019-01-15,BALKRISIND,EQ,880.4,881.0,889.5,864.0,870.0,869.95,872.18,662372,57770452000000.0,16506.0,270698.0,0.4087
2019-01-16,BALKRISIND,EQ,869.95,864.15,881.0,864.15,867.0,867.6,871.5,344487,30021881450000.0,12050.0,77144.0,0.2239
2019-01-17,BALKRISIND,EQ,867.6,872.4,877.7,868.45,873.0,873.15,873.37,483139,42195955615000.0,9858.0,214683.0,0.4444
2019-01-18,BALKRISIND,EQ,873.15,874.45,875.3,865.15,870.0,868.4,868.78,252535,21939763645000.0,5907.0,76782.0,0.304
