,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,190,2019-01-01,BDL,EQ,276.25,279.3,279.3,273.25,273.25,276.3,276.42,13973,386239705000.0,737,7266,0.52
1,1,1,1,1,1,1,1,1,1,191,2019-01-02,BDL,EQ,276.3,273.35,284.4,273.35,281.7,281.6,280.98,23061,647968420000.0,1341,16687,0.7236
2,2,2,2,2,2,2,2,2,2,192,2019-01-03,BDL,EQ,281.6,280.0,282.7,276.0,276.0,277.7,278.12,22262,619140690000.0,767,19496,0.8758
3,3,3,3,3,3,3,3,3,3,193,2019-01-04,BDL,EQ,277.7,273.05,279.25,273.05,275.95,275.15,275.37,9715,267518840000.0,784,3870,0.3984
4,4,4,4,4,4,4,4,4,4,194,2019-01-07,BDL,EQ,275.15,277.3,283.0,277.1,277.15,278.35,279.66,10938,305896710000.0,814,6530,0.5970000000000001
5,5,5,5,5,5,5,5,5,5,195,2019-01-08,BDL,EQ,278.35,282.9,320.1,275.35,293.0,297.55,296.61,110910,3289733110000.0,3552,18762,0.16920000000000002
6,6,6,6,6,6,6,6,6,6,196,2019-01-09,BDL,EQ,297.55,297.0,297.0,284.0,285.75,285.8,288.5,35849,1034234815000.0,1703,16035,0.4473
7,7,7,7,7,7,7,7,7,7,197,2019-01-10,BDL,EQ,285.8,285.7,291.5,282.85,290.0,289.2,289.35,34857,1008593235000.0,1057,22955,0.6585
8,8,8,8,8,8,8,8,8,8,198,2019-01-11,BDL,EQ,289.2,290.1,292.2,284.05,284.15,285.8,287.77,10285,295968900000.0,763,6231,0.6058
9,9,9,9,9,9,9,9,9,9,199,2019-01-14,BDL,EQ,285.8,288.0,288.0,277.0,280.0,279.15,281.19,9248,260042765000.0,765,5377,0.5814
10,10,10,10,10,10,10,10,10,10,200,2019-01-15,BDL,EQ,279.15,280.0,284.5,278.25,279.0,280.95,281.92,7810,220182975000.0,543,4910,0.6287
11,11,11,11,11,11,11,11,11,11,201,2019-01-16,BDL,EQ,280.95,280.05,292.0,277.65,291.0,290.0,285.94,28944,827633625000.0,1056,18675,0.6452
12,12,12,12,12,12,12,12,12,12,202,2019-01-17,BDL,EQ,290.0,286.25,296.7,286.25,290.5,291.6,291.88,38797,1132402580000.0,1571,22785,0.5872999999999999
13,13,13,13,13,13,13,13,13,13,203,2019-01-18,BDL,EQ,291.6,291.6,292.65,282.3,282.6,284.35,287.51,23292,669659810000.0,1070,16342,0.7016
14,14,14,14,14,14,14,14,14,14,204,2019-01-21,BDL,EQ,284.35,283.8,284.0,276.7,277.85,278.8,280.41,14693,412001770000.0,1457,9939,0.6764
15,15,15,15,15,15,15,15,15,15,205,2019-01-22,BDL,EQ,278.8,278.8,280.35,273.0,274.1,274.6,275.25,14308,393822885000.0,1444,10183,0.7117
16,16,16,16,16,16,16,16,16,16,206,2019-01-23,BDL,EQ,274.6,274.0,277.5,272.0,272.1,273.5,274.9,9109,250410565000.0,647,5661,0.6215
17,17,17,17,17,17,17,17,17,17,207,2019-01-24,BDL,EQ,273.5,273.6,279.55,268.1,269.1,269.85,272.02,11430,310923665000.0,1201,6580,0.5757
18,18,18,18,18,18,18,18,18,18,208,2019-01-25,BDL,EQ,269.85,273.9,276.45,261.35,262.0,263.65,268.19,27348,733456245000.0,2257,14362,0.5252
19,19,19,19,19,19,19,19,19,19,209,2019-01-28,BDL,EQ,263.65,263.05,265.95,254.9,260.3,259.6,257.74,14331,369373470000.0,1153,10432,0.7279000000000001
20,20,20,20,20,20,20,20,20,20,210,2019-01-29,BDL,EQ,259.6,259.6,260.95,257.0,257.5,257.35,257.9,10112,260785760000.0,819,7268,0.7188
21,21,21,21,21,21,21,21,21,21,211,2019-01-30,BDL,EQ,257.35,260.0,263.0,255.3,257.5,258.65,257.49,8550,220153025000.0,553,4883,0.5711
22,22,22,22,22,22,22,22,22,22,212,2019-01-31,BDL,EQ,258.65,265.0,265.0,256.25,256.3,258.05,258.09,9821,253465475000.0,680,7138,0.7268000000000001
23,23,23,23,23,23,23,23,23,23,213,2019-02-01,BDL,EQ,258.05,258.75,264.0,256.0,256.75,257.2,259.62,14481,375950320000.0,756,7931,0.5477000000000001
24,24,24,24,24,24,24,24,24,24,214,2019-02-04,BDL,EQ,257.2,260.0,260.0,250.1,250.5,252.2,253.83,10222,259467760000.0,851,6741,0.6595000000000001
25,25,25,25,25,25,25,25,25,25,215,2019-02-05,BDL,EQ,252.2,254.0,254.0,242.0,243.0,244.75,247.46,14220,351892530000.0,1091,9835,0.6916
26,26,26,26,26,26,26,26,26,26,216,2019-02-06,BDL,EQ,244.75,242.65,247.7,231.0,234.0,234.3,235.35,27555,648498145000.0,2449,15701,0.5698
27,27,27,27,27,27,27,27,27,27,217,2019-02-07,BDL,EQ,234.3,234.0,253.0,234.0,243.45,243.15,242.53,18231,442148015000.0001,1266,10365,0.5685
28,28,28,28,28,28,28,28,28,28,218,2019-02-08,BDL,EQ,243.15,243.0,250.0,237.35,242.5,245.7,243.64,22029,536711310000.0,1308,12941,0.5875
29,29,29,29,29,29,29,29,29,29,219,2019-02-11,BDL,EQ,245.7,251.0,251.0,241.0,242.05,243.15,243.9,20830,508041530000.0,1174,15299,0.7345
30,30,30,30,30,30,30,30,30,30,220,2019-02-12,BDL,EQ,243.15,243.15,244.0,235.0,236.0,235.9,237.66,13591,323002530000.0,1780,6529,0.4804
31,31,31,31,31,31,31,31,31,31,221,2019-02-13,BDL,EQ,235.9,235.9,239.35,231.0,231.0,231.55,233.99,14813,346604645000.0,1717,7678,0.5183
32,32,32,32,32,32,32,32,32,32,222,2019-02-14,BDL,EQ,231.55,231.0,234.0,225.0,225.0,225.25,226.3,30457,689234305000.0,1910,20216,0.6638
33,33,33,33,33,33,33,33,33,33,223,2019-02-15,BDL,EQ,225.25,250.0,263.8,235.15,236.9,239.55,251.78,506796,12760008145000.0,16348,138352,0.273
34,34,34,34,34,34,34,34,34,34,224,2019-02-18,BDL,EQ,239.55,235.05,247.65,235.05,242.15,241.4,242.58,73127,1773886550000.0,3625,29124,0.3983
35,35,35,35,35,35,35,35,35,35,225,2019-02-19,BDL,EQ,241.4,241.4,251.65,241.4,249.0,246.15,247.39,81055,2005186675000.0,2351,36296,0.4478
36,36,36,36,36,36,36,36,36,36,226,2019-02-20,BDL,EQ,246.15,248.0,249.75,241.0,241.95,242.2,244.35,52097,1273013095000.0,1666,34543,0.6631
37,37,37,37,37,37,37,37,37,37,227,2019-02-21,BDL,EQ,242.2,243.75,252.4,243.7,251.0,251.4,250.06,46314,1158123530000.0,1801,24212,0.5228
38,38,38,38,38,38,38,38,38,38,228,2019-02-22,BDL,EQ,251.4,252.0,257.0,251.7,253.4,252.95,253.55,29550,749235420000.0,1180,20179,0.6829000000000001
39,39,39,39,39,39,39,39,39,39,229,2019-02-25,BDL,EQ,252.95,249.4,257.0,249.4,252.0,253.35,253.61,53267,1350923385000.0,2455,39649,0.7443000000000001
40,40,40,40,40,40,40,40,40,40,230,2019-02-26,BDL,EQ,253.35,250.0,255.7,245.05,251.2,251.5,250.74,26521,664984220000.0,1705,11572,0.4363
41,41,41,41,41,41,41,41,41,41,231,2019-02-27,BDL,EQ,251.5,252.5,295.0,249.55,290.0,290.85,282.57,813164,22977740500000.0,22326,99728,0.1226
42,42,42,42,42,42,42,42,42,42,232,2019-02-28,BDL,EQ,290.85,292.0,316.6,291.9,304.05,304.0,307.77,1098962,33822553745000.0,28525,155442,0.1414
43,43,43,43,43,43,43,43,43,43,233,2019-03-01,BDL,EQ,304.0,304.0,307.0,285.2,286.3,286.85,291.96,238191,6954294200000.0,8184,69440,0.2915
44,44,44,44,44,44,44,44,44,44,234,2019-03-05,BDL,EQ,286.85,288.65,291.65,277.0,288.0,288.1,286.92,139389,3999287575000.0,4614,61853,0.4437
45,45,45,45,45,45,45,45,45,45,235,2019-03-06,BDL,EQ,288.1,290.0,292.4,284.0,284.0,284.95,286.75,91048,2610800545000.0,2296,63529,0.6978
46,46,46,46,46,46,46,46,46,46,236,2019-03-07,BDL,EQ,284.95,287.65,288.0,277.05,278.2,279.5,282.99,32988,933530735000.0,2038,18658,0.5656
47,47,47,47,47,47,47,47,47,47,237,2019-03-08,BDL,EQ,279.5,279.5,279.5,270.0,274.4,273.8,274.32,32946,903763010000.0,1490,19334,0.5868
48,48,48,48,48,48,48,48,48,48,238,2019-03-11,BDL,EQ,273.8,275.9,287.3,274.2,281.0,280.55,282.77,68093,1925477520000.0,2276,43001,0.6315
49,49,49,49,49,49,49,49,49,49,239,2019-03-12,BDL,EQ,280.55,283.35,290.0,283.3,286.25,286.1,286.85,67948,1949078635000.0,2420,36504,0.5372
50,50,50,50,50,50,50,50,50,50,240,2019-03-13,BDL,EQ,286.1,287.05,289.9,283.0,286.3,286.85,286.62,44826,1284798500000.0,2238,21284,0.4748
51,51,51,51,51,51,51,51,51,51,241,2019-03-14,BDL,EQ,286.85,286.0,288.8,284.2,284.5,285.15,285.61,26639,760847560000.0,1061,16792,0.6304
52,52,52,52,52,52,52,52,52,52,242,2019-03-15,BDL,EQ,285.15,285.0,290.0,283.65,287.3,286.2,286.97,34227,982223165000.0,1198,19662,0.5745
53,53,53,53,53,53,53,53,53,53,243,2019-03-18,BDL,EQ,286.2,290.0,296.0,288.5,291.5,290.8,291.34,86243,2512644125000.0,3211,32700,0.3792
54,54,54,54,54,54,54,54,54,54,244,2019-03-19,BDL,EQ,290.8,291.0,292.8,286.85,287.55,287.55,289.57,32042,927854180000.0,1460,18720,0.5842
55,55,55,55,55,55,55,55,55,55,245,2019-03-20,BDL,EQ,287.55,287.0,290.0,285.4,286.4,286.45,287.77,32554,936793560000.0,1134,20314,0.624
56,56,56,56,56,56,56,56,56,56,246,2019-03-22,BDL,EQ,286.45,287.05,289.95,285.0,286.45,286.7,286.82,29682,851325965000.0,1009,20429,0.6883
57,57,57,57,57,57,57,57,57,57,247,2019-03-25,BDL,EQ,286.7,283.8,285.45,280.0,283.0,282.7,283.31,32012,906931345000.0,1444,17284,0.5399
58,58,58,58,58,58,58,58,58,58,248,2019-03-26,BDL,EQ,282.7,281.5,284.2,278.3,280.05,281.35,281.68,33057,931147520000.0,1386,23401,0.7079000000000001
