,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,1766,2019-01-08,BEDMUTHA,EQ,22.75,22.5,23.85,22.45,23.0,23.0,23.19,18619,43176645000.0,43.0,16532,0.8879000000000001
1,1,1,1,1,1,1,1,1,1,1767,2019-01-09,BEDMUTHA,EQ,23.0,22.2,22.45,22.2,22.45,22.45,22.41,972,2177930000.0,9.0,972,1.0
2,2,2,2,2,2,2,2,2,2,1768,2019-01-10,BEDMUTHA,EQ,22.45,21.7,22.8,21.7,22.65,22.6,22.53,3487,7855839999.999998,16.0,3217,0.9226
3,3,3,3,3,3,3,3,3,3,1769,2019-01-11,BEDMUTHA,EQ,22.6,21.8,22.8,21.75,22.15,22.15,22.11,1802,3983695000.0,15.0,1266,0.7026000000000001
4,4,4,4,4,4,4,4,4,4,1770,2019-01-14,BEDMUTHA,EQ,22.15,21.25,22.45,21.25,22.45,22.1,21.65,8712,18864445000.0,27.0,6740,0.7736000000000001
5,5,5,5,5,5,5,5,5,5,1771,2019-01-15,BEDMUTHA,EQ,22.1,21.85,22.05,21.85,22.05,22.05,21.91,380,832650000.0,5.0,370,0.9737
6,6,6,6,6,6,6,6,6,6,1772,2019-01-16,BEDMUTHA,EQ,22.05,22.05,22.45,22.0,22.45,22.4,22.25,6703,14914010000.0,19.0,6199,0.9248
7,7,7,7,7,7,7,7,7,7,1773,2019-01-17,BEDMUTHA,EQ,22.4,21.55,22.3,21.55,22.0,22.1,21.88,3533,7728560000.000002,17.0,1841,0.5211
8,8,8,8,8,8,8,8,8,8,1774,2019-01-18,BEDMUTHA,EQ,22.1,21.5,22.3,21.5,21.75,21.75,21.63,445,962730000.0,6.0,261,0.5865
9,9,9,9,9,9,9,9,9,9,1775,2019-01-21,BEDMUTHA,EQ,21.75,21.5,22.45,21.5,22.4,22.4,22.03,4250,9360930000.0,10.0,3000,0.7059000000000001
10,10,10,10,10,10,10,10,10,10,1776,2019-01-22,BEDMUTHA,EQ,22.4,22.55,23.5,21.65,23.5,23.15,23.08,3199,7383670000.0,25.0,3150,0.9847
11,11,11,11,11,11,11,11,11,11,1777,2019-01-23,BEDMUTHA,EQ,23.15,22.4,22.7,22.2,22.2,22.4,22.43,1518,3405594999.9999995,13.0,1509,0.9941
12,12,12,12,12,12,12,12,12,12,1778,2019-01-24,BEDMUTHA,EQ,22.4,21.5,23.3,21.5,22.2,22.2,21.96,1737,3813800000.0,12.0,1632,0.9396
13,13,13,13,13,13,13,13,13,13,1779,2019-01-25,BEDMUTHA,EQ,22.2,21.35,22.85,21.35,22.45,22.45,22.0,2768,6089325000.0,15.0,1905,0.6881999999999999
14,14,14,14,14,14,14,14,14,14,1780,2019-01-28,BEDMUTHA,EQ,22.45,21.55,22.4,21.4,22.3,21.65,21.62,5556,12013300000.0,36.0,3825,0.6884
15,15,15,15,15,15,15,15,15,15,1781,2019-01-29,BEDMUTHA,EQ,21.65,21.45,22.35,21.3,22.35,21.5,21.48,882,1894475000.0,8.0,848,0.9615
16,16,16,16,16,16,16,16,16,16,1782,2019-01-30,BEDMUTHA,EQ,21.5,21.3,21.4,21.1,21.1,21.1,21.3,1079,2297860000.0,7.0,1057,0.9796
17,17,17,17,17,17,17,17,17,17,1783,2019-01-31,BEDMUTHA,EQ,21.1,20.65,21.9,20.65,21.2,21.2,21.21,5479,11619540000.0,29.0,4702,0.8582
18,18,18,18,18,18,18,18,18,18,1784,2019-02-01,BEDMUTHA,EQ,21.2,20.6,22.1,20.6,21.7,21.55,21.39,1182,2527745000.0,11.0,772,0.6531
19,19,19,19,19,19,19,19,19,19,1785,2019-02-04,BEDMUTHA,EQ,21.55,21.1,21.1,20.5,20.95,20.8,20.93,2895,6059015000.0,17.0,2777,0.9592
20,20,20,20,20,20,20,20,20,20,1786,2019-02-05,BEDMUTHA,EQ,20.8,21.0,21.0,19.8,19.8,19.85,20.09,3963,7963614999.999998,14.0,3463,0.8738
21,21,21,21,21,21,21,21,21,21,1787,2019-02-06,BEDMUTHA,EQ,19.85,19.85,19.85,18.9,18.9,18.9,18.96,11297,21415155000.0,35.0,11297,1.0
22,22,22,22,22,22,22,22,22,22,1788,2019-02-07,BEDMUTHA,EQ,18.9,18.9,19.8,17.55,18.0,18.0,17.91,13876,24854635000.0,51.0,12576,0.9063
23,23,23,23,23,23,23,23,23,23,1789,2019-02-08,BEDMUTHA,EQ,18.0,18.05,18.9,17.5,18.0,18.0,18.34,4308,7899030000.0,26.0,2470,0.5734
24,24,24,24,24,24,24,24,24,24,1790,2019-02-11,BEDMUTHA,EQ,18.0,17.3,19.6,17.3,17.7,18.0,18.52,7438,13774170000.000002,21.0,2500,0.3361
25,25,25,25,25,25,25,25,25,25,1791,2019-02-12,BEDMUTHA,EQ,18.0,19.3,19.3,17.85,18.55,19.0,18.39,6146,11302150000.0,20.0,5936,0.9658
26,26,26,26,26,26,26,26,26,26,1792,2019-02-13,BEDMUTHA,EQ,19.0,18.7,19.5,17.15,17.25,17.55,17.7,5626,9958020000.0,24.0,5251,0.9333
27,27,27,27,27,27,27,27,27,27,1793,2019-02-14,BEDMUTHA,EQ,17.55,18.35,18.35,17.5,17.6,17.6,18.04,3524,6358085000.0,23.0,3474,0.9858
28,28,28,28,28,28,28,28,28,28,1794,2019-02-15,BEDMUTHA,EQ,17.6,18.7,18.7,17.55,17.95,17.95,18.25,3014,5501840000.0,19.0,2014,0.6681999999999999
29,29,29,29,29,29,29,29,29,29,1795,2019-02-18,BEDMUTHA,EQ,17.95,17.95,19.15,17.0,17.25,17.2,17.25,15535,26805060000.0,51.0,12927,0.8321
30,30,30,30,30,30,30,30,30,30,1796,2019-02-19,BEDMUTHA,EQ,17.2,16.7,17.2,15.5,16.0,15.9,16.07,12443,19993535000.0,53.0,9617,0.7729
31,31,31,31,31,31,31,31,31,31,1797,2019-02-20,BEDMUTHA,EQ,15.9,15.9,16.9,14.35,14.4,14.55,14.73,23745,34982690000.0,73.0,20327,0.8561
32,32,32,32,32,32,32,32,32,32,1798,2019-02-21,BEDMUTHA,EQ,14.55,14.55,15.95,14.25,15.95,15.45,15.11,12925,19530380000.0,60.0,8778,0.6790999999999999
33,33,33,33,33,33,33,33,33,33,1799,2019-02-22,BEDMUTHA,EQ,15.45,16.4,16.4,15.3,16.35,16.25,15.73,12459,19603520000.0,67.0,10437,0.8377
34,34,34,34,34,34,34,34,34,34,1800,2019-02-25,BEDMUTHA,EQ,16.25,16.1,17.4,15.25,16.95,16.55,16.75,11351,19010325000.0,46.0,9444,0.8320000000000001
35,35,35,35,35,35,35,35,35,35,1801,2019-02-26,BEDMUTHA,EQ,16.55,17.7,17.7,16.55,17.0,17.0,17.02,3445,5864225000.0,23.0,2872,0.8337000000000001
36,36,36,36,36,36,36,36,36,36,1802,2019-02-27,BEDMUTHA,EQ,17.0,18.0,18.0,15.8,16.85,16.8,16.9,2827,4777015000.0,29.0,2618,0.9261
37,37,37,37,37,37,37,37,37,37,1803,2019-02-28,BEDMUTHA,EQ,16.8,16.0,17.35,16.0,16.55,16.65,16.77,13769,23092300000.0,37.0,10590,0.7691
38,38,38,38,38,38,38,38,38,38,1804,2019-03-01,BEDMUTHA,EQ,16.65,16.3,16.95,16.3,16.85,16.75,16.63,1663,2765880000.0,23.0,1120,0.6735
39,39,39,39,39,39,39,39,39,39,1805,2019-03-05,BEDMUTHA,EQ,16.75,16.05,18.3,16.05,16.4,16.5,16.87,3797,6404525000.0,34.0,2768,0.7290000000000001
40,40,40,40,40,40,40,40,40,40,1806,2019-03-06,BEDMUTHA,EQ,16.5,17.95,17.95,16.75,16.75,16.75,17.71,1235,2187035000.0,8.0,1111,0.8996
41,41,41,41,41,41,41,41,41,41,1807,2019-03-07,BEDMUTHA,EQ,16.75,18.25,18.25,16.4,17.6,17.6,17.51,2367,4143945000.0,26.0,1529,0.6459999999999999
42,42,42,42,42,42,42,42,42,42,1808,2019-03-08,BEDMUTHA,EQ,17.6,16.2,17.9,16.2,17.0,16.85,17.32,6106,10574355000.0,37.0,1212,0.1985
43,43,43,43,43,43,43,43,43,43,1809,2019-03-11,BEDMUTHA,EQ,16.85,16.0,17.55,16.0,17.2,17.15,17.03,4580,7801910000.000002,24.0,3606,0.7873000000000001
44,44,44,44,44,44,44,44,44,44,1810,2019-03-12,BEDMUTHA,EQ,17.15,16.75,17.85,16.75,17.6,17.6,17.24,2214,3817925000.0,16.0,2102,0.9494
45,45,45,45,45,45,45,45,45,45,1811,2019-03-13,BEDMUTHA,EQ,17.6,16.8,17.35,16.15,17.15,16.85,16.72,3699,6186335000.0,21.0,3112,0.8412999999999999
46,46,46,46,46,46,46,46,46,46,1812,2019-03-14,BEDMUTHA,EQ,16.85,16.45,17.15,16.45,17.15,16.9,16.92,2647,4477805000.0,14.0,2547,0.9622
47,47,47,47,47,47,47,47,47,47,1813,2019-03-15,BEDMUTHA,EQ,16.9,16.55,17.45,16.55,17.0,17.0,16.98,786,1334930000.0,12.0,685,0.8715
48,48,48,48,48,48,48,48,48,48,1814,2019-03-18,BEDMUTHA,EQ,17.0,16.35,16.75,16.35,16.75,16.75,16.73,311,520205000.0,6.0,293,0.9421
49,49,49,49,49,49,49,49,49,49,1815,2019-03-19,BEDMUTHA,EQ,16.75,16.2,17.4,16.2,16.7,16.7,16.66,854,1422510000.0,11.0,616,0.7212999999999999
50,50,50,50,50,50,50,50,50,50,1816,2019-03-20,BEDMUTHA,EQ,16.7,17.5,18.35,17.5,18.35,18.35,18.22,12149,22135580000.0,52.0,9284,0.7642
51,51,51,51,51,51,51,51,51,51,1817,2019-03-22,BEDMUTHA,EQ,18.35,19.7,20.15,16.6,17.1,16.95,18.32,76396,139946460000.0,337.0,45164,0.5912
52,52,52,52,52,52,52,52,52,52,1818,2019-03-25,BEDMUTHA,EQ,16.95,17.45,17.7,17.0,17.7,17.45,17.41,7339,12780110000.0,74.0,7315,0.9967
53,53,53,53,53,53,53,53,53,53,1819,2019-03-26,BEDMUTHA,EQ,17.45,17.45,17.9,17.15,17.5,17.7,17.4,11731,20416665000.0,46.0,10928,0.9315
54,54,54,54,54,54,54,54,54,54,1820,2019-03-27,BEDMUTHA,EQ,17.7,18.7,18.7,17.25,17.25,17.25,17.85,9757,17419960000.0,31.0,9098,0.9325
55,55,55,55,55,55,55,55,55,55,1821,2019-03-28,BEDMUTHA,EQ,17.25,16.9,18.9,16.85,17.05,17.25,17.94,15989,28689085000.0,97.0,8475,0.5301
56,56,56,56,56,56,56,56,56,56,1822,2019-03-29,BEDMUTHA,EQ,17.25,18.4,18.4,17.5,17.75,17.95,17.97,12456,22385325000.0,75.0,7031,0.5645
57,57,57,57,57,57,57,57,57,57,1823,2019-04-01,BEDMUTHA,EQ,17.95,18.6,19.0,18.05,18.05,18.05,18.79,5678,10669240000.0,25.0,5468,0.963
58,58,58,58,58,58,58,58,58,58,1824,2019-04-02,BEDMUTHA,EQ,18.05,18.65,19.5,18.1,19.15,19.15,19.03,12390,23576090000.0,73.0,7040,0.5682
59,59,59,59,59,59,59,59,59,59,1825,2019-04-03,BEDMUTHA,EQ,19.15,18.4,18.95,18.1,18.1,18.15,18.29,6501,11892885000.0,42.0,3491,0.537
60,60,60,60,60,60,60,60,60,60,1826,2019-04-04,BEDMUTHA,EQ,18.15,19.15,19.15,17.4,17.4,17.5,17.61,1976,3479135000.0,25.0,1107,0.5602
61,61,61,61,61,61,61,61,61,61,1827,2019-04-05,BEDMUTHA,EQ,17.5,17.95,18.5,17.8,17.8,17.8,18.23,2378,4336075000.0,40.0,2258,0.9495
62,62,62,62,62,62,62,62,62,62,1828,2019-04-08,BEDMUTHA,EQ,17.8,17.05,19.55,17.0,18.35,17.9,18.03,17511,31565620000.0,94.0,11904,0.6798000000000001
