Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,BFUTILITIE,EQ,216.5,216.6,224.35,211.65,220.6,221.45,220.86,1018213,22488415525000.0,15420.0,197015,0.1935
2019-01-02,BFUTILITIE,EQ,221.45,220.2,230.8,219.0,223.5,223.9,225.13,1282189,28866336445000.0,20706.0,224349,0.17500000000000002
2019-01-03,BFUTILITIE,EQ,223.9,223.2,228.35,220.25,222.6,223.0,224.67,479157,10765387770000.0,8460.0,82430,0.172
2019-01-04,BFUTILITIE,EQ,223.0,224.1,225.5,217.6,221.0,220.55,222.5,454010,10101747200000.0,7402.0,55391,0.122
2019-01-07,BFUTILITIE,EQ,220.55,222.85,237.0,222.0,232.75,232.75,232.42,2126888,49434106225000.0,28997.0,310760,0.1461
2019-01-08,BFUTILITIE,EQ,232.75,234.3,238.7,232.0,235.15,235.25,234.97,849438,19959268210000.0,12385.0,131903,0.1553
2019-01-09,BFUTILITIE,EQ,235.25,236.35,237.2,226.6,229.25,230.7,232.62,351405,8174310095000.0,6392.0,79941,0.2275
2019-01-10,BFUTILITIE,EQ,230.7,230.3,231.65,224.05,226.0,226.6,227.11,309272,7023859740000.001,7561.0,52645,0.1702
2019-01-11,BFUTILITIE,EQ,226.6,227.0,227.65,221.5,222.5,223.35,223.44,176802,3950505885000.0,3807.0,46754,0.2644
2019-01-14,BFUTILITIE,EQ,223.35,223.0,224.2,217.1,219.9,220.4,220.16,159742,3516950970000.0005,3969.0,39505,0.2473
2019-01-15,BFUTILITIE,EQ,220.4,221.25,227.85,220.0,223.3,224.35,224.38,442750,9934350220000.0,7455.0,65231,0.1473
2019-01-16,BFUTILITIE,EQ,224.35,224.5,226.25,220.3,222.3,222.45,223.35,227472,5080689745000.0,4386.0,43609,0.1917
2019-01-17,BFUTILITIE,EQ,222.45,222.0,229.35,221.5,224.4,225.8,225.98,639024,14440968660000.0,9608.0,88727,0.1388
2019-01-18,BFUTILITIE,EQ,225.8,225.7,227.2,211.15,212.0,213.75,221.17,594665,13152379435000.0,10379.0,137541,0.2313
2019-01-21,BFUTILITIE,EQ,213.75,213.95,213.95,205.1,205.75,206.05,208.41,420047,8754110675000.0,7402.0,140722,0.335
2019-01-22,BFUTILITIE,EQ,206.05,206.0,214.0,202.25,204.25,204.85,206.07,407100,8389149145000.0,8083.0,52311,0.1285
2019-01-23,BFUTILITIE,EQ,204.85,205.85,211.05,204.3,206.0,205.95,207.39,243230,5044401765000.0,5402.0,31515,0.12960000000000002
2019-01-24,BFUTILITIE,EQ,205.95,206.75,209.35,203.2,204.1,205.0,206.0,264567,5449951160000.0,6139.0,40575,0.1534
2019-01-25,BFUTILITIE,EQ,205.0,206.0,214.75,202.0,202.5,204.05,209.46,547579,11469587100000.0,10661.0,86489,0.15789999999999998
2019-01-28,BFUTILITIE,EQ,204.05,204.45,205.35,194.0,196.0,195.8,198.31,224016,4442570085000.0,4681.0,75515,0.3371
2019-01-29,BFUTILITIE,EQ,195.8,195.7,198.8,191.5,194.9,194.7,195.07,170683,3329584110000.0,4435.0,37535,0.2199
2019-01-30,BFUTILITIE,EQ,194.7,195.9,202.0,195.1,196.8,197.05,197.75,383429,7582220584999.999,7860.0,58852,0.1535
2019-01-31,BFUTILITIE,EQ,197.05,197.85,207.55,193.5,200.65,200.75,201.64,550298,11096032705000.0,13183.0,78598,0.1428
2019-02-01,BFUTILITIE,EQ,200.75,201.0,202.9,193.6,196.45,196.35,199.1,242094,4819986870000.0,6433.0,55689,0.23
2019-02-04,BFUTILITIE,EQ,196.35,197.0,197.95,186.55,190.25,190.6,191.88,243519,4672753095000.0,7487.0,61267,0.2516
2019-02-05,BFUTILITIE,EQ,190.6,191.75,192.35,185.1,185.45,186.4,187.69,179954,3377567260000.0,5019.0,50250,0.2792
2019-02-06,BFUTILITIE,EQ,186.4,186.0,187.9,176.2,181.0,181.65,181.27,201881,3659587780000.0,5301.0,52147,0.2583
2019-02-07,BFUTILITIE,EQ,181.65,181.05,185.75,181.05,182.0,182.45,183.19,157355,2882570105000.0,4213.0,36723,0.2334
2019-02-08,BFUTILITIE,EQ,182.45,179.25,181.2,171.7,172.35,173.0,175.62,185372,3255576170000.0,4536.0,75479,0.4072
2019-02-11,BFUTILITIE,EQ,173.0,172.8,173.85,150.05,153.8,154.1,162.41,496386,8061884309999.999,11568.0,146110,0.2943
2019-02-12,BFUTILITIE,EQ,154.1,154.4,158.85,151.75,157.0,157.2,155.84,263600,4107926545000.0015,6536.0,53038,0.2012
2019-02-13,BFUTILITIE,EQ,157.2,159.2,163.6,152.3,154.1,155.25,158.82,247908,3937174300000.0,6217.0,84863,0.3423
2019-02-14,BFUTILITIE,EQ,155.25,153.7,160.5,151.1,155.5,155.7,155.4,291259,4526050355000.0,6497.0,101426,0.3482
2019-02-15,BFUTILITIE,EQ,155.7,156.0,156.75,151.25,151.25,152.85,153.5,185931,2853982680000.0,5764.0,46349,0.2493
2019-02-18,BFUTILITIE,EQ,152.85,153.0,153.4,148.0,148.3,149.1,149.88,172839,2590425905000.0,5951.0,42215,0.2442000000000001
2019-02-19,BFUTILITIE,EQ,149.1,148.2,154.2,148.0,150.6,150.85,151.01,231358,3493818110000.0,8159.0,33934,0.1467
2019-02-20,BFUTILITIE,EQ,150.85,152.0,155.9,150.85,154.75,154.6,153.1,322220,4933239100000.0,7559.0,53067,0.1647
2019-02-21,BFUTILITIE,EQ,154.6,154.95,182.5,152.7,177.8,178.15,172.76,3135905,54175190520000.01,39504.0,271045,0.0864
2019-02-22,BFUTILITIE,EQ,178.15,176.8,182.5,172.8,174.95,175.5,178.14,1009085,17975440485000.0,16338.0,142586,0.1413
2019-02-25,BFUTILITIE,EQ,175.5,175.2,188.5,174.65,180.1,180.5,183.48,1514496,27787225045000.0,22277.0,182113,0.1202
2019-02-26,BFUTILITIE,EQ,180.5,172.5,181.7,171.1,177.9,176.7,177.58,694751,12337726765000.0,11237.0,114916,0.1654
2019-02-27,BFUTILITIE,EQ,176.7,178.2,184.0,172.3,173.7,174.55,178.13,727061,12951426235000.0,15480.0,115225,0.1585
2019-02-28,BFUTILITIE,EQ,174.55,176.0,182.0,173.55,180.0,179.75,178.35,538405,9602650355000.0,8981.0,99277,0.1844
2019-03-01,BFUTILITIE,EQ,179.75,180.9,185.4,179.8,181.2,181.65,182.46,609352,11118253205000.0,9158.0,137912,0.2263
2019-03-05,BFUTILITIE,EQ,181.65,181.5,191.9,180.75,188.95,189.65,187.28,1177998,22061932910000.0,17464.0,212222,0.1802
2019-03-06,BFUTILITIE,EQ,189.65,190.75,196.05,188.35,190.95,191.3,192.92,766767,14792098780000.002,13196.0,194826,0.2541
2019-03-07,BFUTILITIE,EQ,191.3,192.3,197.0,189.0,191.3,191.65,193.15,716556,13840433819999.998,11195.0,108365,0.1512
2019-03-08,BFUTILITIE,EQ,191.65,191.6,197.4,189.3,192.65,192.9,193.56,732140,14171081450000.0,14551.0,85119,0.1163
2019-03-11,BFUTILITIE,EQ,192.9,193.3,209.75,193.2,206.5,204.75,203.4,2330830,47408024585000.0,32202.0,294184,0.1262
2019-03-12,BFUTILITIE,EQ,204.75,207.0,209.8,203.0,204.6,204.5,206.08,529181,10905491760000.0,9741.0,131989,0.2494
2019-03-13,BFUTILITIE,EQ,204.5,202.5,206.8,197.3,201.05,200.9,202.27,640406,12953463765000.0,11460.0,103240,0.1612
2019-03-14,BFUTILITIE,EQ,200.9,202.0,203.7,198.4,199.9,199.9,200.58,242424,4862518790000.0,5840.0,56515,0.2331
2019-03-15,BFUTILITIE,EQ,199.9,201.0,205.75,192.25,194.8,195.4,200.81,643488,12921750215000.0,9152.0,160087,0.2488
2019-03-18,BFUTILITIE,EQ,195.4,196.05,197.35,191.6,194.5,194.9,194.76,292327,5693363440000.0,6584.0,71005,0.2429
2019-03-19,BFUTILITIE,EQ,194.9,195.7,202.2,193.1,199.5,199.3,198.33,678321,13452848615000.0,10857.0,115820,0.17070000000000002
2019-03-20,BFUTILITIE,EQ,199.3,196.9,199.5,193.45,196.1,195.15,195.93,279980,5485641650000.0,4816.0,85678,0.306
