Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,CAPACITE,EQ,248.85,247.05,248.5,244.6,246.6,247.3,246.35,10839,267017095000.0001,493,5850,0.5397
2019-01-02,CAPACITE,EQ,247.3,246.05,257.0,245.0,248.0,247.55,251.9,191983,4835990095000.0,4101,48469,0.2525
2019-01-03,CAPACITE,EQ,247.55,249.95,251.0,246.05,248.0,248.9,249.71,52312,1306290980000.0,693,23629,0.4517000000000001
2019-01-04,CAPACITE,EQ,248.9,248.2,248.8,245.0,245.0,245.55,246.49,12663,312128475000.0,534,8061,0.6365999999999999
2019-01-07,CAPACITE,EQ,245.55,246.0,251.0,246.0,247.5,248.05,248.88,38023,946307130000.0,782,28948,0.7613
2019-01-08,CAPACITE,EQ,248.05,246.1,250.0,246.1,249.1,249.5,248.95,18497,460476290000.0001,947,14069,0.7606
2019-01-09,CAPACITE,EQ,249.5,252.45,252.45,248.7,251.0,250.55,249.95,18323,457984495000.0,811,15231,0.8312999999999999
2019-01-10,CAPACITE,EQ,250.55,250.55,253.45,248.0,249.0,251.25,251.01,51484,1292314550000.0,809,46570,0.9046
2019-01-11,CAPACITE,EQ,251.25,250.05,250.8,246.6,247.0,247.1,247.87,22799,565112030000.0,1727,16945,0.7432
2019-01-14,CAPACITE,EQ,247.1,247.25,249.1,241.2,242.5,243.25,245.44,15046,369293585000.0,674,11701,0.7777
2019-01-15,CAPACITE,EQ,243.25,244.85,247.0,239.0,239.0,239.1,240.56,114415,2752382600000.0,2367,96856,0.8465
2019-01-16,CAPACITE,EQ,239.1,239.05,247.0,239.05,245.0,241.9,243.83,27843,678904095000.0,2548,14074,0.5055
2019-01-17,CAPACITE,EQ,241.9,244.6,247.0,243.0,243.1,243.6,245.49,33936,833099500000.0,2046,21507,0.6338
2019-01-18,CAPACITE,EQ,243.6,243.25,244.55,237.15,240.0,238.5,241.05,30360,731822020000.0,3243,11517,0.3793
2019-01-21,CAPACITE,EQ,238.5,241.1,241.1,232.3,233.0,233.1,234.3,27700,649001520000.0,2730,16691,0.6026
2019-01-22,CAPACITE,EQ,233.1,232.6,235.75,226.8,231.0,230.25,230.01,30420,699678845000.0,2173,15696,0.516
2019-01-23,CAPACITE,EQ,230.25,229.95,230.0,226.05,227.0,226.85,228.0,11377,259401035000.0,440,7104,0.6244
2019-01-24,CAPACITE,EQ,226.85,227.0,231.0,224.6,226.0,225.25,227.22,16404,372735370000.0,780,7754,0.4727000000000001
2019-01-25,CAPACITE,EQ,225.25,226.0,227.3,213.95,215.2,214.85,220.47,28156,620748635000.0,1001,21846,0.7759
2019-01-28,CAPACITE,EQ,214.85,215.05,217.35,205.5,206.95,206.4,208.89,29502,616270060000.0,2285,16524,0.5601
2019-01-29,CAPACITE,EQ,206.4,206.0,209.0,194.0,206.9,205.7,202.53,30271,613066040000.0,918,17991,0.5943
2019-01-30,CAPACITE,EQ,205.7,204.35,214.0,204.35,209.9,210.0,210.82,55685,1173968315000.0,1834,30395,0.5458
2019-01-31,CAPACITE,EQ,210.0,210.95,213.55,208.05,213.0,212.2,211.18,23742,501384670000.0,1400,14360,0.6048
2019-02-01,CAPACITE,EQ,212.2,212.3,221.9,212.05,218.2,218.4,217.43,37681,819293145000.0,1942,19996,0.5307000000000001
2019-02-04,CAPACITE,EQ,218.4,217.1,220.85,208.0,209.0,211.8,215.76,49971,1078171410000.0,2720,20423,0.4087
2019-02-05,CAPACITE,EQ,211.8,211.35,213.95,201.1,210.0,210.0,209.57,33436,700716605000.0,1933,19352,0.5788000000000001
2019-02-06,CAPACITE,EQ,210.0,209.3,214.9,208.25,210.0,210.15,210.57,16477,346960655000.0,1061,9927,0.6025
2019-02-07,CAPACITE,EQ,210.15,210.15,213.0,204.35,209.0,208.5,208.88,35031,731711500000.0,2113,19031,0.5433
2019-02-08,CAPACITE,EQ,208.5,209.4,211.4,203.05,205.0,204.85,206.97,16119,333621050000.0,1443,7762,0.4815
2019-02-11,CAPACITE,EQ,204.85,205.4,205.8,195.4,196.7,196.6,200.81,32311,648853315000.0,1769,22349,0.6917
2019-02-12,CAPACITE,EQ,196.6,196.85,198.0,188.9,198.0,190.65,190.67,63617,1212992810000.0,2255,37449,0.5887
2019-02-13,CAPACITE,EQ,190.65,195.0,199.6,190.0,191.35,191.45,194.36,29929,581702765000.0,1161,16458,0.5499
2019-02-14,CAPACITE,EQ,191.45,192.0,195.9,188.05,192.0,192.15,191.47,21742,416295675000.0,1840,8888,0.4088000000000001
2019-02-15,CAPACITE,EQ,192.15,192.25,193.4,190.0,193.0,192.2,191.22,11263,215375345000.00006,498,5327,0.473
