Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,CESC,EQ,668.35,668.45,677.75,666.0,672.45,671.3,671.16,263788,17704466810000.0,6482.0,51293.0,0.1944
2019-01-02,CESC,EQ,671.3,670.85,674.15,663.5,664.25,666.85,668.97,401406,26852982450000.0,15280.0,194407.0,0.4843
2019-01-03,CESC,EQ,666.85,668.0,670.5,651.0,652.0,653.7,659.49,294764,19439458615000.0,8660.0,68954.0,0.2339
2019-01-04,CESC,EQ,653.7,655.85,662.0,647.05,662.0,656.45,654.62,426772,27937203705000.0,13350.0,103862.0,0.2434
2019-01-07,CESC,EQ,656.45,661.05,665.95,651.35,652.2,653.7,658.79,340481,22430646040000.0,8102.0,131542.0,0.3863
2019-01-08,CESC,EQ,653.7,653.1,659.3,650.6,654.1,654.25,654.56,217280,14222210444999.998,9236.0,83028.0,0.3821
2019-01-09,CESC,EQ,654.25,656.05,666.0,650.45,655.0,653.95,656.58,512771,33667422525000.0,24405.0,163260.0,0.3184
2019-01-10,CESC,EQ,653.95,656.0,660.75,652.15,660.5,658.4,656.71,306740,20143942530000.0,22653.0,159932.0,0.5214
2019-01-11,CESC,EQ,658.4,660.0,685.0,658.55,676.85,682.05,674.65,1138245,76792061975000.0,31471.0,422176.0,0.3709000000000001
2019-01-14,CESC,EQ,682.05,682.55,693.0,676.4,680.0,683.25,683.79,1254254,85764650820000.0,19740.0,667467.0,0.5322
2019-01-15,CESC,EQ,683.25,681.5,691.9,673.3,688.75,688.75,683.41,438309,29954373840000.0,21219.0,229304.0,0.5232
2019-01-16,CESC,EQ,688.75,688.0,706.9,688.0,703.0,703.95,699.67,809976,56671426150000.0,29502.0,355811.0,0.4393
2019-01-17,CESC,EQ,703.95,704.75,706.4,679.85,683.0,686.15,690.09,710514,49031542400000.0,26287.0,263736.0,0.3712
2019-01-18,CESC,EQ,686.15,686.15,694.75,682.1,691.0,689.0,689.51,375606,25898411980000.0,9943.0,101300.0,0.2697
2019-01-21,CESC,EQ,689.0,689.0,691.95,681.65,682.5,683.1,686.03,136167,9341431685000.0,4768.0,18225.0,0.1338
2019-01-22,CESC,EQ,683.1,683.4,685.8,666.0,679.5,682.2,676.56,254723,17233476444999.998,8299.0,40726.0,0.1599
2019-01-23,CESC,EQ,682.2,680.05,691.0,677.55,679.0,679.1,682.73,242466,16553905219999.998,7784.0,102848.0,0.4242
2019-01-24,CESC,EQ,679.1,682.0,688.45,675.2,683.0,685.45,682.35,465373,31754952310000.004,7701.0,223743.0,0.4808
2019-01-25,CESC,EQ,685.45,685.0,693.75,681.4,688.25,688.3,688.62,736784,50736438445000.0,22041.0,437106.0,0.5933
2019-01-28,CESC,EQ,688.3,685.0,685.0,658.15,675.2,677.2,669.05,357765,23936338430000.0,11645.0,96490.0,0.2697
2019-01-29,CESC,EQ,677.2,674.9,689.95,671.0,681.0,679.5,680.76,345796,23540559975000.0,11904.0,145764.0,0.4215
2019-01-30,CESC,EQ,679.5,682.5,692.0,677.8,691.0,689.0,685.36,169132,11591591345000.0,9730.0,57893.0,0.3423
2019-01-31,CESC,EQ,689.0,691.65,698.8,685.15,694.85,693.9,692.96,437065,30286666975000.0,13345.0,215127.0,0.4922
2019-02-01,CESC,EQ,693.9,696.05,701.0,684.05,695.0,694.9,695.27,203538,14151293485000.0,7093.0,66229.0,0.3254
2019-02-04,CESC,EQ,694.9,694.5,694.8,675.15,681.0,681.7,683.55,187889,12843087170000.0,9532.0,64147.0,0.34140000000000004
2019-02-05,CESC,EQ,681.7,682.0,701.0,669.7,687.0,692.25,684.94,1852533,126886558905000.0,37909.0,325772.0,0.1759
2019-02-06,CESC,EQ,692.25,690.0,733.05,685.85,729.5,729.2,713.62,1007682,71910360095000.0,25143.0,263200.0,0.2612
2019-02-07,CESC,EQ,729.2,731.0,734.9,714.35,721.0,722.0,722.74,725265,52417493450000.0,22205.0,175058.0,0.2414
2019-02-08,CESC,EQ,722.0,718.0,731.0,691.0,694.0,695.95,710.26,582609,41380401895000.0,17687.0,221182.0,0.3796
2019-02-11,CESC,EQ,695.95,690.0,695.0,672.2,677.0,676.0,679.99,322622,21938128095000.0,13905.0,114285.0,0.3542
2019-02-12,CESC,EQ,676.0,676.1,691.0,674.9,690.25,686.75,684.8,333342,22827170740000.0,15324.0,115921.0,0.3478
2019-02-13,CESC,EQ,686.75,687.0,696.4,677.7,694.3,692.6,689.25,321008,22125613755000.0,8251.0,152400.0,0.4748
2019-02-14,CESC,EQ,692.6,678.0,682.35,672.5,678.1,679.7,678.51,411350,27910582530000.0,14279.0,180449.0,0.4387
2019-02-15,CESC,EQ,679.7,679.6,682.05,662.25,676.0,678.65,670.64,618387,41471782090000.0,14659.0,89962.0,0.14550000000000002
2019-02-18,CESC,EQ,678.65,678.4,682.2,660.0,663.8,662.05,667.43,159891,10671566100000.0,7559.0,31434.0,0.1966
2019-02-19,CESC,EQ,662.05,662.2,669.3,655.35,657.0,657.85,660.55,203877,13467076010000.0,8310.0,72031.0,0.3533
2019-02-20,CESC,EQ,657.85,658.95,676.8,658.95,673.1,672.8,668.92,182213,12188652680000.0,8788.0,56599.0,0.3106
2019-02-21,CESC,EQ,672.8,673.1,686.0,664.95,668.45,667.35,675.02,380336,25673430925000.0,17980.0,119755.0,0.3149
2019-02-22,CESC,EQ,667.35,669.85,675.0,666.05,674.95,673.6,670.83,180793,12128145640000.0,6141.0,63531.0,0.3514
2019-02-25,CESC,EQ,673.6,677.9,678.3,666.65,675.0,675.45,672.26,234902,15791625110000.0,6595.0,86494.0,0.3682
2019-02-26,CESC,EQ,675.45,670.0,673.7,660.0,669.2,668.5,667.38,156972,10476036525000.0,7779.0,40295.0,0.25670000000000004
2019-02-27,CESC,EQ,668.5,672.0,685.0,661.0,667.55,668.35,672.65,334952,22530426150000.0,8114.0,72783.0,0.2173
2019-02-28,CESC,EQ,668.35,672.0,675.0,662.9,672.8,672.95,669.58,230688,15446353915000.0,7061.0,102762.0,0.4455
2019-03-01,CESC,EQ,672.95,673.2,691.6,673.2,686.0,685.6,685.95,316593,21716588725000.0,10378.0,100802.0,0.3184
2019-03-05,CESC,EQ,685.6,686.0,713.55,686.0,704.9,704.95,703.1,426187,29965153550000.0,16768.0,158220.0,0.3712
2019-03-06,CESC,EQ,704.95,704.7,719.8,703.5,713.05,711.55,713.27,256114,18267793625000.0,8435.0,97375.0,0.3802
2019-03-07,CESC,EQ,711.55,712.1,717.1,693.9,695.0,696.0,703.4,412253,28997784905000.0,13957.0,261816.0,0.6351
2019-03-08,CESC,EQ,696.0,695.0,704.7,682.3,689.0,688.25,692.07,435450,30136380405000.0,15019.0,190853.0,0.4383
2019-03-11,CESC,EQ,688.25,688.0,724.1,688.0,722.8,721.4,713.05,443564,31628325220000.0,12785.0,130815.0,0.2949
