,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,1422,2019-01-03,DBSTOCKBRO,EQ,8.8,8.8,8.8,8.8,8.8,8.8,8.8,15,13200000.0,3,15,1.0
1,1,1,1,1,1,1,1,1423,2019-01-14,DBSTOCKBRO,EQ,8.8,8.8,8.8,8.8,8.8,8.8,8.8,17,14960000.0,3,17,1.0
2,2,2,2,2,2,2,2,1424,2019-01-15,DBSTOCKBRO,EQ,8.8,8.4,8.4,8.4,8.4,8.4,8.4,48,40320000.0,1,48,1.0
3,3,3,3,3,3,3,3,1425,2019-01-17,DBSTOCKBRO,EQ,8.4,8.4,8.4,8.4,8.4,8.4,8.4,105,88200000.0,4,105,1.0
4,4,4,4,4,4,4,4,1426,2019-01-18,DBSTOCKBRO,EQ,8.4,8.4,8.4,8.4,8.4,8.4,8.4,71,59640000.0,3,71,1.0
5,5,5,5,5,5,5,5,1427,2019-01-21,DBSTOCKBRO,EQ,8.4,8.4,8.4,8.4,8.4,8.4,8.4,1,840000.0,1,1,1.0
6,6,6,6,6,6,6,6,1428,2019-01-23,DBSTOCKBRO,EQ,8.4,8.4,8.4,8.4,8.4,8.4,8.4,50,42000000.0,2,50,1.0
7,7,7,7,7,7,7,7,1429,2019-01-24,DBSTOCKBRO,EQ,8.4,8.35,8.35,8.35,8.35,8.35,8.35,20,16700000.0,1,20,1.0
8,8,8,8,8,8,8,8,1430,2019-01-31,DBSTOCKBRO,EQ,8.35,8.35,8.35,8.35,8.35,8.35,8.35,10,8350000.0,1,10,1.0
9,9,9,9,9,9,9,9,1431,2019-02-07,DBSTOCKBRO,EQ,8.35,8.35,8.35,8.35,8.35,8.35,8.35,10,8350000.0,1,10,1.0
10,10,10,10,10,10,10,10,1432,2019-02-08,DBSTOCKBRO,EQ,8.35,8.3,8.3,8.3,8.3,8.3,8.3,45,37350000.0,3,45,1.0
11,11,11,11,11,11,11,11,1433,2019-02-18,DBSTOCKBRO,EQ,8.3,8.3,8.3,8.3,8.3,8.3,8.3,7,5810000.0,1,7,1.0
12,12,12,12,12,12,12,12,1434,2019-02-19,DBSTOCKBRO,EQ,8.3,8.0,8.0,8.0,8.0,8.0,8.0,5,4000000.0,1,5,1.0
13,13,13,13,13,13,13,13,1435,2019-02-21,DBSTOCKBRO,EQ,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6,4800000.0,3,6,1.0
14,14,14,14,14,14,14,14,1436,2019-02-22,DBSTOCKBRO,EQ,8.0,7.95,7.95,7.95,7.95,7.95,7.95,216,171720000.0,4,216,1.0
15,15,15,15,15,15,15,15,1437,2019-02-25,DBSTOCKBRO,EQ,7.95,7.95,7.95,7.95,7.95,7.95,7.95,525,417375000.0,3,525,1.0
16,16,16,16,16,16,16,16,1438,2019-02-26,DBSTOCKBRO,EQ,7.95,7.95,7.95,7.95,7.95,7.95,7.95,80,63600000.0,1,80,1.0
17,17,17,17,17,17,17,17,1439,2019-03-06,DBSTOCKBRO,EQ,7.95,7.95,7.95,7.95,7.95,7.95,7.95,50,39750000.0,1,50,1.0
18,18,18,18,18,18,18,18,1440,2019-03-08,DBSTOCKBRO,EQ,7.95,7.95,7.95,7.95,7.95,7.95,7.95,50,39750000.0,1,50,1.0
19,19,19,19,19,19,19,19,1441,2019-03-12,DBSTOCKBRO,EQ,7.95,7.95,7.95,7.95,7.95,7.95,7.95,3,2385000.0,1,3,1.0
20,20,20,20,20,20,20,20,1442,2019-03-14,DBSTOCKBRO,EQ,7.95,7.95,7.95,7.6,7.6,7.6,7.61,124,94415000.0,2,124,1.0
21,21,21,21,21,21,21,21,1443,2019-03-15,DBSTOCKBRO,EQ,7.6,7.6,7.6,7.6,7.6,7.6,7.6,1392,1057920000.0,1,1392,1.0
22,22,22,22,22,22,22,22,1444,2019-03-18,DBSTOCKBRO,EQ,7.6,7.6,7.6,7.6,7.6,7.6,7.6,13,9880000.0,3,13,1.0
23,23,23,23,23,23,23,23,1445,2019-03-26,DBSTOCKBRO,EQ,7.6,7.6,7.6,7.6,7.6,7.6,7.6,180,136800000.0,1,180,1.0
24,24,24,24,24,24,24,24,1446,2019-03-28,DBSTOCKBRO,EQ,7.6,7.95,7.95,7.6,7.6,7.6,7.83,150,117500000.0,2,150,1.0
25,25,25,25,25,25,25,25,1447,2019-03-29,DBSTOCKBRO,EQ,7.6,7.25,7.95,7.25,7.85,7.85,7.72,1035,798880000.0,8,1025,0.9903
26,26,26,26,26,26,26,26,1448,2019-04-01,DBSTOCKBRO,EQ,7.85,7.8,7.8,7.8,7.8,7.8,7.8,50,39000000.0,1,50,1.0
27,27,27,27,27,27,27,27,1449,2019-04-05,DBSTOCKBRO,EQ,7.8,7.8,7.8,7.8,7.8,7.8,7.8,111,86580000.0,3,111,1.0
28,28,28,28,28,28,28,28,1450,2019-04-09,DBSTOCKBRO,EQ,7.8,7.8,7.8,7.8,7.8,7.8,7.8,5,3900000.0,1,5,1.0
29,29,29,29,29,29,29,29,1451,2019-04-11,DBSTOCKBRO,EQ,7.8,7.5,7.5,7.5,7.5,7.5,7.5,191,143250000.0,4,191,1.0
30,30,30,30,30,30,30,30,1452,2019-04-12,DBSTOCKBRO,EQ,7.5,7.5,7.85,7.2,7.8,7.8,7.53,610,459550000.0,5,560,0.9179999999999999
31,31,31,31,31,31,31,31,1453,2019-04-15,DBSTOCKBRO,EQ,7.8,7.8,7.8,7.8,7.8,7.8,7.8,120,93600000.0,3,120,1.0
32,32,32,32,32,32,32,32,1454,2019-04-16,DBSTOCKBRO,EQ,7.8,7.8,7.8,7.8,7.8,7.8,7.8,30,23400000.0,3,30,1.0
33,33,33,33,33,33,33,33,1455,2019-04-18,DBSTOCKBRO,EQ,7.8,7.8,7.8,7.8,7.8,7.8,7.8,248,193440000.0,3,248,1.0
34,34,34,34,34,34,34,34,1456,2019-04-24,DBSTOCKBRO,EQ,7.8,7.8,8.15,7.45,8.15,8.15,7.83,2759,2159020000.0,11,2704,0.9801
35,35,35,35,35,35,35,35,1457,2019-04-25,DBSTOCKBRO,EQ,8.15,8.15,8.55,8.15,8.55,8.55,8.51,2376,2021440000.0,13,2126,0.8948
36,36,36,36,36,36,36,36,1458,2019-04-26,DBSTOCKBRO,EQ,8.55,8.95,8.95,8.15,8.15,8.15,8.35,2041,1704375000.0,14,1840,0.9015
37,37,37,37,37,37,37,37,1459,2019-04-30,DBSTOCKBRO,EQ,8.15,8.15,8.55,7.75,7.75,8.35,8.45,2613,2207445000.0,10,2527,0.9671
38,38,38,38,38,38,38,38,1460,2019-05-02,DBSTOCKBRO,EQ,8.35,8.75,8.75,8.75,8.75,8.75,8.75,2983,2610125000.0,6,2183,0.7318000000000001
39,39,39,39,39,39,39,39,1461,2019-05-03,DBSTOCKBRO,EQ,8.75,9.15,9.15,8.35,9.15,9.15,9.14,820,749500000.0,8,810,0.9878
40,40,40,40,40,40,40,40,1462,2019-05-06,DBSTOCKBRO,EQ,9.15,9.6,9.6,9.6,9.6,9.6,9.6,792,760320000.0,15,792,1.0
41,41,41,41,41,41,41,41,1463,2019-05-07,DBSTOCKBRO,EQ,9.6,10.05,10.05,9.6,10.05,10.05,10.04,980,983910000.0,15,980,1.0
42,42,42,42,42,42,42,42,1464,2019-05-08,DBSTOCKBRO,EQ,10.05,10.55,10.55,10.05,10.05,10.05,10.42,4399,4583775000.0,45,4399,1.0
43,43,43,43,43,43,43,43,1465,2019-05-09,DBSTOCKBRO,EQ,10.05,9.55,10.55,9.55,9.9,10.1,10.15,10554,10707190000.0,96,8756,0.8296
44,44,44,44,44,44,44,44,1466,2019-05-10,DBSTOCKBRO,EQ,10.1,10.0,10.6,9.6,9.6,9.85,10.01,73473,73559385000.0,128,62335,0.8484
45,45,45,45,45,45,45,45,1467,2019-05-13,DBSTOCKBRO,EQ,9.85,10.2,10.2,9.4,10.05,9.8,9.81,8055,7903770000.0,67,2716,0.3372
46,46,46,46,46,46,46,46,1468,2019-05-14,DBSTOCKBRO,EQ,9.8,9.4,9.8,9.35,9.75,9.5,9.45,788,744395000.0,14,567,0.7195
47,47,47,47,47,47,47,47,1469,2019-05-15,DBSTOCKBRO,EQ,9.5,9.1,9.55,9.05,9.45,9.3,9.06,3157,2859915000.0,16,3149,0.9975
48,48,48,48,48,48,48,48,1470,2019-05-16,DBSTOCKBRO,EQ,9.3,8.85,9.75,8.85,9.7,8.95,9.48,117105,110999585000.00003,85,112881,0.9639
49,49,49,49,49,49,49,49,1471,2019-05-17,DBSTOCKBRO,EQ,8.95,9.3,9.3,8.55,8.55,8.55,8.68,1695,1470575000.0,17,1202,0.7091
50,50,50,50,50,50,50,50,1472,2019-05-20,DBSTOCKBRO,EQ,8.55,8.5,8.95,8.2,8.9,8.9,8.7,211,183615000.0,16,151,0.7156
51,51,51,51,51,51,51,51,1473,2019-05-21,DBSTOCKBRO,EQ,8.9,9.3,9.3,8.5,8.5,8.6,8.72,958,835840000.0,15,838,0.8747
52,52,52,52,52,52,52,52,1474,2019-05-22,DBSTOCKBRO,EQ,8.6,8.2,8.9,8.2,8.9,8.9,8.52,1833,1561560000.0,24,1503,0.8200000000000001
53,53,53,53,53,53,53,53,1475,2019-05-23,DBSTOCKBRO,EQ,8.9,8.9,9.3,8.55,9.3,9.3,9.28,2855,2649890000.0,10,2853,0.9993
54,54,54,54,54,54,54,54,1476,2019-05-24,DBSTOCKBRO,EQ,9.3,9.7,9.7,8.9,9.0,9.0,9.54,690,658010000.0,12,617,0.8942
55,55,55,55,55,55,55,55,1477,2019-05-28,DBSTOCKBRO,EQ,9.0,8.7,9.45,8.55,9.45,9.45,8.63,2651,2287540000.0,12,2650,0.9996
56,56,56,56,56,56,56,56,1478,2019-05-29,DBSTOCKBRO,EQ,9.45,9.45,9.65,9.0,9.0,9.0,9.23,3952,3649365000.0,15,2665,0.6743000000000001
57,57,57,57,57,57,57,57,1479,2019-05-30,DBSTOCKBRO,EQ,9.0,8.55,9.4,8.55,9.4,9.4,9.29,5291,4914250000.0,15,4200,0.7938
58,58,58,58,58,58,58,58,1480,2019-05-31,DBSTOCKBRO,EQ,9.4,9.8,9.8,9.8,9.8,9.8,9.8,1000,980000000.0,9,1000,1.0
59,59,59,59,59,59,59,59,1481,2019-06-03,DBSTOCKBRO,EQ,9.8,9.4,10.25,9.4,10.25,9.45,9.93,1706,1694855000.0,10,1655,0.9701
60,60,60,60,60,60,60,60,1482,2019-06-04,DBSTOCKBRO,EQ,9.45,9.6,9.9,9.1,9.9,9.9,9.89,1317,1302785000.0,15,1098,0.8337000000000001
61,61,61,61,61,61,61,61,1483,2019-06-06,DBSTOCKBRO,EQ,9.9,9.9,10.35,9.45,10.35,10.35,10.33,2227,2299950000.0,15,2027,0.9102
62,62,62,62,62,62,62,62,1484,2019-06-07,DBSTOCKBRO,EQ,10.35,10.85,10.85,9.9,10.85,10.75,10.54,3689,3889300000.0,45,2086,0.5655
63,63,63,63,63,63,63,63,1485,2019-06-10,DBSTOCKBRO,EQ,10.75,11.25,11.25,10.35,10.7,11.15,10.89,3821,4160725000.0,36,2342,0.6129
64,64,64,64,64,64,64,64,1486,2019-06-11,DBSTOCKBRO,EQ,11.15,11.7,11.7,10.7,11.7,11.7,11.22,7262,8150264999.999998,57,4147,0.5711
65,65,65,65,65,65,65,65,1487,2019-06-12,DBSTOCKBRO,EQ,11.7,12.25,12.25,12.0,12.0,12.0,12.17,4560,5548325000.0,41,4560,1.0
66,66,66,66,66,66,66,66,1488,2019-06-13,DBSTOCKBRO,EQ,12.0,12.6,12.6,11.4,11.95,11.95,11.88,14650,17409640000.0,57,11453,0.7818
67,67,67,67,67,67,67,67,1489,2019-06-14,DBSTOCKBRO,EQ,11.95,12.5,12.5,11.4,11.5,11.5,11.62,2942,3419794999.9999995,24,1843,0.6264000000000001
68,68,68,68,68,68,68,68,1490,2019-06-17,DBSTOCKBRO,EQ,11.5,10.95,11.9,10.95,11.3,11.3,11.26,332,373890000.0,11,173,0.5211
69,69,69,69,69,69,69,69,1491,2019-06-18,DBSTOCKBRO,EQ,11.3,11.85,11.85,11.0,11.0,11.0,11.07,1434,1587910000.0,14,1034,0.7211
70,70,70,70,70,70,70,70,1492,2019-06-19,DBSTOCKBRO,EQ,11.0,10.45,11.5,10.45,10.45,10.45,10.66,1079,1150645000.0,15,559,0.5181
