,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,2019-07-30,DCMNVL,EQ,33.5,33.45,33.45,29.0,29.0,30.7,31.95,11177,35713885000.0,107,11063,0.9898
1,1,1,1,1,1,1,1,1,2019-07-31,DCMNVL,EQ,30.7,30.1,30.5,26.2,29.95,28.7,27.69,12771,35366220000.0,105,9553,0.748
2,2,2,2,2,2,2,2,2,2019-08-01,DCMNVL,EQ,28.7,25.2,31.5,25.2,30.0,29.5,28.62,10129,28989095000.0,65,8885,0.8772
3,3,3,3,3,3,3,3,3,2019-08-02,DCMNVL,EQ,29.5,31.0,31.0,27.5,29.0,29.0,29.43,1031,3034355000.0,20,975,0.9457
4,4,4,4,4,4,4,4,4,2019-08-05,DCMNVL,EQ,29.0,27.0,29.0,25.0,27.5,27.5,26.88,1780,4784010000.0,29,1460,0.8201999999999999
5,5,5,5,5,5,5,5,5,2019-08-06,DCMNVL,EQ,27.5,30.5,32.0,27.65,29.0,28.95,28.34,1903,5393040000.0,41,1784,0.9375
6,6,6,6,6,6,6,6,6,2019-08-07,DCMNVL,EQ,28.95,28.05,31.85,27.7,31.8,31.45,29.43,8547,25149910000.0,44,7937,0.9286
7,7,7,7,7,7,7,7,7,2019-08-08,DCMNVL,EQ,31.45,25.2,30.0,25.2,28.0,25.55,25.24,22282,56246544999.999985,143,18220,0.8177
8,8,8,8,8,8,8,8,8,2019-08-09,DCMNVL,EQ,25.55,23.05,30.65,23.0,30.65,30.45,27.96,35247,98560080000.0,230,12553,0.3561
9,9,9,9,9,9,9,9,9,2019-08-13,DCMNVL,EQ,30.45,31.05,35.0,30.0,30.55,30.55,32.32,7988,25818175000.0,112,4150,0.5195000000000001
10,10,10,10,10,10,10,10,10,2019-08-14,DCMNVL,EQ,30.55,30.55,31.9,28.65,29.9,29.05,30.69,5082,15596354999.999996,57,4424,0.8704999999999999
11,11,11,11,11,11,11,11,11,2019-08-16,DCMNVL,EQ,29.05,23.3,31.85,23.3,30.0,29.8,29.73,3900,11593275000.0,51,3880,0.9949
12,12,12,12,12,12,12,12,12,2019-08-19,DCMNVL,EQ,29.8,27.75,31.35,27.75,29.15,28.0,28.29,9534,26975335000.0,46,7406,0.7768
13,13,13,13,13,13,13,13,13,2019-08-20,DCMNVL,EQ,28.0,29.0,29.0,27.1,28.8,28.6,28.08,1217,3417115000.0,37,740,0.6081000000000001
14,14,14,14,14,14,14,14,14,2019-08-21,DCMNVL,EQ,28.6,28.6,29.75,26.0,28.25,28.0,27.65,4692,12974395000.0,72,3923,0.8361000000000001
15,15,15,15,15,15,15,15,15,2019-08-22,DCMNVL,EQ,28.0,22.6,30.9,22.6,28.35,27.85,27.48,7747,21287930000.0,70,6795,0.8771
16,16,16,16,16,16,16,16,16,2019-08-23,DCMNVL,EQ,27.85,25.9,28.65,25.9,28.0,27.9,27.67,4654,12878615000.0,47,4215,0.9057
17,17,17,17,17,17,17,17,17,2019-08-26,DCMNVL,EQ,27.9,31.0,31.0,26.2,30.0,29.4,28.21,13984,39449125000.0,45,12801,0.9154
18,18,18,18,18,18,18,18,18,2019-08-27,DCMNVL,EQ,29.4,30.0,30.85,28.5,29.95,29.4,30.11,11719,35286825000.0,32,8954,0.7641
19,19,19,19,19,19,19,19,19,2019-08-28,DCMNVL,EQ,29.4,28.0,29.5,27.65,28.75,27.95,28.23,9561,26990290000.000004,34,9294,0.9721
20,20,20,20,20,20,20,20,20,2019-08-29,DCMNVL,EQ,27.95,26.05,30.5,26.05,29.45,28.95,27.75,2172,6027860000.0,32,1661,0.7647
21,21,21,21,21,21,21,21,21,2019-08-30,DCMNVL,EQ,28.95,31.7,31.7,27.05,28.2,28.2,27.89,19616,54704275000.0,391,15490,0.7897
22,22,22,22,22,22,22,22,22,2019-09-03,DCMNVL,EQ,28.2,28.2,29.05,26.15,28.5,28.25,28.07,5633,15809940000.0,88,4015,0.7128
