,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,2192,2019-01-01,DEEPIND,EQ,125.95,125.55,127.3,125.15,125.35,125.6,126.1,3988,50289625000.0,197.0,1561,0.3914
1,1,1,1,1,1,1,1,2193,2019-01-02,DEEPIND,EQ,125.6,125.0,128.0,123.0,123.3,123.7,125.16,10171,127301064999.99995,334.0,5641,0.5546
2,2,2,2,2,2,2,2,2194,2019-01-03,DEEPIND,EQ,123.7,124.35,124.65,123.0,123.15,123.65,123.94,4527,56108769999.999985,277.0,2476,0.5468999999999999
3,3,3,3,3,3,3,3,2195,2019-01-04,DEEPIND,EQ,123.65,123.05,124.5,120.35,123.5,123.2,123.05,14033,172679780000.0,291.0,9929,0.7075
4,4,4,4,4,4,4,4,2196,2019-01-07,DEEPIND,EQ,123.2,124.35,126.0,123.5,123.5,123.55,123.85,12431,153955015000.0,291.0,8290,0.6668999999999999
5,5,5,5,5,5,5,5,2197,2019-01-08,DEEPIND,EQ,123.55,123.1,125.5,123.1,124.5,124.0,124.17,6510,80834945000.0,196.0,4339,0.6665000000000001
6,6,6,6,6,6,6,6,2198,2019-01-09,DEEPIND,EQ,124.0,124.5,125.0,123.5,123.75,123.9,124.21,6052,75171090000.0,234.0,4166,0.6884
7,7,7,7,7,7,7,7,2199,2019-01-10,DEEPIND,EQ,123.9,124.45,124.95,122.6,123.55,123.15,123.67,6430,79517690000.0,250.0,4551,0.7078
8,8,8,8,8,8,8,8,2200,2019-01-11,DEEPIND,EQ,123.15,123.05,123.3,121.2,122.85,122.9,122.65,6376,78202400000.0,249.0,3492,0.5477000000000001
9,9,9,9,9,9,9,9,2201,2019-01-14,DEEPIND,EQ,122.9,126.0,126.0,121.2,124.0,123.25,122.7,4017,49287325000.0,223.0,2394,0.596
10,10,10,10,10,10,10,10,2202,2019-01-15,DEEPIND,EQ,123.25,126.5,126.5,119.25,122.0,121.75,121.6,10539,128157414999.99995,377.0,5513,0.5231
