,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,318,2019-01-01,DIXON,EQ,2062.9,2062.9,2073.15,2035.0,2035.0,2043.1,2044.8,3278,670286285000.0,686,1257,0.3835
1,1,1,1,1,1,1,1,319,2019-01-02,DIXON,EQ,2043.1,2050.0,2060.0,2002.05,2005.0,2010.55,2024.34,4520,915003285000.0,924,2008,0.4442
2,2,2,2,2,2,2,2,320,2019-01-03,DIXON,EQ,2010.55,2018.0,2039.55,2004.6,2038.0,2036.25,2030.77,6135,1245878785000.0,1004,2683,0.4373
3,3,3,3,3,3,3,3,321,2019-01-04,DIXON,EQ,2036.25,2038.0,2055.0,2032.65,2041.0,2044.2,2041.64,4901,1000610010000.0,763,2439,0.4977
4,4,4,4,4,4,4,4,322,2019-01-07,DIXON,EQ,2044.2,2060.1,2068.65,1990.0,2011.0,2007.9,2017.28,7517,1516390030000.0,849,5318,0.7075
5,5,5,5,5,5,5,5,323,2019-01-08,DIXON,EQ,2007.9,2010.0,2023.0,1992.05,2011.0,2015.3,2015.43,37927,7643915965000.001,848,3464,0.0913
6,6,6,6,6,6,6,6,324,2019-01-09,DIXON,EQ,2015.3,2021.0,2125.0,2001.0,2090.0,2096.2,2071.9,14257,2953909650000.0,2321,5106,0.35810000000000003
7,7,7,7,7,7,7,7,325,2019-01-10,DIXON,EQ,2096.2,2076.1,2097.0,2070.1,2080.0,2077.6,2081.25,3082,641442635000.0,645,1531,0.4968
8,8,8,8,8,8,8,8,326,2019-01-11,DIXON,EQ,2077.6,2060.0,2094.0,2046.05,2075.0,2061.95,2062.57,2980,614647125000.0,687,1797,0.603
9,9,9,9,9,9,9,9,327,2019-01-14,DIXON,EQ,2061.95,2062.0,2069.75,2040.9,2068.0,2051.2,2050.5,2633,539897880000.0,556,1490,0.5659000000000001
10,10,10,10,10,10,10,10,328,2019-01-15,DIXON,EQ,2051.2,2076.0,2188.7,2069.0,2165.1,2166.9,2149.51,44591,9584871545000.0,7055,10175,0.2282
11,11,11,11,11,11,11,11,329,2019-01-16,DIXON,EQ,2166.9,2168.5,2215.0,2166.75,2209.9,2202.75,2191.32,19000,4163517335000.0,3593,9175,0.4829
12,12,12,12,12,12,12,12,330,2019-01-17,DIXON,EQ,2202.75,2210.0,2210.45,2166.1,2170.25,2180.2,2192.89,6851,1502345570000.0,958,3560,0.5196000000000001
13,13,13,13,13,13,13,13,331,2019-01-18,DIXON,EQ,2180.2,2150.1,2188.0,2150.1,2180.0,2175.9,2176.75,2639,574444515000.0,491,1130,0.4282
