,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4384,2019-01-01,GAEL,EQ,240.35,240.2,242.0,238.25,240.9,240.65,240.51,8180,196735180000.0,494.0,3523.0,0.4307
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4385,2019-01-02,GAEL,EQ,240.65,245.1,249.95,242.95,249.0,248.1,246.74,65520,1616617650000.0,2031.0,16586.0,0.2531
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4386,2019-01-03,GAEL,EQ,248.1,248.4,248.8,242.0,242.0,243.15,244.91,21745,532552260000.0,1161.0,9194.0,0.4228
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4387,2019-01-04,GAEL,EQ,243.15,244.15,244.6,236.2,237.35,237.8,238.43,28875,688479975000.0,1353.0,16045.0,0.5557
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4388,2019-01-07,GAEL,EQ,237.8,239.0,241.85,235.1,235.25,236.55,237.88,33720,802117810000.0,2483.0,20537.0,0.609
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4389,2019-01-08,GAEL,EQ,236.55,237.5,238.75,233.0,236.3,235.8,235.15,43062,1012599680000.0,2576.0,20059.0,0.4658
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4390,2019-01-09,GAEL,EQ,235.8,236.35,237.4,230.0,231.1,232.75,232.06,30294,702999605000.0,1436.0,22964.0,0.758
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4391,2019-01-10,GAEL,EQ,232.75,232.75,232.75,226.6,227.7,228.5,228.98,37628,861588280000.0001,1847.0,24705.0,0.6566
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4392,2019-01-11,GAEL,EQ,228.5,235.0,235.9,204.35,220.0,221.3,218.93,357574,7828408030000.0,8849.0,181817.0,0.5085000000000001
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4393,2019-01-14,GAEL,EQ,221.3,220.9,222.55,216.65,217.75,218.35,219.21,28115,616315840000.0,1768.0,16526.0,0.5878
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4394,2019-01-15,GAEL,EQ,218.35,218.0,222.5,217.95,219.6,219.45,220.31,15371,338642345000.0,925.0,10310.0,0.6707
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4395,2019-01-16,GAEL,EQ,219.45,221.1,223.35,215.35,215.95,217.9,219.32,44089,966939930000.0,2459.0,27154.0,0.6159
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,4396,2019-01-17,GAEL,EQ,217.9,219.0,224.0,215.0,222.0,222.7,219.43,44935,986012020000.0,2028.0,25650.0,0.5708
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,4397,2019-01-18,GAEL,EQ,222.7,223.95,224.0,216.05,216.25,217.6,219.0,24193,529816130000.0,1640.0,13351.0,0.5519
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,4398,2019-01-21,GAEL,EQ,217.6,216.0,220.95,214.85,220.5,219.8,218.5,26200,572474180000.0,1835.0,17711.0,0.6759999999999999
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,4399,2019-01-22,GAEL,EQ,219.8,219.05,219.15,215.1,215.85,216.15,216.63,14942,323687780000.0,1257.0,11199.0,0.7495
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,4400,2019-01-23,GAEL,EQ,216.15,217.5,218.1,210.15,212.1,212.3,214.44,27539,590544255000.0,1464.0,17873.0,0.649
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,4401,2019-01-24,GAEL,EQ,212.3,209.3,217.0,209.3,214.0,215.4,214.95,23459,504261175000.0,2496.0,13151.0,0.5606
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,4402,2019-01-25,GAEL,EQ,215.4,215.4,218.0,205.5,207.0,208.7,212.04,27432,581654925000.0,1702.0,16923.0,0.6169
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,4403,2019-01-28,GAEL,EQ,208.7,208.0,208.0,197.0,199.8,200.3,199.83,49683,992802615000.0,1693.0,33869.0,0.6817000000000001
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,4404,2019-01-29,GAEL,EQ,200.3,198.2,201.15,195.85,196.3,196.6,198.03,18284,362072935000.0,630.0,10777.0,0.5894
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,4405,2019-01-30,GAEL,EQ,196.6,198.95,208.8,194.85,206.5,204.85,201.23,26455,532357200000.0,807.0,13989.0,0.5288
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,4406,2019-01-31,GAEL,EQ,204.85,207.85,209.55,203.0,208.15,208.6,207.94,53814,1119000100000.0,1436.0,42776.0,0.7948999999999999
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,4407,2019-02-01,GAEL,EQ,208.6,209.95,215.95,206.15,214.3,213.5,213.27,32503,693197840000.0,1110.0,22408.0,0.6894
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,4408,2019-02-04,GAEL,EQ,213.5,216.0,234.9,215.6,230.0,230.25,228.17,184298,4205217975000.0,3830.0,98738.0,0.5357999999999999
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4409,2019-02-05,GAEL,EQ,230.25,229.8,235.0,223.0,234.0,234.0,232.04,75832,1759587285000.0002,1914.0,34717.0,0.4578
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,4410,2019-02-06,GAEL,EQ,234.0,236.9,247.0,229.95,241.0,239.1,238.92,74681,1784281564999.9998,2139.0,43278.0,0.5795
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,4411,2019-02-07,GAEL,EQ,239.1,241.8,244.5,231.0,232.6,232.75,239.78,39173,939270610000.0,1363.0,20676.0,0.5278
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,4412,2019-02-08,GAEL,EQ,232.75,228.5,233.95,225.5,231.65,230.95,229.71,33436,768046500000.0,1155.0,15804.0,0.4727000000000001
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,4413,2019-02-11,GAEL,EQ,230.95,231.5,236.7,224.0,224.0,224.85,229.34,28661,657303815000.0,967.0,16459.0,0.5743
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,4414,2019-02-12,GAEL,EQ,224.85,225.55,227.9,218.45,218.8,218.8,222.42,15042,334562635000.0,1825.0,9681.0,0.6436000000000001
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,4415,2019-02-13,GAEL,EQ,218.8,218.8,221.6,214.8,215.95,216.45,216.87,26067,565310735000.0,674.0,18342.0,0.7036
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,4416,2019-02-14,GAEL,EQ,216.45,215.7,219.7,206.35,209.0,209.55,212.89,29949,637575935000.0,3507.0,19661.0,0.6565000000000001
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,4417,2019-02-15,GAEL,EQ,209.55,209.55,213.15,205.5,208.0,208.1,209.43,23575,493729805000.0,578.0,16167.0,0.6858
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,4418,2019-02-18,GAEL,EQ,208.1,208.85,210.15,200.15,202.0,201.8,203.47,12393,252157795000.0001,598.0,7135.0,0.5757
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,4419,2019-02-19,GAEL,EQ,201.8,204.5,212.2,201.0,206.9,206.0,207.2,36482,755890570000.0,841.0,20754.0,0.5689000000000001
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,4420,2019-02-20,GAEL,EQ,206.0,210.95,213.0,205.55,211.0,211.8,210.26,24236,509590085000.0,870.0,15987.0,0.6596
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,4421,2019-02-21,GAEL,EQ,211.8,211.8,216.0,211.0,214.0,214.4,214.56,19782,424439785000.0,344.0,15974.0,0.8075
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,4422,2019-02-22,GAEL,EQ,214.4,214.55,218.1,214.0,216.5,216.45,216.09,18803,406312780000.0,563.0,11686.0,0.6215
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,4423,2019-02-25,GAEL,EQ,216.45,217.0,222.0,213.0,215.0,214.95,217.43,34348,746824040000.0,1215.0,23112.0,0.6729
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4424,2019-02-26,GAEL,EQ,214.95,213.1,220.0,210.0,215.0,215.15,214.55,27130,582083050000.0,908.0,13709.0,0.5053
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,4425,2019-02-27,GAEL,EQ,215.15,220.0,224.35,212.2,216.0,216.45,218.71,50919,1113633720000.0,1635.0,26112.0,0.5128
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,4426,2019-02-28,GAEL,EQ,216.45,217.8,218.4,213.6,217.7,215.8,215.82,26041,562029005000.0,1273.0,15446.0,0.5931000000000001
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,4427,2019-03-01,GAEL,EQ,215.8,218.15,224.95,215.0,224.2,223.8,219.52,51808,1137290320000.0,1582.0,32968.0,0.6363000000000001
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,4428,2019-03-05,GAEL,EQ,223.8,223.0,235.85,223.0,235.0,232.8,231.07,58775,1358137215000.0,1813.0,38261.0,0.6509999999999999
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,4429,2019-03-06,GAEL,EQ,232.8,240.85,245.0,225.2,226.5,227.55,233.39,113307,2644472235000.0,2748.0,65065.0,0.5742
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,4430,2019-03-07,GAEL,EQ,227.55,224.0,229.05,220.0,221.0,221.35,223.9,37897,848499705000.0001,841.0,26168.0,0.6905
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,4431,2019-03-08,GAEL,EQ,221.35,221.0,222.0,216.0,221.45,219.75,219.64,24933,547629805000.0,957.0,11727.0,0.4703
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,4432,2019-03-11,GAEL,EQ,219.75,219.95,229.0,219.35,224.65,223.9,225.62,36787,829999660000.0,786.0,25880.0,0.7034999999999999
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,4433,2019-03-12,GAEL,EQ,223.9,229.0,231.7,226.75,230.0,230.45,229.13,73858,1692307775000.0,2125.0,49966.0,0.6765000000000001
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,4434,2019-03-13,GAEL,EQ,230.45,230.0,232.1,225.0,227.5,229.1,227.54,43950,1000047260000.0,2881.0,25380.0,0.5775
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,4435,2019-03-14,GAEL,EQ,229.1,228.05,229.0,223.85,228.0,226.5,226.31,22620,511908180000.0,1005.0,10967.0,0.4848
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,4436,2019-03-15,GAEL,EQ,226.5,227.0,227.0,222.8,222.85,223.15,223.71,34632,774763325000.0,776.0,26180.0,0.7559
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,4437,2019-03-18,GAEL,EQ,223.15,223.45,226.45,221.0,224.75,224.45,224.29,148232,3324734770000.0,3501.0,130868.0,0.8829000000000001
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,4438,2019-03-19,GAEL,EQ,224.45,224.95,225.45,222.35,224.0,224.5,224.29,95635,2144998370000.0,740.0,91090.0,0.9525
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,4439,2019-03-20,GAEL,EQ,224.5,224.5,224.5,219.55,220.0,220.15,220.05,77147,1697625100000.0,1027.0,71450.0,0.9262
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,4440,2019-03-22,GAEL,EQ,220.15,221.85,222.0,215.45,219.0,217.15,218.82,115200,2520834890000.0,1227.0,104854.0,0.9102
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,4441,2019-03-25,GAEL,EQ,217.15,217.15,218.3,214.2,217.5,216.15,216.37,28667,620273780000.0,885.0,23553.0,0.8216
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,4442,2019-03-26,GAEL,EQ,216.15,220.0,220.65,215.6,217.0,217.95,217.98,27991,610151605000.0,1470.0,20349.0,0.7270000000000001
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,4443,2019-03-27,GAEL,EQ,217.95,219.45,221.0,218.0,220.6,220.0,220.15,180995,3984528760000.0,584.0,175833.0,0.9715
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,4444,2019-03-28,GAEL,EQ,220.0,220.9,225.8,217.0,220.2,217.65,221.56,65598,1453378495000.0,1605.0,45264.0,0.6900000000000001
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,4445,2019-03-29,GAEL,EQ,217.65,217.65,220.75,217.15,219.0,219.7,218.83,27536,602564630000.0,815.0,15289.0,0.5552
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,4446,2019-04-01,GAEL,EQ,219.7,220.9,222.0,220.0,221.9,221.2,221.11,14492,320438995000.0,429.0,8580.0,0.5921000000000001
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,4447,2019-04-02,GAEL,EQ,221.2,221.9,224.0,217.9,220.95,220.55,220.67,49650,1095628865000.0,1630.0,32955.0,0.6637000000000001
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,4448,2019-04-03,GAEL,EQ,220.55,224.6,224.6,220.0,221.5,220.2,221.23,49444,1093829040000.0,2611.0,29332.0,0.5932000000000001
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,4449,2019-04-04,GAEL,EQ,220.2,224.35,224.35,217.25,221.0,221.15,220.35,26151,576243265000.0,837.0,17331.0,0.6627
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,4450,2019-04-05,GAEL,EQ,221.15,221.85,222.35,220.0,220.0,220.15,220.56,14156,312218260000.0,513.0,9040.0,0.6386000000000001
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,4451,2019-04-08,GAEL,EQ,220.15,220.1,221.3,218.05,221.0,220.8,220.09,12864,283125755000.0,818.0,9151.0,0.7114
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,4452,2019-04-09,GAEL,EQ,220.8,220.25,222.5,215.35,216.0,218.0,219.22,45589,999396575000.0,698.0,39185.0,0.8595
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,4453,2019-04-10,GAEL,EQ,218.0,217.4,217.5,214.0,215.0,215.3,215.99,25968,560893885000.0,729.0,18077.0,0.6961
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,4454,2019-04-11,GAEL,EQ,215.3,218.6,218.75,215.3,216.5,216.6,217.03,12238,265606255000.0,436.0,9158.0,0.7483
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,4455,2019-04-12,GAEL,EQ,216.6,219.0,219.0,214.0,217.0,216.15,216.2,16140,348954670000.0,750.0,8867.0,0.5494
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,4456,2019-04-15,GAEL,EQ,216.15,219.0,219.0,215.6,217.45,216.65,216.56,19985,432786015000.0001,1077.0,13994.0,0.7001999999999999
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,4457,2019-04-16,GAEL,EQ,216.65,216.95,221.0,215.05,221.0,219.3,216.56,61601,1334056145000.0,850.0,49574.0,0.8048000000000001
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,4458,2019-04-18,GAEL,EQ,219.3,221.0,221.7,215.0,215.95,215.45,218.39,25955,566828450000.0,746.0,14209.0,0.5474
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,4459,2019-04-22,GAEL,EQ,215.45,217.7,217.7,209.3,215.0,213.45,213.3,23001,490610545000.0,820.0,15436.0,0.6711
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,4460,2019-04-23,GAEL,EQ,213.45,214.7,215.5,211.0,213.15,212.0,212.93,6847,145790320000.0,265.0,3808.0,0.5562
