,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,3024,2019-01-01,GPIL,EQ,292.9,292.0,295.9,275.1,288.0,287.2,288.94,81635,2358772060000.0,2224.0,32212,0.3946
1,1,1,1,1,1,1,1,3025,2019-01-02,GPIL,EQ,287.2,285.0,289.4,275.0,278.1,278.2,281.07,70227,1973839040000.0,2479.0,38764,0.552
2,2,2,2,2,2,2,2,3026,2019-01-03,GPIL,EQ,278.2,278.35,282.6,268.7,270.0,270.5,275.2,35040,964297635000.0,1019.0,19049,0.5436
3,3,3,3,3,3,3,3,3027,2019-01-04,GPIL,EQ,270.5,270.1,278.05,266.6,269.0,269.55,269.73,60978,1644765545000.0,1123.0,37167,0.6095
4,4,4,4,4,4,4,4,3028,2019-01-07,GPIL,EQ,269.55,274.9,279.85,258.8,261.35,260.4,268.37,90166,2419796790000.0,2126.0,64605,0.7165
5,5,5,5,5,5,5,5,3029,2019-01-08,GPIL,EQ,260.4,264.0,269.4,258.95,260.0,260.45,264.29,57916,1530633170000.0,1294.0,34481,0.5954
6,6,6,6,6,6,6,6,3030,2019-01-09,GPIL,EQ,260.45,265.0,265.0,249.1,250.95,250.65,254.13,66968,1701859785000.0002,1680.0,43226,0.6455
7,7,7,7,7,7,7,7,3031,2019-01-10,GPIL,EQ,250.65,253.0,254.0,247.6,251.0,250.05,250.47,55905,1400264455000.0,1766.0,37897,0.6779000000000001
8,8,8,8,8,8,8,8,3032,2019-01-11,GPIL,EQ,250.05,251.0,255.0,244.0,246.0,247.45,250.57,40419,1012782455000.0,967.0,25708,0.636
9,9,9,9,9,9,9,9,3033,2019-01-14,GPIL,EQ,247.45,247.45,249.45,240.2,242.8,241.85,243.72,41112,1002001680000.0,1067.0,23659,0.5755
10,10,10,10,10,10,10,10,3034,2019-01-15,GPIL,EQ,241.85,246.3,255.3,242.9,248.0,248.5,249.94,115442,2885378045000.0,2353.0,37967,0.3289
11,11,11,11,11,11,11,11,3035,2019-01-16,GPIL,EQ,248.5,247.0,261.5,247.0,251.0,251.6,254.2,112505,2859919130000.0,3182.0,36681,0.326
12,12,12,12,12,12,12,12,3036,2019-01-17,GPIL,EQ,251.6,253.75,258.05,248.7,251.9,250.0,252.64,36645,925805875000.0,1251.0,17799,0.4857
13,13,13,13,13,13,13,13,3037,2019-01-18,GPIL,EQ,250.0,251.9,254.0,243.95,246.75,244.95,247.46,27319,676029430000.0,1055.0,16807,0.6152000000000001
14,14,14,14,14,14,14,14,3038,2019-01-21,GPIL,EQ,244.95,246.0,246.15,227.3,228.7,229.65,234.63,63011,1478455495000.0,1601.0,41124,0.6526000000000001
15,15,15,15,15,15,15,15,3039,2019-01-22,GPIL,EQ,229.65,230.25,232.4,220.0,223.1,223.45,224.98,72937,1640902920000.0,2148.0,40752,0.5587
16,16,16,16,16,16,16,16,3040,2019-01-23,GPIL,EQ,223.45,223.9,227.5,206.0,207.5,208.05,211.94,129724,2749362345000.0,3646.0,68538,0.5283
17,17,17,17,17,17,17,17,3041,2019-01-24,GPIL,EQ,208.05,208.5,210.55,191.45,201.95,199.5,198.75,194825,3872183165000.0,5121.0,96723,0.4965
18,18,18,18,18,18,18,18,3042,2019-01-25,GPIL,EQ,199.5,197.1,224.2,196.2,206.7,209.35,211.14,268999,5679617750000.0,8883.0,90881,0.33780000000000004
19,19,19,19,19,19,19,19,3043,2019-01-28,GPIL,EQ,209.35,209.0,214.8,204.6,211.2,211.0,207.97,86230,1793335085000.0002,1570.0,54441,0.6313000000000001
20,20,20,20,20,20,20,20,3044,2019-01-29,GPIL,EQ,211.0,213.9,213.9,205.05,206.95,206.95,208.55,47138,983057750000.0,1367.0,19307,0.4096
21,21,21,21,21,21,21,21,3045,2019-01-30,GPIL,EQ,206.95,210.05,218.0,206.15,218.0,215.5,212.45,63524,1349559910000.0,1743.0,31437,0.4949
22,22,22,22,22,22,22,22,3046,2019-01-31,GPIL,EQ,215.5,213.25,236.0,213.25,231.0,232.45,227.23,190110,4319783745000.0015,5382.0,72111,0.3793
23,23,23,23,23,23,23,23,3047,2019-02-01,GPIL,EQ,232.45,237.4,241.65,225.0,228.95,228.85,233.2,78411,1828534510000.0,2231.0,40131,0.5118
24,24,24,24,24,24,24,24,3048,2019-02-04,GPIL,EQ,228.85,225.0,229.15,212.6,213.6,216.25,222.34,62777,1395756200000.0,1765.0,39400,0.6276
25,25,25,25,25,25,25,25,3049,2019-02-05,GPIL,EQ,216.25,219.0,219.0,205.0,205.7,205.8,208.9,61309,1280728410000.0,1781.0,38845,0.6336
26,26,26,26,26,26,26,26,3050,2019-02-06,GPIL,EQ,205.8,208.0,225.6,206.2,223.7,221.55,215.97,88411,1909452315000.0,2944.0,39759,0.4497
27,27,27,27,27,27,27,27,3051,2019-02-07,GPIL,EQ,221.55,222.0,254.8,222.0,234.05,232.65,238.51,127155,3032740955000.0,4030.0,55411,0.4358
28,28,28,28,28,28,28,28,3052,2019-02-08,GPIL,EQ,232.65,232.15,242.5,228.0,229.15,230.65,235.82,45973,1084113800000.0,1357.0,27895,0.6068
29,29,29,29,29,29,29,29,3053,2019-02-11,GPIL,EQ,230.65,228.45,247.95,228.45,240.0,239.7,239.19,126015,3014200230000.0,3821.0,54340,0.4312
30,30,30,30,30,30,30,30,3054,2019-02-12,GPIL,EQ,239.7,241.45,264.0,234.9,258.1,255.4,253.02,218763,5535082315000.0,5682.0,81121,0.3708
31,31,31,31,31,31,31,31,3055,2019-02-13,GPIL,EQ,255.4,260.0,262.05,245.55,247.5,246.55,253.28,82030,2077641105000.0,2457.0,39018,0.4757
32,32,32,32,32,32,32,32,3056,2019-02-14,GPIL,EQ,246.55,240.1,253.9,230.1,247.3,246.8,243.28,87748,2134743465000.0,2598.0,33370,0.3803
33,33,33,33,33,33,33,33,3057,2019-02-15,GPIL,EQ,246.8,248.8,256.55,241.9,252.0,252.75,251.32,90638,2277873800000.0,2360.0,50398,0.556
34,34,34,34,34,34,34,34,3058,2019-02-18,GPIL,EQ,252.75,252.95,258.25,243.6,248.45,249.55,249.47,95636,2385860975000.0,1989.0,62867,0.6574
35,35,35,35,35,35,35,35,3059,2019-02-19,GPIL,EQ,249.55,247.1,254.4,247.1,251.0,249.3,251.05,37977,953424355000.0,1436.0,18039,0.475
36,36,36,36,36,36,36,36,3060,2019-02-20,GPIL,EQ,249.3,250.8,263.15,250.8,256.0,255.15,257.36,90312,2324309115000.0,2096.0,48029,0.5318
37,37,37,37,37,37,37,37,3061,2019-02-21,GPIL,EQ,255.15,246.0,262.0,246.0,253.0,255.4,253.78,127594,3238132425000.0,3954.0,59664,0.4676
38,38,38,38,38,38,38,38,3062,2019-02-22,GPIL,EQ,255.4,253.0,267.4,245.5,258.5,259.45,259.18,223146,5783539785000.0,4620.0,111541,0.4999
39,39,39,39,39,39,39,39,3063,2019-02-25,GPIL,EQ,259.45,261.4,264.05,254.6,259.25,259.15,259.04,102962,2667094620000.0,1907.0,56360,0.5474
40,40,40,40,40,40,40,40,3064,2019-02-26,GPIL,EQ,259.15,255.95,257.0,248.55,255.1,253.95,253.03,66299,1677574275000.0,2587.0,33120,0.4996
41,41,41,41,41,41,41,41,3065,2019-02-27,GPIL,EQ,253.95,256.0,265.9,247.05,250.5,250.75,256.62,100015,2566621735000.0,2696.0,35964,0.35960000000000003
