,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,5527,2019-01-01,HARRMALAYA,EQ,85.65,85.45,86.0,84.3,84.8,84.8,84.97,30649,260412710000.0,431.0,10712.0,0.34950000000000003
1,1,1,1,1,1,1,1,5528,2019-01-02,HARRMALAYA,EQ,84.8,84.2,84.85,82.1,82.55,82.65,83.38,25548,213014825000.0,339.0,14840.0,0.5809000000000001
2,2,2,2,2,2,2,2,5529,2019-01-03,HARRMALAYA,EQ,82.65,82.65,83.85,81.85,82.3,82.2,82.51,11901,98199550000.0,162.0,5972.0,0.5018
3,3,3,3,3,3,3,3,5530,2019-01-04,HARRMALAYA,EQ,82.2,82.2,84.0,81.0,82.05,81.95,82.35,24692,203350510000.0,357.0,12492.0,0.5059
4,4,4,4,4,4,4,4,5531,2019-01-07,HARRMALAYA,EQ,81.95,82.15,82.95,81.8,81.85,81.95,82.29,9666,79545555000.0,186.0,4062.0,0.4202
5,5,5,5,5,5,5,5,5532,2019-01-08,HARRMALAYA,EQ,81.95,82.3,82.65,81.7,81.7,81.8,82.07,10159,83370155000.0,126.0,5231.0,0.5149
6,6,6,6,6,6,6,6,5533,2019-01-09,HARRMALAYA,EQ,81.8,82.85,82.9,81.1,81.1,81.35,81.92,17917,146780025000.0,279.0,6791.0,0.379
7,7,7,7,7,7,7,7,5534,2019-01-10,HARRMALAYA,EQ,81.35,81.85,82.4,81.3,81.55,81.6,81.84,18942,155020520000.0,298.0,6036.0,0.31870000000000004
8,8,8,8,8,8,8,8,5535,2019-01-11,HARRMALAYA,EQ,81.6,83.2,85.95,82.8,84.05,84.1,84.77,99072,839854910000.0,1264.0,49455.0,0.4992
9,9,9,9,9,9,9,9,5536,2019-01-14,HARRMALAYA,EQ,84.1,84.85,84.85,82.1,82.55,82.9,83.15,10319,85802690000.0,258.0,5380.0,0.5214
10,10,10,10,10,10,10,10,5537,2019-01-15,HARRMALAYA,EQ,82.9,83.1,83.1,82.0,82.9,82.75,82.79,15203,125858210000.00005,141.0,9221.0,0.6065
11,11,11,11,11,11,11,11,5538,2019-01-16,HARRMALAYA,EQ,82.75,82.9,84.0,82.2,82.65,82.55,82.9,10593,87812060000.0,141.0,5202.0,0.4911
12,12,12,12,12,12,12,12,5539,2019-01-17,HARRMALAYA,EQ,82.55,83.0,83.7,80.25,81.7,81.55,81.85,23011,188346865000.0,553.0,9579.0,0.4163000000000001
