,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2232,2019-01-01,HINDCOPPER,EQ,52.45,52.5,52.7,51.7,52.0,52.1,52.24,978575,5111999530000.0,4613.0,241206,0.2465
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2233,2019-01-02,HINDCOPPER,EQ,52.1,51.6,51.7,50.55,50.6,50.8,51.19,486138,2488307195000.0,2969.0,226586,0.4661
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2234,2019-01-03,HINDCOPPER,EQ,50.8,50.5,50.85,49.8,50.3,50.3,50.33,523088,2632529815000.0,2992.0,183464,0.3507
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2235,2019-01-04,HINDCOPPER,EQ,50.3,50.1,50.65,49.5,49.95,50.1,50.04,517797,2591286130000.0,3185.0,160230,0.3094
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2236,2019-01-07,HINDCOPPER,EQ,50.1,50.85,51.2,50.15,50.2,50.4,50.69,574353,2911354655000.0,4371.0,146628,0.2553
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2237,2019-01-08,HINDCOPPER,EQ,50.4,50.4,50.7,49.65,50.15,49.95,50.07,277462,1389338215000.0,2287.0,114093,0.4112
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2238,2019-01-09,HINDCOPPER,EQ,49.95,50.2,50.45,49.3,49.5,49.6,49.85,406039,2023937445000.0,2951.0,158348,0.39
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2239,2019-01-10,HINDCOPPER,EQ,49.6,49.65,49.65,49.05,49.2,49.2,49.31,375422,1851122330000.0,2624.0,152396,0.4059
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2240,2019-01-11,HINDCOPPER,EQ,49.2,49.7,50.2,49.25,49.4,49.45,49.67,449836,2234347610000.0,2647.0,118906,0.2643
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2241,2019-01-14,HINDCOPPER,EQ,49.45,49.25,49.75,48.5,49.5,49.35,49.1,479828,2355827005000.0,3254.0,103596,0.2159
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2242,2019-01-15,HINDCOPPER,EQ,49.35,49.75,50.2,49.35,49.45,49.55,49.69,345564,1717111445000.0,2546.0,121871,0.3527
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2243,2019-01-16,HINDCOPPER,EQ,49.55,49.75,50.8,49.6,50.2,50.1,50.21,562962,2826434135000.0,3089.0,239981,0.4263
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2244,2019-01-17,HINDCOPPER,EQ,50.1,50.3,50.55,49.5,49.65,49.85,49.99,257293,1286120665000.0,2054.0,108406,0.4213
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2245,2019-01-18,HINDCOPPER,EQ,49.85,49.85,50.05,48.9,49.05,49.15,49.35,320340,1580894320000.0,2098.0,150386,0.4695
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2246,2019-01-21,HINDCOPPER,EQ,49.15,49.5,49.6,48.5,48.9,48.65,48.84,461393,2253450810000.0,3341.0,139427,0.3022
