,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,259,2019-01-01,ICICILOVOL,EQ,87.66,87.0,87.52,87.0,87.52,87.52,87.23,210,1831912000.0,9,208,0.9905
1,1,1,1,1,1,1,1,260,2019-01-02,ICICILOVOL,EQ,87.52,87.0,87.49,86.61,86.61,86.61,87.12,36,313614000.0,7,34,0.9444
2,2,2,2,2,2,2,2,261,2019-01-03,ICICILOVOL,EQ,86.61,86.85,86.85,85.63,85.93,85.93,86.72,11630,100853893000.0,9,11628,0.9998
3,3,3,3,3,3,3,3,262,2019-01-04,ICICILOVOL,EQ,85.93,85.89,85.97,85.89,85.89,85.89,85.9,49,420901000.0,4,49,1.0
4,4,4,4,4,4,4,4,263,2019-01-07,ICICILOVOL,EQ,85.89,86.24,86.74,86.24,86.54,86.54,86.52,10181,88085619000.0,31,174,0.0171
5,5,5,5,5,5,5,5,264,2019-01-08,ICICILOVOL,EQ,86.54,86.55,86.55,85.83,86.45,86.45,86.36,348,3005416000.0,11,326,0.9368
6,6,6,6,6,6,6,6,265,2019-01-09,ICICILOVOL,EQ,86.45,86.72,86.72,86.06,86.46,86.46,86.21,110,948338000.0,11,92,0.8364
7,7,7,7,7,7,7,7,266,2019-01-10,ICICILOVOL,EQ,86.46,86.45,86.57,86.34,86.34,86.34,86.45,120,1037413000.0,9,120,1.0
8,8,8,8,8,8,8,8,267,2019-01-11,ICICILOVOL,EQ,86.34,86.47,86.47,85.99,85.99,85.99,86.39,14662,126659002000.0,7,14662,1.0
9,9,9,9,9,9,9,9,268,2019-01-14,ICICILOVOL,EQ,85.99,85.71,85.75,85.21,85.75,85.74,85.57,654,5596226000.0,16,445,0.6804000000000001
10,10,10,10,10,10,10,10,269,2019-01-15,ICICILOVOL,EQ,85.74,86.44,86.56,86.25,86.25,86.25,86.27,2167,18694448000.0,6,2000,0.9229
11,11,11,11,11,11,11,11,270,2019-01-16,ICICILOVOL,EQ,86.25,86.61,87.03,86.61,86.79,86.79,86.75,363,3149204000.0,17,235,0.6474
