,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3347,2019-01-01,IIFL,EQ,504.2,505.0,505.0,495.5,498.0,499.9,500.33,40446,2023639630000.0,2434.0,28074.0,0.6940999999999999
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3348,2019-01-02,IIFL,EQ,499.9,502.0,504.0,495.1,498.0,499.0,498.36,21752,1084022550000.0,1806.0,9053.0,0.4162
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3349,2019-01-03,IIFL,EQ,499.0,499.85,510.0,496.3,507.5,507.4,505.77,49805,2518984170000.0,4785.0,17689.0,0.3552
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3350,2019-01-04,IIFL,EQ,507.4,507.0,508.5,495.0,499.0,501.1,500.07,25514,1275872490000.0,2097.0,11851.0,0.4645
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3351,2019-01-07,IIFL,EQ,501.1,505.0,508.65,488.35,490.2,494.3,496.18,244089,12111156775000.0,2820.0,229633.0,0.9408
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3352,2019-01-08,IIFL,EQ,494.3,499.0,499.0,479.05,480.0,481.85,486.5,48656,2367100745000.0,2786.0,27844.0,0.5723
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3353,2019-01-09,IIFL,EQ,481.85,482.1,490.8,476.1,482.0,482.4,484.5,34131,1653652305000.0,2741.0,16103.0,0.4718
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3354,2019-01-10,IIFL,EQ,482.4,482.0,490.75,475.0,475.35,475.85,482.5,40352,1946985385000.0,3505.0,26076.0,0.6462000000000001
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3355,2019-01-11,IIFL,EQ,475.85,480.0,483.0,471.0,473.0,475.9,476.24,22228,1058596630000.0,1735.0,10852.0,0.4882
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3356,2019-01-14,IIFL,EQ,475.9,475.9,475.9,465.05,466.1,469.0,470.69,56589,2663608355000.0,4219.0,35949.0,0.6353
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3357,2019-01-15,IIFL,EQ,469.0,470.2,482.0,464.65,470.2,470.9,472.52,37695,1781162614999.9998,2192.0,20646.0,0.5477000000000001
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3358,2019-01-16,IIFL,EQ,470.9,474.0,479.25,472.15,474.0,473.85,474.36,48498,2300542890000.0,8556.0,34926.0,0.7202
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,3359,2019-01-17,IIFL,EQ,473.85,471.95,479.5,460.05,460.05,461.85,468.72,47579,2230124435000.0,3454.0,29707.0,0.6244
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,3360,2019-01-18,IIFL,EQ,461.85,466.9,466.9,449.95,456.5,454.75,457.21,55759,2549333180000.0,3553.0,26156.0,0.4691
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,3361,2019-01-21,IIFL,EQ,454.75,457.0,462.65,449.4,449.4,451.25,454.61,24265,1103113750000.0,893.0,16274.0,0.6707
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3362,2019-01-22,IIFL,EQ,451.25,454.1,458.55,426.35,436.15,442.5,451.54,231721,10463237500000.0,4671.0,177091.0,0.7642
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,3363,2019-01-23,IIFL,EQ,442.5,436.7,439.0,425.0,427.05,428.0,432.19,55663,2405721920000.0,3421.0,27851.0,0.5004
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,3364,2019-01-24,IIFL,EQ,428.0,427.85,459.0,427.85,445.15,448.6,438.45,300722,13185031900000.0,9562.0,212544.0,0.7068000000000001
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,3365,2019-01-25,IIFL,EQ,448.6,445.0,460.0,430.0,450.0,439.6,444.65,229810,10218407225000.0,8466.0,192756.0,0.8388
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,3366,2019-01-28,IIFL,EQ,439.6,441.95,441.95,424.3,427.1,429.7,429.82,143963,6187872515000.0,4869.0,94410.0,0.6558
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3367,2019-01-29,IIFL,EQ,429.7,428.0,442.55,428.0,440.0,438.2,435.65,69301,3019084650000.0,5142.0,34904.0,0.5037
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,3368,2019-01-30,IIFL,EQ,438.2,440.0,458.0,436.2,449.0,450.4,447.4,83104,3718064005000.0,8245.0,53179.0,0.6399
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,3369,2019-01-31,IIFL,EQ,450.4,441.2,447.5,425.3,432.95,429.8,435.2,99901,4347730820000.0015,9905.0,51560.0,0.5161
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,3370,2019-02-01,IIFL,EQ,429.8,427.05,439.35,415.15,418.25,419.1,421.3,100705,4242702830000.0,4351.0,74104.0,0.7359
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,3371,2019-02-04,IIFL,EQ,419.1,417.05,420.7,372.25,381.2,381.9,389.36,260590,10146351080000.0,15318.0,111444.0,0.4277
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3372,2019-02-05,IIFL,EQ,381.9,386.1,387.15,317.9,382.2,379.7,369.5,213617,7893155655000.0,13401.0,81307.0,0.3806000000000001
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,3373,2019-02-06,IIFL,EQ,379.7,382.0,383.25,365.0,380.0,376.4,376.12,124197,4671257390000.0,8585.0,54174.0,0.4362
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,3374,2019-02-07,IIFL,EQ,376.4,376.0,388.55,373.5,377.0,378.3,378.89,149785,5675275995000.0,20907.0,105343.0,0.7033
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,3375,2019-02-08,IIFL,EQ,378.3,380.0,380.0,356.05,359.4,360.2,362.69,107134,3885676510000.0,9540.0,58355.0,0.5447
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,3376,2019-02-11,IIFL,EQ,360.2,365.05,365.05,322.3,324.25,328.8,334.51,193523,6473599435000.0,7852.0,114160.0,0.5899
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3377,2019-02-12,IIFL,EQ,328.8,330.0,330.5,297.0,311.25,317.5,314.48,2161934,67987943750000.0,30621.0,1532831.0,0.7090000000000001
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,3378,2019-02-13,IIFL,EQ,317.5,320.0,333.9,315.55,330.2,330.2,327.08,237579,7770658109999.999,8246.0,128018.0,0.5388000000000001
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,3379,2019-02-14,IIFL,EQ,330.2,334.85,383.9,331.0,376.0,378.4,361.58,671919,24295382125000.0,31739.0,255929.0,0.3809
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,3380,2019-02-15,IIFL,EQ,378.4,370.2,390.6,358.05,377.0,380.35,377.82,309568,11696016580000.0,16691.0,74877.0,0.2419000000000001
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,3381,2019-02-18,IIFL,EQ,380.35,382.0,385.15,351.05,352.0,358.85,366.29,93566,3427264335000.0,7574.0,38071.0,0.4069
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,3382,2019-02-19,IIFL,EQ,358.85,358.1,378.5,352.55,365.05,370.15,365.38,138038,5043660380000.0,7686.0,51096.0,0.3702
