,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,1724,2019-01-01,INDOTHAI,EQ,34.45,34.15,35.75,32.45,34.3,34.3,33.56,4448,14929160000.0,67,1936,0.4353
1,1,1,1,1,1,1,1,1725,2019-01-02,INDOTHAI,EQ,34.3,34.0,35.5,33.75,35.4,35.25,35.05,2836,9941105000.0,62,1934,0.6819
2,2,2,2,2,2,2,2,1726,2019-01-03,INDOTHAI,EQ,35.25,34.6,35.9,34.4,35.1,34.65,34.95,4536,15854770000.000004,39,3980,0.8774
3,3,3,3,3,3,3,3,1727,2019-01-04,INDOTHAI,EQ,34.65,35.4,35.4,34.5,34.9,34.9,34.78,1429,4970615000.0,22,1419,0.993
4,4,4,4,4,4,4,4,1728,2019-01-07,INDOTHAI,EQ,34.9,34.6,35.3,34.5,35.0,35.0,35.11,1678,5890665000.0,20,1553,0.9255
5,5,5,5,5,5,5,5,1729,2019-01-08,INDOTHAI,EQ,35.0,34.95,34.95,34.25,34.95,34.95,34.54,202,697775000.0,19,150,0.7426
6,6,6,6,6,6,6,6,1730,2019-01-09,INDOTHAI,EQ,34.95,34.6,34.9,34.2,34.9,34.9,34.79,2428,8446425000.0,18,2275,0.937
7,7,7,7,7,7,7,7,1731,2019-01-10,INDOTHAI,EQ,34.9,34.6,34.6,33.6,33.6,33.95,34.21,9899,33859560000.0,63,5325,0.5379
8,8,8,8,8,8,8,8,1732,2019-01-11,INDOTHAI,EQ,33.95,34.7,34.7,33.75,33.8,33.8,33.86,1293,4378645000.0,41,1001,0.7742
9,9,9,9,9,9,9,9,1733,2019-01-14,INDOTHAI,EQ,33.8,34.6,34.85,33.2,33.85,33.9,33.81,1476,4990790000.0,55,793,0.5373
10,10,10,10,10,10,10,10,1734,2019-01-15,INDOTHAI,EQ,33.9,34.55,34.55,33.7,33.7,34.05,34.24,295,1010140000.0,14,174,0.5898
11,11,11,11,11,11,11,11,1735,2019-01-16,INDOTHAI,EQ,34.05,34.6,35.0,33.75,34.15,34.15,34.71,4581,15900585000.0,44,4084,0.8915000000000001
12,12,12,12,12,12,12,12,1736,2019-01-17,INDOTHAI,EQ,34.15,33.6,35.95,33.6,34.9,34.8,34.54,4885,16874890000.0,83,2676,0.5478000000000001
13,13,13,13,13,13,13,13,1737,2019-01-18,INDOTHAI,EQ,34.8,34.65,34.65,33.05,33.35,33.45,33.95,4551,15452715000.0,108,3743,0.8225
14,14,14,14,14,14,14,14,1738,2019-01-21,INDOTHAI,EQ,33.45,33.1,33.1,30.2,30.65,30.85,31.11,59601,185398550000.0,515,46979,0.7881999999999999
15,15,15,15,15,15,15,15,1739,2019-01-22,INDOTHAI,EQ,30.85,32.45,32.45,27.1,29.25,28.6,28.43,78820,224104025000.0,595,54704,0.6940000000000001
16,16,16,16,16,16,16,16,1740,2019-01-23,INDOTHAI,EQ,28.6,29.95,29.95,27.7,28.15,28.3,28.48,5188,14774985000.0,98,3040,0.5860000000000001
17,17,17,17,17,17,17,17,1741,2019-01-24,INDOTHAI,EQ,28.3,28.55,29.6,27.65,28.55,28.65,28.84,43028,124111739999.99995,110,41605,0.9669
18,18,18,18,18,18,18,18,1742,2019-01-25,INDOTHAI,EQ,28.65,30.0,30.0,27.55,27.55,28.15,28.57,5459,15597645000.000004,104,3394,0.6217
19,19,19,19,19,19,19,19,1743,2019-01-28,INDOTHAI,EQ,28.15,28.05,29.35,26.2,28.4,28.15,27.8,7157,19896165000.0,107,5427,0.7583
20,20,20,20,20,20,20,20,1744,2019-01-29,INDOTHAI,EQ,28.15,28.05,29.1,27.6,28.55,28.7,28.64,17092,48949755000.0,99,12761,0.7465999999999999
21,21,21,21,21,21,21,21,1745,2019-01-30,INDOTHAI,EQ,28.7,29.45,29.45,28.35,29.0,28.9,28.69,2245,6441715000.0,35,1705,0.7595000000000001
22,22,22,22,22,22,22,22,1746,2019-01-31,INDOTHAI,EQ,28.9,28.95,28.95,27.8,27.9,28.25,28.44,1758,5000540000.0,60,1103,0.6274000000000001
23,23,23,23,23,23,23,23,1747,2019-02-01,INDOTHAI,EQ,28.25,28.05,30.8,27.55,28.7,28.5,28.78,4394,12645180000.0,100,2807,0.6388
24,24,24,24,24,24,24,24,1748,2019-02-04,INDOTHAI,EQ,28.5,28.05,30.0,27.95,29.35,29.5,29.55,28129,83117130000.0,83,22270,0.7917000000000001
25,25,25,25,25,25,25,25,1749,2019-02-05,INDOTHAI,EQ,29.5,29.05,29.05,28.45,29.05,28.95,28.77,828,2382135000.0,41,345,0.4167
26,26,26,26,26,26,26,26,1750,2019-02-06,INDOTHAI,EQ,28.95,28.65,29.6,26.75,27.0,27.0,27.34,6937,18964860000.0,129,6317,0.9106
27,27,27,27,27,27,27,27,1751,2019-02-07,INDOTHAI,EQ,27.0,26.95,28.5,26.9,27.55,27.55,27.55,35095,96674915000.0,109,32773,0.9338
28,28,28,28,28,28,28,28,1752,2019-02-08,INDOTHAI,EQ,27.55,27.5,29.55,27.5,28.95,28.95,28.87,5140,14841029999.999996,35,4610,0.8969
29,29,29,29,29,29,29,29,1753,2019-02-11,INDOTHAI,EQ,28.95,29.25,29.25,28.05,28.75,28.65,28.38,1596,4528820000.0,55,741,0.4643
30,30,30,30,30,30,30,30,1754,2019-02-12,INDOTHAI,EQ,28.65,29.0,29.0,27.95,28.5,28.5,28.15,4521,12727210000.0,32,3928,0.8688
31,31,31,31,31,31,31,31,1755,2019-02-13,INDOTHAI,EQ,28.5,29.5,29.5,27.25,28.65,28.65,28.37,1204,3415455000.0000005,29,1010,0.8389
32,32,32,32,32,32,32,32,1756,2019-02-14,INDOTHAI,EQ,28.65,28.8,28.8,27.65,27.8,27.8,27.88,1510,4210295000.0,45,1253,0.8298000000000001
33,33,33,33,33,33,33,33,1757,2019-02-15,INDOTHAI,EQ,27.8,27.65,29.3,27.65,28.75,28.75,28.97,3497,10132555000.0,31,3307,0.9457
