,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1805,2019-01-01,INDOWIND,EQ,5.6,5.7,6.15,5.6,6.15,6.1,6.02,92614,55709490000.0,135.0,47209,0.5097
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1806,2019-01-02,INDOWIND,EQ,6.1,6.2,6.4,5.9,5.95,5.9,6.06,89601,54260044999.999985,192.0,28128,0.3139
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1807,2019-01-03,INDOWIND,EQ,5.9,6.0,6.0,5.8,5.8,5.8,5.88,13727,8067255000.0,32.0,10451,0.7613
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1808,2019-01-04,INDOWIND,EQ,5.8,5.7,5.9,5.7,5.9,5.85,5.84,12177,7115950000.0,53.0,10586,0.8693000000000001
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1809,2019-01-07,INDOWIND,EQ,5.85,5.85,5.95,5.8,5.8,5.85,5.9,23743,13998695000.000002,58.0,21933,0.9238
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1810,2019-01-08,INDOWIND,EQ,5.85,5.7,5.95,5.7,5.85,5.85,5.82,20536,11947820000.0,63.0,13319,0.6486
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1811,2019-01-09,INDOWIND,EQ,5.85,5.75,6.0,5.75,5.8,5.85,5.9,16131,9523760000.0,64.0,12320,0.7637
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1812,2019-01-10,INDOWIND,EQ,5.85,5.85,5.85,5.6,5.8,5.8,5.72,28349,16205315000.0,87.0,22501,0.7937000000000001
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1813,2019-01-11,INDOWIND,EQ,5.8,5.85,5.85,5.65,5.75,5.7,5.74,33456,19192475000.0,96.0,18758,0.5607
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1814,2019-01-14,INDOWIND,EQ,5.7,5.7,5.75,5.15,5.15,5.25,5.35,106078,56774375000.0,262.0,82579,0.7785
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1815,2019-01-15,INDOWIND,EQ,5.25,5.35,5.65,5.25,5.5,5.45,5.46,93152,50816265000.0,282.0,39703,0.4262
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1816,2019-01-16,INDOWIND,EQ,5.45,5.5,5.6,5.05,5.6,5.6,5.5,27000,14848995000.000004,126.0,21407,0.7929
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1817,2019-01-17,INDOWIND,EQ,5.6,5.6,5.8,5.3,5.8,5.75,5.59,27260,15244729999.999996,139.0,21061,0.7726000000000001
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1818,2019-01-18,INDOWIND,EQ,5.75,5.85,5.9,5.3,5.85,5.85,5.72,24040,13755440000.0,131.0,18957,0.7886
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1819,2019-01-21,INDOWIND,EQ,5.85,5.95,5.95,5.65,5.95,5.85,5.8,28248,16390625000.0,72.0,23937,0.8473999999999999
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1820,2019-01-22,INDOWIND,EQ,5.85,5.85,5.85,5.6,5.7,5.6,5.74,48498,27838530000.0,63.0,47138,0.972
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1821,2019-01-23,INDOWIND,EQ,5.6,5.5,5.8,5.5,5.6,5.65,5.6,20537,11496875000.0,119.0,16672,0.8118000000000001
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1822,2019-01-24,INDOWIND,EQ,5.65,5.6,5.8,5.1,5.1,5.2,5.34,108271,57862794999.999985,274.0,68461,0.6323
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1823,2019-01-25,INDOWIND,EQ,5.2,5.45,5.45,4.8,5.3,5.0,5.09,63830,32493745000.0,238.0,55221,0.8651000000000001
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,1824,2019-01-28,INDOWIND,EQ,5.0,5.25,5.25,4.95,5.05,5.05,5.05,16820,8489325000.0,107.0,15055,0.8951000000000001
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1825,2019-01-29,INDOWIND,EQ,5.05,5.0,5.2,4.9,4.9,4.95,5.01,25465,12749615000.0,65.0,18833,0.7395999999999999
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1826,2019-01-30,INDOWIND,EQ,4.95,4.65,5.0,4.65,4.9,4.9,4.87,15746,7670425000.0,65.0,14042,0.8918
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1827,2019-01-31,INDOWIND,EQ,4.9,5.0,5.1,4.8,4.8,4.9,4.9,28531,13983695000.000002,67.0,21391,0.7497
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1828,2019-02-01,INDOWIND,EQ,4.9,4.5,5.2,4.5,4.8,4.8,4.93,16820,8294380000.0,51.0,14130,0.8401000000000001
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1829,2019-02-04,INDOWIND,EQ,4.8,4.45,5.25,4.45,5.15,5.05,4.77,55945,26683275000.0,97.0,34391,0.6147
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1830,2019-02-05,INDOWIND,EQ,5.05,4.85,5.0,4.6,4.75,4.7,4.75,52357,24859430000.0,101.0,35446,0.677
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1831,2019-02-06,INDOWIND,EQ,4.7,4.65,5.0,4.55,4.95,4.9,4.82,62184,29952370000.0,170.0,40403,0.6497
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1832,2019-02-07,INDOWIND,EQ,4.9,4.95,5.05,4.65,4.85,4.8,4.9,27202,13339565000.0,126.0,16842,0.6191
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1833,2019-02-08,INDOWIND,EQ,4.8,4.75,5.3,4.6,4.8,4.65,4.82,26171,12608305000.0,188.0,22285,0.8515
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1834,2019-02-11,INDOWIND,EQ,4.65,4.8,4.85,4.1,4.5,4.4,4.53,54824,24831520000.0,209.0,41882,0.7639
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1835,2019-02-12,INDOWIND,EQ,4.4,4.4,4.45,4.0,4.35,4.3,4.22,26681,11255725000.0,137.0,15836,0.5935
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1836,2019-02-13,INDOWIND,EQ,4.3,4.4,4.95,4.1,4.7,4.65,4.39,16676,7319275000.0,171.0,13891,0.833
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1837,2019-02-14,INDOWIND,EQ,4.65,4.65,5.55,4.65,5.2,5.05,5.05,42459,21424755000.0,207.0,33814,0.7964
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,1838,2019-02-15,INDOWIND,EQ,5.05,5.1,5.25,4.7,5.05,4.9,5.07,38941,19742275000.0,137.0,31147,0.7998999999999999
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,1839,2019-02-18,INDOWIND,EQ,4.9,4.8,5.1,4.75,5.05,4.95,4.87,23102,11241815000.0,134.0,15514,0.6715000000000001
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,1840,2019-02-19,INDOWIND,EQ,4.95,4.9,5.1,4.85,5.0,5.05,5.01,14468,7246850000.0,85.0,11416,0.7891
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,1841,2019-02-20,INDOWIND,EQ,5.05,5.05,5.25,5.0,5.1,5.0,5.12,23676,12113360000.0,89.0,22001,0.9293
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1842,2019-02-21,INDOWIND,EQ,5.0,4.95,5.2,4.9,5.2,5.15,5.09,9382,4775630000.0,56.0,7640,0.8143000000000001
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,1843,2019-02-22,INDOWIND,EQ,5.15,4.9,5.4,4.85,5.15,5.25,5.22,8373,4369495000.0,41.0,7921,0.946
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1844,2019-02-25,INDOWIND,EQ,5.25,5.4,5.4,5.05,5.1,5.15,5.24,14645,7676639999.999998,79.0,11970,0.8173
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1845,2019-02-26,INDOWIND,EQ,5.15,4.55,5.35,4.55,5.35,5.25,5.11,63790,32575115000.000008,162.0,38058,0.5966
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,1846,2019-02-27,INDOWIND,EQ,5.25,5.45,6.1,5.3,5.5,5.45,5.71,115379,65880744999.999985,312.0,49582,0.4297
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,1847,2019-02-28,INDOWIND,EQ,5.45,5.35,5.9,5.35,5.6,5.55,5.57,60637,33753680000.0,178.0,33849,0.5582
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,1848,2019-03-01,INDOWIND,EQ,5.55,5.8,5.85,5.2,5.6,5.55,5.52,64519,35642185000.0,154.0,32841,0.509
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1849,2019-03-05,INDOWIND,EQ,5.55,5.3,5.7,5.3,5.6,5.6,5.6,54994,30788085000.0,119.0,41555,0.7556
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,1850,2019-03-06,INDOWIND,EQ,5.6,5.6,5.95,5.6,5.7,5.85,5.81,71278,41445845000.0,131.0,53830,0.7552
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1851,2019-03-07,INDOWIND,EQ,5.85,6.0,6.15,5.8,5.9,5.9,5.96,94900,56515090000.0,119.0,41476,0.4370000000000001
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1852,2019-03-08,INDOWIND,EQ,5.9,6.0,6.0,5.55,5.7,5.7,5.75,40562,23321085000.0,85.0,32728,0.8069
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1853,2019-03-11,INDOWIND,EQ,5.7,5.65,5.9,5.65,5.7,5.7,5.79,26199,15159465000.0,73.0,22370,0.8538
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,1854,2019-03-12,INDOWIND,EQ,5.7,5.9,6.8,5.85,6.8,6.8,6.69,286473,191575190000.0,466.0,151724,0.5296000000000001
