,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5439,2019-01-01,JAYSREETEA,EQ,90.2,89.25,89.85,87.6,88.2,88.15,88.5,232952,2061577930000.0,2366.0,71327.0,0.3062
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5440,2019-01-02,JAYSREETEA,EQ,88.15,86.8,87.7,85.75,86.4,86.4,86.69,119801,1038527635000.0,1351.0,60966.0,0.5089
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5441,2019-01-03,JAYSREETEA,EQ,86.4,86.25,87.05,84.7,85.25,85.25,85.94,63175,542922940000.0001,819.0,31621.0,0.5005
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5442,2019-01-04,JAYSREETEA,EQ,85.25,85.2,86.55,84.1,85.65,85.45,85.34,68156,581633905000.0,999.0,25713.0,0.3773
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5443,2019-01-07,JAYSREETEA,EQ,85.45,86.15,86.5,85.1,85.6,85.25,85.84,34428,295530580000.0,482.0,18755.0,0.5448
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5444,2019-01-08,JAYSREETEA,EQ,85.25,85.6,85.75,84.7,85.5,85.3,85.23,37539,319945325000.0,594.0,16736.0,0.4458
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5445,2019-01-09,JAYSREETEA,EQ,85.3,85.7,86.3,84.55,84.8,85.0,85.42,63978,546473135000.0,806.0,33159.0,0.5183
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5446,2019-01-10,JAYSREETEA,EQ,85.0,85.25,86.0,84.0,84.2,84.25,84.81,57166,484824395000.0,821.0,29669.0,0.519
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5447,2019-01-11,JAYSREETEA,EQ,84.25,86.5,87.5,84.5,84.7,84.9,85.35,452980,3866062820000.0015,4979.0,129398.0,0.2857
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5448,2019-01-14,JAYSREETEA,EQ,84.9,85.0,85.0,83.65,83.7,83.85,84.1,44431,373674385000.0,608.0,26737.0,0.6018
