,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,2019-01-01,MARATHON,EQ,112.4,112.5,124.05,112.1,117.0,116.75,118.07,13124,154957980000.0,418,3783,0.2883
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,559,2019-01-02,MARATHON,EQ,116.75,117.9,119.4,113.4,114.05,114.25,115.56,2072,23943175000.0,127,1167,0.5632
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,560,2019-01-03,MARATHON,EQ,114.25,117.45,118.4,112.25,112.25,112.55,113.88,1150,13096480000.0,66,696,0.6052000000000001
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,561,2019-01-04,MARATHON,EQ,112.55,109.9,114.95,109.9,111.5,112.05,112.37,1813,20372085000.0,66,829,0.4573
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,562,2019-01-07,MARATHON,EQ,112.05,112.85,117.5,112.85,117.0,116.8,116.37,4313,50190020000.0,133,3342,0.7748999999999999
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,563,2019-01-08,MARATHON,EQ,116.8,122.0,135.5,121.3,124.05,125.75,125.1,85324,1067392200000.0,1911,25289,0.2964
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,564,2019-01-09,MARATHON,EQ,125.75,125.05,125.05,118.05,119.0,119.0,120.83,8565,103489620000.0,233,4825,0.5633
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,565,2019-01-10,MARATHON,EQ,119.0,118.0,122.7,118.0,120.05,120.15,120.36,3261,39248280000.0,163,1972,0.6047
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,566,2019-01-11,MARATHON,EQ,120.15,123.95,124.0,118.5,119.5,119.05,119.65,2554,30558120000.0,79,1954,0.7651000000000001
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,567,2019-01-14,MARATHON,EQ,119.05,117.45,118.9,115.55,115.55,116.4,116.98,2145,25091190000.0,91,1056,0.4923
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,568,2019-01-15,MARATHON,EQ,116.4,112.0,118.9,112.0,118.9,116.1,116.2,5911,68687330000.000015,98,5465,0.9245
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,569,2019-01-16,MARATHON,EQ,116.1,119.95,121.5,116.75,120.0,120.8,119.06,1262,15024745000.000004,65,879,0.6965000000000001
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,570,2019-01-17,MARATHON,EQ,120.8,118.05,127.95,116.2,127.8,126.05,124.87,11353,141769350000.0,350,8453,0.7445999999999999
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,571,2019-01-18,MARATHON,EQ,126.05,125.85,126.4,122.8,123.0,123.05,124.52,737,9177175000.0,42,475,0.6445000000000001
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,572,2019-01-21,MARATHON,EQ,123.05,121.05,122.9,116.85,118.25,117.95,119.61,1614,19304860000.0,82,1214,0.7522
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,573,2019-01-22,MARATHON,EQ,117.95,116.2,125.35,113.55,114.85,115.0,116.25,5665,65855355000.000015,207,3383,0.5972
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,574,2019-01-23,MARATHON,EQ,115.0,119.55,123.0,112.0,121.3,118.55,116.24,11892,138231335000.0,498,2675,0.2249
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,575,2019-01-24,MARATHON,EQ,118.55,117.05,119.9,113.0,114.3,114.3,114.72,2719,31192825000.0,110,1735,0.6381
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,576,2019-01-25,MARATHON,EQ,114.3,115.0,115.6,111.1,111.1,111.25,112.54,1918,21584900000.0,79,1515,0.7898999999999999
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,577,2019-01-28,MARATHON,EQ,111.25,110.0,118.0,102.9,105.0,104.55,107.06,7839,83920960000.0,201,4002,0.5105
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,578,2019-01-29,MARATHON,EQ,104.55,106.0,109.8,101.65,109.8,109.8,106.02,6739,71444065000.0,138,5429,0.8056000000000001
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,579,2019-01-30,MARATHON,EQ,109.8,106.05,113.8,105.05,113.8,110.95,110.2,1522,16773045000.000004,85,1069,0.7023999999999999
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,580,2019-01-31,MARATHON,EQ,110.95,108.05,110.8,106.2,108.5,108.15,107.81,3216,34672030000.0,79,1865,0.5799000000000001
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,581,2019-02-01,MARATHON,EQ,108.15,107.15,118.0,106.65,107.25,107.4,110.79,9152,101390755000.0,213,5735,0.6265999999999999
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,582,2019-02-04,MARATHON,EQ,107.4,114.85,114.9,108.0,109.0,109.7,109.54,4124,45172380000.0,151,1501,0.364
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,583,2019-02-05,MARATHON,EQ,109.7,109.7,110.0,105.05,106.0,106.0,108.67,4948,53768930000.000015,77,4648,0.9394
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,584,2019-02-06,MARATHON,EQ,106.0,109.95,109.95,100.0,100.0,100.8,102.97,3823,39364760000.0,121,3223,0.8431000000000001
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,585,2019-02-07,MARATHON,EQ,100.8,104.3,105.4,101.0,101.05,101.7,102.46,2765,28330195000.0,112,1962,0.7095999999999999
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,586,2019-02-08,MARATHON,EQ,101.7,101.15,108.0,99.4,104.8,104.8,104.22,4507,46970640000.0,98,2815,0.6246
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,587,2019-02-11,MARATHON,EQ,104.8,101.05,105.0,99.65,103.95,103.95,102.91,5036,51823885000.0,82,2812,0.5584
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,588,2019-02-12,MARATHON,EQ,103.95,103.95,104.0,100.45,104.0,101.95,101.51,1473,14953095000.000004,67,596,0.4046
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,589,2019-02-13,MARATHON,EQ,101.95,107.35,107.4,101.2,103.8,101.85,102.68,4162,42733475000.0,71,3609,0.8671
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,590,2019-02-14,MARATHON,EQ,101.85,99.05,104.85,95.1,101.55,101.55,100.84,1933,19493260000.0,52,1601,0.8281999999999999
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,591,2019-02-15,MARATHON,EQ,101.55,96.25,106.0,96.25,106.0,104.45,102.44,735,7529230000.0,32,535,0.7279000000000001
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,592,2019-02-18,MARATHON,EQ,104.45,104.5,106.4,99.5,100.0,100.0,100.18,3492,34981280000.0,63,3109,0.8903
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,593,2019-02-19,MARATHON,EQ,100.0,107.8,113.0,105.5,110.5,108.8,108.97,71528,779418980000.0,1569,17503,0.2447
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,594,2019-02-20,MARATHON,EQ,108.8,110.55,115.0,101.5,106.0,104.8,108.32,32729,354518335000.0,1057,10855,0.33170000000000005
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,595,2019-02-21,MARATHON,EQ,104.8,103.15,108.95,103.15,106.95,105.1,105.42,7042,74235645000.0,215,3162,0.449
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,596,2019-02-22,MARATHON,EQ,105.1,106.1,112.0,106.0,110.0,110.35,108.91,10364,112876035000.00005,239,5504,0.5311
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,597,2019-02-25,MARATHON,EQ,110.35,117.0,118.9,108.95,113.7,111.0,113.4,35260,399856450000.0,1205,6706,0.1902
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,598,2019-02-26,MARATHON,EQ,111.0,110.0,110.0,104.35,107.0,107.35,106.04,4476,47464125000.0,138,1913,0.4274
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,599,2019-02-27,MARATHON,EQ,107.35,109.7,111.55,104.0,104.0,105.0,108.33,7428,80465875000.0,151,5608,0.755
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,600,2019-02-28,MARATHON,EQ,105.0,104.3,109.0,104.25,104.6,106.6,106.14,381,4043845000.0,39,114,0.2992
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,601,2019-03-01,MARATHON,EQ,106.6,105.25,111.0,105.2,106.0,106.65,107.12,3023,32382035000.0,111,1794,0.5935
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,602,2019-03-05,MARATHON,EQ,106.65,108.05,114.25,106.6,110.5,111.9,110.33,11014,121512160000.00005,286,3886,0.3528
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,603,2019-03-06,MARATHON,EQ,111.9,108.1,113.9,108.1,111.2,110.65,111.2,6839,76050335000.0,138,5602,0.8190999999999999
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,604,2019-03-07,MARATHON,EQ,110.65,111.0,124.4,110.9,116.55,118.05,117.58,27161,319356555000.0,895,8075,0.2973
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,605,2019-03-08,MARATHON,EQ,118.05,120.7,123.95,113.05,117.0,117.95,118.31,6344,75053875000.0,205,2629,0.4144
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,606,2019-03-11,MARATHON,EQ,117.95,111.25,120.05,111.25,116.3,117.4,117.03,3938,46084655000.0,120,2166,0.55
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,607,2019-03-12,MARATHON,EQ,117.4,117.95,128.8,117.15,119.1,119.15,123.08,18520,227951775000.0,468,9300,0.5022
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,608,2019-03-13,MARATHON,EQ,119.15,123.65,126.0,118.05,118.6,120.15,122.19,25095,306630955000.0,377,4964,0.1978
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,609,2019-03-14,MARATHON,EQ,120.15,122.9,125.0,121.0,122.0,123.4,122.54,25148,308163555000.0,470,9788,0.3892000000000001
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,610,2019-03-15,MARATHON,EQ,123.4,131.0,134.0,127.0,127.9,129.55,130.29,86567,1127919980000.0,1748,19493,0.2252
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,611,2019-03-18,MARATHON,EQ,129.55,129.55,130.85,125.0,128.4,127.85,128.82,6495,83665640000.0,247,3854,0.5934
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,612,2019-03-19,MARATHON,EQ,127.85,129.0,129.9,125.6,127.0,127.6,127.9,4514,57732665000.0,97,1957,0.4335
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,613,2019-03-20,MARATHON,EQ,127.6,127.0,129.95,125.6,127.0,126.3,127.09,3785,48102590000.0,129,1876,0.4956
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,614,2019-03-22,MARATHON,EQ,126.3,127.95,132.7,123.25,127.7,127.65,127.55,11680,148984005000.0,321,5789,0.4956
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,615,2019-03-25,MARATHON,EQ,127.65,125.0,125.0,119.55,123.55,123.65,123.27,6831,84205335000.0,137,2590,0.3792
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,616,2019-03-26,MARATHON,EQ,123.65,123.65,126.9,115.05,119.65,118.9,119.67,29784,356417595000.0,771,15612,0.5242
