,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5170,2019-01-01,MIRZAINT,EQ,83.15,83.75,83.75,82.1,82.5,82.45,82.7,36917,305292430000.0,605.0,18288.0,0.4954
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5171,2019-01-02,MIRZAINT,EQ,82.45,82.7,83.95,81.65,82.55,82.6,82.99,40011,332035125000.0,621.0,17175.0,0.4293
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5172,2019-01-03,MIRZAINT,EQ,82.6,82.9,83.2,81.7,82.6,82.1,82.41,25312,208591915000.0,450.0,13293.0,0.5252
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5173,2019-01-04,MIRZAINT,EQ,82.1,81.5,82.6,80.5,80.5,80.65,81.06,66494,539016270000.0,810.0,37656.0,0.5663
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5174,2019-01-07,MIRZAINT,EQ,80.65,81.25,82.4,81.0,81.15,81.45,81.69,59032,482225270000.0,828.0,27170.0,0.4603
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5175,2019-01-08,MIRZAINT,EQ,81.45,81.8,81.95,80.15,80.7,80.6,80.99,43186,349771000000.0,739.0,26997.0,0.6251
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5176,2019-01-09,MIRZAINT,EQ,80.6,81.1,81.6,80.0,80.65,80.85,80.8,68986,557420985000.0,833.0,38128.0,0.5527000000000001
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5177,2019-01-10,MIRZAINT,EQ,80.85,81.25,83.3,81.2,81.2,81.6,82.08,103189,846988190000.0,1016.0,56361.0,0.5462
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5178,2019-01-11,MIRZAINT,EQ,81.6,82.0,82.0,79.65,79.9,80.15,80.42,93383,750991890000.0,974.0,70786.0,0.758
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5179,2019-01-14,MIRZAINT,EQ,80.15,79.4,81.45,79.2,79.75,80.15,80.06,46991,376207360000.0,574.0,30099.0,0.6405
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5180,2019-01-15,MIRZAINT,EQ,80.15,80.8,81.0,79.65,79.9,80.05,80.46,54853,441332425000.0,655.0,33146.0,0.6043000000000001
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5181,2019-01-16,MIRZAINT,EQ,80.05,80.7,81.0,78.85,78.95,79.25,79.86,59636,476243900000.0,895.0,36778.0,0.6167
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,5182,2019-01-17,MIRZAINT,EQ,79.25,79.5,81.4,79.0,79.15,79.4,80.07,113998,912790475000.0,1159.0,48431.0,0.4248
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,5183,2019-01-18,MIRZAINT,EQ,79.4,80.0,80.0,79.0,79.0,79.15,79.37,23287,184836080000.0,391.0,10824.0,0.4648
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,5184,2019-01-21,MIRZAINT,EQ,79.15,79.75,79.75,77.0,77.45,77.3,78.36,43862,343689295000.0,580.0,31079.0,0.7086
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,5185,2019-01-22,MIRZAINT,EQ,77.3,77.3,78.2,75.0,76.85,76.45,76.42,38946,297640460000.0,579.0,23262.0,0.5972999999999999
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,5186,2019-01-23,MIRZAINT,EQ,76.45,76.75,78.0,76.0,76.25,76.4,76.68,65794,504531300000.0,922.0,21783.0,0.3311
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,5187,2019-01-24,MIRZAINT,EQ,76.4,76.1,76.8,75.3,75.65,75.6,75.71,41180,311789300000.0,467.0,25152.0,0.6108
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,5188,2019-01-25,MIRZAINT,EQ,75.6,75.85,77.75,73.5,74.0,74.2,75.9,209182,1587753935000.0,1377.0,147347.0,0.7044
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,5189,2019-01-28,MIRZAINT,EQ,74.2,74.95,75.3,70.85,71.15,71.35,71.96,288206,2073843890000.0,1095.0,247035.0,0.8571
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,5190,2019-01-29,MIRZAINT,EQ,71.35,71.7,73.35,70.05,71.35,71.1,71.7,54121,388025735000.0,739.0,25352.0,0.4684
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,5191,2019-01-30,MIRZAINT,EQ,71.1,72.0,72.8,71.25,71.65,71.9,71.95,127034,913982795000.0,904.0,94971.0,0.7476
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,5192,2019-01-31,MIRZAINT,EQ,71.9,73.0,73.9,72.15,73.4,73.3,73.19,60730,444472875000.0,1075.0,19998.0,0.3293
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,5193,2019-02-01,MIRZAINT,EQ,73.3,74.0,75.7,70.6,71.55,72.0,73.1,150426,1099581115000.0,2001.0,35439.0,0.2356
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,5194,2019-02-04,MIRZAINT,EQ,72.0,72.0,73.8,70.45,70.85,71.15,71.19,77382,550872380000.0,903.0,39251.0,0.5072
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,5195,2019-02-05,MIRZAINT,EQ,71.15,71.9,71.95,68.75,69.2,69.35,70.21,57226,401803035000.0,695.0,34560.0,0.6039
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,5196,2019-02-06,MIRZAINT,EQ,69.35,70.4,71.0,68.15,69.0,69.1,69.07,52173,360357945000.0,727.0,31318.0,0.6003000000000001
