,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4597,2019-01-01,MOREPENLAB,EQ,22.15,22.15,22.25,21.0,22.05,22.05,21.92,170004,372729395000.0,645.0,99894.0,0.5876
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4598,2019-01-02,MOREPENLAB,EQ,22.05,21.95,22.25,21.5,21.65,21.7,21.88,277041,606077065000.0,1006.0,172289.0,0.6219
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4599,2019-01-03,MOREPENLAB,EQ,21.7,21.7,22.0,21.25,21.4,21.35,21.62,267933,579373895000.0,938.0,184438.0,0.6884
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4600,2019-01-04,MOREPENLAB,EQ,21.35,21.5,22.2,21.5,21.85,21.9,21.89,345244,755892010000.0,1089.0,185730.0,0.5379999999999999
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4601,2019-01-07,MOREPENLAB,EQ,21.9,22.25,22.45,21.45,21.8,21.65,21.92,285222,625262715000.0,860.0,165506.0,0.5803
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4602,2019-01-08,MOREPENLAB,EQ,21.65,21.6,22.1,21.45,21.75,21.7,21.81,357402,779620100000.0,853.0,189090.0,0.5291
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4603,2019-01-09,MOREPENLAB,EQ,21.7,21.95,22.0,21.4,21.55,21.55,21.6,302025,652492600000.0,851.0,160894.0,0.5327000000000001
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4604,2019-01-10,MOREPENLAB,EQ,21.55,21.75,22.25,21.5,21.7,21.8,21.81,377062,822459340000.0,1125.0,165574.0,0.4391
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4605,2019-01-11,MOREPENLAB,EQ,21.8,21.65,22.1,21.6,21.9,21.8,21.77,178969,389646540000.0,702.0,93456.0,0.5222
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4606,2019-01-14,MOREPENLAB,EQ,21.8,22.0,22.0,21.35,21.5,21.45,21.51,249718,537105845000.0,852.0,165303.0,0.662
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4607,2019-01-15,MOREPENLAB,EQ,21.45,21.8,21.85,21.45,21.8,21.75,21.6,184876,399275990000.0,721.0,115756.0,0.6261
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4608,2019-01-16,MOREPENLAB,EQ,21.75,21.8,21.95,21.45,21.45,21.5,21.61,234383,506605000000.0,977.0,128596.0,0.5487
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,4609,2019-01-17,MOREPENLAB,EQ,21.5,21.55,21.75,21.0,21.3,21.1,21.35,386128,824342065000.0,999.0,227167.0,0.5883
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,4610,2019-01-18,MOREPENLAB,EQ,21.1,21.2,21.3,20.75,20.9,20.85,20.94,279893,586210390000.0,983.0,204831.0,0.7318000000000001
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,4611,2019-01-21,MOREPENLAB,EQ,20.85,21.0,21.0,20.5,20.55,20.5,20.62,310336,639880635000.0,1144.0,185246.0,0.5969
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,4612,2019-01-22,MOREPENLAB,EQ,20.5,20.55,20.75,20.1,20.4,20.4,20.47,219384,449014395000.0,878.0,110591.0,0.5041
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,4613,2019-01-23,MOREPENLAB,EQ,20.4,20.4,20.8,20.2,20.25,20.3,20.38,182956,372873070000.0,822.0,94322.0,0.5155
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,4614,2019-01-24,MOREPENLAB,EQ,20.3,20.3,21.6,20.3,21.0,20.8,21.06,564522,1188669515000.0,1663.0,253440.0,0.4489
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,4615,2019-01-25,MOREPENLAB,EQ,20.8,20.8,21.2,20.3,20.6,20.35,20.58,328174,675385335000.0,1594.0,207154.0,0.6312
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,4616,2019-01-28,MOREPENLAB,EQ,20.35,20.35,20.5,19.6,19.9,19.8,19.91,347033,690872260000.0,1236.0,225394.0,0.6495000000000001
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,4617,2019-01-29,MOREPENLAB,EQ,19.8,20.0,20.0,19.5,19.75,19.75,19.78,277487,548943315000.0001,888.0,180284.0,0.6497
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,4618,2019-01-30,MOREPENLAB,EQ,19.75,19.75,20.4,19.75,20.2,20.1,20.12,234453,471732180000.0,834.0,146862.0,0.6264000000000001
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,4619,2019-01-31,MOREPENLAB,EQ,20.1,20.1,20.35,19.8,20.05,20.05,20.0,234868,469634975000.0,842.0,144192.0,0.6139
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,4620,2019-02-01,MOREPENLAB,EQ,20.05,20.0,20.45,19.5,20.05,19.9,20.02,395141,791259630000.0,868.0,250583.0,0.6342
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,4621,2019-02-04,MOREPENLAB,EQ,19.9,19.9,19.9,19.2,19.5,19.35,19.44,484219,941389975000.0,1479.0,310604.0,0.6415000000000001
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4622,2019-02-05,MOREPENLAB,EQ,19.35,19.85,19.9,17.75,18.3,18.2,18.66,722692,1348855340000.0,2151.0,458948.0,0.6351
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,4623,2019-02-06,MOREPENLAB,EQ,18.2,18.95,19.0,16.9,17.25,17.3,17.44,801681,1397938910000.0,2500.0,497764.0,0.6209
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,4624,2019-02-07,MOREPENLAB,EQ,17.3,17.65,18.4,17.2,17.6,17.75,17.79,723528,1286819415000.0,2217.0,364361.0,0.5036
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,4625,2019-02-08,MOREPENLAB,EQ,17.75,17.7,17.8,17.05,17.5,17.45,17.38,299665,520807090000.0001,1502.0,152411.0,0.5086
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,4626,2019-02-11,MOREPENLAB,EQ,17.45,17.45,17.6,16.9,17.15,17.15,17.13,250360,428863275000.0,763.0,165397.0,0.6606000000000001
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,4627,2019-02-12,MOREPENLAB,EQ,17.15,17.1,17.25,16.9,16.95,17.0,17.07,266687,455284975000.0,890.0,183571.0,0.6883
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,4628,2019-02-13,MOREPENLAB,EQ,17.0,17.0,17.3,16.9,17.1,17.0,17.03,347893,592411400000.0,973.0,215611.0,0.6198
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,4629,2019-02-14,MOREPENLAB,EQ,17.0,17.1,17.45,16.5,17.15,17.15,16.86,472240,796219530000.0,1254.0,264323.0,0.5597
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,4630,2019-02-15,MOREPENLAB,EQ,17.15,17.25,17.25,16.65,16.8,16.8,16.82,338457,569268985000.0,1164.0,189967.0,0.5613
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,4631,2019-02-18,MOREPENLAB,EQ,16.8,16.7,16.9,16.05,16.1,16.1,16.21,442365,716866945000.0,1626.0,262434.0,0.5933
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,4632,2019-02-19,MOREPENLAB,EQ,16.1,16.55,16.55,15.7,15.9,15.8,15.94,535575,853478240000.0,1383.0,366590.0,0.6845
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,4633,2019-02-20,MOREPENLAB,EQ,15.8,15.7,15.85,14.7,15.0,14.9,15.1,1370586,2069001855000.0,2829.0,746780.0,0.5449
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,4634,2019-02-21,MOREPENLAB,EQ,14.9,15.0,17.25,14.55,17.2,17.05,16.26,2216054,3603272130000.0,4890.0,822237.0,0.371
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,4635,2019-02-22,MOREPENLAB,EQ,17.05,17.2,18.15,16.4,17.8,17.85,17.57,1282029,2252874925000.0,5630.0,532805.0,0.4156
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,4636,2019-02-25,MOREPENLAB,EQ,17.85,17.8,18.0,17.1,17.4,17.5,17.61,552040,971893235000.0,1564.0,275399.0,0.4989
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4637,2019-02-26,MOREPENLAB,EQ,17.5,17.2,17.2,16.4,16.7,16.55,16.77,766605,1285269875000.0,2044.0,347211.0,0.4529
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,4638,2019-02-27,MOREPENLAB,EQ,16.55,16.75,17.5,16.3,16.6,16.65,16.85,653239,1100848455000.0,1924.0,271526.0,0.4157
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,4639,2019-02-28,MOREPENLAB,EQ,16.65,16.7,17.15,16.55,16.7,16.75,16.85,308933,520510050000.0,1025.0,137305.0,0.4444
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,4640,2019-03-01,MOREPENLAB,EQ,16.75,16.95,17.8,16.85,17.55,17.45,17.34,642740,1114452015000.0,1739.0,260715.0,0.4056
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,4641,2019-03-05,MOREPENLAB,EQ,17.45,17.6,18.8,17.2,18.75,18.7,18.42,859771,1583781030000.0,2224.0,519377.0,0.6041
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,4642,2019-03-06,MOREPENLAB,EQ,18.7,18.75,19.35,18.45,19.0,18.95,18.94,837294,1585860155000.0,2199.0,413160.0,0.4934000000000001
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,4643,2019-03-07,MOREPENLAB,EQ,18.95,18.9,19.2,18.6,18.75,18.75,18.86,382593,721656140000.0,1139.0,228260.0,0.5966
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,4644,2019-03-08,MOREPENLAB,EQ,18.75,18.5,19.0,18.4,18.45,18.55,18.69,298077,557082500000.0,774.0,134842.0,0.4524
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,4645,2019-03-11,MOREPENLAB,EQ,18.55,18.5,18.85,18.1,18.7,18.7,18.69,242032,452463780000.0,876.0,126251.0,0.5216
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,4646,2019-03-12,MOREPENLAB,EQ,18.7,18.8,20.2,18.75,19.25,19.35,19.61,1420028,2784280050000.0,3421.0,448440.0,0.3158
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,4647,2019-03-13,MOREPENLAB,EQ,19.35,19.55,19.95,18.75,19.0,19.05,19.42,459745,893031869999.9999,1670.0,228639.0,0.4973
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,4648,2019-03-14,MOREPENLAB,EQ,19.05,19.15,19.4,18.25,18.45,18.55,18.8,460411,865355160000.0,1549.0,294224.0,0.639
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,4649,2019-03-15,MOREPENLAB,EQ,18.55,18.7,18.95,17.75,17.85,17.9,18.23,821944,1498705625000.0,2585.0,532058.0,0.6473000000000001
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,4650,2019-03-18,MOREPENLAB,EQ,17.9,17.85,18.35,17.65,18.3,18.2,18.02,476672,858971400000.0,1432.0,268715.0,0.5637
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,4651,2019-03-19,MOREPENLAB,EQ,18.2,18.55,18.55,17.55,17.9,17.9,18.04,533288,962291710000.0,1576.0,311706.0,0.5845
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,4652,2019-03-20,MOREPENLAB,EQ,17.9,17.9,18.1,17.25,17.45,17.45,17.59,637200,1120864370000.0,1584.0,403411.0,0.6331
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,4653,2019-03-22,MOREPENLAB,EQ,17.45,17.5,18.15,17.0,17.45,17.45,17.74,667553,1184128685000.0,1796.0,346365.0,0.5189
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,4654,2019-03-25,MOREPENLAB,EQ,17.45,17.45,17.6,16.6,17.0,16.95,17.08,677226,1156602925000.0,1316.0,407912.0,0.6023
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,4655,2019-03-26,MOREPENLAB,EQ,16.95,17.3,17.4,16.55,17.15,17.1,16.99,816258,1386574455000.0,2069.0,420351.0,0.515
