,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,2775,2019-01-01,MOTILALOFS,EQ,670.15,676.0,676.0,660.05,662.0,661.75,666.5,34238,2281978075000.0,2665.0,14937.0,0.4363
1,1,1,1,1,1,1,1,2776,2019-01-02,MOTILALOFS,EQ,661.75,667.0,679.95,648.1,676.1,676.55,662.4,148663,9847411860000.0,12625.0,81941.0,0.5512
2,2,2,2,2,2,2,2,2777,2019-01-03,MOTILALOFS,EQ,676.55,667.0,690.0,667.0,684.9,683.05,680.15,95897,6522452470000.0,6451.0,35239.0,0.3675
3,3,3,3,3,3,3,3,2778,2019-01-04,MOTILALOFS,EQ,683.05,683.05,687.7,666.0,669.0,672.9,672.75,45566,3065433695000.0,5059.0,22274.0,0.4888
4,4,4,4,4,4,4,4,2779,2019-01-07,MOTILALOFS,EQ,672.9,673.0,675.55,666.95,670.25,673.6,671.12,167045,11210684750000.0,2426.0,15559.0,0.0931
5,5,5,5,5,5,5,5,2780,2019-01-08,MOTILALOFS,EQ,673.6,673.6,701.5,673.6,700.0,697.25,692.59,147333,10204159655000.0,7681.0,46027.0,0.3124
6,6,6,6,6,6,6,6,2781,2019-01-09,MOTILALOFS,EQ,697.25,700.0,707.6,683.1,689.0,686.2,691.22,80492,5563800765000.0,6062.0,30854.0,0.3833
7,7,7,7,7,7,7,7,2782,2019-01-10,MOTILALOFS,EQ,686.2,684.05,694.45,680.75,683.0,686.4,686.3,40351,2769290085000.0,7282.0,19359.0,0.4798
8,8,8,8,8,8,8,8,2783,2019-01-11,MOTILALOFS,EQ,686.4,683.0,697.2,682.0,684.2,688.35,690.54,39131,2702147465000.0,3122.0,13036.0,0.3331
9,9,9,9,9,9,9,9,2784,2019-01-14,MOTILALOFS,EQ,688.35,688.0,695.0,681.0,691.3,692.7,688.97,22296,1536128100000.0,3217.0,7756.0,0.3479
10,10,10,10,10,10,10,10,2785,2019-01-15,MOTILALOFS,EQ,692.7,688.05,697.6,674.0,678.15,678.8,686.92,20026,1375633795000.0,1538.0,8781.0,0.4385
11,11,11,11,11,11,11,11,2786,2019-01-16,MOTILALOFS,EQ,678.8,680.0,692.4,680.0,684.8,682.45,686.45,39057,2681051885000.0,2879.0,16025.0,0.4103
12,12,12,12,12,12,12,12,2787,2019-01-17,MOTILALOFS,EQ,682.45,650.0,707.5,640.0,689.0,681.8,655.26,452495,29650238700000.0,17456.0,75161.0,0.1661
13,13,13,13,13,13,13,13,2788,2019-01-18,MOTILALOFS,EQ,681.8,685.0,686.1,658.0,669.95,671.95,669.32,92772,6209378560000.0,5709.0,21911.0,0.2362
14,14,14,14,14,14,14,14,2789,2019-01-21,MOTILALOFS,EQ,671.95,665.35,674.55,660.0,661.25,662.8,663.63,60582,4020376490000.0,4435.0,27711.0,0.4574
15,15,15,15,15,15,15,15,2790,2019-01-22,MOTILALOFS,EQ,662.8,661.25,678.9,655.9,672.0,674.8,671.28,84354,5662541545000.0,5882.0,50164.0,0.5947
16,16,16,16,16,16,16,16,2791,2019-01-23,MOTILALOFS,EQ,674.8,670.75,678.4,662.0,664.9,664.15,672.71,145775,9806453730000.0,3704.0,125144.0,0.8584999999999999
17,17,17,17,17,17,17,17,2792,2019-01-24,MOTILALOFS,EQ,664.15,664.15,665.15,640.0,642.3,643.3,650.82,202723,13193660570000.0,7778.0,42950.0,0.2119
18,18,18,18,18,18,18,18,2793,2019-01-25,MOTILALOFS,EQ,643.3,636.85,651.55,635.45,648.0,646.2,646.04,81313,5253115215000.0,8212.0,44086.0,0.5422
19,19,19,19,19,19,19,19,2794,2019-01-28,MOTILALOFS,EQ,646.2,643.0,653.0,628.6,646.0,647.2,642.32,67675,4346900320000.0015,5857.0,50350.0,0.7440000000000001
20,20,20,20,20,20,20,20,2795,2019-01-29,MOTILALOFS,EQ,647.2,641.0,648.5,632.65,635.15,638.75,640.24,83733,5360899790000.0,7318.0,67276.0,0.8035
21,21,21,21,21,21,21,21,2796,2019-01-30,MOTILALOFS,EQ,638.75,638.0,643.8,629.6,630.1,636.7,637.55,397535,25344831690000.0,8124.0,318525.0,0.8013
22,22,22,22,22,22,22,22,2797,2019-01-31,MOTILALOFS,EQ,636.7,631.05,647.0,606.0,642.0,635.8,625.98,152039,9517404905000.0,10170.0,94511.0,0.6215999999999999
23,23,23,23,23,23,23,23,2798,2019-02-01,MOTILALOFS,EQ,635.8,636.0,640.1,618.5,627.95,629.75,630.4,214783,13539982100000.0,12546.0,157647.0,0.7340000000000001
24,24,24,24,24,24,24,24,2799,2019-02-04,MOTILALOFS,EQ,629.75,629.75,631.5,611.45,622.05,621.9,619.37,69033,4275692795000.0015,11985.0,36996.0,0.5359
25,25,25,25,25,25,25,25,2800,2019-02-05,MOTILALOFS,EQ,621.9,620.05,624.55,614.0,614.0,617.95,618.08,33964,2099253450000.0,7361.0,21728.0,0.6397
26,26,26,26,26,26,26,26,2801,2019-02-06,MOTILALOFS,EQ,617.95,611.2,624.0,611.2,619.05,619.05,616.48,53884,3321828630000.0,4489.0,41687.0,0.7736000000000001
27,27,27,27,27,27,27,27,2802,2019-02-07,MOTILALOFS,EQ,619.05,619.0,625.1,610.0,612.2,612.2,618.9,35156,2175813115000.0,4207.0,20173.0,0.5738000000000001
28,28,28,28,28,28,28,28,2803,2019-02-08,MOTILALOFS,EQ,612.2,612.2,621.55,607.85,608.05,612.4,613.43,63238,3879218050000.0,10080.0,42571.0,0.6731999999999999
29,29,29,29,29,29,29,29,2804,2019-02-11,MOTILALOFS,EQ,612.4,614.0,619.0,588.25,589.5,592.65,598.84,43512,2605656575000.0,6410.0,24983.0,0.5742
30,30,30,30,30,30,30,30,2805,2019-02-12,MOTILALOFS,EQ,592.65,590.0,592.1,571.0,575.0,575.5,580.95,51738,3005721425000.0,4119.0,24305.0,0.4698
31,31,31,31,31,31,31,31,2806,2019-02-13,MOTILALOFS,EQ,575.5,576.1,578.0,565.0,569.0,569.55,569.21,46004,2618596580000.0,3137.0,24112.0,0.5241
32,32,32,32,32,32,32,32,2807,2019-02-14,MOTILALOFS,EQ,569.55,572.0,596.65,571.25,589.3,589.25,588.66,65857,3876753965000.0,7471.0,30785.0,0.4675
33,33,33,33,33,33,33,33,2808,2019-02-15,MOTILALOFS,EQ,589.25,594.8,602.9,585.05,588.0,591.1,595.66,298764,17796320135000.0,5666.0,235761.0,0.7891
34,34,34,34,34,34,34,34,2809,2019-02-18,MOTILALOFS,EQ,591.1,590.0,590.05,577.15,585.1,585.85,581.41,28412,1651902880000.0,1984.0,13709.0,0.4825
35,35,35,35,35,35,35,35,2810,2019-02-19,MOTILALOFS,EQ,585.85,585.0,585.0,568.5,570.05,572.35,574.21,37812,2171203195000.0,4158.0,17808.0,0.471
36,36,36,36,36,36,36,36,2811,2019-02-20,MOTILALOFS,EQ,572.35,568.0,587.75,568.0,578.0,578.2,577.55,38620,2230505345000.0,10015.0,23548.0,0.6097
37,37,37,37,37,37,37,37,2812,2019-02-21,MOTILALOFS,EQ,578.2,614.95,625.9,581.15,616.55,617.7,616.26,330160,20346308045000.0,26603.0,107230.0,0.3248
38,38,38,38,38,38,38,38,2813,2019-02-22,MOTILALOFS,EQ,617.7,611.0,625.0,605.1,605.1,610.85,616.92,42976,2651262255000.0,4627.0,18348.0,0.4269
39,39,39,39,39,39,39,39,2814,2019-02-25,MOTILALOFS,EQ,610.85,584.9,610.0,579.5,604.0,602.2,593.46,559814,33222930555000.0,20592.0,91603.0,0.1636
40,40,40,40,40,40,40,40,2815,2019-02-26,MOTILALOFS,EQ,602.2,602.25,602.25,579.0,580.0,581.7,587.76,133245,7831574425000.0,5096.0,50065.0,0.3757
41,41,41,41,41,41,41,41,2816,2019-02-27,MOTILALOFS,EQ,581.7,580.05,592.9,575.0,575.15,575.95,581.69,119145,6930553480000.0,4758.0,51856.0,0.4352
42,42,42,42,42,42,42,42,2817,2019-02-28,MOTILALOFS,EQ,575.95,577.1,581.0,560.0,562.2,563.35,567.19,94916,5383518265000.0,5899.0,52820.0,0.5565
43,43,43,43,43,43,43,43,2818,2019-03-01,MOTILALOFS,EQ,563.35,569.85,572.4,560.0,567.9,568.15,566.62,120427,6823580945000.0,8863.0,63212.0,0.5249
44,44,44,44,44,44,44,44,2819,2019-03-05,MOTILALOFS,EQ,568.15,568.0,584.0,564.2,575.25,577.0,574.72,223406,12839482435000.0,15071.0,133192.0,0.5962
45,45,45,45,45,45,45,45,2820,2019-03-06,MOTILALOFS,EQ,577.0,583.4,605.0,582.0,587.65,585.2,589.18,403363,23765461625000.0,9535.0,290046.0,0.7191
46,46,46,46,46,46,46,46,2821,2019-03-07,MOTILALOFS,EQ,585.2,590.0,608.0,587.75,600.6,601.7,600.32,135071,8108540315000.001,5823.0,61651.0,0.4564
47,47,47,47,47,47,47,47,2822,2019-03-08,MOTILALOFS,EQ,601.7,610.7,610.7,589.3,601.4,602.55,599.39,70606,4232018750000.0,5032.0,35970.0,0.5094
48,48,48,48,48,48,48,48,2823,2019-03-11,MOTILALOFS,EQ,602.55,608.85,608.85,594.0,595.25,599.8,600.18,584339,35070933175000.0,7091.0,534920.0,0.9154
49,49,49,49,49,49,49,49,2824,2019-03-12,MOTILALOFS,EQ,599.8,601.95,620.0,601.0,609.8,609.35,611.89,162118,9919828820000.0,7667.0,102858.0,0.6345000000000001
50,50,50,50,50,50,50,50,2825,2019-03-13,MOTILALOFS,EQ,609.35,614.4,616.3,607.0,610.0,608.15,609.76,38350,2338438165000.0,1338.0,21197.0,0.5527000000000001
51,51,51,51,51,51,51,51,2826,2019-03-14,MOTILALOFS,EQ,608.15,616.0,636.0,616.0,621.0,623.4,628.08,283359,17797103320000.0,12243.0,143927.0,0.5079
52,52,52,52,52,52,52,52,2827,2019-03-15,MOTILALOFS,EQ,623.4,625.0,636.1,621.0,627.5,625.65,627.41,180238,11308338905000.0,6173.0,107520.0,0.5965
53,53,53,53,53,53,53,53,2828,2019-03-18,MOTILALOFS,EQ,625.65,629.0,642.4,626.15,628.9,630.25,630.04,297223,18726304785000.0,6138.0,239708.0,0.8065000000000001
54,54,54,54,54,54,54,54,2829,2019-03-19,MOTILALOFS,EQ,630.25,630.0,647.5,630.0,640.05,638.9,638.85,113458,7248214945000.0,5753.0,63585.0,0.5604
55,55,55,55,55,55,55,55,2830,2019-03-20,MOTILALOFS,EQ,638.9,644.25,644.25,625.15,625.4,627.6,630.55,86878,5478092155000.0,3426.0,62735.0,0.7221
56,56,56,56,56,56,56,56,2831,2019-03-22,MOTILALOFS,EQ,627.6,627.2,629.55,613.0,613.0,614.5,615.29,108309,6664097260000.0,4130.0,82256.0,0.7595000000000001
57,57,57,57,57,57,57,57,2832,2019-03-25,MOTILALOFS,EQ,614.5,609.8,616.3,601.2,608.2,609.65,612.29,93543,5727584785000.0,10534.0,59647.0,0.6376
58,58,58,58,58,58,58,58,2833,2019-03-26,MOTILALOFS,EQ,609.65,603.0,609.85,596.1,599.0,599.9,601.26,113640,6832730950000.0,5579.0,65989.0,0.5807
