,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,2461,2019-01-01,MOTOGENFIN,EQ,49.3,49.3,49.3,48.5,48.7,48.7,48.61,51,247930000.00000003,3.0,26.0,0.5098
1,1,1,1,1,1,1,1,2462,2019-01-02,MOTOGENFIN,EQ,48.7,53.0,53.0,48.0,48.0,48.1,48.3,657,3173185000.0,16.0,594.0,0.9041
2,2,2,2,2,2,2,2,2463,2019-01-03,MOTOGENFIN,EQ,48.1,48.0,50.0,47.0,48.2,49.15,48.11,2637,12687100000.0,19.0,1198.0,0.4543
3,3,3,3,3,3,3,3,2464,2019-01-04,MOTOGENFIN,EQ,49.15,48.05,49.0,48.05,49.0,49.0,48.53,1000,4852500000.0,4.0,500.0,0.5
4,4,4,4,4,4,4,4,2465,2019-01-07,MOTOGENFIN,EQ,49.0,47.1,51.0,47.1,50.0,49.95,49.41,1227,6062985000.0,13.0,1017.0,0.8289
5,5,5,5,5,5,5,5,2466,2019-01-08,MOTOGENFIN,EQ,49.95,50.5,50.5,48.25,48.25,48.25,48.42,171,827900000.0,8.0,121.0,0.7076000000000001
6,6,6,6,6,6,6,6,2467,2019-01-09,MOTOGENFIN,EQ,48.25,48.3,50.0,48.0,49.05,49.05,49.0,12071,59145115000.0,60.0,9456.0,0.7834000000000001
7,7,7,7,7,7,7,7,2468,2019-01-10,MOTOGENFIN,EQ,49.05,49.0,50.0,48.3,49.0,49.0,48.97,4878,23886150000.0,18.0,4578.0,0.9385
8,8,8,8,8,8,8,8,2469,2019-01-11,MOTOGENFIN,EQ,49.0,48.35,48.35,48.05,48.05,48.05,48.09,36,173130000.0,5.0,31.0,0.8611
9,9,9,9,9,9,9,9,2470,2019-01-14,MOTOGENFIN,EQ,48.05,46.55,50.0,46.55,50.0,49.35,48.15,370,1781380000.0,8.0,196.0,0.5297
