,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,2787,2019-01-01,NAHARSPING,EQ,90.3,91.3,92.95,90.4,92.9,92.45,92.12,5648,52030515000.0,165.0,2538,0.4494
1,1,1,1,1,1,1,1,2788,2019-01-02,NAHARSPING,EQ,92.45,92.95,93.0,91.05,91.05,91.2,92.28,1760,16241560000.0,48.0,1284,0.7295
2,2,2,2,2,2,2,2,2789,2019-01-03,NAHARSPING,EQ,91.2,91.5,92.95,90.5,90.5,90.9,91.19,2480,22615710000.0,48.0,2333,0.9407
3,3,3,3,3,3,3,3,2790,2019-01-04,NAHARSPING,EQ,90.9,91.55,91.9,90.2,90.55,90.6,90.69,1496,13567685000.0,57.0,1048,0.7005
4,4,4,4,4,4,4,4,2791,2019-01-07,NAHARSPING,EQ,90.6,92.35,92.35,90.65,90.7,90.8,91.13,2963,27001430000.0,71.0,2037,0.6875
5,5,5,5,5,5,5,5,2792,2019-01-08,NAHARSPING,EQ,90.8,90.7,91.45,90.0,90.3,90.6,90.67,2467,22368385000.0,53.0,1732,0.7021
6,6,6,6,6,6,6,6,2793,2019-01-09,NAHARSPING,EQ,90.6,90.4,91.65,90.3,90.5,90.35,90.53,10083,91283715000.0,102.0,8191,0.8124
7,7,7,7,7,7,7,7,2794,2019-01-10,NAHARSPING,EQ,90.35,90.2,91.5,90.1,90.4,90.4,90.71,2454,22261430000.0,44.0,2014,0.8207
8,8,8,8,8,8,8,8,2795,2019-01-11,NAHARSPING,EQ,90.4,89.55,92.3,89.55,90.95,90.8,90.98,8311,75616695000.0,98.0,6007,0.7228
9,9,9,9,9,9,9,9,2796,2019-01-14,NAHARSPING,EQ,90.8,90.95,91.1,90.05,91.1,91.0,90.87,6623,60185165000.0,61.0,6020,0.909
10,10,10,10,10,10,10,10,2797,2019-01-15,NAHARSPING,EQ,91.0,94.1,94.1,90.2,91.0,91.0,92.1,17554,161670640000.0,269.0,10223,0.5824
11,11,11,11,11,11,11,11,2798,2019-01-16,NAHARSPING,EQ,91.0,92.85,97.8,92.0,93.2,93.65,94.08,36904,347179080000.0,648.0,15846,0.4294
12,12,12,12,12,12,12,12,2799,2019-01-17,NAHARSPING,EQ,93.65,93.85,93.85,91.6,92.5,92.4,92.71,4230,39214865000.0,98.0,3851,0.9104
13,13,13,13,13,13,13,13,2800,2019-01-18,NAHARSPING,EQ,92.4,93.35,93.5,91.35,91.8,91.9,92.33,3598,33221325000.0,81.0,2781,0.7729
14,14,14,14,14,14,14,14,2801,2019-01-21,NAHARSPING,EQ,91.9,91.4,91.8,91.0,91.75,91.3,91.29,5498,50189040000.0,78.0,5065,0.9212
15,15,15,15,15,15,15,15,2802,2019-01-22,NAHARSPING,EQ,91.3,91.3,94.45,89.1,90.2,90.2,90.62,11823,107136320000.0,182.0,9019,0.7628
16,16,16,16,16,16,16,16,2803,2019-01-23,NAHARSPING,EQ,90.2,90.3,94.35,90.05,93.0,92.55,92.74,14561,135038270000.0,231.0,11156,0.7662000000000001
17,17,17,17,17,17,17,17,2804,2019-01-24,NAHARSPING,EQ,92.55,92.55,92.55,90.4,91.4,91.5,91.5,5859,53610910000.0,91.0,4813,0.8215000000000001
18,18,18,18,18,18,18,18,2805,2019-01-25,NAHARSPING,EQ,91.5,91.95,91.95,88.6,88.6,90.15,90.85,6911,62788690000.0,148.0,4953,0.7167
19,19,19,19,19,19,19,19,2806,2019-01-28,NAHARSPING,EQ,90.15,90.15,90.15,87.0,87.0,87.05,87.51,5430,47520220000.0,171.0,4014,0.7392000000000001
20,20,20,20,20,20,20,20,2807,2019-01-29,NAHARSPING,EQ,87.05,86.05,87.45,85.0,86.45,86.45,86.03,23168,199305895000.0,220.0,15137,0.6534000000000001
21,21,21,21,21,21,21,21,2808,2019-01-30,NAHARSPING,EQ,86.45,90.9,90.9,86.05,88.0,87.95,87.29,3616,31565850000.0,109.0,2196,0.6073
22,22,22,22,22,22,22,22,2809,2019-01-31,NAHARSPING,EQ,87.95,87.5,90.75,87.05,88.6,89.7,88.89,3663,32561810000.0,62.0,2725,0.7439
23,23,23,23,23,23,23,23,2810,2019-02-01,NAHARSPING,EQ,89.7,90.75,90.75,88.4,88.8,88.6,89.19,1619,14440040000.0,50.0,1152,0.7116
24,24,24,24,24,24,24,24,2811,2019-02-04,NAHARSPING,EQ,88.6,89.05,89.05,84.6,87.0,86.4,86.37,2253,19458750000.0,133.0,1354,0.601
25,25,25,25,25,25,25,25,2812,2019-02-05,NAHARSPING,EQ,86.4,86.85,86.9,85.4,85.5,85.5,85.93,11708,100609815000.0,73.0,10896,0.9306
26,26,26,26,26,26,26,26,2813,2019-02-06,NAHARSPING,EQ,85.5,85.55,87.1,84.3,87.1,84.8,84.95,6371,54119990000.0,54.0,5889,0.9243
27,27,27,27,27,27,27,27,2814,2019-02-07,NAHARSPING,EQ,84.8,85.8,86.75,85.1,85.1,86.0,85.91,5528,47488330000.0,54.0,3045,0.5508
28,28,28,28,28,28,28,28,2815,2019-02-08,NAHARSPING,EQ,86.0,84.55,86.3,84.45,84.9,85.5,85.38,2380,20320680000.0,34.0,804,0.33780000000000004
29,29,29,29,29,29,29,29,2816,2019-02-11,NAHARSPING,EQ,85.5,84.75,91.2,84.55,90.0,88.95,87.44,21806,190673190000.0,338.0,16915,0.7757
30,30,30,30,30,30,30,30,2817,2019-02-12,NAHARSPING,EQ,88.95,95.5,95.5,86.6,87.0,87.9,89.08,87260,777350630000.0,1270.0,31356,0.3593
31,31,31,31,31,31,31,31,2818,2019-02-13,NAHARSPING,EQ,87.9,89.5,89.5,85.1,86.75,85.8,86.34,13360,115348995000.0,167.0,9341,0.6992
32,32,32,32,32,32,32,32,2819,2019-02-14,NAHARSPING,EQ,85.8,85.9,86.85,85.0,85.75,85.5,85.88,8160,70079055000.0,183.0,6463,0.792
33,33,33,33,33,33,33,33,2820,2019-02-15,NAHARSPING,EQ,85.5,85.1,85.85,82.15,83.2,83.15,83.76,15877,132982345000.0,304.0,11393,0.7176
