,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,2019-01-01,NAVKARCORP,EQ,56.7,57.2,58.8,56.3,56.95,56.9,57.23,264308,1512673870000.0,2199,112351,0.4251
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,817,2019-01-02,NAVKARCORP,EQ,56.9,56.5,56.95,55.2,55.45,55.65,56.0,189046,1058639100000.0,1588,106638,0.5640999999999999
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,818,2019-01-03,NAVKARCORP,EQ,55.65,55.95,56.1,54.05,54.35,54.25,54.9,153217,841089010000.0,1472,81821,0.534
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,819,2019-01-04,NAVKARCORP,EQ,54.25,54.7,54.95,53.0,53.6,53.6,53.66,161801,868258500000.0,2154,84038,0.5194
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,820,2019-01-07,NAVKARCORP,EQ,53.6,54.1,54.8,52.0,52.5,53.05,53.65,143560,770218295000.0,1588,91446,0.637
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,821,2019-01-08,NAVKARCORP,EQ,53.05,53.45,53.45,51.0,51.4,51.2,51.76,191069,988979120000.0,1545,113118,0.5920000000000001
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,822,2019-01-09,NAVKARCORP,EQ,51.2,51.95,52.2,49.8,50.4,50.6,51.29,183589,941654780000.0,1600,113374,0.6175
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,823,2019-01-10,NAVKARCORP,EQ,50.6,51.0,51.0,50.0,50.2,50.2,50.37,120433,606653165000.0,1372,61161,0.5078
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,824,2019-01-11,NAVKARCORP,EQ,50.2,51.35,54.65,50.3,52.45,52.6,53.09,752977,3997756940000.0,6348,342107,0.4543
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,825,2019-01-14,NAVKARCORP,EQ,52.6,54.8,56.0,52.5,52.8,52.9,53.45,292025,1560946590000.0,2501,183475,0.6283
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,826,2019-01-15,NAVKARCORP,EQ,52.9,52.9,52.9,42.95,50.75,50.85,50.58,303788,1536463115000.0,3531,146641,0.4827
