,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,3141,2019-01-01,NITINSPIN,EQ,96.2,95.0,96.0,94.0,94.6,95.4,95.09,49971,475151540000.0001,1106.0,30036,0.6011
1,1,1,1,1,1,1,1,3142,2019-01-02,NITINSPIN,EQ,95.4,95.0,95.3,92.4,92.7,93.45,93.72,21716,203515385000.0,458.0,12442,0.5729
2,2,2,2,2,2,2,2,3143,2019-01-03,NITINSPIN,EQ,93.45,93.6,95.3,91.4,91.45,91.6,92.33,19995,184614320000.0,352.0,13740,0.6872
3,3,3,3,3,3,3,3,3144,2019-01-04,NITINSPIN,EQ,91.6,91.85,92.75,90.1,90.3,90.45,90.71,24061,218264795000.00006,311.0,16469,0.6845
4,4,4,4,4,4,4,4,3145,2019-01-07,NITINSPIN,EQ,90.45,92.4,92.6,91.1,92.4,91.75,91.9,17123,157354415000.0,384.0,8345,0.4874000000000001
5,5,5,5,5,5,5,5,3146,2019-01-08,NITINSPIN,EQ,91.75,91.3,92.5,90.0,90.3,90.95,91.58,28369,259793680000.0,486.0,9866,0.3478
6,6,6,6,6,6,6,6,3147,2019-01-09,NITINSPIN,EQ,90.95,92.8,93.8,89.8,90.0,90.65,91.63,82798,758699395000.0,1103.0,34106,0.4119
7,7,7,7,7,7,7,7,3148,2019-01-10,NITINSPIN,EQ,90.65,90.65,91.7,88.0,88.0,88.25,89.09,23729,211411505000.0,395.0,18261,0.7696
8,8,8,8,8,8,8,8,3149,2019-01-11,NITINSPIN,EQ,88.25,88.6,89.4,86.1,86.4,86.9,87.71,32398,284175370000.0,522.0,19432,0.5998
9,9,9,9,9,9,9,9,3150,2019-01-14,NITINSPIN,EQ,86.9,87.2,87.85,86.25,86.6,86.7,86.68,16190,140334390000.0,230.0,12878,0.7954000000000001
10,10,10,10,10,10,10,10,3151,2019-01-15,NITINSPIN,EQ,86.7,86.0,88.2,86.0,87.0,86.65,87.02,11232,97738425000.0,311.0,5285,0.4705
11,11,11,11,11,11,11,11,3152,2019-01-16,NITINSPIN,EQ,86.65,87.75,88.75,86.15,88.25,88.3,87.42,11256,98404605000.0,370.0,5230,0.4646
12,12,12,12,12,12,12,12,3153,2019-01-17,NITINSPIN,EQ,88.3,87.25,97.2,87.25,93.0,92.4,93.41,249195,2327682315000.0,2791.0,71527,0.287
13,13,13,13,13,13,13,13,3154,2019-01-18,NITINSPIN,EQ,92.4,94.3,97.25,89.55,93.9,92.35,94.44,730408,6897812630000.0,6705.0,107499,0.1472
14,14,14,14,14,14,14,14,3155,2019-01-21,NITINSPIN,EQ,92.35,92.5,92.7,89.95,90.6,91.05,91.08,35057,319298430000.0,1033.0,23689,0.6757
15,15,15,15,15,15,15,15,3156,2019-01-22,NITINSPIN,EQ,91.05,92.4,92.85,91.0,91.0,91.6,91.68,34507,316362295000.0,572.0,15489,0.4489
16,16,16,16,16,16,16,16,3157,2019-01-23,NITINSPIN,EQ,91.6,91.25,92.0,87.0,87.55,88.15,89.14,60903,542881735000.0,1076.0,38878,0.6384000000000001
17,17,17,17,17,17,17,17,3158,2019-01-24,NITINSPIN,EQ,88.15,89.5,89.5,86.5,87.55,86.8,87.4,46560,406957480000.0,601.0,28267,0.6071
18,18,18,18,18,18,18,18,3159,2019-01-25,NITINSPIN,EQ,86.8,86.0,87.95,85.0,87.7,86.45,86.38,44263,382360255000.0,606.0,25357,0.5729
19,19,19,19,19,19,19,19,3160,2019-01-28,NITINSPIN,EQ,86.45,87.0,94.75,82.7,86.7,85.45,85.38,46727,398968410000.0,1002.0,25009,0.5352
20,20,20,20,20,20,20,20,3161,2019-01-29,NITINSPIN,EQ,85.45,84.65,86.4,83.75,84.0,84.25,84.79,15728,133363914999.99995,319.0,9838,0.6255
21,21,21,21,21,21,21,21,3162,2019-01-30,NITINSPIN,EQ,84.25,84.3,85.0,82.2,82.85,83.05,83.54,13795,115248060000.00005,265.0,9810,0.7111
22,22,22,22,22,22,22,22,3163,2019-01-31,NITINSPIN,EQ,83.05,84.2,84.35,81.9,83.15,83.2,82.88,46497,385371260000.0,603.0,21061,0.453
23,23,23,23,23,23,23,23,3164,2019-02-01,NITINSPIN,EQ,83.2,83.3,87.6,82.65,83.8,83.85,84.89,33828,287154990000.0,586.0,12843,0.3797
24,24,24,24,24,24,24,24,3165,2019-02-04,NITINSPIN,EQ,83.85,82.8,94.9,80.15,92.05,87.6,85.85,111046,953345195000.0,1154.0,68316,0.6152000000000001
25,25,25,25,25,25,25,25,3166,2019-02-05,NITINSPIN,EQ,87.6,89.6,89.65,86.2,86.25,86.65,87.72,43477,381367265000.0,625.0,19445,0.4472
26,26,26,26,26,26,26,26,3167,2019-02-06,NITINSPIN,EQ,86.65,87.95,88.05,83.65,85.9,86.7,85.61,48261,413152170000.0,1111.0,21401,0.4434
27,27,27,27,27,27,27,27,3168,2019-02-07,NITINSPIN,EQ,86.7,86.35,88.0,84.05,87.0,87.0,86.24,30761,265288010000.0,557.0,17997,0.5851
28,28,28,28,28,28,28,28,3169,2019-02-08,NITINSPIN,EQ,87.0,86.0,87.0,82.2,84.0,83.7,84.76,33606,284847980000.0,645.0,16898,0.5028
29,29,29,29,29,29,29,29,3170,2019-02-11,NITINSPIN,EQ,83.7,83.0,83.35,80.1,80.25,80.55,81.07,42735,346454650000.0,680.0,26045,0.6095
30,30,30,30,30,30,30,30,3171,2019-02-12,NITINSPIN,EQ,80.55,81.15,82.15,78.05,79.35,80.25,79.7,29773,237296470000.0001,621.0,18271,0.6137
31,31,31,31,31,31,31,31,3172,2019-02-13,NITINSPIN,EQ,80.25,80.85,80.9,78.65,78.75,79.1,79.46,28360,225345130000.0,565.0,15192,0.5357000000000001
32,32,32,32,32,32,32,32,3173,2019-02-14,NITINSPIN,EQ,79.1,78.85,79.0,77.25,77.35,77.65,78.02,26234,204678020000.0,445.0,16385,0.6246
33,33,33,33,33,33,33,33,3174,2019-02-15,NITINSPIN,EQ,77.65,76.6,79.2,76.35,77.35,77.0,77.62,26112,202668520000.0,482.0,17070,0.6537000000000001
34,34,34,34,34,34,34,34,3175,2019-02-18,NITINSPIN,EQ,77.0,77.0,77.0,73.6,74.15,74.35,75.16,28543,214534205000.0,512.0,21185,0.7422
35,35,35,35,35,35,35,35,3176,2019-02-19,NITINSPIN,EQ,74.35,75.8,75.8,73.0,73.0,73.15,74.07,52314,387491960000.0,711.0,36364,0.6951
36,36,36,36,36,36,36,36,3177,2019-02-20,NITINSPIN,EQ,73.15,72.15,74.45,72.15,72.55,72.8,73.11,34996,255865450000.0,653.0,18110,0.5175
37,37,37,37,37,37,37,37,3178,2019-02-21,NITINSPIN,EQ,72.8,72.05,75.15,72.05,74.45,74.2,73.74,31184,229957910000.0,502.0,14870,0.4768
38,38,38,38,38,38,38,38,3179,2019-02-22,NITINSPIN,EQ,74.2,74.2,76.9,74.2,76.9,76.35,75.59,18003,136086895000.0,358.0,11198,0.622
39,39,39,39,39,39,39,39,3180,2019-02-25,NITINSPIN,EQ,76.35,77.0,79.25,76.5,79.25,78.75,77.97,19709,153667355000.0,365.0,13163,0.6679
40,40,40,40,40,40,40,40,3181,2019-02-26,NITINSPIN,EQ,78.75,78.4,78.4,75.5,76.8,77.3,76.74,21439,164524740000.0,417.0,12233,0.5706
41,41,41,41,41,41,41,41,3182,2019-02-27,NITINSPIN,EQ,77.3,77.75,78.8,75.2,75.95,76.3,76.88,25203,193764600000.0,603.0,14650,0.5813
42,42,42,42,42,42,42,42,3183,2019-02-28,NITINSPIN,EQ,76.3,76.35,77.4,75.75,76.1,76.25,76.48,12122,92710720000.0,315.0,5620,0.4636
43,43,43,43,43,43,43,43,3184,2019-03-01,NITINSPIN,EQ,76.25,77.5,78.45,76.5,77.25,77.35,77.34,14620,113074235000.00005,343.0,7776,0.5319
44,44,44,44,44,44,44,44,3185,2019-03-05,NITINSPIN,EQ,77.35,79.9,81.1,78.4,81.1,80.65,80.15,25956,208049360000.0,395.0,20669,0.7963
45,45,45,45,45,45,45,45,3186,2019-03-06,NITINSPIN,EQ,80.65,82.0,85.55,81.95,83.6,83.85,84.03,51109,429462005000.0,702.0,28614,0.5599000000000001
46,46,46,46,46,46,46,46,3187,2019-03-07,NITINSPIN,EQ,83.85,84.0,85.9,83.1,84.1,84.45,84.25,33062,278562370000.0,428.0,16625,0.5028
47,47,47,47,47,47,47,47,3188,2019-03-08,NITINSPIN,EQ,84.45,85.85,85.85,82.45,84.0,82.95,83.11,26742,222253565000.0,429.0,17251,0.6451000000000001
48,48,48,48,48,48,48,48,3189,2019-03-11,NITINSPIN,EQ,82.95,84.2,84.3,83.1,84.3,83.85,83.67,17813,149038610000.0,221.0,12537,0.7038
49,49,49,49,49,49,49,49,3190,2019-03-12,NITINSPIN,EQ,83.85,84.95,84.95,81.65,83.75,83.4,83.22,64344,535482030000.0,766.0,32037,0.4979
50,50,50,50,50,50,50,50,3191,2019-03-13,NITINSPIN,EQ,83.4,83.6,84.8,81.75,82.45,82.95,83.24,29532,245827835000.0,623.0,15930,0.5394
51,51,51,51,51,51,51,51,3192,2019-03-14,NITINSPIN,EQ,82.95,83.3,84.5,82.6,83.5,83.2,83.65,21241,177687570000.0,345.0,12346,0.5811999999999999
52,52,52,52,52,52,52,52,3193,2019-03-15,NITINSPIN,EQ,83.2,83.0,84.2,82.25,84.0,83.9,83.78,23860,199907080000.0,289.0,15430,0.6467
53,53,53,53,53,53,53,53,3194,2019-03-18,NITINSPIN,EQ,83.9,83.0,85.5,83.0,84.35,85.15,84.35,36383,306883810000.0,680.0,18671,0.5132
54,54,54,54,54,54,54,54,3195,2019-03-19,NITINSPIN,EQ,85.15,84.95,85.4,84.2,84.25,84.4,84.74,15790,133806435000.00005,273.0,9962,0.6309
55,55,55,55,55,55,55,55,3196,2019-03-20,NITINSPIN,EQ,84.4,83.15,84.9,83.15,84.8,84.0,84.0,18314,153834555000.0,257.0,14154,0.7729
56,56,56,56,56,56,56,56,3197,2019-03-22,NITINSPIN,EQ,84.0,84.45,84.6,83.0,83.5,83.6,83.62,31184,260774395000.0001,263.0,26289,0.843
57,57,57,57,57,57,57,57,3198,2019-03-25,NITINSPIN,EQ,83.6,83.2,83.85,80.15,81.5,81.4,82.25,18705,153842260000.0,313.0,16726,0.8942
58,58,58,58,58,58,58,58,3199,2019-03-26,NITINSPIN,EQ,81.4,83.3,88.5,79.45,88.0,87.2,85.0,112655,957556835000.0,1438.0,75705,0.672
59,59,59,59,59,59,59,59,3200,2019-03-27,NITINSPIN,EQ,87.2,88.7,92.95,85.5,91.6,90.15,89.16,128711,1147538525000.0,1674.0,92180,0.7162000000000001
60,60,60,60,60,60,60,60,3201,2019-03-28,NITINSPIN,EQ,90.15,90.15,91.0,88.65,89.0,89.25,89.71,21383,191827600000.0,406.0,12760,0.5967
61,61,61,61,61,61,61,61,3202,2019-03-29,NITINSPIN,EQ,89.25,88.0,94.5,86.5,91.05,91.7,90.28,88647,800345610000.0,1116.0,60931,0.6873
62,62,62,62,62,62,62,62,3203,2019-04-01,NITINSPIN,EQ,91.7,92.0,92.0,89.15,89.15,89.65,90.2,26248,236762180000.0,603.0,13927,0.5306000000000001
63,63,63,63,63,63,63,63,3204,2019-04-02,NITINSPIN,EQ,89.65,89.05,90.25,88.0,89.2,88.75,88.84,18340,162927350000.0,390.0,9851,0.5371
64,64,64,64,64,64,64,64,3205,2019-04-03,NITINSPIN,EQ,88.75,90.4,90.4,87.1,88.95,88.3,88.77,26961,239336640000.0,390.0,19966,0.7406
65,65,65,65,65,65,65,65,3206,2019-04-04,NITINSPIN,EQ,88.3,87.2,88.5,87.0,87.6,87.85,87.6,21239,186057575000.0,276.0,16454,0.7747
66,66,66,66,66,66,66,66,3207,2019-04-05,NITINSPIN,EQ,87.85,87.0,88.55,86.75,86.9,87.0,87.51,12018,105170670000.0,442.0,4944,0.4114
67,67,67,67,67,67,67,67,3208,2019-04-08,NITINSPIN,EQ,87.0,86.1,87.5,85.55,85.7,85.95,86.39,12102,104552600000.0,233.0,7553,0.6241
68,68,68,68,68,68,68,68,3209,2019-04-09,NITINSPIN,EQ,85.95,85.7,86.9,84.5,84.6,84.65,85.26,14021,119547214999.99995,387.0,8903,0.635
69,69,69,69,69,69,69,69,3210,2019-04-10,NITINSPIN,EQ,84.65,84.05,88.0,84.05,84.9,85.0,85.73,11666,100015105000.0,255.0,7341,0.6293
70,70,70,70,70,70,70,70,3211,2019-04-11,NITINSPIN,EQ,85.0,85.6,86.85,84.6,84.6,85.05,85.76,15988,137109620000.0,409.0,5367,0.3357
71,71,71,71,71,71,71,71,3212,2019-04-12,NITINSPIN,EQ,85.05,84.95,86.5,84.0,85.1,85.25,85.6,9667,82750810000.0,239.0,5509,0.5699000000000001
72,72,72,72,72,72,72,72,3213,2019-04-15,NITINSPIN,EQ,85.25,85.65,86.85,84.2,84.5,84.45,85.03,22824,194068400000.0,649.0,12125,0.5312
73,73,73,73,73,73,73,73,3214,2019-04-16,NITINSPIN,EQ,84.45,83.5,87.45,83.5,85.65,85.65,85.79,23829,204421825000.0,534.0,12358,0.5186
74,74,74,74,74,74,74,74,3215,2019-04-18,NITINSPIN,EQ,85.65,85.1,86.25,82.65,84.5,84.2,84.38,14543,122708355000.0,467.0,6772,0.4657
75,75,75,75,75,75,75,75,3216,2019-04-22,NITINSPIN,EQ,84.2,83.7,84.7,82.35,83.0,82.75,83.08,19772,164259370000.0,419.0,13411,0.6783
76,76,76,76,76,76,76,76,3217,2019-04-23,NITINSPIN,EQ,82.75,82.85,83.0,80.55,82.0,82.4,82.23,14211,116853750000.0,292.0,9679,0.6811
77,77,77,77,77,77,77,77,3218,2019-04-24,NITINSPIN,EQ,82.4,82.55,83.05,81.0,81.9,81.4,81.67,17055,139287820000.0,255.0,14333,0.8404
78,78,78,78,78,78,78,78,3219,2019-04-25,NITINSPIN,EQ,81.4,82.05,82.05,79.35,80.3,80.25,81.1,42192,342188045000.0,355.0,35459,0.8404
79,79,79,79,79,79,79,79,3220,2019-04-26,NITINSPIN,EQ,80.25,80.35,81.9,79.5,81.9,80.85,80.61,12920,104153225000.0,287.0,7630,0.5906
80,80,80,80,80,80,80,80,3221,2019-04-30,NITINSPIN,EQ,80.85,82.5,82.5,76.65,81.0,81.1,79.4,40253,319614730000.0,1308.0,25408,0.6312
81,81,81,81,81,81,81,81,3222,2019-05-02,NITINSPIN,EQ,81.1,81.85,81.85,79.0,79.3,79.45,79.56,12774,101628595000.0,374.0,8042,0.6296
82,82,82,82,82,82,82,82,3223,2019-05-03,NITINSPIN,EQ,79.45,79.1,80.5,78.0,78.2,78.35,78.82,8453,66624365000.0,218.0,6668,0.7888
83,83,83,83,83,83,83,83,3224,2019-05-06,NITINSPIN,EQ,78.35,78.35,78.35,74.65,76.5,76.55,76.46,21471,164167320000.0,330.0,15893,0.7402
84,84,84,84,84,84,84,84,3225,2019-05-07,NITINSPIN,EQ,76.55,76.55,78.6,76.25,76.3,77.0,77.56,13278,102983065000.0,213.0,10173,0.7662000000000001
