,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,2019-01-01,PDMJEPAPER,EQ,22.7,22.95,23.0,22.4,22.4,22.45,22.63,39692,89809620000.0,149,35273,0.8887
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,584,2019-01-02,PDMJEPAPER,EQ,22.45,22.6,22.9,22.2,22.3,22.25,22.46,28794,64663785000.0,287,24165,0.8392000000000001
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,585,2019-01-03,PDMJEPAPER,EQ,22.25,22.3,23.2,22.3,22.5,22.4,22.44,13211,29650295000.0,190,10514,0.7959
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,586,2019-01-04,PDMJEPAPER,EQ,22.4,22.4,22.6,22.0,22.1,22.1,22.15,48396,107191745000.0,305,41351,0.8544
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,587,2019-01-07,PDMJEPAPER,EQ,22.1,22.15,22.6,21.9,21.9,22.0,22.09,43009,95024200000.0,257,35930,0.8354
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,588,2019-01-08,PDMJEPAPER,EQ,22.0,22.2,22.45,21.95,22.0,22.05,22.14,49197,108946139999.99997,261,30377,0.6175
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,589,2019-01-09,PDMJEPAPER,EQ,22.05,21.95,22.25,21.7,22.0,21.85,21.96,19770,43424725000.0,309,13699,0.6929000000000001
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,590,2019-01-10,PDMJEPAPER,EQ,21.85,22.2,22.3,22.0,22.2,22.2,22.16,10038,22249215000.0,111,6772,0.6746
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,591,2019-01-11,PDMJEPAPER,EQ,22.2,22.25,22.35,22.15,22.15,22.15,22.18,6179,13707170000.000002,84,6042,0.9778
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,592,2019-01-14,PDMJEPAPER,EQ,22.15,22.9,23.0,21.6,22.35,22.3,22.32,27570,61546340000.0,521,16996,0.6165
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,593,2019-01-15,PDMJEPAPER,EQ,22.3,22.3,22.8,22.05,22.15,22.2,22.29,21601,48152045000.0,239,15878,0.7351000000000001
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,594,2019-01-16,PDMJEPAPER,EQ,22.2,22.3,22.8,22.05,22.35,22.2,22.26,14930,33234255000.0,255,11198,0.75
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,595,2019-01-17,PDMJEPAPER,EQ,22.2,22.4,22.5,22.1,22.35,22.4,22.29,17506,39016020000.0,239,14060,0.8031999999999999
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,596,2019-01-18,PDMJEPAPER,EQ,22.4,22.3,22.4,22.0,22.05,22.05,22.16,10308,22846790000.0,157,7610,0.7383
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,597,2019-01-21,PDMJEPAPER,EQ,22.05,22.5,22.5,21.85,22.1,22.1,22.08,23219,51273795000.0,261,15141,0.6520999999999999
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,598,2019-01-22,PDMJEPAPER,EQ,22.1,22.25,22.25,21.45,22.0,21.95,21.83,16624,36282925000.0,243,14402,0.8663
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,599,2019-01-23,PDMJEPAPER,EQ,21.95,22.0,22.4,21.55,21.75,21.65,21.86,25557,55879785000.0,319,14969,0.5857
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,600,2019-01-24,PDMJEPAPER,EQ,21.65,21.85,22.2,21.1,21.35,21.3,21.6,36120,78035435000.0,422,25724,0.7122
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,601,2019-01-25,PDMJEPAPER,EQ,21.3,21.3,21.55,20.3,20.45,20.55,20.89,73414,153364500000.0,929,45799,0.6238
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,602,2019-01-28,PDMJEPAPER,EQ,20.55,20.55,21.0,19.75,20.2,20.1,20.07,37238,74741980000.0,487,28571,0.7673000000000001
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,603,2019-01-29,PDMJEPAPER,EQ,20.1,20.55,20.55,19.6,19.7,19.7,19.83,27945,55426569999.999985,347,16729,0.5986
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,604,2019-01-30,PDMJEPAPER,EQ,19.7,19.9,20.1,19.65,19.95,20.05,19.91,18495,36820990000.0,282,14601,0.7895000000000001
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,605,2019-01-31,PDMJEPAPER,EQ,20.05,20.05,20.95,20.0,20.25,20.15,20.25,22274,45094200000.0,193,11431,0.5132
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,606,2019-02-01,PDMJEPAPER,EQ,20.15,20.25,20.65,19.75,20.1,20.2,20.12,8684,17475895000.0,193,5894,0.6787000000000001
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,607,2019-02-04,PDMJEPAPER,EQ,20.2,19.95,19.95,19.5,19.75,19.5,19.59,25678,50295160000.0,173,19206,0.748
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,608,2019-02-05,PDMJEPAPER,EQ,19.5,19.6,19.95,18.65,18.95,18.75,19.33,26701,51614240000.0,235,18186,0.6811
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,609,2019-02-06,PDMJEPAPER,EQ,18.75,18.95,18.95,18.05,18.45,18.3,18.3,41182,75370750000.0,318,26872,0.6525
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,610,2019-02-07,PDMJEPAPER,EQ,18.3,18.8,18.9,18.35,18.8,18.85,18.72,43964,82317185000.0,232,23083,0.525
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,611,2019-02-08,PDMJEPAPER,EQ,18.85,18.85,19.8,18.55,19.0,18.75,19.16,35839,68682655000.000015,251,17560,0.49
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,612,2019-02-11,PDMJEPAPER,EQ,18.75,18.6,20.0,17.9,19.2,19.4,18.74,63683,119334539999.99995,790,28075,0.4409000000000001
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,613,2019-02-12,PDMJEPAPER,EQ,19.4,19.4,20.2,18.55,18.9,18.9,19.02,27714,52718230000.000015,365,19171,0.6917
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,614,2019-02-13,PDMJEPAPER,EQ,18.9,18.85,19.3,18.3,19.0,18.8,18.91,58711,111012180000.0,620,25156,0.4285000000000001
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,615,2019-02-14,PDMJEPAPER,EQ,18.8,18.55,19.0,17.95,18.05,18.1,18.3,22367,40931890000.0,412,14190,0.6344
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,616,2019-02-15,PDMJEPAPER,EQ,18.1,18.3,18.5,16.7,16.95,17.1,17.33,61554,106696439999.99997,778,40349,0.6555
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,617,2019-02-18,PDMJEPAPER,EQ,17.1,17.1,17.45,16.15,17.2,16.75,16.86,43304,72994960000.0,535,21240,0.4905
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,618,2019-02-19,PDMJEPAPER,EQ,16.75,16.7,17.4,16.6,16.8,16.7,16.92,18260,30897010000.0,285,12331,0.6753
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,619,2019-02-20,PDMJEPAPER,EQ,16.7,16.8,17.55,16.55,17.05,17.15,17.17,35374,60748385000.0,446,19465,0.5503
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,620,2019-02-21,PDMJEPAPER,EQ,17.15,17.5,17.9,17.15,17.6,17.35,17.54,36909,64728430000.000015,386,28246,0.7653
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,621,2019-02-22,PDMJEPAPER,EQ,17.35,17.55,18.2,17.05,17.55,17.5,17.54,36229,63535280000.000015,516,19198,0.5299
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,622,2019-02-25,PDMJEPAPER,EQ,17.5,17.65,18.3,17.25,18.0,17.85,17.8,13588,24188925000.0,249,8368,0.6158
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,623,2019-02-26,PDMJEPAPER,EQ,17.85,17.85,18.45,17.45,17.85,17.65,17.75,11050,19614150000.0,314,6831,0.6182
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,624,2019-02-27,PDMJEPAPER,EQ,17.65,17.85,18.2,17.55,17.55,17.55,17.75,12949,22980500000.0,170,12030,0.929
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,625,2019-02-28,PDMJEPAPER,EQ,17.55,17.6,17.85,17.15,17.3,17.25,17.39,25817,44895025000.0,354,19782,0.7662000000000001
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,626,2019-03-01,PDMJEPAPER,EQ,17.25,17.3,18.2,17.1,18.2,18.05,17.82,91726,163411110000.0,795,42552,0.4639
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,627,2019-03-05,PDMJEPAPER,EQ,18.05,18.25,19.5,17.95,19.45,19.45,18.72,84422,158011940000.0,828,52349,0.6201
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,628,2019-03-06,PDMJEPAPER,EQ,19.45,19.5,20.3,19.05,19.35,19.3,19.65,39056,76761515000.0,659,27581,0.7062
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,629,2019-03-07,PDMJEPAPER,EQ,19.3,19.65,19.65,18.65,19.2,18.95,19.1,19548,37331715000.0,367,14010,0.7167
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,630,2019-03-08,PDMJEPAPER,EQ,18.95,19.0,19.0,18.3,18.8,18.7,18.68,30073,56177005000.000015,398,15616,0.5193
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,631,2019-03-11,PDMJEPAPER,EQ,18.7,18.85,19.8,18.7,19.4,19.4,19.52,42614,83176785000.0,434,28202,0.6618
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,632,2019-03-12,PDMJEPAPER,EQ,19.4,19.4,20.35,19.4,19.4,19.85,20.03,59140,118436235000.00005,448,43732,0.7395
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,633,2019-03-13,PDMJEPAPER,EQ,19.85,19.4,19.85,19.1,19.35,19.3,19.35,23975,46401750000.0,605,13157,0.5488000000000001
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,634,2019-03-14,PDMJEPAPER,EQ,19.3,19.3,19.75,18.5,19.25,19.2,19.1,27197,51956595000.0,660,16665,0.6128
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,635,2019-03-15,PDMJEPAPER,EQ,19.2,19.35,19.85,19.15,19.25,19.35,19.46,26590,51749845000.0,503,19502,0.7334
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,636,2019-03-18,PDMJEPAPER,EQ,19.35,19.4,20.0,19.05,19.1,19.35,19.6,39186,76789275000.0,399,28954,0.7389
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,637,2019-03-19,PDMJEPAPER,EQ,19.35,19.15,19.6,18.95,18.95,19.0,19.19,27217,52242560000.0,363,21647,0.7953
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,638,2019-03-20,PDMJEPAPER,EQ,19.0,19.15,19.7,18.4,18.6,18.7,18.86,24156,45561265000.0,479,16561,0.6856
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,639,2019-03-22,PDMJEPAPER,EQ,18.7,18.85,19.05,18.1,18.4,18.2,18.39,20461,37625080000.0,536,14565,0.7118000000000001
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,640,2019-03-25,PDMJEPAPER,EQ,18.2,18.05,19.5,17.25,18.1,17.85,18.0,44211,79569065000.0,889,27400,0.6198
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,641,2019-03-26,PDMJEPAPER,EQ,17.85,18.15,18.45,17.2,17.85,17.55,17.78,29915,53180560000.0,655,22685,0.7583
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,642,2019-03-27,PDMJEPAPER,EQ,17.55,17.6,18.4,17.45,18.2,17.85,17.91,62057,111150255000.0,1219,22885,0.3688
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,643,2019-03-28,PDMJEPAPER,EQ,17.85,17.65,18.25,17.65,18.1,18.1,18.01,15053,27113855000.0,290,10268,0.6820999999999999
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,644,2019-03-29,PDMJEPAPER,EQ,18.1,17.6,19.25,17.0,17.95,17.8,17.79,59895,106533320000.0,1089,21695,0.3622
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,645,2019-04-01,PDMJEPAPER,EQ,17.8,17.8,18.9,17.8,18.6,18.65,18.44,18926,34896720000.0,386,10146,0.5361
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,646,2019-04-02,PDMJEPAPER,EQ,18.65,18.65,19.2,18.5,18.85,18.95,18.98,62526,118689730000.0,556,37082,0.5931000000000001
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,647,2019-04-03,PDMJEPAPER,EQ,18.95,18.8,19.0,18.45,18.75,18.65,18.81,12068,22698200000.0,339,8619,0.7142000000000001
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,648,2019-04-04,PDMJEPAPER,EQ,18.65,18.8,18.9,18.1,18.3,18.25,18.51,14812,27417100000.0,446,8297,0.5602
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,649,2019-04-05,PDMJEPAPER,EQ,18.25,18.7,18.95,17.95,18.3,18.3,18.44,28102,51806880000.0,508,9269,0.3298
