,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,1736,2019-01-01,PGEL,EQ,100.05,100.9,104.75,99.95,100.5,100.7,101.74,120595,1226958300000.0,2196,48211,0.3998
1,1,1,1,1,1,1,1,1737,2019-01-02,PGEL,EQ,100.7,100.5,101.6,97.05,97.25,97.25,98.02,285488,2798394660000.0,1390,167894,0.5881000000000001
2,2,2,2,2,2,2,2,1738,2019-01-03,PGEL,EQ,97.25,97.5,116.7,96.35,116.7,116.55,111.1,793400,8814631390000.0,7399,247795,0.3123
3,3,3,3,3,3,3,3,1739,2019-01-04,PGEL,EQ,116.55,119.65,129.4,112.6,124.0,124.5,122.07,1414275,17264295730000.002,16503,302056,0.2136
4,4,4,4,4,4,4,4,1740,2019-01-07,PGEL,EQ,124.5,125.35,126.4,120.1,122.95,123.0,123.83,237827,2944953655000.0,2983,92694,0.3898
5,5,5,5,5,5,5,5,1741,2019-01-08,PGEL,EQ,123.0,123.0,124.45,112.6,114.6,113.5,117.65,95812,1127211755000.0,2021,49382,0.5154
6,6,6,6,6,6,6,6,1742,2019-01-09,PGEL,EQ,113.5,113.6,121.9,113.6,113.8,114.95,118.48,455601,5397880860000.0,4732,258637,0.5677000000000001
7,7,7,7,7,7,7,7,1743,2019-01-10,PGEL,EQ,114.95,114.95,122.0,114.95,117.5,118.45,118.91,234326,2786444885000.0,3084,59073,0.2521
8,8,8,8,8,8,8,8,1744,2019-01-11,PGEL,EQ,118.45,119.4,120.05,109.1,110.15,110.7,114.05,265991,3033577350000.0,2778,107034,0.4024
9,9,9,9,9,9,9,9,1745,2019-01-14,PGEL,EQ,110.7,110.9,117.3,108.0,109.0,109.2,111.77,566740,6334334130000.0,4706,144872,0.2556
10,10,10,10,10,10,10,10,1746,2019-01-15,PGEL,EQ,109.2,109.95,111.6,108.05,108.45,108.35,109.64,148764,1631117920000.0,1202,96566,0.6491
11,11,11,11,11,11,11,11,1747,2019-01-16,PGEL,EQ,108.35,111.0,111.0,105.25,105.9,105.85,108.19,70150,758983495000.0,1153,31725,0.4522
12,12,12,12,12,12,12,12,1748,2019-01-17,PGEL,EQ,105.85,107.4,108.35,101.7,102.05,102.1,103.74,195101,2023951255000.0,1656,105850,0.5425
13,13,13,13,13,13,13,13,1749,2019-01-18,PGEL,EQ,102.1,105.0,105.0,101.2,103.7,103.15,103.13,71668,739076985000.0,1127,23261,0.3246
14,14,14,14,14,14,14,14,1750,2019-01-21,PGEL,EQ,103.15,103.6,104.2,100.0,100.75,100.15,101.36,42712,432940715000.0001,726,21041,0.4926
15,15,15,15,15,15,15,15,1751,2019-01-22,PGEL,EQ,100.15,100.95,101.0,96.3,97.5,97.05,98.2,51240,503172355000.0,787,26460,0.5164
16,16,16,16,16,16,16,16,1752,2019-01-23,PGEL,EQ,97.05,96.95,107.0,95.2,99.5,99.4,101.89,301416,3070997830000.0,3620,129738,0.4304
17,17,17,17,17,17,17,17,1753,2019-01-24,PGEL,EQ,99.4,100.7,103.85,98.15,99.35,99.3,100.4,74388,746883775000.0,1139,27399,0.3683
18,18,18,18,18,18,18,18,1754,2019-01-25,PGEL,EQ,99.3,99.15,101.1,97.5,97.6,98.15,99.16,46750,463556810000.0,707,22039,0.4714
19,19,19,19,19,19,19,19,1755,2019-01-28,PGEL,EQ,98.15,98.05,100.0,92.1,93.0,93.6,94.87,36445,345754215000.0,595,16559,0.4544
20,20,20,20,20,20,20,20,1756,2019-01-29,PGEL,EQ,93.6,94.0,94.5,87.45,88.65,88.3,89.95,94456,849635215000.0,1230,43225,0.4576
