,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5502,2019-01-01,POLYPLEX,EQ,525.5,525.65,530.0,521.45,524.0,526.4,525.89,15486,814388170000.0,786.0,10052.0,0.6491
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5503,2019-01-02,POLYPLEX,EQ,526.4,526.7,527.3,517.0,518.5,518.1,522.05,7716,402817050000.0,356.0,5067.0,0.6567000000000001
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5504,2019-01-03,POLYPLEX,EQ,518.1,519.9,521.95,496.2,507.0,505.05,505.82,103695,5245142065000.0,1882.0,94164.0,0.9081
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5505,2019-01-04,POLYPLEX,EQ,505.05,505.1,514.45,505.05,512.15,512.95,510.49,18468,942770665000.0,623.0,11191.0,0.606
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5506,2019-01-07,POLYPLEX,EQ,512.95,514.15,521.0,514.15,517.45,517.4,518.04,6171,319684880000.0,346.0,2999.0,0.486
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5507,2019-01-08,POLYPLEX,EQ,517.4,519.9,519.9,510.8,518.0,514.65,514.3,5699,293097385000.0,329.0,3676.0,0.645
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5508,2019-01-09,POLYPLEX,EQ,514.65,515.2,520.8,498.25,503.1,503.85,506.35,24597,1245479450000.0,1541.0,13925.0,0.5661
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5509,2019-01-10,POLYPLEX,EQ,503.85,509.4,519.7,500.55,505.9,503.5,508.67,24516,1247064200000.0,1344.0,8599.0,0.3508
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5510,2019-01-11,POLYPLEX,EQ,503.5,503.7,513.0,500.55,505.0,507.6,507.64,10873,551952965000.0,565.0,5014.0,0.4611
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5511,2019-01-14,POLYPLEX,EQ,507.6,506.95,511.75,501.1,501.15,502.65,505.97,10589,535766740000.0001,439.0,7555.0,0.7134999999999999
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5512,2019-01-15,POLYPLEX,EQ,502.65,506.05,515.5,503.0,510.0,511.75,511.43,13059,667880905000.0,1075.0,7754.0,0.5938
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5513,2019-01-16,POLYPLEX,EQ,511.75,515.55,517.2,508.4,515.0,513.55,512.65,11665,598010650000.0,693.0,7403.0,0.6346
