,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,2717,2019-01-08,RAMANEWS,EQ,29.05,28.15,30.5,28.15,30.2,30.2,30.0,29775,89322030000.0,99.0,24706,0.8298000000000001
1,1,1,1,1,1,1,1,2718,2019-01-09,RAMANEWS,EQ,30.2,30.2,31.0,29.7,30.25,29.95,30.31,41795,126687345000.0,61.0,35432,0.8478
2,2,2,2,2,2,2,2,2719,2019-01-10,RAMANEWS,EQ,29.95,30.9,30.9,29.7,30.0,30.0,30.15,45485,137136770000.0,241.0,27442,0.6033
3,3,3,3,3,3,3,3,2720,2019-01-11,RAMANEWS,EQ,30.0,29.6,31.0,29.5,29.55,29.7,30.2,81670,246674355000.0,339.0,49795,0.6097
4,4,4,4,4,4,4,4,2721,2019-01-14,RAMANEWS,EQ,29.7,29.95,29.95,28.5,28.8,28.75,29.12,104588,304598135000.0,532.0,60656,0.58
5,5,5,5,5,5,5,5,2722,2019-01-15,RAMANEWS,EQ,28.75,28.2,28.9,27.6,27.6,27.65,28.13,52565,147869715000.0,283.0,40325,0.7671
6,6,6,6,6,6,6,6,2723,2019-01-16,RAMANEWS,EQ,27.65,27.6,27.65,26.3,26.3,26.3,26.78,100561,269295240000.0,344.0,89217,0.8872
7,7,7,7,7,7,7,7,2724,2019-01-17,RAMANEWS,EQ,26.3,26.0,26.0,25.2,25.6,25.5,25.5,113250,288805600000.0,303.0,82908,0.7321
8,8,8,8,8,8,8,8,2725,2019-01-18,RAMANEWS,EQ,25.5,25.0,25.7,24.35,24.7,24.55,24.74,47623,117799735000.00005,199.0,40146,0.843
9,9,9,9,9,9,9,9,2726,2019-01-21,RAMANEWS,EQ,24.55,24.1,24.4,23.6,24.3,24.3,24.16,55720,134616910000.00005,178.0,44097,0.7914
10,10,10,10,10,10,10,10,2727,2019-01-22,RAMANEWS,EQ,24.3,23.9,24.2,23.5,24.0,24.0,23.74,74663,177225990000.0,216.0,61603,0.8251000000000001
11,11,11,11,11,11,11,11,2728,2019-01-23,RAMANEWS,EQ,24.0,24.0,24.8,24.0,24.4,24.35,24.43,25278,61766010000.0,120.0,20869,0.8256
12,12,12,12,12,12,12,12,2729,2019-01-24,RAMANEWS,EQ,24.35,24.35,24.55,23.8,23.9,23.95,23.99,36712,88079065000.0,95.0,32335,0.8808
13,13,13,13,13,13,13,13,2730,2019-01-25,RAMANEWS,EQ,23.95,23.8,24.45,23.75,23.8,23.8,23.93,38182,91382925000.0,116.0,34666,0.9079
14,14,14,14,14,14,14,14,2731,2019-01-28,RAMANEWS,EQ,23.8,23.8,23.8,22.7,22.8,22.85,22.98,152089,349501370000.0,251.0,143015,0.9403
15,15,15,15,15,15,15,15,2732,2019-01-29,RAMANEWS,EQ,22.85,23.35,23.55,23.0,23.55,23.35,23.22,65070,151102540000.0,111.0,59369,0.9124
16,16,16,16,16,16,16,16,2733,2019-01-30,RAMANEWS,EQ,23.35,23.1,24.25,23.1,24.15,24.1,23.91,55417,132485300000.0,117.0,45073,0.8133
