,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,1977,2019-01-01,RAMKY,EQ,155.75,155.75,159.5,152.3,157.6,158.25,157.0,36223,568705160000.0,1087.0,11809,0.326
1,1,1,1,1,1,1,1,1978,2019-01-02,RAMKY,EQ,158.25,157.85,158.85,152.5,155.1,155.4,156.05,38544,601463915000.0,964.0,25982,0.6741
2,2,2,2,2,2,2,2,1979,2019-01-03,RAMKY,EQ,155.4,154.0,160.1,153.15,154.4,155.0,157.16,46819,735786775000.0,1332.0,23052,0.4924
3,3,3,3,3,3,3,3,1980,2019-01-04,RAMKY,EQ,155.0,155.2,159.1,154.3,157.0,156.9,157.1,26098,409993480000.0,574.0,15735,0.6029
4,4,4,4,4,4,4,4,1981,2019-01-07,RAMKY,EQ,156.9,157.3,159.5,153.2,154.5,155.5,157.83,26952,425386130000.0,764.0,15081,0.5596
5,5,5,5,5,5,5,5,1982,2019-01-08,RAMKY,EQ,155.5,156.85,157.35,154.0,155.4,156.15,155.73,17694,275541500000.0,549.0,8125,0.4592000000000001
6,6,6,6,6,6,6,6,1983,2019-01-09,RAMKY,EQ,156.15,157.2,157.2,150.8,151.0,151.55,152.78,22392,342104790000.0,581.0,15763,0.7040000000000001
7,7,7,7,7,7,7,7,1984,2019-01-10,RAMKY,EQ,151.55,151.8,155.05,147.0,148.8,148.75,151.97,73357,1114816415000.0,919.0,59798,0.8151999999999999
8,8,8,8,8,8,8,8,1985,2019-01-11,RAMKY,EQ,148.75,148.05,152.0,147.3,148.8,148.35,149.13,23061,343915560000.0,1114.0,14462,0.6271
9,9,9,9,9,9,9,9,1986,2019-01-14,RAMKY,EQ,148.35,149.95,150.0,145.25,150.0,148.55,147.31,18720,275760465000.0,924.0,7714,0.4121
10,10,10,10,10,10,10,10,1987,2019-01-15,RAMKY,EQ,148.55,150.5,154.0,147.0,147.1,148.45,149.87,22016,329953130000.0,992.0,11180,0.5078
11,11,11,11,11,11,11,11,1988,2019-01-16,RAMKY,EQ,148.45,152.9,152.9,146.0,146.3,146.6,148.17,19905,294924350000.0,851.0,10174,0.5111
12,12,12,12,12,12,12,12,1989,2019-01-17,RAMKY,EQ,146.6,147.3,149.15,145.1,145.1,146.55,147.31,17186,253170630000.0,460.0,10666,0.6206
13,13,13,13,13,13,13,13,1990,2019-01-18,RAMKY,EQ,146.55,146.8,147.35,140.65,142.0,142.0,143.16,16795,240429645000.0001,569.0,9887,0.5887
14,14,14,14,14,14,14,14,1991,2019-01-21,RAMKY,EQ,142.0,145.95,145.95,141.05,143.2,142.7,142.59,9229,131600289999.99995,337.0,5478,0.5936
15,15,15,15,15,15,15,15,1992,2019-01-22,RAMKY,EQ,142.7,143.05,144.1,137.5,138.65,139.15,139.64,17671,246757035000.0,540.0,10986,0.6217
16,16,16,16,16,16,16,16,1993,2019-01-23,RAMKY,EQ,139.15,139.5,140.65,137.0,138.55,139.5,139.66,11084,154798055000.0,239.0,8427,0.7603
17,17,17,17,17,17,17,17,1994,2019-01-24,RAMKY,EQ,139.5,138.05,140.65,133.65,134.9,134.9,136.73,34606,473166820000.0,1060.0,23278,0.6727
18,18,18,18,18,18,18,18,1995,2019-01-25,RAMKY,EQ,134.9,135.45,141.35,128.8,135.0,132.15,135.78,25211,342315340000.0,679.0,13030,0.5168
19,19,19,19,19,19,19,19,1996,2019-01-28,RAMKY,EQ,132.15,133.95,133.95,123.5,125.0,124.7,126.47,26405,333942975000.0,633.0,17966,0.6804000000000001
20,20,20,20,20,20,20,20,1997,2019-01-29,RAMKY,EQ,124.7,122.5,125.95,121.1,122.05,122.95,123.49,16275,200979935000.0,462.0,10417,0.6401000000000001
21,21,21,21,21,21,21,21,1998,2019-01-30,RAMKY,EQ,122.95,123.05,145.4,122.6,136.55,136.75,136.72,139782,1911119340000.0,3639.0,52818,0.3779
22,22,22,22,22,22,22,22,1999,2019-01-31,RAMKY,EQ,136.75,135.05,137.0,130.3,135.55,133.6,134.42,30614,411525510000.0,869.0,15259,0.4984000000000001
23,23,23,23,23,23,23,23,2000,2019-02-01,RAMKY,EQ,133.6,133.35,139.9,131.25,132.0,132.85,135.17,25585,345844370000.0,640.0,16614,0.6494
24,24,24,24,24,24,24,24,2001,2019-02-04,RAMKY,EQ,132.85,133.3,133.3,122.5,122.5,123.2,125.63,39843,500551390000.0001,977.0,26405,0.6627
25,25,25,25,25,25,25,25,2002,2019-02-05,RAMKY,EQ,123.2,121.25,125.95,116.0,119.0,118.6,120.55,52474,632600015000.0,903.0,40749,0.7766
26,26,26,26,26,26,26,26,2003,2019-02-06,RAMKY,EQ,118.6,117.0,123.35,116.9,119.6,119.9,119.55,24775,296187255000.0,751.0,13058,0.5271
27,27,27,27,27,27,27,27,2004,2019-02-07,RAMKY,EQ,119.9,118.55,121.8,118.25,119.0,119.75,119.79,33185,397528450000.0,533.0,25045,0.7547
28,28,28,28,28,28,28,28,2005,2019-02-08,RAMKY,EQ,119.75,123.7,131.0,120.6,128.0,128.8,129.46,317855,4115084030000.0,1890.0,269409,0.8476
29,29,29,29,29,29,29,29,2006,2019-02-11,RAMKY,EQ,128.8,128.45,133.9,127.95,128.95,128.9,130.2,39804,518228720000.0,779.0,23265,0.5845
30,30,30,30,30,30,30,30,2007,2019-02-12,RAMKY,EQ,128.9,130.95,132.95,126.55,129.0,128.2,128.48,25191,323653160000.0,521.0,16250,0.6451000000000001
31,31,31,31,31,31,31,31,2008,2019-02-13,RAMKY,EQ,128.2,131.95,131.95,118.15,120.05,121.35,124.46,55529,691095170000.0,1455.0,33001,0.5943
32,32,32,32,32,32,32,32,2009,2019-02-14,RAMKY,EQ,121.35,108.0,116.7,106.0,113.1,113.4,112.41,67779,761904450000.0,1624.0,35813,0.5284000000000001
33,33,33,33,33,33,33,33,2010,2019-02-15,RAMKY,EQ,113.4,111.3,117.2,111.3,112.0,111.8,113.28,38666,438019535000.0,874.0,26702,0.6906
34,34,34,34,34,34,34,34,2011,2019-02-18,RAMKY,EQ,111.8,114.0,114.0,109.55,111.5,111.4,111.0,22020,244420455000.0,659.0,10201,0.4633
35,35,35,35,35,35,35,35,2012,2019-02-19,RAMKY,EQ,111.4,111.4,111.55,102.65,105.95,104.55,106.71,77222,824036295000.0,1862.0,45764,0.5926
36,36,36,36,36,36,36,36,2013,2019-02-20,RAMKY,EQ,104.55,105.8,109.5,104.55,104.95,105.6,105.93,73647,780142465000.0,1491.0,43345,0.5886
37,37,37,37,37,37,37,37,2014,2019-02-21,RAMKY,EQ,105.6,105.95,110.0,104.55,106.8,107.95,107.99,54572,589318000000.0,1226.0,27878,0.5108
38,38,38,38,38,38,38,38,2015,2019-02-22,RAMKY,EQ,107.95,106.7,109.4,101.65,103.9,103.3,105.67,147212,1555612930000.0,2065.0,103425,0.7026000000000001
39,39,39,39,39,39,39,39,2016,2019-02-25,RAMKY,EQ,103.3,105.8,106.9,103.45,104.0,104.1,105.21,79982,841456000000.0,920.0,45901,0.5739
40,40,40,40,40,40,40,40,2017,2019-02-26,RAMKY,EQ,104.1,103.15,103.9,98.1,99.1,99.65,100.51,115135,1157232255000.0,1614.0,71380,0.62
41,41,41,41,41,41,41,41,2018,2019-02-27,RAMKY,EQ,99.65,101.55,107.0,100.35,101.9,101.55,103.16,66893,690101505000.0,1129.0,33388,0.4991
42,42,42,42,42,42,42,42,2019,2019-02-28,RAMKY,EQ,101.55,100.3,104.7,97.55,98.0,98.45,100.44,95511,959328500000.0,1485.0,64361,0.6739
43,43,43,43,43,43,43,43,2020,2019-03-01,RAMKY,EQ,98.45,99.85,104.7,99.7,102.1,102.25,102.31,112298,1148891695000.0,1455.0,50875,0.453
44,44,44,44,44,44,44,44,2021,2019-03-05,RAMKY,EQ,102.25,102.75,108.6,96.65,107.5,107.6,105.16,212468,2234332800000.0,2121.0,110850,0.5217
45,45,45,45,45,45,45,45,2022,2019-03-06,RAMKY,EQ,107.6,109.3,111.35,107.65,109.45,108.7,109.29,106357,1162323885000.0,1257.0,70309,0.6611
46,46,46,46,46,46,46,46,2023,2019-03-07,RAMKY,EQ,108.7,108.95,114.9,107.4,111.4,111.45,110.83,112935,1251676140000.0,2148.0,50988,0.4515
47,47,47,47,47,47,47,47,2024,2019-03-08,RAMKY,EQ,111.45,111.0,117.0,110.4,114.75,115.3,115.24,187646,2162389185000.0,2487.0,81801,0.4359000000000001
48,48,48,48,48,48,48,48,2025,2019-03-11,RAMKY,EQ,115.3,116.15,118.85,113.7,114.1,115.35,116.74,153456,1791503045000.0,1816.0,88962,0.5797
49,49,49,49,49,49,49,49,2026,2019-03-12,RAMKY,EQ,115.35,116.3,117.4,112.8,113.0,113.45,115.23,102304,1178823230000.0,1145.0,65701,0.6422
50,50,50,50,50,50,50,50,2027,2019-03-13,RAMKY,EQ,113.45,113.4,114.15,109.95,110.25,110.6,111.21,106833,1188043765000.0,1319.0,77586,0.7262000000000001
51,51,51,51,51,51,51,51,2028,2019-03-14,RAMKY,EQ,110.6,110.0,111.0,106.0,107.2,107.45,108.04,78502,848105530000.0001,1272.0,47442,0.6043000000000001
52,52,52,52,52,52,52,52,2029,2019-03-15,RAMKY,EQ,107.45,107.45,108.7,106.0,106.9,106.7,107.25,75418,808884270000.0,841.0,49775,0.66
53,53,53,53,53,53,53,53,2030,2019-03-18,RAMKY,EQ,106.7,106.7,117.0,106.65,115.85,114.9,114.42,271202,3103176175000.0,3617.0,105796,0.3901
54,54,54,54,54,54,54,54,2031,2019-03-19,RAMKY,EQ,114.9,116.1,117.95,111.35,112.25,112.9,114.11,122291,1395507035000.0,1678.0,51082,0.4177
55,55,55,55,55,55,55,55,2032,2019-03-20,RAMKY,EQ,112.9,112.9,113.9,107.0,108.5,108.0,109.28,87632,957631590000.0,1245.0,45761,0.5222
56,56,56,56,56,56,56,56,2033,2019-03-22,RAMKY,EQ,108.0,106.55,110.5,106.55,108.0,108.3,108.95,57069,621752790000.0,883.0,26764,0.469
57,57,57,57,57,57,57,57,2034,2019-03-25,RAMKY,EQ,108.3,108.25,108.25,105.05,105.7,106.0,106.18,40308,427989870000.0,576.0,29623,0.7349
58,58,58,58,58,58,58,58,2035,2019-03-26,RAMKY,EQ,106.0,106.0,108.8,104.65,105.0,105.45,107.38,277778,2982852160000.0,1067.0,244733,0.8809999999999999
59,59,59,59,59,59,59,59,2036,2019-03-27,RAMKY,EQ,105.45,105.45,106.65,100.0,102.0,101.15,103.33,318278,3288779480000.0,1548.0,283919,0.892
