,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,3962,2019-01-08,RANASUG,EQ,3.4,3.45,3.55,3.3,3.5,3.5,3.44,232930,80146855000.0,219.0,124080.0,0.5327000000000001
1,1,1,1,1,1,1,1,3963,2019-01-09,RANASUG,EQ,3.5,3.5,3.5,3.4,3.45,3.45,3.46,138818,48019615000.0,94.0,77502.0,0.5583
2,2,2,2,2,2,2,2,3964,2019-01-10,RANASUG,EQ,3.45,3.5,3.5,3.4,3.4,3.4,3.42,46455,15869929999.999996,69.0,28380.0,0.6109
3,3,3,3,3,3,3,3,3965,2019-01-11,RANASUG,EQ,3.4,3.4,3.45,3.4,3.45,3.4,3.42,90385,30889610000.0,90.0,66027.0,0.7305
4,4,4,4,4,4,4,4,3966,2019-01-14,RANASUG,EQ,3.4,3.4,3.4,3.3,3.35,3.35,3.34,93329,31143290000.000008,82.0,68263.0,0.7314
5,5,5,5,5,5,5,5,3967,2019-01-15,RANASUG,EQ,3.35,3.35,3.5,3.3,3.5,3.45,3.42,165717,56677385000.0,109.0,82246.0,0.4963
6,6,6,6,6,6,6,6,3968,2019-01-16,RANASUG,EQ,3.45,3.4,3.55,3.4,3.45,3.45,3.47,132660,46065195000.0,108.0,79997.0,0.603
7,7,7,7,7,7,7,7,3969,2019-01-17,RANASUG,EQ,3.45,3.45,3.45,3.35,3.4,3.35,3.39,113675,38575170000.0,61.0,81655.0,0.7183
8,8,8,8,8,8,8,8,3970,2019-01-18,RANASUG,EQ,3.35,3.35,3.4,3.3,3.3,3.3,3.33,118192,39376190000.0,117.0,78874.0,0.6673
9,9,9,9,9,9,9,9,3971,2019-01-21,RANASUG,EQ,3.3,3.35,3.35,3.3,3.35,3.3,3.32,59662,19810085000.0,52.0,45097.0,0.7559
10,10,10,10,10,10,10,10,3972,2019-01-22,RANASUG,EQ,3.3,3.3,3.35,3.25,3.3,3.25,3.3,106492,35190430000.0,77.0,85715.0,0.8049
11,11,11,11,11,11,11,11,3973,2019-01-23,RANASUG,EQ,3.25,3.3,3.3,3.2,3.2,3.25,3.25,122689,39854215000.0,122.0,100707.0,0.8208
