,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,3267,2019-01-01,RENUKA,EQ,10.7,10.8,11.1,10.65,11.05,11.05,10.97,578774,634846240000.0,1299.0,287280.0,0.4964
1,1,1,1,1,1,1,1,3268,2019-01-02,RENUKA,EQ,11.05,11.0,11.05,10.85,10.9,10.9,10.97,411621,451461150000.0,931.0,177108.0,0.4303
2,2,2,2,2,2,2,2,3269,2019-01-03,RENUKA,EQ,10.9,11.0,11.2,10.75,10.95,11.0,11.0,820288,902496675000.0,1257.0,305400.0,0.3723
3,3,3,3,3,3,3,3,3270,2019-01-04,RENUKA,EQ,11.0,10.9,11.15,10.9,10.95,11.0,11.04,610094,673685965000.0,825.0,223209.0,0.3659000000000001
4,4,4,4,4,4,4,4,3271,2019-01-07,RENUKA,EQ,11.0,10.95,11.1,10.75,10.9,10.8,10.92,475604,519189670000.0,624.0,255124.0,0.5364
5,5,5,5,5,5,5,5,3272,2019-01-08,RENUKA,EQ,10.8,11.0,11.6,10.8,11.45,11.45,11.35,1708237,1939532770000.0,3048.0,663804.0,0.3886
6,6,6,6,6,6,6,6,3273,2019-01-09,RENUKA,EQ,11.45,11.65,11.65,11.15,11.2,11.2,11.3,529587,598477335000.0,871.0,329318.0,0.6218
7,7,7,7,7,7,7,7,3274,2019-01-10,RENUKA,EQ,11.2,11.25,11.5,11.1,11.35,11.3,11.36,505619,574134945000.0,867.0,231344.0,0.4575
8,8,8,8,8,8,8,8,3275,2019-01-11,RENUKA,EQ,11.3,11.35,11.4,11.0,11.2,11.15,11.21,811855,910428775000.0,873.0,398692.0,0.4911
9,9,9,9,9,9,9,9,3276,2019-01-14,RENUKA,EQ,11.15,11.25,11.25,10.9,10.95,10.95,11.0,331784,364840665000.0,497.0,188446.0,0.568
10,10,10,10,10,10,10,10,3277,2019-01-15,RENUKA,EQ,10.95,11.05,11.5,10.9,11.25,11.3,11.24,750652,843592644999.9999,970.0,372195.0,0.4958
11,11,11,11,11,11,11,11,3278,2019-01-16,RENUKA,EQ,11.3,11.3,11.5,11.15,11.2,11.2,11.33,872434,988337775000.0,1231.0,322406.0,0.3695000000000001
