,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3812,2019-01-01,SAGCEM,EQ,683.3,688.05,694.0,678.0,691.35,689.15,686.16,442,30328115000.000008,83.0,140.0,0.31670000000000004
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3813,2019-01-02,SAGCEM,EQ,689.15,691.3,695.0,682.0,695.0,694.8,691.18,772,53358815000.0,81.0,530.0,0.6865000000000001
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3814,2019-01-03,SAGCEM,EQ,694.8,689.6,696.0,671.4,683.6,681.2,685.18,786,53855175000.0,134.0,535.0,0.6807
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3815,2019-01-04,SAGCEM,EQ,681.2,680.95,683.0,675.0,683.0,676.6,677.48,388,26286220000.0,66.0,316.0,0.8144
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3816,2019-01-07,SAGCEM,EQ,676.6,690.0,698.75,653.0,659.95,659.75,677.76,5657,383406285000.0,444.0,2497.0,0.4414
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3817,2019-01-08,SAGCEM,EQ,659.75,662.9,673.7,651.0,660.0,666.35,662.47,2503,165815210000.0,239.0,1488.0,0.5945
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3818,2019-01-09,SAGCEM,EQ,666.35,667.1,672.0,660.85,672.0,669.5,667.64,682,45532930000.0,77.0,392.0,0.5748
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3819,2019-01-10,SAGCEM,EQ,669.5,664.35,674.9,653.7,672.0,664.3,662.69,1974,130815045000.0,372.0,1178.0,0.5968
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3820,2019-01-11,SAGCEM,EQ,664.3,667.4,674.0,650.5,650.5,656.05,660.71,990,65409910000.0,157.0,687.0,0.6939000000000001
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3821,2019-01-14,SAGCEM,EQ,656.05,651.0,665.05,636.0,636.0,645.5,649.43,1599,103844415000.0,198.0,1019.0,0.6373
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3822,2019-01-15,SAGCEM,EQ,645.5,647.0,647.5,632.3,632.3,639.95,643.84,1450,93357380000.0,111.0,1067.0,0.7359
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3823,2019-01-16,SAGCEM,EQ,639.95,637.1,669.9,637.1,657.0,659.85,655.71,1083,71013705000.0,163.0,778.0,0.7184
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,3824,2019-01-17,SAGCEM,EQ,659.85,665.0,669.45,643.6,652.1,658.5,658.71,2952,194452175000.0,423.0,679.0,0.23
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,3825,2019-01-18,SAGCEM,EQ,658.5,653.7,655.85,642.0,642.0,645.25,647.97,1132,73349765000.0,149.0,693.0,0.6122
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,3826,2019-01-21,SAGCEM,EQ,645.25,645.25,673.0,640.1,640.15,646.35,650.16,1087,70672245000.0,191.0,446.0,0.4103
