,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4877,2019-01-01,SAREGAMA,EQ,600.35,610.0,612.0,598.0,603.0,601.4,601.07,9061,544627195000.0,579.0,5138.0,0.5670000000000001
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4878,2019-01-02,SAREGAMA,EQ,601.4,594.0,599.95,593.75,596.75,596.2,595.63,6246,372030735000.0,357.0,4242.0,0.6792
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4879,2019-01-03,SAREGAMA,EQ,596.2,597.0,600.45,595.0,597.0,596.25,596.34,5463,325783005000.0,370.0,4230.0,0.7743000000000001
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4880,2019-01-04,SAREGAMA,EQ,596.25,605.9,605.95,586.95,600.6,600.5,598.32,10401,622317730000.0,1393.0,4979.0,0.4787
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4881,2019-01-07,SAREGAMA,EQ,600.5,601.0,616.8,596.15,597.9,598.75,608.11,15416,937458270000.0,964.0,8503.0,0.5516
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4882,2019-01-08,SAREGAMA,EQ,598.75,598.75,603.95,594.65,601.0,600.25,598.26,4552,272327890000.0,526.0,2674.0,0.5874
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4883,2019-01-09,SAREGAMA,EQ,600.25,607.7,612.9,595.75,600.0,600.0,605.04,9308,563168645000.0,710.0,4393.0,0.472
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4884,2019-01-10,SAREGAMA,EQ,600.0,598.8,611.0,589.0,600.0,601.9,604.63,19132,1156782210000.0,1669.0,10278.0,0.5372
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4885,2019-01-11,SAREGAMA,EQ,601.9,600.05,610.5,595.5,601.1,606.65,603.37,12745,768999565000.0,1137.0,7071.0,0.5548
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4886,2019-01-14,SAREGAMA,EQ,606.65,595.1,622.0,595.1,604.95,600.4,611.62,21927,1341088705000.0,1904.0,10184.0,0.4645
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4887,2019-01-15,SAREGAMA,EQ,600.4,609.0,627.65,604.9,612.3,618.0,619.28,68041,4213621065000.0,5522.0,29992.0,0.4408
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4888,2019-01-16,SAREGAMA,EQ,618.0,619.15,629.9,612.0,616.8,618.6,620.82,27821,1727171650000.0,1843.0,16503.0,0.5932000000000001
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,4889,2019-01-17,SAREGAMA,EQ,618.6,615.5,620.55,605.25,606.3,608.6,613.12,10965,672287355000.0,846.0,6238.0,0.5689000000000001
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,4890,2019-01-18,SAREGAMA,EQ,608.6,604.85,617.0,602.05,615.0,615.2,610.68,11567,706375795000.0,648.0,7957.0,0.6879000000000001
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,4891,2019-01-21,SAREGAMA,EQ,615.2,602.0,628.2,602.0,618.25,620.45,618.08,21856,1350873930000.0,1011.0,14721.0,0.6735
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,4892,2019-01-22,SAREGAMA,EQ,620.45,621.0,630.0,611.2,623.0,624.9,619.85,20979,1300378880000.0,901.0,11870.0,0.5658
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,4893,2019-01-23,SAREGAMA,EQ,624.9,623.0,635.0,613.55,616.0,617.5,626.34,22022,1379327875000.0,1288.0,10862.0,0.4932
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,4894,2019-01-24,SAREGAMA,EQ,617.5,621.95,624.7,600.05,620.0,613.05,612.31,25917,1586927600000.0,1580.0,11389.0,0.4394
