,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,584,2019-08-19,SHREDIGCEM,EQ,16.2,17.1,17.3,16.5,16.8,16.9,16.84,281821,474637040000.0001,630.0,202772.0,0.7195
1,1,1,1,1,1,1,1,585,2019-08-20,SHREDIGCEM,EQ,16.9,16.6,17.3,16.0,16.6,16.3,16.48,169881,279970270000.0,194.0,120345.0,0.7084
2,2,2,2,2,2,2,2,586,2019-08-21,SHREDIGCEM,EQ,16.3,16.35,16.7,14.05,15.9,15.75,16.09,150461,242033015000.0,313.0,81884.0,0.5442
3,3,3,3,3,3,3,3,587,2019-08-22,SHREDIGCEM,EQ,15.75,15.45,15.9,14.95,15.5,15.5,15.28,46913,71694820000.0,145.0,43474.0,0.9267
4,4,4,4,4,4,4,4,588,2019-08-23,SHREDIGCEM,EQ,15.5,15.15,15.5,15.1,15.45,15.25,15.27,31047,47405770000.0,132.0,25040.0,0.8065000000000001
5,5,5,5,5,5,5,5,589,2019-08-26,SHREDIGCEM,EQ,15.25,15.2,15.9,15.0,15.4,15.1,15.24,44718,68168260000.0,106.0,41510.0,0.9283
6,6,6,6,6,6,6,6,590,2019-08-27,SHREDIGCEM,EQ,15.1,15.45,16.0,15.4,15.95,15.95,15.86,33454,53058675000.0,80.0,24441.0,0.7306
7,7,7,7,7,7,7,7,591,2019-08-28,SHREDIGCEM,EQ,15.95,15.9,16.0,15.45,15.5,15.55,15.57,16932,26370790000.000004,41.0,16101.0,0.9509
8,8,8,8,8,8,8,8,592,2019-08-29,SHREDIGCEM,EQ,15.55,15.7,15.85,15.3,15.35,15.4,15.42,63479,97878510000.0,89.0,59737.0,0.9411
9,9,9,9,9,9,9,9,593,2019-08-30,SHREDIGCEM,EQ,15.4,15.55,15.8,15.45,15.75,15.65,15.51,19079,29599610000.0,41.0,18731.0,0.9818
10,10,10,10,10,10,10,10,594,2019-09-03,SHREDIGCEM,EQ,15.65,15.25,15.8,15.15,15.5,15.4,15.37,75335,115809830000.0,112.0,72958.0,0.9684
11,11,11,11,11,11,11,11,595,2019-09-04,SHREDIGCEM,EQ,15.4,15.4,15.75,15.2,15.35,15.45,15.62,68274,106671885000.00003,92.0,63211.0,0.9258
12,12,12,12,12,12,12,12,596,2019-09-05,SHREDIGCEM,EQ,15.45,15.45,15.7,15.4,15.6,15.6,15.52,48663,75528750000.0,49.0,46077.0,0.9469
13,13,13,13,13,13,13,13,597,2019-09-06,SHREDIGCEM,EQ,15.6,15.5,16.0,15.5,15.9,15.8,15.65,25813,40387475000.0,61.0,24173.0,0.9365
14,14,14,14,14,14,14,14,598,2019-09-09,SHREDIGCEM,EQ,15.8,15.85,16.1,15.45,15.9,15.95,15.97,54858,87613090000.0,78.0,53248.0,0.9707
15,15,15,15,15,15,15,15,599,2019-09-11,SHREDIGCEM,EQ,15.95,16.1,16.75,16.05,16.7,16.65,16.6,144055,239179695000.0001,208.0,125729.0,0.8728
16,16,16,16,16,16,16,16,600,2019-09-12,SHREDIGCEM,EQ,16.65,16.65,17.3,16.35,16.8,16.65,16.96,109035,184959630000.0,244.0,89148.0,0.8176000000000001
17,17,17,17,17,17,17,17,601,2019-09-13,SHREDIGCEM,EQ,16.65,16.4,17.2,16.35,16.85,16.95,16.84,133266,224434550000.0,238.0,112874.0,0.8470000000000001
18,18,18,18,18,18,18,18,602,2019-09-16,SHREDIGCEM,EQ,16.95,16.9,17.2,16.35,17.2,17.0,16.97,210539,357346170000.0,517.0,204205.0,0.9699
19,19,19,19,19,19,19,19,603,2019-09-17,SHREDIGCEM,EQ,17.0,16.8,17.2,16.6,16.85,16.8,16.84,74811,125975095000.0,223.0,67458.0,0.9017
20,20,20,20,20,20,20,20,604,2019-09-18,SHREDIGCEM,EQ,16.8,17.2,17.2,16.0,17.0,16.95,16.77,27601,46286845000.0,106.0,24294.0,0.8802
21,21,21,21,21,21,21,21,605,2019-09-19,SHREDIGCEM,EQ,16.95,17.0,17.0,16.2,16.4,16.45,16.5,65979,108840330000.0,439.0,48368.0,0.7331000000000001
22,22,22,22,22,22,22,22,606,2019-09-20,SHREDIGCEM,EQ,16.45,16.45,17.7,16.25,17.1,17.15,17.29,218892,378427665000.0,1468.0,156341.0,0.7142000000000001
23,23,23,23,23,23,23,23,607,2019-09-23,SHREDIGCEM,EQ,17.15,17.75,17.75,16.9,17.2,17.3,17.32,169188,293063960000.0,662.0,151351.0,0.8946
24,24,24,24,24,24,24,24,608,2019-09-24,SHREDIGCEM,EQ,17.3,17.1,18.15,17.0,17.95,17.8,17.69,221605,391994360000.0,841.0,136694.0,0.6168
25,25,25,25,25,25,25,25,609,2019-09-25,SHREDIGCEM,EQ,17.8,17.8,18.1,17.35,17.55,17.4,17.57,93225,163804710000.0,330.0,79938.0,0.8575
26,26,26,26,26,26,26,26,610,2019-09-26,SHREDIGCEM,EQ,17.4,17.25,17.75,17.1,17.5,17.55,17.36,79642,138243150000.0,470.0,61787.0,0.7758
27,27,27,27,27,27,27,27,611,2019-09-27,SHREDIGCEM,EQ,17.55,17.75,17.75,16.35,17.05,17.05,17.06,102647,175107255000.0,298.0,70750.0,0.6893000000000001
28,28,28,28,28,28,28,28,612,2019-09-30,SHREDIGCEM,EQ,17.05,17.0,17.8,16.9,17.45,17.25,17.25,108597,187328815000.0,507.0,90245.0,0.831
29,29,29,29,29,29,29,29,613,2019-10-01,SHREDIGCEM,EQ,17.25,17.25,17.4,16.1,16.7,16.6,16.62,91870,152710585000.0,348.0,79313.0,0.8633
30,30,30,30,30,30,30,30,614,2019-10-03,SHREDIGCEM,EQ,16.6,17.15,17.15,16.1,16.5,16.5,16.49,41910,69120315000.0,121.0,33148.0,0.7909
31,31,31,31,31,31,31,31,615,2019-10-04,SHREDIGCEM,EQ,16.5,16.95,16.95,16.4,16.6,16.5,16.61,13989,23230500000.0,178.0,12091.0,0.8643000000000001
32,32,32,32,32,32,32,32,616,2019-10-07,SHREDIGCEM,EQ,16.5,16.6,16.8,16.2,16.5,16.5,16.52,64229,106093050000.0,630.0,63256.0,0.9849
33,33,33,33,33,33,33,33,617,2019-10-09,SHREDIGCEM,EQ,16.5,16.7,16.85,16.15,16.85,16.6,16.46,35642,58649825000.0,224.0,27971.0,0.7848
34,34,34,34,34,34,34,34,618,2019-10-10,SHREDIGCEM,EQ,16.6,16.85,16.85,16.3,16.3,16.4,16.52,20514,33897875000.0,135.0,18419.0,0.8979
35,35,35,35,35,35,35,35,619,2019-10-11,SHREDIGCEM,EQ,16.4,16.3,16.5,16.15,16.3,16.45,16.3,28556,46545685000.0,92.0,20996.0,0.7353000000000001
36,36,36,36,36,36,36,36,620,2019-10-14,SHREDIGCEM,EQ,16.45,16.25,16.3,14.55,15.95,16.0,15.34,43601,66887169999.999985,658.0,37195.0,0.8531000000000001
37,37,37,37,37,37,37,37,621,2019-10-15,SHREDIGCEM,EQ,16.0,16.35,16.55,16.0,16.5,16.5,16.24,38138,61920810000.0,117.0,35585.0,0.9331
38,38,38,38,38,38,38,38,622,2019-10-16,SHREDIGCEM,EQ,16.5,16.25,16.95,16.15,16.8,16.75,16.69,55230,92173525000.0,500.0,46061.0,0.8340000000000001
39,39,39,39,39,39,39,39,623,2019-10-17,SHREDIGCEM,EQ,16.75,16.6,17.1,16.5,16.65,16.7,16.79,56399,94722095000.0,700.0,46927.0,0.8321
40,40,40,40,40,40,40,40,624,2019-10-18,SHREDIGCEM,EQ,16.7,17.0,17.0,16.5,17.0,16.75,16.83,55180,92889045000.0,330.0,51187.0,0.9276
41,41,41,41,41,41,41,41,625,2019-10-22,SHREDIGCEM,EQ,16.75,16.4,17.4,16.4,16.8,16.7,16.87,106694,180013975000.0,455.0,89568.0,0.8395
42,42,42,42,42,42,42,42,626,2019-10-23,SHREDIGCEM,EQ,16.7,16.55,17.05,16.55,16.55,16.65,16.74,37340,62524815000.0,117.0,34872.0,0.9339
43,43,43,43,43,43,43,43,627,2019-10-24,SHREDIGCEM,EQ,16.65,16.55,18.45,16.25,17.6,17.65,17.75,446068,791957950000.0,1220.0,275534.0,0.6177
44,44,44,44,44,44,44,44,628,2019-10-25,SHREDIGCEM,EQ,17.65,18.0,20.15,18.0,19.6,19.45,19.23,1783412,3429915285000.0,4569.0,1035493.0,0.5806
45,45,45,45,45,45,45,45,629,2019-10-27,SHREDIGCEM,EQ,19.45,20.3,21.6,20.0,21.45,21.2,21.04,848093,1784562660000.0002,2212.0,524931.0,0.619
46,46,46,46,46,46,46,46,630,2019-10-29,SHREDIGCEM,EQ,21.2,21.65,24.5,20.6,23.65,23.7,23.06,2096702,4835783255000.0,5610.0,1075461.0,0.5129
47,47,47,47,47,47,47,47,631,2019-10-30,SHREDIGCEM,EQ,23.7,23.65,24.2,22.6,23.15,23.0,23.16,987724,2287865390000.0,2776.0,613386.0,0.621
48,48,48,48,48,48,48,48,632,2019-10-31,SHREDIGCEM,EQ,23.0,23.0,23.25,22.05,22.7,22.7,22.85,503470,1150192935000.0,1560.0,327748.0,0.6509999999999999
49,49,49,49,49,49,49,49,633,2019-11-01,SHREDIGCEM,EQ,22.7,22.45,23.0,21.65,21.65,21.8,22.32,489068,1091429735000.0,1363.0,306399.0,0.6265
50,50,50,50,50,50,50,50,634,2019-11-04,SHREDIGCEM,EQ,21.8,22.5,22.5,20.15,21.3,21.05,21.41,446129,955035335000.0,1397.0,242402.0,0.5433
