,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,4186,2019-01-01,SIMPLEXINF,EQ,197.65,197.05,201.55,195.35,199.1,199.8,199.46,12699,253290620000.0001,395.0,9569.0,0.7535
1,1,1,1,1,1,1,1,4187,2019-01-02,SIMPLEXINF,EQ,199.8,202.0,202.0,195.0,196.0,196.95,198.3,7966,157965315000.0,442.0,5692.0,0.7145
2,2,2,2,2,2,2,2,4188,2019-01-03,SIMPLEXINF,EQ,196.95,198.15,203.0,195.1,195.45,196.8,197.44,13812,272706400000.0,418.0,10303.0,0.7459
3,3,3,3,3,3,3,3,4189,2019-01-04,SIMPLEXINF,EQ,196.8,196.1,200.45,190.9,191.5,192.55,194.39,31673,615685410000.0,1671.0,26863.0,0.8481000000000001
4,4,4,4,4,4,4,4,4190,2019-01-07,SIMPLEXINF,EQ,192.55,193.9,195.5,190.5,191.3,191.95,194.04,70955,1376789780000.0,1547.0,67040.0,0.9448
5,5,5,5,5,5,5,5,4191,2019-01-08,SIMPLEXINF,EQ,191.95,192.1,197.0,190.5,190.5,191.35,193.55,19811,383436820000.0,976.0,14405.0,0.7271
6,6,6,6,6,6,6,6,4192,2019-01-09,SIMPLEXINF,EQ,191.35,195.0,195.0,189.4,190.7,189.95,190.95,17964,343013630000.0,881.0,13336.0,0.7424
7,7,7,7,7,7,7,7,4193,2019-01-10,SIMPLEXINF,EQ,189.95,191.0,192.7,190.05,191.75,191.15,191.15,21909,418794960000.0,539.0,18170.0,0.8293
8,8,8,8,8,8,8,8,4194,2019-01-11,SIMPLEXINF,EQ,191.15,192.5,196.65,190.0,194.1,194.95,192.27,86187,1657100655000.0,933.0,79577.0,0.9233
9,9,9,9,9,9,9,9,4195,2019-01-14,SIMPLEXINF,EQ,194.95,192.25,197.0,191.0,192.0,192.05,192.45,10007,192584130000.0,426.0,6576.0,0.6570999999999999
10,10,10,10,10,10,10,10,4196,2019-01-15,SIMPLEXINF,EQ,192.05,193.1,195.0,190.0,191.65,190.8,191.57,30930,592512080000.0,853.0,24994.0,0.8081
11,11,11,11,11,11,11,11,4197,2019-01-16,SIMPLEXINF,EQ,190.8,192.55,195.0,190.0,190.25,190.95,192.21,19711,378860175000.0,886.0,16149.0,0.8193000000000001
12,12,12,12,12,12,12,12,4198,2019-01-17,SIMPLEXINF,EQ,190.95,190.7,192.3,186.2,188.7,187.8,190.23,12646,240570305000.0,700.0,10196.0,0.8063
13,13,13,13,13,13,13,13,4199,2019-01-18,SIMPLEXINF,EQ,187.8,188.8,188.95,183.1,184.0,184.2,185.68,10399,193093250000.0,555.0,7955.0,0.765
14,14,14,14,14,14,14,14,4200,2019-01-21,SIMPLEXINF,EQ,184.2,184.95,185.0,164.8,167.6,170.05,176.25,53109,936059155000.0,1185.0,42962.0,0.8089000000000001
15,15,15,15,15,15,15,15,4201,2019-01-22,SIMPLEXINF,EQ,170.05,169.8,176.0,166.55,170.0,169.25,170.94,42050,718806815000.0,2157.0,30922.0,0.7354
