,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,2781,2019-01-01,SMSPHARMA,EQ,67.4,69.5,69.5,66.1,69.0,68.9,68.63,33392,229162425000.0,278.0,29014,0.8689
1,1,1,1,1,1,1,1,2782,2019-01-02,SMSPHARMA,EQ,68.9,68.55,70.0,68.1,69.25,69.55,69.41,22869,158744860000.0,290.0,13955,0.6102000000000001
2,2,2,2,2,2,2,2,2783,2019-01-03,SMSPHARMA,EQ,69.55,70.5,76.4,69.2,74.4,73.65,74.18,383941,2848064570000.0,3890.0,126179,0.3286
3,3,3,3,3,3,3,3,2784,2019-01-04,SMSPHARMA,EQ,73.65,74.85,75.0,69.5,70.4,70.85,71.84,118269,849643769999.9999,1621.0,58712,0.4964
4,4,4,4,4,4,4,4,2785,2019-01-07,SMSPHARMA,EQ,70.85,69.85,72.5,69.85,71.25,71.15,71.22,48554,345782425000.0,661.0,23830,0.4908
5,5,5,5,5,5,5,5,2786,2019-01-08,SMSPHARMA,EQ,71.15,71.7,74.4,71.0,73.0,73.05,73.39,156466,1148359675000.0,1586.0,55871,0.35710000000000003
6,6,6,6,6,6,6,6,2787,2019-01-09,SMSPHARMA,EQ,73.05,74.0,74.0,70.5,70.5,71.4,71.97,31557,227120705000.0,482.0,19791,0.6272
7,7,7,7,7,7,7,7,2788,2019-01-10,SMSPHARMA,EQ,71.4,71.45,72.15,69.35,70.6,70.6,70.23,28907,203014715000.0,397.0,19231,0.6653
8,8,8,8,8,8,8,8,2789,2019-01-11,SMSPHARMA,EQ,70.6,70.7,73.65,69.5,72.5,72.3,71.96,69407,499463040000.0001,1003.0,24771,0.3569
9,9,9,9,9,9,9,9,2790,2019-01-14,SMSPHARMA,EQ,72.3,72.25,74.9,71.9,72.0,72.8,73.67,52250,384919145000.0,570.0,28041,0.5367000000000001
10,10,10,10,10,10,10,10,2791,2019-01-15,SMSPHARMA,EQ,72.8,73.15,74.45,71.25,74.4,74.05,73.11,40559,296537620000.0,726.0,27071,0.6674
11,11,11,11,11,11,11,11,2792,2019-01-16,SMSPHARMA,EQ,74.05,73.55,75.9,73.55,75.5,75.45,74.89,86114,644903015000.0,712.0,65526,0.7609
12,12,12,12,12,12,12,12,2793,2019-01-17,SMSPHARMA,EQ,75.45,75.65,80.5,74.2,79.55,79.35,78.08,340184,2656281055000.0,2888.0,162901,0.4789
13,13,13,13,13,13,13,13,2794,2019-01-18,SMSPHARMA,EQ,79.35,80.75,81.9,74.8,75.3,76.35,78.81,126346,995693335000.0,1327.0,62193,0.4922
14,14,14,14,14,14,14,14,2795,2019-01-21,SMSPHARMA,EQ,76.35,76.3,77.15,74.5,75.05,75.55,75.6,36215,273781405000.0,529.0,22083,0.6098
15,15,15,15,15,15,15,15,2796,2019-01-22,SMSPHARMA,EQ,75.55,75.4,75.4,72.3,72.5,72.55,72.92,28673,209087725000.0,449.0,19448,0.6783
16,16,16,16,16,16,16,16,2797,2019-01-23,SMSPHARMA,EQ,72.55,72.15,74.4,71.8,72.15,72.5,72.82,14623,106484489999.99997,310.0,9706,0.6637000000000001
17,17,17,17,17,17,17,17,2798,2019-01-24,SMSPHARMA,EQ,72.5,72.2,72.95,70.2,71.5,70.75,71.01,23518,167010900000.0,361.0,15503,0.6592
18,18,18,18,18,18,18,18,2799,2019-01-25,SMSPHARMA,EQ,70.75,70.95,71.55,68.3,70.25,69.9,70.16,29711,208466915000.0,459.0,19328,0.6505
