,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,579,2019-01-01,SPAL,EQ,236.45,239.05,239.95,236.0,239.95,238.55,238.62,1968,46960445000.0,91,1533,0.779
1,1,1,1,1,1,1,1,580,2019-01-02,SPAL,EQ,238.55,238.1,240.0,236.15,240.0,239.1,239.02,2795,66806660000.0,127,2009,0.7188
2,2,2,2,2,2,2,2,581,2019-01-03,SPAL,EQ,239.1,237.4,239.95,230.25,232.0,232.4,233.76,3692,86303250000.0,193,2529,0.685
3,3,3,3,3,3,3,3,582,2019-01-04,SPAL,EQ,232.4,233.85,240.0,232.0,240.0,239.7,237.06,4213,99873105000.0,237,2930,0.6955
4,4,4,4,4,4,4,4,583,2019-01-07,SPAL,EQ,239.7,235.35,240.0,233.95,236.9,235.05,238.39,5796,138170095000.0,172,4734,0.8168000000000001
5,5,5,5,5,5,5,5,584,2019-01-08,SPAL,EQ,235.05,231.05,237.3,231.05,234.05,235.2,234.59,2430,57005094999.999985,130,1580,0.6502
6,6,6,6,6,6,6,6,585,2019-01-09,SPAL,EQ,235.2,234.85,238.0,232.7,233.0,233.35,235.53,1983,46706540000.0,78,1465,0.7388
7,7,7,7,7,7,7,7,586,2019-01-10,SPAL,EQ,233.35,233.35,238.8,233.35,235.5,236.1,236.72,1638,38775175000.0,89,900,0.5495
8,8,8,8,8,8,8,8,587,2019-01-11,SPAL,EQ,236.1,237.7,240.0,235.5,240.0,239.95,239.08,3163,75619735000.0,113,2139,0.6763
9,9,9,9,9,9,9,9,588,2019-01-14,SPAL,EQ,239.95,241.0,241.0,235.25,239.9,239.6,239.54,2711,64938750000.0,78,2184,0.8056000000000001
10,10,10,10,10,10,10,10,589,2019-01-15,SPAL,EQ,239.6,237.6,239.95,232.0,232.5,235.4,236.51,4457,105414075000.0,121,3337,0.7487
11,11,11,11,11,11,11,11,590,2019-01-16,SPAL,EQ,235.4,233.4,237.85,231.0,232.5,232.7,232.56,6031,140258735000.0,157,4545,0.7536
12,12,12,12,12,12,12,12,591,2019-01-17,SPAL,EQ,232.7,234.25,235.95,231.0,231.7,232.8,233.01,2698,62867319999.999985,74,2174,0.8058
13,13,13,13,13,13,13,13,592,2019-01-18,SPAL,EQ,232.8,233.75,233.8,230.0,231.0,231.4,231.06,6605,152617825000.0,129,6230,0.9432
14,14,14,14,14,14,14,14,593,2019-01-21,SPAL,EQ,231.4,236.5,236.5,232.0,233.45,233.5,233.49,5153,120318875000.0,187,4480,0.8694
15,15,15,15,15,15,15,15,594,2019-01-22,SPAL,EQ,233.5,233.95,234.0,224.15,226.0,227.75,229.23,6883,157775840000.0,220,5695,0.8273999999999999
16,16,16,16,16,16,16,16,595,2019-01-23,SPAL,EQ,227.75,224.0,233.85,224.0,225.6,225.9,226.38,2442,55282290000.0,121,1984,0.8124
17,17,17,17,17,17,17,17,596,2019-01-24,SPAL,EQ,225.9,225.9,229.0,222.1,222.65,223.6,224.76,4726,106220325000.0,111,3883,0.8216
18,18,18,18,18,18,18,18,597,2019-01-25,SPAL,EQ,223.6,223.05,229.0,212.8,227.7,225.45,221.01,5274,116562614999.99995,416,3429,0.6502
19,19,19,19,19,19,19,19,598,2019-01-28,SPAL,EQ,225.45,226.55,227.9,211.35,218.7,213.95,216.47,9698,209929170000.00006,647,5510,0.5682
20,20,20,20,20,20,20,20,599,2019-01-29,SPAL,EQ,213.95,215.0,216.9,201.0,215.0,212.7,207.29,19235,398719945000.0,612,11758,0.6113000000000001
21,21,21,21,21,21,21,21,600,2019-01-30,SPAL,EQ,212.7,211.1,233.9,208.5,233.9,229.35,223.79,26155,585318955000.0,407,18173,0.6948000000000001
22,22,22,22,22,22,22,22,601,2019-01-31,SPAL,EQ,229.35,234.0,240.05,227.55,240.0,239.95,238.65,21997,524949465000.0001,405,16238,0.7382
23,23,23,23,23,23,23,23,602,2019-02-01,SPAL,EQ,239.95,239.65,240.0,230.6,236.25,238.95,237.08,3124,74064035000.0,190,1646,0.5269
24,24,24,24,24,24,24,24,603,2019-02-04,SPAL,EQ,238.95,235.0,239.0,229.45,239.0,236.3,235.1,2545,59833094999.999985,133,1867,0.7336
25,25,25,25,25,25,25,25,604,2019-02-05,SPAL,EQ,236.3,233.4,234.15,223.0,223.0,224.4,230.51,4522,104235745000.0,177,3193,0.7061000000000001
26,26,26,26,26,26,26,26,605,2019-02-06,SPAL,EQ,224.4,220.45,225.15,217.75,218.0,219.5,221.94,52509,1165382005000.0,823,51993,0.9902
27,27,27,27,27,27,27,27,606,2019-02-07,SPAL,EQ,219.5,217.0,237.9,215.25,232.0,231.65,231.97,67410,1563739620000.0,1054,63524,0.9424
28,28,28,28,28,28,28,28,607,2019-02-08,SPAL,EQ,231.65,233.95,240.0,230.1,239.8,237.75,234.68,13621,319654545000.0,287,11584,0.8505
29,29,29,29,29,29,29,29,608,2019-02-11,SPAL,EQ,237.75,238.85,238.85,232.0,235.7,234.85,233.94,4043,94582940000.0,104,2499,0.6181
30,30,30,30,30,30,30,30,609,2019-02-12,SPAL,EQ,234.85,236.35,244.35,232.0,240.0,240.65,237.34,15264,362275270000.0,234,13766,0.9019
31,31,31,31,31,31,31,31,610,2019-02-13,SPAL,EQ,240.65,241.95,248.0,235.85,240.0,239.95,240.18,36224,870033660000.0,1302,31488,0.8693000000000001
32,32,32,32,32,32,32,32,611,2019-02-14,SPAL,EQ,239.95,260.0,260.05,245.0,252.05,254.05,253.97,49144,1248112255000.0,1424,27640,0.5624
33,33,33,33,33,33,33,33,612,2019-02-15,SPAL,EQ,254.05,253.55,255.0,252.0,252.0,252.85,252.8,13059,330132435000.0,262,7873,0.6029
34,34,34,34,34,34,34,34,613,2019-02-18,SPAL,EQ,252.85,252.25,257.0,251.7,255.0,254.5,254.0,7730,196343995000.0,221,5361,0.6935
35,35,35,35,35,35,35,35,614,2019-02-19,SPAL,EQ,254.5,254.9,255.0,253.5,255.0,254.45,254.58,3860,98269125000.0,122,3120,0.8083
36,36,36,36,36,36,36,36,615,2019-02-20,SPAL,EQ,254.45,254.9,255.1,251.0,254.8,252.3,253.75,45379,1151512130000.0,384,32513,0.7165
37,37,37,37,37,37,37,37,616,2019-02-21,SPAL,EQ,252.3,253.75,255.5,252.3,255.0,254.35,254.65,18537,472042490000.0001,133,14876,0.8025
38,38,38,38,38,38,38,38,617,2019-02-22,SPAL,EQ,254.35,255.0,255.05,245.25,252.95,252.15,254.63,24607,626556420000.0,460,15709,0.6384000000000001
39,39,39,39,39,39,39,39,618,2019-02-25,SPAL,EQ,252.15,254.0,255.0,251.0,255.0,254.9,254.41,14283,363372595000.0,280,11736,0.8217
40,40,40,40,40,40,40,40,619,2019-02-26,SPAL,EQ,254.9,254.75,255.2,247.0,255.0,254.8,254.68,12513,318685505000.0,201,10205,0.8156
41,41,41,41,41,41,41,41,620,2019-02-27,SPAL,EQ,254.8,252.25,255.0,248.0,251.5,252.25,251.12,15917,399711615000.0,259,11941,0.7502
42,42,42,42,42,42,42,42,621,2019-02-28,SPAL,EQ,252.25,248.5,255.0,243.25,254.0,251.95,250.21,10887,272400485000.0,348,7107,0.6528
43,43,43,43,43,43,43,43,622,2019-03-01,SPAL,EQ,251.95,250.2,255.0,249.95,255.0,253.25,252.88,9774,247162715000.0,245,7145,0.731
44,44,44,44,44,44,44,44,623,2019-03-05,SPAL,EQ,253.25,252.35,274.8,252.05,270.0,258.15,254.43,205692,5233443785000.0,1377,177604,0.8634000000000001
45,45,45,45,45,45,45,45,624,2019-03-06,SPAL,EQ,258.15,263.0,309.75,263.0,294.95,299.25,295.39,163500,4829597595000.0,3943,62569,0.3827
46,46,46,46,46,46,46,46,625,2019-03-07,SPAL,EQ,299.25,299.9,302.45,281.2,282.25,286.55,289.02,55942,1616849830000.0,2783,24740,0.4422
47,47,47,47,47,47,47,47,626,2019-03-08,SPAL,EQ,286.55,281.05,295.0,281.05,295.0,294.25,291.51,14040,409282725000.0,521,6832,0.4866
48,48,48,48,48,48,48,48,627,2019-03-11,SPAL,EQ,294.25,294.25,309.0,291.95,301.0,302.4,304.39,23916,727987090000.0,767,17612,0.7364
49,49,49,49,49,49,49,49,628,2019-03-12,SPAL,EQ,302.4,310.0,333.0,302.0,306.9,309.65,316.58,77186,2443582840000.0,2832,45595,0.5907
50,50,50,50,50,50,50,50,629,2019-03-13,SPAL,EQ,309.65,305.0,319.45,305.0,306.0,307.7,308.55,10191,314444690000.0,536,7715,0.757
51,51,51,51,51,51,51,51,630,2019-03-14,SPAL,EQ,307.7,306.0,324.0,306.0,322.0,315.95,315.13,114032,3593496570000.0005,2464,65602,0.5753
52,52,52,52,52,52,52,52,631,2019-03-15,SPAL,EQ,315.95,320.0,321.45,314.95,315.05,318.65,316.72,37616,1191377780000.0,577,32546,0.8652
53,53,53,53,53,53,53,53,632,2019-03-18,SPAL,EQ,318.65,324.0,325.5,303.2,307.85,307.55,312.26,26246,819549065000.0,767,19870,0.7571
54,54,54,54,54,54,54,54,633,2019-03-19,SPAL,EQ,307.55,309.0,327.0,309.0,317.0,312.8,314.08,10560,331663905000.0,319,7066,0.6691
55,55,55,55,55,55,55,55,634,2019-03-20,SPAL,EQ,312.8,316.75,316.75,309.25,310.45,310.8,311.23,12599,392113505000.0,311,11579,0.919
56,56,56,56,56,56,56,56,635,2019-03-22,SPAL,EQ,310.8,309.0,321.45,305.0,315.0,312.8,314.16,16200,508946220000.0,588,12370,0.7636000000000001
57,57,57,57,57,57,57,57,636,2019-03-25,SPAL,EQ,312.8,313.0,313.05,294.25,294.8,296.65,300.09,16138,484286405000.0,449,13696,0.8487
58,58,58,58,58,58,58,58,637,2019-03-26,SPAL,EQ,296.65,296.3,306.3,296.0,300.0,302.85,301.4,12644,381095460000.0,474,6818,0.5392
59,59,59,59,59,59,59,59,638,2019-03-27,SPAL,EQ,302.85,304.95,313.95,300.1,309.0,304.35,306.86,12579,386003705000.0,530,7214,0.5735
60,60,60,60,60,60,60,60,639,2019-03-28,SPAL,EQ,304.35,309.95,320.35,299.0,310.2,313.7,310.04,122908,3810633055000.0,1853,79317,0.6453
