,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,4610,2019-01-01,SPMLINFRA,EQ,39.65,40.05,40.55,39.1,39.75,39.85,39.72,18191,72259705000.0,292.0,14953.0,0.8220000000000001
1,1,1,1,1,1,1,1,4611,2019-01-02,SPMLINFRA,EQ,39.85,39.25,40.0,39.2,40.0,39.8,39.66,10079,39974685000.0,182.0,7173.0,0.7117
2,2,2,2,2,2,2,2,4612,2019-01-03,SPMLINFRA,EQ,39.8,39.15,40.0,39.1,39.8,39.7,39.66,11023,43716715000.0,153.0,5816.0,0.5276
3,3,3,3,3,3,3,3,4613,2019-01-04,SPMLINFRA,EQ,39.7,39.3,39.5,39.0,39.05,39.15,39.26,13630,53511980000.000015,154.0,10051.0,0.7373999999999999
4,4,4,4,4,4,4,4,4614,2019-01-07,SPMLINFRA,EQ,39.15,39.35,39.75,38.65,38.65,38.75,39.0,16648,64927275000.0,91.0,14896.0,0.8948
5,5,5,5,5,5,5,5,4615,2019-01-08,SPMLINFRA,EQ,38.75,38.75,39.95,38.5,39.7,39.2,38.96,5525,21522925000.0,57.0,3204.0,0.5799000000000001
6,6,6,6,6,6,6,6,4616,2019-01-09,SPMLINFRA,EQ,39.2,39.7,39.9,38.75,39.2,38.8,39.08,11318,44231690000.0,128.0,7859.0,0.6944
7,7,7,7,7,7,7,7,4617,2019-01-10,SPMLINFRA,EQ,38.8,38.25,39.9,37.45,38.75,38.6,38.51,4274,16461054999.999996,82.0,3214.0,0.752
8,8,8,8,8,8,8,8,4618,2019-01-11,SPMLINFRA,EQ,38.6,38.2,39.15,37.75,38.5,37.95,38.19,10356,39548005000.0,95.0,8845.0,0.8541
9,9,9,9,9,9,9,9,4619,2019-01-14,SPMLINFRA,EQ,37.95,37.55,38.6,37.05,37.65,37.45,37.47,11848,44395260000.0,139.0,8111.0,0.6846
10,10,10,10,10,10,10,10,4620,2019-01-15,SPMLINFRA,EQ,37.45,38.65,38.7,36.7,37.1,37.0,37.53,9180,34455355000.0,169.0,5467.0,0.5955
