,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4424,2019-01-01,TAJGVK,EQ,175.35,176.85,181.85,174.0,178.6,179.05,178.56,105822,1889512715000.0,2579.0,44111.0,0.4168
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4425,2019-01-02,TAJGVK,EQ,179.05,175.1,179.35,174.7,175.35,175.75,177.3,19904,352890445000.0,664.0,8607.0,0.4324
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4426,2019-01-03,TAJGVK,EQ,175.75,175.0,179.75,172.3,173.0,174.9,175.17,24864,435552975000.0,791.0,12167.0,0.4893
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4427,2019-01-04,TAJGVK,EQ,174.9,175.6,176.45,172.4,172.85,172.95,174.11,17307,301331310000.0,421.0,9637.0,0.5568
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4428,2019-01-07,TAJGVK,EQ,172.95,173.35,177.9,173.35,175.0,174.8,175.4,15318,268675330000.0,410.0,6474.0,0.4226
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4429,2019-01-08,TAJGVK,EQ,174.8,175.0,175.75,172.3,173.2,173.5,173.79,11004,191235650000.0,414.0,5378.0,0.4887
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4430,2019-01-09,TAJGVK,EQ,173.5,176.6,184.5,176.6,181.55,181.6,182.02,239968,4367907450000.0,4061.0,49667.0,0.207
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4431,2019-01-10,TAJGVK,EQ,181.6,180.0,182.85,178.05,179.95,180.65,180.3,25335,456793340000.0001,705.0,7365.0,0.2907
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4432,2019-01-11,TAJGVK,EQ,180.65,180.35,186.75,180.3,181.1,182.0,184.0,77084,1418321980000.0,1932.0,17464.0,0.2266
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4433,2019-01-14,TAJGVK,EQ,182.0,182.4,183.4,178.1,182.75,180.4,179.57,21094,378784230000.0,509.0,10898.0,0.5166
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4434,2019-01-15,TAJGVK,EQ,180.4,181.1,182.9,180.15,182.15,181.6,181.64,22883,415656825000.0,626.0,11128.0,0.4863
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4435,2019-01-16,TAJGVK,EQ,181.6,181.2,184.0,180.0,180.0,180.5,181.88,17738,322616490000.0,303.0,9789.0,0.5519
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,4436,2019-01-17,TAJGVK,EQ,180.5,179.85,181.95,178.1,178.25,179.85,180.57,10212,184402160000.0,267.0,4369.0,0.4278
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,4437,2019-01-18,TAJGVK,EQ,179.85,180.0,180.0,175.1,175.75,176.0,177.25,9924,175901135000.0,344.0,6073.0,0.612
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,4438,2019-01-21,TAJGVK,EQ,176.0,175.05,177.9,174.3,175.95,175.0,175.96,7405,130296650000.0,320.0,3766.0,0.5086
