,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,2449,2019-01-01,TATAMTRDVR,EQ,92.65,92.65,93.4,91.9,93.25,93.1,92.66,1368683,12682628385000.0,7035.0,331803,0.2424
1,1,1,1,1,1,1,1,2450,2019-01-02,TATAMTRDVR,EQ,93.1,92.0,92.35,90.05,90.35,90.45,91.09,2573415,23442465315000.0,16695.0,953357,0.3705
2,2,2,2,2,2,2,2,2451,2019-01-03,TATAMTRDVR,EQ,90.45,90.8,91.0,88.6,88.85,89.05,89.73,1527655,13707466400000.0,8693.0,394345,0.2581
3,3,3,3,3,3,3,3,2452,2019-01-04,TATAMTRDVR,EQ,89.05,90.5,92.2,90.25,91.65,91.5,91.21,3098808,28263455525000.0,13804.0,644552,0.208
4,4,4,4,4,4,4,4,2453,2019-01-07,TATAMTRDVR,EQ,91.5,92.6,95.35,92.3,93.95,93.9,94.01,3790291,35634249465000.0,17905.0,1008052,0.266
5,5,5,5,5,5,5,5,2454,2019-01-08,TATAMTRDVR,EQ,93.9,93.6,96.3,93.6,95.9,96.0,95.4,3041123,29013168835000.004,14926.0,823515,0.2708
6,6,6,6,6,6,6,6,2455,2019-01-09,TATAMTRDVR,EQ,96.0,96.55,97.35,95.5,97.0,96.9,96.56,3811519,36803730320000.0,24541.0,1631922,0.4282
7,7,7,7,7,7,7,7,2456,2019-01-10,TATAMTRDVR,EQ,96.9,97.05,98.5,96.95,97.8,98.05,97.9,3309742,32402994465000.0,27601.0,1146127,0.34630000000000005
8,8,8,8,8,8,8,8,2457,2019-01-11,TATAMTRDVR,EQ,98.05,98.55,98.8,95.05,95.75,95.8,96.51,3921502,37845607350000.0,26824.0,1375062,0.3506
9,9,9,9,9,9,9,9,2458,2019-01-14,TATAMTRDVR,EQ,95.8,95.5,96.95,94.15,96.4,96.4,95.48,1969605,18805878340000.0,8806.0,621806,0.31570000000000004
10,10,10,10,10,10,10,10,2459,2019-01-15,TATAMTRDVR,EQ,96.4,96.65,98.8,95.65,98.25,98.45,97.45,2024350,19727995680000.0,9084.0,562520,0.2779
11,11,11,11,11,11,11,11,2460,2019-01-16,TATAMTRDVR,EQ,98.45,99.0,99.9,97.85,98.65,98.75,98.92,2944836,29130514480000.0,13683.0,561184,0.1906
12,12,12,12,12,12,12,12,2461,2019-01-17,TATAMTRDVR,EQ,98.75,99.35,99.6,96.8,98.0,98.15,98.2,1380127,13552247685000.0,8060.0,282669,0.2048
