,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,856,2019-01-01,TECHIN,EQ,5.75,5.75,5.75,5.7,5.7,5.7,5.7,233,132815000.0,3,233,1.0
1,1,1,1,1,1,1,1,857,2019-01-02,TECHIN,EQ,5.7,5.95,5.95,5.95,5.95,5.95,5.95,2322,1381590000.0,4,2322,1.0
2,2,2,2,2,2,2,2,858,2019-01-03,TECHIN,EQ,5.95,6.0,6.2,6.0,6.0,6.0,6.12,740,453060000.00000006,9,511,0.6905
3,3,3,3,3,3,3,3,859,2019-01-04,TECHIN,EQ,6.0,6.25,6.25,6.25,6.25,6.25,6.25,600,375000000.0,3,600,1.0
4,4,4,4,4,4,4,4,860,2019-01-07,TECHIN,EQ,6.25,6.55,6.55,6.35,6.35,6.35,6.38,725,462375000.0,2,725,1.0
5,5,5,5,5,5,5,5,861,2019-04-02,TECHIN,EQ,5.4,5.65,5.65,5.15,5.65,5.6,5.58,6190,3452850000.0,15,4650,0.7512000000000001
6,6,6,6,6,6,6,6,862,2019-04-04,TECHIN,EQ,5.6,5.6,5.6,5.6,5.6,5.6,5.6,304,170240000.0,4,304,1.0
7,7,7,7,7,7,7,7,863,2019-04-05,TECHIN,EQ,5.6,5.25,5.85,5.2,5.7,5.7,5.26,3148,1656815000.0000002,11,2797,0.8885
8,8,8,8,8,8,8,8,864,2019-04-08,TECHIN,EQ,5.7,5.2,5.85,5.2,5.2,5.25,5.27,2161,1139220000.0,10,2111,0.9769
9,9,9,9,9,9,9,9,865,2019-04-09,TECHIN,EQ,5.25,5.25,5.7,4.95,4.95,4.95,5.39,3209,1729909999.9999998,9,3093,0.9639
10,10,10,10,10,10,10,10,866,2019-04-10,TECHIN,EQ,4.95,4.9,5.4,4.9,5.4,5.4,5.13,3086,1582275000.0,13,1991,0.6452
11,11,11,11,11,11,11,11,867,2019-04-11,TECHIN,EQ,5.4,5.0,5.85,5.0,5.2,5.7,5.56,4639,2579385000.0,17,3745,0.8073
12,12,12,12,12,12,12,12,868,2019-04-12,TECHIN,EQ,5.7,5.35,6.1,5.35,5.4,5.65,5.71,2679,1529410000.0,11,1626,0.6069
13,13,13,13,13,13,13,13,869,2019-04-15,TECHIN,EQ,5.65,6.2,6.2,5.5,5.6,5.6,5.66,1746,987550000.0,12,1735,0.9937
14,14,14,14,14,14,14,14,870,2019-04-16,TECHIN,EQ,5.6,5.3,5.6,5.1,5.1,5.1,5.32,1872,996760000.0,12,1814,0.969
15,15,15,15,15,15,15,15,871,2019-04-18,TECHIN,EQ,5.1,5.05,5.6,5.05,5.15,5.5,5.33,2735,1457955000.0,17,1535,0.5612
16,16,16,16,16,16,16,16,872,2019-04-22,TECHIN,EQ,5.5,5.0,5.5,5.0,5.0,5.0,5.05,7563,3822400000.0,22,6725,0.8892
17,17,17,17,17,17,17,17,873,2019-04-23,TECHIN,EQ,5.0,4.8,5.45,4.8,5.0,4.95,5.11,1605,820410000.0,12,1173,0.7308
18,18,18,18,18,18,18,18,874,2019-04-24,TECHIN,EQ,4.95,5.4,5.4,4.8,4.8,4.85,5.05,4419,2229545000.0,35,3444,0.7794
19,19,19,19,19,19,19,19,875,2019-04-25,TECHIN,EQ,4.85,4.8,5.3,4.8,4.85,4.9,5.03,2943,1479175000.0,13,1986,0.6748000000000001
20,20,20,20,20,20,20,20,876,2019-04-26,TECHIN,EQ,4.9,4.85,4.9,4.75,4.75,4.75,4.81,2227,1070355000.0,17,2227,1.0
21,21,21,21,21,21,21,21,877,2019-04-30,TECHIN,EQ,4.75,5.0,5.0,4.35,4.85,4.85,4.55,6080,2765720000.0,12,4116,0.677
22,22,22,22,22,22,22,22,878,2019-05-02,TECHIN,EQ,4.85,4.8,4.8,4.6,4.8,4.8,4.79,16563,7925889999.999998,19,16563,1.0
23,23,23,23,23,23,23,23,879,2019-05-03,TECHIN,EQ,4.8,4.5,4.8,4.5,4.8,4.8,4.75,681,323790000.0,7,581,0.8532
24,24,24,24,24,24,24,24,880,2019-05-06,TECHIN,EQ,4.8,4.55,4.8,4.4,4.5,4.5,4.57,6160,2814325000.0,36,2380,0.3864
25,25,25,25,25,25,25,25,881,2019-05-07,TECHIN,EQ,4.5,4.5,4.75,4.4,4.4,4.4,4.72,1223,576770000.0,11,1152,0.9419
26,26,26,26,26,26,26,26,882,2019-05-08,TECHIN,EQ,4.4,4.3,4.8,4.3,4.8,4.8,4.74,3874,1836220000.0,14,2420,0.6247
27,27,27,27,27,27,27,27,883,2019-05-09,TECHIN,EQ,4.8,4.9,5.1,4.45,4.95,4.95,4.51,4572,2060405000.0,29,4456,0.9746
28,28,28,28,28,28,28,28,884,2019-05-10,TECHIN,EQ,4.95,4.55,4.85,4.5,4.85,4.5,4.52,3306,1494905000.0,16,2800,0.8469
29,29,29,29,29,29,29,29,885,2019-05-13,TECHIN,EQ,4.5,4.5,4.85,4.4,4.4,4.4,4.49,1697,762040000.0,8,1681,0.9906
30,30,30,30,30,30,30,30,886,2019-05-14,TECHIN,EQ,4.4,4.25,4.25,4.0,4.0,4.0,4.15,17857,7410214999.999998,28,17041,0.9543
31,31,31,31,31,31,31,31,887,2019-05-15,TECHIN,EQ,4.0,4.0,4.0,3.6,4.0,4.0,3.73,8739,3263170000.0,28,8610,0.9852
32,32,32,32,32,32,32,32,888,2019-05-16,TECHIN,EQ,4.0,3.9,4.0,3.65,3.9,3.9,3.82,4351,1661445000.0,23,1705,0.3919
33,33,33,33,33,33,33,33,889,2019-05-17,TECHIN,EQ,3.9,3.8,3.9,3.75,3.8,3.85,3.81,5133,1955465000.0,28,2822,0.5498
34,34,34,34,34,34,34,34,890,2019-05-20,TECHIN,EQ,3.85,3.7,4.0,3.7,4.0,4.0,3.9,12467,4860005000.0,20,9967,0.7995000000000001
35,35,35,35,35,35,35,35,891,2019-05-21,TECHIN,EQ,4.0,3.85,4.0,3.85,3.9,3.9,3.9,3660,1428580000.0,11,3602,0.9842
36,36,36,36,36,36,36,36,892,2019-05-22,TECHIN,EQ,3.9,3.9,3.9,3.8,3.85,3.85,3.82,1212,462400000.0,6,1212,1.0
37,37,37,37,37,37,37,37,893,2019-05-23,TECHIN,EQ,3.85,3.85,4.0,3.85,4.0,4.0,3.89,467,181650000.0,8,467,1.0
38,38,38,38,38,38,38,38,894,2019-05-24,TECHIN,EQ,4.0,3.85,3.9,3.8,3.8,3.8,3.86,5082,1959745000.0,16,5014,0.9866
39,39,39,39,39,39,39,39,895,2019-05-27,TECHIN,EQ,3.8,3.8,3.85,3.65,3.75,3.75,3.75,27227,10208875000.0,46,24797,0.9108
40,40,40,40,40,40,40,40,896,2019-05-28,TECHIN,EQ,3.75,3.85,3.85,3.6,3.75,3.6,3.64,24106,8766895000.0,25,21602,0.8961
41,41,41,41,41,41,41,41,897,2019-05-29,TECHIN,EQ,3.6,3.55,3.75,3.55,3.75,3.75,3.66,2318,847990000.0,12,2318,1.0
42,42,42,42,42,42,42,42,898,2019-05-30,TECHIN,EQ,3.75,3.75,3.85,3.65,3.85,3.85,3.82,6732,2571730000.0,13,5732,0.8515
43,43,43,43,43,43,43,43,899,2019-05-31,TECHIN,EQ,3.85,3.75,3.75,3.75,3.75,3.75,3.75,3579,1342125000.0,11,3213,0.8976999999999999
44,44,44,44,44,44,44,44,900,2019-06-03,TECHIN,EQ,3.75,3.6,3.9,3.6,3.9,3.9,3.88,241,93455000.0,6,220,0.9129
45,45,45,45,45,45,45,45,901,2019-06-04,TECHIN,EQ,3.9,3.75,3.75,3.75,3.75,3.75,3.75,25,9375000.0,1,25,1.0
46,46,46,46,46,46,46,46,902,2019-06-06,TECHIN,EQ,3.75,3.65,3.75,3.65,3.75,3.75,3.74,65,24305000.0,4,65,1.0
47,47,47,47,47,47,47,47,903,2019-06-07,TECHIN,EQ,3.75,3.75,3.85,3.6,3.85,3.85,3.61,2676,967340000.0,13,2591,0.9682
48,48,48,48,48,48,48,48,904,2019-06-10,TECHIN,EQ,3.85,3.85,4.15,3.5,3.9,3.5,3.55,4345,1542810000.0,13,3625,0.8343
49,49,49,49,49,49,49,49,905,2019-06-11,TECHIN,EQ,3.5,3.25,3.85,3.2,3.25,3.3,3.35,6472,2170475000.0,15,5472,0.8455
50,50,50,50,50,50,50,50,906,2019-06-12,TECHIN,EQ,3.3,3.15,3.6,3.15,3.6,3.6,3.2,194,62050000.0,3,194,1.0
51,51,51,51,51,51,51,51,907,2019-06-13,TECHIN,EQ,3.6,3.25,3.75,3.25,3.65,3.55,3.38,1934,654225000.0,19,1376,0.7115
52,52,52,52,52,52,52,52,908,2019-06-14,TECHIN,EQ,3.55,3.2,3.8,3.2,3.8,3.8,3.23,2688,867375000.0,16,2656,0.9881
53,53,53,53,53,53,53,53,909,2019-06-17,TECHIN,EQ,3.8,3.8,3.95,3.45,3.85,3.85,3.74,1701,636845000.0,14,1217,0.7155
54,54,54,54,54,54,54,54,910,2019-06-18,TECHIN,EQ,3.85,3.5,4.1,3.5,3.8,3.8,3.6,1641,591460000.0,31,1194,0.7276
55,55,55,55,55,55,55,55,911,2019-06-19,TECHIN,EQ,3.8,3.45,3.45,3.45,3.45,3.45,3.45,725,250125000.0,7,520,0.7172
56,56,56,56,56,56,56,56,912,2019-06-20,TECHIN,EQ,3.45,3.15,3.75,3.15,3.5,3.45,3.28,1511,496290000.0,15,1460,0.9662
57,57,57,57,57,57,57,57,913,2019-06-21,TECHIN,EQ,3.45,3.2,3.55,3.2,3.25,3.25,3.23,1171,378005000.0,7,622,0.5312
58,58,58,58,58,58,58,58,914,2019-06-24,TECHIN,EQ,3.25,3.1,3.5,3.05,3.45,3.45,3.13,2600,814335000.0,12,2598,0.9992
59,59,59,59,59,59,59,59,915,2019-06-25,TECHIN,EQ,3.45,3.65,3.65,3.15,3.55,3.5,3.47,8029,2789270000.0,26,7342,0.9144
60,60,60,60,60,60,60,60,916,2019-06-26,TECHIN,EQ,3.5,3.25,3.65,3.25,3.55,3.35,3.35,994,332780000.0,5,843,0.8481000000000001
61,61,61,61,61,61,61,61,917,2019-06-27,TECHIN,EQ,3.35,3.6,3.6,3.3,3.5,3.5,3.45,437,150660000.0,9,308,0.7048000000000001
62,62,62,62,62,62,62,62,918,2019-06-28,TECHIN,EQ,3.5,3.25,3.6,3.25,3.3,3.3,3.44,276,94840000.0,6,251,0.9094
63,63,63,63,63,63,63,63,919,2019-07-01,TECHIN,EQ,3.3,3.3,3.5,3.25,3.5,3.5,3.38,2022,683950000.0,6,1922,0.9505
64,64,64,64,64,64,64,64,920,2019-07-02,TECHIN,EQ,3.5,3.5,3.75,3.25,3.3,3.3,3.53,4042,1428145000.0,16,2998,0.7417
65,65,65,65,65,65,65,65,921,2019-07-03,TECHIN,EQ,3.3,3.2,3.6,3.2,3.6,3.6,3.46,500,172870000.0,6,400,0.8
66,66,66,66,66,66,66,66,922,2019-07-04,TECHIN,EQ,3.6,3.95,3.95,3.6,3.95,3.95,3.86,10108,3897435000.0,19,8522,0.8431000000000001
67,67,67,67,67,67,67,67,923,2019-07-05,TECHIN,EQ,3.95,3.65,4.3,3.65,4.3,3.75,3.81,2402,916325000.0,18,1359,0.5658
68,68,68,68,68,68,68,68,924,2019-07-08,TECHIN,EQ,3.75,3.75,3.75,3.4,3.4,3.4,3.52,88,30970000.0,2,88,1.0
69,69,69,69,69,69,69,69,925,2019-07-10,TECHIN,EQ,3.4,3.1,3.1,3.1,3.1,3.1,3.1,1095,339450000.0,5,1095,1.0
70,70,70,70,70,70,70,70,926,2019-07-11,TECHIN,EQ,3.1,2.8,3.0,2.8,3.0,3.0,2.89,1100,318000000.0,3,600,0.5455
71,71,71,71,71,71,71,71,927,2019-07-12,TECHIN,EQ,3.0,3.0,3.15,3.0,3.15,3.15,3.15,200,62985000.0,2,200,1.0
72,72,72,72,72,72,72,72,928,2019-07-16,TECHIN,EQ,3.15,3.15,3.15,3.15,3.15,3.15,3.15,100,31500000.0,1,100,1.0
73,73,73,73,73,73,73,73,929,2019-07-18,TECHIN,EQ,3.15,3.15,3.2,3.15,3.2,3.2,3.18,94,29845000.0,2,47,0.5
74,74,74,74,74,74,74,74,930,2019-07-19,TECHIN,EQ,3.2,3.05,3.2,3.05,3.1,3.1,3.17,1399,443940000.0,8,1399,1.0
75,75,75,75,75,75,75,75,931,2019-07-22,TECHIN,EQ,3.1,3.0,3.0,3.0,3.0,3.0,3.0,439,131700000.0,1,439,1.0
76,76,76,76,76,76,76,76,932,2019-07-23,TECHIN,EQ,3.0,3.15,3.15,3.15,3.15,3.15,3.15,1491,469665000.0,25,1491,1.0
77,77,77,77,77,77,77,77,933,2019-07-24,TECHIN,EQ,3.15,3.0,3.3,3.0,3.3,3.3,3.09,1107,342270000.0,5,1107,1.0
