,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,5727,2019-01-01,THOMASCOOK,EQ,234.2,236.45,236.45,231.05,233.75,233.85,232.92,28638,667039800000.0,772.0,9137.0,0.3191
1,1,1,1,1,1,1,1,5728,2019-01-02,THOMASCOOK,EQ,233.85,231.1,234.85,228.6,232.0,232.3,231.47,69127,1600089315000.0,2462.0,39031.0,0.5646
2,2,2,2,2,2,2,2,5729,2019-01-03,THOMASCOOK,EQ,232.3,231.3,232.95,230.15,231.9,232.15,231.87,76434,1772255120000.0,2822.0,56038.0,0.7332
3,3,3,3,3,3,3,3,5730,2019-01-04,THOMASCOOK,EQ,232.15,232.0,239.75,231.1,239.75,239.05,235.45,159867,3764050565000.0,4136.0,90302.0,0.5649000000000001
4,4,4,4,4,4,4,4,5731,2019-01-07,THOMASCOOK,EQ,239.05,239.95,239.95,233.25,234.6,234.9,235.29,497371,11702664910000.0,4426.0,456240.0,0.9173
5,5,5,5,5,5,5,5,5732,2019-01-08,THOMASCOOK,EQ,234.9,233.2,236.7,232.45,234.6,235.0,234.53,81060,1901080005000.0,5202.0,58150.0,0.7173999999999999
6,6,6,6,6,6,6,6,5733,2019-01-09,THOMASCOOK,EQ,235.0,234.85,235.1,231.7,234.2,234.7,234.23,78161,1830782675000.0,2512.0,37847.0,0.4842
7,7,7,7,7,7,7,7,5734,2019-01-10,THOMASCOOK,EQ,234.7,233.5,234.9,232.6,234.0,233.95,233.91,68972,1613323755000.0,3053.0,51717.0,0.7498
8,8,8,8,8,8,8,8,5735,2019-01-11,THOMASCOOK,EQ,233.95,234.95,234.95,228.65,233.95,233.0,231.67,80348,1861405380000.0,2262.0,42632.0,0.5306000000000001
9,9,9,9,9,9,9,9,5736,2019-01-14,THOMASCOOK,EQ,233.0,232.0,235.25,231.0,233.55,233.5,233.01,80853,1883919790000.0,2695.0,54781.0,0.6775
10,10,10,10,10,10,10,10,5737,2019-01-15,THOMASCOOK,EQ,233.5,231.2,234.0,231.2,233.9,233.15,233.11,69837,1627941525000.0,2483.0,41656.0,0.5965
11,11,11,11,11,11,11,11,5738,2019-01-16,THOMASCOOK,EQ,233.15,233.1,234.0,229.1,231.25,232.2,232.11,141153,3276334040000.0,15278.0,91833.0,0.6506000000000001
12,12,12,12,12,12,12,12,5739,2019-01-17,THOMASCOOK,EQ,232.2,232.5,234.0,229.5,234.0,232.9,232.05,92849,2154516475000.0,2443.0,63287.0,0.6816
13,13,13,13,13,13,13,13,5740,2019-01-18,THOMASCOOK,EQ,232.9,232.0,232.0,228.15,229.0,229.95,229.99,342977,7888281534999.999,4133.0,319028.0,0.9302
14,14,14,14,14,14,14,14,5741,2019-01-21,THOMASCOOK,EQ,229.95,229.9,229.9,225.1,226.15,226.45,226.61,61501,1393644190000.0,2813.0,31088.0,0.5055
15,15,15,15,15,15,15,15,5742,2019-01-22,THOMASCOOK,EQ,226.45,226.7,226.7,219.0,220.55,220.8,221.14,80818,1787229530000.0,4230.0,46931.0,0.5807
