,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,5527,2019-01-01,TIRUMALCHM,EQ,111.4,111.9,113.5,111.3,113.0,112.9,112.61,134605,1515832945000.0,1973.0,56857.0,0.4224000000000001
1,1,1,1,1,1,1,1,5528,2019-01-02,TIRUMALCHM,EQ,112.9,112.5,114.2,111.0,111.5,111.6,112.41,188433,2118174950000.0,2027.0,96793.0,0.5136999999999999
2,2,2,2,2,2,2,2,5529,2019-01-03,TIRUMALCHM,EQ,111.6,111.9,112.45,109.05,110.4,109.85,110.6,139218,1539716690000.0,1587.0,96883.0,0.6959000000000001
3,3,3,3,3,3,3,3,5530,2019-01-04,TIRUMALCHM,EQ,109.85,110.25,110.95,104.55,106.55,106.4,106.12,432567,4590227215000.0,4859.0,242785.0,0.5613
4,4,4,4,4,4,4,4,5531,2019-01-07,TIRUMALCHM,EQ,106.4,108.8,108.8,104.9,105.55,106.0,107.02,208927,2235923060000.0,3179.0,109076.0,0.5221
5,5,5,5,5,5,5,5,5532,2019-01-08,TIRUMALCHM,EQ,106.0,106.2,109.4,105.1,107.2,107.45,107.28,303247,3253301670000.0,5456.0,141640.0,0.4671
6,6,6,6,6,6,6,6,5533,2019-01-09,TIRUMALCHM,EQ,107.45,108.3,109.0,106.85,107.5,107.55,107.81,176218,1899868650000.0,1990.0,79774.0,0.4527000000000001
7,7,7,7,7,7,7,7,5534,2019-01-10,TIRUMALCHM,EQ,107.55,107.95,111.0,107.15,109.5,109.9,109.07,265157,2892105295000.0,3069.0,143836.0,0.5425
8,8,8,8,8,8,8,8,5535,2019-01-11,TIRUMALCHM,EQ,109.9,110.5,110.55,107.7,108.5,108.4,108.94,168781,1838776320000.0,2186.0,95257.0,0.5644
9,9,9,9,9,9,9,9,5536,2019-01-14,TIRUMALCHM,EQ,108.4,108.5,108.6,105.5,106.1,106.45,106.62,221575,2362516705000.0,3187.0,113323.0,0.5114
10,10,10,10,10,10,10,10,5537,2019-01-15,TIRUMALCHM,EQ,106.45,108.5,110.45,107.55,108.25,108.25,108.91,383153,4173094150000.0,5433.0,179507.0,0.4685
11,11,11,11,11,11,11,11,5538,2019-01-16,TIRUMALCHM,EQ,108.25,109.0,109.6,108.05,108.35,108.65,108.93,193047,2102797795000.0,1839.0,121867.0,0.6313000000000001
12,12,12,12,12,12,12,12,5539,2019-01-17,TIRUMALCHM,EQ,108.65,108.6,108.75,104.55,106.85,107.15,107.4,194095,2084668590000.0,2177.0,95501.0,0.4920000000000001
13,13,13,13,13,13,13,13,5540,2019-01-18,TIRUMALCHM,EQ,107.15,107.85,108.0,105.7,106.2,106.05,106.53,139655,1487760225000.0,2055.0,86476.0,0.6192000000000001
14,14,14,14,14,14,14,14,5541,2019-01-21,TIRUMALCHM,EQ,106.05,108.8,109.5,107.0,107.45,107.5,108.09,430588,4654258905000.0,4921.0,172317.0,0.4002000000000001
15,15,15,15,15,15,15,15,5542,2019-01-22,TIRUMALCHM,EQ,107.5,107.5,108.25,102.65,103.6,103.7,104.41,390304,4075229260000.0,4337.0,238645.0,0.6114
16,16,16,16,16,16,16,16,5543,2019-01-23,TIRUMALCHM,EQ,103.7,103.6,104.9,99.9,100.9,101.2,102.9,345395,3553998229999.9995,4201.0,207951.0,0.6021
17,17,17,17,17,17,17,17,5544,2019-01-24,TIRUMALCHM,EQ,101.2,81.0,86.9,81.0,81.0,81.0,82.11,6018018,49411394170000.0,27266.0,2051105.0,0.3408
18,18,18,18,18,18,18,18,5545,2019-01-25,TIRUMALCHM,EQ,81.0,78.35,83.2,74.5,75.65,75.6,79.66,2517423,20052758280000.0,23016.0,877685.0,0.3486
19,19,19,19,19,19,19,19,5546,2019-01-28,TIRUMALCHM,EQ,75.6,75.6,76.75,68.6,69.15,69.25,71.5,934798,6683868170000.0,7459.0,429854.0,0.4598
20,20,20,20,20,20,20,20,5547,2019-01-29,TIRUMALCHM,EQ,69.25,69.0,73.8,68.85,73.65,73.0,71.83,754457,5419002010000.0,5892.0,322647.0,0.4277
21,21,21,21,21,21,21,21,5548,2019-01-30,TIRUMALCHM,EQ,73.0,74.5,80.3,73.35,80.3,79.75,77.71,930146,7228479415000.001,7547.0,340417.0,0.3660000000000001
22,22,22,22,22,22,22,22,5549,2019-01-31,TIRUMALCHM,EQ,79.75,81.9,82.4,77.6,78.35,78.2,79.97,713026,5702319875000.0,6588.0,349803.0,0.4906
23,23,23,23,23,23,23,23,5550,2019-02-01,TIRUMALCHM,EQ,78.2,79.0,79.3,76.65,76.7,77.1,78.04,312404,2438049755000.0,2977.0,176067.0,0.5636
24,24,24,24,24,24,24,24,5551,2019-02-04,TIRUMALCHM,EQ,77.1,76.0,77.0,74.3,75.4,75.55,75.2,185589,1395695225000.0,2256.0,100193.0,0.5399
25,25,25,25,25,25,25,25,5552,2019-02-05,TIRUMALCHM,EQ,75.55,76.25,76.5,69.9,70.75,70.3,72.4,241876,1751175170000.0,2851.0,153510.0,0.6347
26,26,26,26,26,26,26,26,5553,2019-02-06,TIRUMALCHM,EQ,70.3,69.75,72.6,69.5,71.15,71.35,71.02,176980,1256835675000.0,2007.0,104110.0,0.5883
27,27,27,27,27,27,27,27,5554,2019-02-07,TIRUMALCHM,EQ,71.35,72.0,74.0,70.95,72.15,72.3,72.63,195392,1419098040000.0,2549.0,98077.0,0.5019
28,28,28,28,28,28,28,28,5555,2019-02-08,TIRUMALCHM,EQ,72.3,71.5,73.4,71.5,71.5,71.9,72.41,117517,850894090000.0,1810.0,64311.0,0.5472
