,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,1366,2019-02-11,UMESLTD,EQ,1.65,1.6,1.6,1.6,1.6,1.6,1.6,20,3200000.0,1.0,20,1.0
1,1,1,1,1,1,1,1,1367,2019-02-15,UMESLTD,EQ,1.6,1.55,1.55,1.55,1.55,1.55,1.55,1,155000.0,1.0,1,1.0
2,2,2,2,2,2,2,2,1368,2019-02-22,UMESLTD,EQ,1.55,1.55,1.55,1.55,1.55,1.55,1.55,400,62000000.0,3.0,400,1.0
3,3,3,3,3,3,3,3,1369,2019-02-26,UMESLTD,EQ,1.55,1.55,1.55,1.5,1.5,1.5,1.53,2,305000.0,2.0,2,1.0
4,4,4,4,4,4,4,4,1370,2019-02-27,UMESLTD,EQ,1.5,1.45,1.45,1.45,1.45,1.45,1.45,5,725000.0,1.0,5,1.0
5,5,5,5,5,5,5,5,1371,2019-03-06,UMESLTD,EQ,1.45,1.4,1.4,1.4,1.4,1.4,1.4,1,140000.0,1.0,1,1.0
6,6,6,6,6,6,6,6,1372,2019-03-07,UMESLTD,EQ,1.4,1.35,1.35,1.35,1.35,1.35,1.35,5,675000.0,1.0,5,1.0
7,7,7,7,7,7,7,7,1373,2019-03-15,UMESLTD,EQ,1.35,1.3,1.3,1.3,1.3,1.3,1.3,10,1300000.0,1.0,10,1.0
8,8,8,8,8,8,8,8,1374,2019-03-18,UMESLTD,EQ,1.3,1.3,1.3,1.25,1.25,1.25,1.25,239,29880000.0,3.0,239,1.0
9,9,9,9,9,9,9,9,1375,2019-03-19,UMESLTD,EQ,1.25,1.25,1.25,1.2,1.2,1.2,1.2,216,25925000.0,3.0,216,1.0
10,10,10,10,10,10,10,10,1376,2019-03-25,UMESLTD,EQ,1.2,1.2,1.2,1.2,1.2,1.2,1.2,100,12000000.0,1.0,100,1.0
11,11,11,11,11,11,11,11,1377,2019-03-26,UMESLTD,EQ,1.2,1.2,1.2,1.2,1.2,1.2,1.2,60,7200000.0,1.0,60,1.0
12,12,12,12,12,12,12,12,1378,2019-03-27,UMESLTD,EQ,1.2,1.25,1.25,1.25,1.25,1.25,1.25,900,112500000.0,1.0,900,1.0
13,13,13,13,13,13,13,13,1379,2019-03-28,UMESLTD,EQ,1.25,1.25,1.3,1.2,1.3,1.3,1.25,15000,1868010000.0,9.0,9000,0.6
14,14,14,14,14,14,14,14,1380,2019-03-29,UMESLTD,EQ,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1000,130000000.0,5.0,1000,1.0
15,15,15,15,15,15,15,15,1381,2019-04-01,UMESLTD,EQ,1.3,1.3,1.35,1.25,1.35,1.35,1.31,4199,550670000.0,5.0,4199,1.0
16,16,16,16,16,16,16,16,1382,2019-04-02,UMESLTD,EQ,1.35,1.3,1.3,1.3,1.3,1.3,1.3,1050,136500000.0,4.0,1050,1.0
17,17,17,17,17,17,17,17,1383,2019-04-03,UMESLTD,EQ,1.3,1.3,1.3,1.3,1.3,1.3,1.3,4184,543920000.0,5.0,4184,1.0
18,18,18,18,18,18,18,18,1384,2019-04-04,UMESLTD,EQ,1.3,1.3,1.35,1.3,1.35,1.35,1.34,1122,150860000.0,2.0,1122,1.0
19,19,19,19,19,19,19,19,1385,2019-04-05,UMESLTD,EQ,1.35,1.3,1.4,1.3,1.4,1.4,1.4,2423,338720000.0,7.0,2423,1.0
20,20,20,20,20,20,20,20,1386,2019-04-08,UMESLTD,EQ,1.4,1.4,1.4,1.35,1.35,1.35,1.35,5166,698230000.0,4.0,5166,1.0
21,21,21,21,21,21,21,21,1387,2019-04-09,UMESLTD,EQ,1.35,1.3,1.35,1.3,1.35,1.35,1.32,1516,199660000.0,4.0,1516,1.0
22,22,22,22,22,22,22,22,1388,2019-04-10,UMESLTD,EQ,1.35,1.4,1.4,1.4,1.4,1.4,1.4,3180,445200000.0,2.0,3180,1.0
23,23,23,23,23,23,23,23,1389,2019-04-11,UMESLTD,EQ,1.4,1.45,1.45,1.45,1.45,1.45,1.45,33783,4898535000.0,10.0,33783,1.0
24,24,24,24,24,24,24,24,1390,2019-04-12,UMESLTD,EQ,1.45,1.45,1.5,1.45,1.5,1.5,1.5,33038,4945510000.0,12.0,33038,1.0
25,25,25,25,25,25,25,25,1391,2019-04-15,UMESLTD,EQ,1.5,1.55,1.55,1.55,1.55,1.55,1.55,14060,2179300000.0,5.0,14060,1.0
26,26,26,26,26,26,26,26,1392,2019-04-18,UMESLTD,EQ,1.55,1.6,1.6,1.6,1.6,1.6,1.6,200,32000000.0,1.0,200,1.0
27,27,27,27,27,27,27,27,1393,2019-04-23,UMESLTD,EQ,1.6,1.65,1.65,1.65,1.65,1.65,1.65,11973,1975545000.0,7.0,11973,1.0
28,28,28,28,28,28,28,28,1394,2019-04-24,UMESLTD,EQ,1.65,1.6,1.6,1.6,1.6,1.6,1.6,2000,320000000.0,2.0,2000,1.0
29,29,29,29,29,29,29,29,1395,2019-04-26,UMESLTD,EQ,1.6,1.65,1.65,1.65,1.65,1.65,1.65,252,41580000.0,2.0,252,1.0
30,30,30,30,30,30,30,30,1396,2019-05-03,UMESLTD,EQ,1.65,1.65,1.7,1.65,1.7,1.7,1.7,210,35650000.0,3.0,210,1.0
31,31,31,31,31,31,31,31,1397,2019-05-06,UMESLTD,EQ,1.7,1.75,1.75,1.75,1.75,1.75,1.75,1070,187250000.0,3.0,1070,1.0
32,32,32,32,32,32,32,32,1398,2019-05-07,UMESLTD,EQ,1.75,1.8,1.8,1.8,1.8,1.8,1.8,2700,486000000.0,5.0,2700,1.0
33,33,33,33,33,33,33,33,1399,2019-05-09,UMESLTD,EQ,1.8,1.85,1.85,1.85,1.85,1.85,1.85,1000,185000000.0,3.0,1000,1.0
34,34,34,34,34,34,34,34,1400,2019-05-10,UMESLTD,EQ,1.85,1.85,1.9,1.85,1.9,1.9,1.9,11150,2116000000.0,8.0,11150,1.0
35,35,35,35,35,35,35,35,1401,2019-05-13,UMESLTD,EQ,1.9,1.9,1.9,1.9,1.9,1.9,1.9,13326,2531940000.0,13.0,13326,1.0
36,36,36,36,36,36,36,36,1402,2019-05-14,UMESLTD,EQ,1.9,1.85,1.95,1.85,1.95,1.95,1.86,2200,409000000.0,3.0,2200,1.0
37,37,37,37,37,37,37,37,1403,2019-05-15,UMESLTD,EQ,1.95,1.95,1.95,1.9,1.9,1.9,1.9,1001,190195000.0,2.0,1001,1.0
38,38,38,38,38,38,38,38,1404,2019-05-16,UMESLTD,EQ,1.9,1.85,1.85,1.85,1.85,1.85,1.85,3350,619750000.0,6.0,3350,1.0
39,39,39,39,39,39,39,39,1405,2019-05-17,UMESLTD,EQ,1.85,1.8,1.8,1.8,1.8,1.8,1.8,2004,360720000.0,5.0,2004,1.0
40,40,40,40,40,40,40,40,1406,2019-05-28,UMESLTD,EQ,1.8,1.75,1.85,1.75,1.85,1.85,1.76,2675,471385000.00000006,6.0,2675,1.0
41,41,41,41,41,41,41,41,1407,2019-05-29,UMESLTD,EQ,1.85,1.9,1.9,1.9,1.9,1.9,1.9,1795,341050000.0,7.0,1795,1.0
42,42,42,42,42,42,42,42,1408,2019-06-03,UMESLTD,EQ,1.9,1.9,1.9,1.9,1.9,1.9,1.9,630,119700000.0,3.0,630,1.0
43,43,43,43,43,43,43,43,1409,2019-06-11,UMESLTD,EQ,1.9,1.95,1.95,1.95,1.95,1.95,1.95,1007,196365000.0,4.0,1007,1.0
44,44,44,44,44,44,44,44,1410,2019-06-12,UMESLTD,EQ,1.95,1.95,2.0,1.95,2.0,2.0,2.0,1450,289785000.0,9.0,1200,0.8276000000000001
45,45,45,45,45,45,45,45,1411,2019-06-13,UMESLTD,EQ,2.0,2.0,2.1,2.0,2.0,2.0,2.1,11360,2385000000.0,14.0,11360,1.0
46,46,46,46,46,46,46,46,1412,2019-06-14,UMESLTD,EQ,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1356,257640000.0,4.0,1356,1.0
47,47,47,47,47,47,47,47,1413,2019-06-19,UMESLTD,EQ,1.9,1.9,1.9,1.85,1.85,1.85,1.87,225,42125000.0,2.0,225,1.0
48,48,48,48,48,48,48,48,1414,2019-06-20,UMESLTD,EQ,1.85,1.85,1.85,1.85,1.85,1.85,1.85,2,370000.0,2.0,2,1.0
49,49,49,49,49,49,49,49,1415,2019-06-25,UMESLTD,EQ,1.85,1.85,1.85,1.8,1.8,1.8,1.84,4225,779105000.0,4.0,4225,1.0
50,50,50,50,50,50,50,50,1416,2019-06-26,UMESLTD,EQ,1.8,1.75,1.75,1.75,1.75,1.75,1.75,5765,1008875000.0,5.0,5765,1.0
51,51,51,51,51,51,51,51,1417,2019-06-27,UMESLTD,EQ,1.75,1.7,1.7,1.7,1.7,1.7,1.7,125,21250000.0,2.0,125,1.0
