,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261,2019-01-01,UNIVCABLES,EQ,279.9,281.55,283.6,275.3,276.55,277.1,279.05,56992,1590388190000.0,1521.0,23816.0,0.4179
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4262,2019-01-02,UNIVCABLES,EQ,277.1,274.25,279.75,272.4,274.5,274.65,276.13,39143,1080865190000.0,1188.0,20042.0,0.512
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4263,2019-01-03,UNIVCABLES,EQ,274.65,274.0,279.5,270.0,270.0,272.0,275.09,60071,1652507880000.0,2061.0,14776.0,0.246
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4264,2019-01-04,UNIVCABLES,EQ,272.0,272.0,274.8,268.55,271.7,271.35,271.12,45976,1246507175000.0,1486.0,18560.0,0.4037
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4265,2019-01-07,UNIVCABLES,EQ,271.35,273.3,274.45,261.1,264.05,264.4,268.33,48260,1294969710000.0,1487.0,24293.0,0.5034000000000001
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4266,2019-01-08,UNIVCABLES,EQ,264.4,263.0,274.7,263.0,274.0,273.1,269.72,63318,1707840414999.9998,1582.0,25848.0,0.4082
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4267,2019-01-09,UNIVCABLES,EQ,273.1,274.75,276.05,264.65,265.5,266.6,269.27,85177,2293533700000.0,1949.0,36072.0,0.4235
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4268,2019-01-10,UNIVCABLES,EQ,266.6,265.0,268.35,260.0,260.9,260.95,263.4,67567,1779730464999.9998,1492.0,35410.0,0.5241
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4269,2019-01-11,UNIVCABLES,EQ,260.95,262.0,265.85,252.25,264.0,261.45,257.7,126297,3254710310000.0,2409.0,58970.0,0.4669
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4270,2019-01-14,UNIVCABLES,EQ,261.45,259.0,264.95,258.2,261.0,261.65,261.51,33520,876576194999.9999,995.0,16056.0,0.479
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4271,2019-01-15,UNIVCABLES,EQ,261.65,260.6,272.15,260.6,272.0,270.2,268.02,72896,1953728535000.0,2458.0,33314.0,0.457
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4272,2019-01-16,UNIVCABLES,EQ,270.2,274.9,276.0,265.75,271.5,271.35,269.85,79145,2135740290000.0,1464.0,40317.0,0.5094
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,4273,2019-01-17,UNIVCABLES,EQ,271.35,270.95,273.55,268.0,270.55,270.45,270.34,27439,741780445000.0,688.0,14732.0,0.5369
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,4274,2019-01-18,UNIVCABLES,EQ,270.45,269.55,270.15,261.8,263.6,263.6,265.49,19376,514415210000.0,656.0,11927.0,0.6156
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,4275,2019-01-21,UNIVCABLES,EQ,263.6,262.6,265.3,256.7,259.1,259.9,259.87,47327,1229899595000.0,873.0,24739.0,0.5227
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,4276,2019-01-22,UNIVCABLES,EQ,259.9,258.55,259.45,251.2,255.0,253.05,254.33,48858,1242583860000.0,1089.0,25290.0,0.5176
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,4277,2019-01-23,UNIVCABLES,EQ,253.05,252.55,259.8,252.35,255.1,255.25,256.62,36481,936175010000.0,1107.0,16909.0,0.4635
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,4278,2019-01-24,UNIVCABLES,EQ,255.25,255.0,257.95,250.05,250.1,251.25,252.07,54874,1383198040000.0,847.0,35174.0,0.6409999999999999
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,4279,2019-01-25,UNIVCABLES,EQ,251.25,251.3,257.5,241.15,243.0,242.65,250.48,82050,2055189900000.0,2421.0,45935.0,0.5598
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,4280,2019-01-28,UNIVCABLES,EQ,242.65,242.0,248.35,213.2,229.9,231.35,226.35,111431,2522269430000.0,2765.0,56723.0,0.509
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,4281,2019-01-29,UNIVCABLES,EQ,231.35,226.0,235.0,226.0,233.8,233.2,232.76,32886,765465755000.0,832.0,19170.0,0.5829
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,4282,2019-01-30,UNIVCABLES,EQ,233.2,233.6,243.45,232.3,240.55,241.25,238.92,33050,789641970000.0,722.0,21979.0,0.665
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,4283,2019-01-31,UNIVCABLES,EQ,241.25,238.55,258.85,238.55,254.9,252.7,249.97,49059,1226334370000.0,1437.0,28424.0,0.5794
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,4284,2019-02-01,UNIVCABLES,EQ,252.7,253.6,255.7,248.0,250.0,250.1,250.93,48403,1214566525000.0,1227.0,26635.0,0.5503
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,4285,2019-02-04,UNIVCABLES,EQ,250.1,248.0,248.9,237.35,242.0,239.6,243.05,37034,900124485000.0,818.0,26154.0,0.7062
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4286,2019-02-05,UNIVCABLES,EQ,239.6,236.3,246.5,236.3,244.5,241.95,243.89,39303,958578360000.0,846.0,24763.0,0.6301
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,4287,2019-02-06,UNIVCABLES,EQ,241.95,242.65,248.8,237.5,248.45,246.0,242.6,65818,1596750040000.0,1356.0,51154.0,0.7772
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,4288,2019-02-07,UNIVCABLES,EQ,246.0,245.95,257.7,242.1,255.4,254.85,252.89,103269,2611534915000.0,1663.0,67308.0,0.6518
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,4289,2019-02-08,UNIVCABLES,EQ,254.85,255.8,266.0,255.8,260.95,260.65,261.18,135109,3528842754999.9995,1930.0,100528.0,0.7441
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,4290,2019-02-11,UNIVCABLES,EQ,260.65,262.8,267.8,226.1,232.1,232.45,243.93,175665,4285035175000.0,3553.0,81957.0,0.4666
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,4291,2019-02-12,UNIVCABLES,EQ,232.45,232.0,235.5,216.1,219.0,220.05,223.3,140964,3147763315000.0,2970.0,75007.0,0.5321
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,4292,2019-02-13,UNIVCABLES,EQ,220.05,223.0,223.45,192.6,196.5,195.35,202.89,184753,3748375010000.0,3616.0,110480.0,0.598
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,4293,2019-02-14,UNIVCABLES,EQ,195.35,196.95,208.7,191.0,207.0,206.25,203.36,102198,2078263610000.0,3386.0,35080.0,0.3433
