,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3713,2019-01-01,UPL,EQ,758.25,760.0,765.7,746.5,752.0,753.5,756.2,1610248,121766221120000.0,27534.0,135943.0,0.0844
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3714,2019-01-02,UPL,EQ,753.5,750.0,758.45,744.0,755.05,756.5,752.95,1308043,98489183740000.0,30906.0,289528.0,0.2213
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3715,2019-01-03,UPL,EQ,756.5,755.0,757.95,744.25,746.0,746.65,750.64,1053144,79053391865000.0,30328.0,332551.0,0.3158
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3716,2019-01-04,UPL,EQ,746.65,748.8,759.25,743.1,756.0,756.4,752.37,1060318,79774993395000.0,33476.0,325252.0,0.30670000000000003
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3717,2019-01-07,UPL,EQ,756.4,760.0,767.75,759.0,761.25,763.75,763.57,1589933,121403246590000.02,20427.0,416800.0,0.2621
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3718,2019-01-08,UPL,EQ,763.75,763.5,765.0,748.0,751.0,752.2,753.06,981440,73908065515000.0,32944.0,261159.0,0.2661
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3719,2019-01-09,UPL,EQ,752.2,758.0,767.0,753.45,765.0,764.8,761.03,1039851,79136110040000.0,28157.0,219330.0,0.2109
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3720,2019-01-10,UPL,EQ,764.8,765.8,780.0,765.05,771.0,773.1,774.62,2401210,186003551850000.0,52531.0,501062.0,0.2087
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3721,2019-01-11,UPL,EQ,773.1,775.0,787.0,773.0,781.6,783.45,782.35,2603033,203648357670000.0,57118.0,749815.0,0.2881
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3722,2019-01-14,UPL,EQ,783.45,784.0,784.0,766.9,769.0,770.4,773.84,1392118,107727282850000.0,26743.0,471758.0,0.33890000000000003
