,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,5729,2019-01-01,VOLTAS,EQ,553.5,555.8,558.15,551.3,556.0,555.45,554.13,547086,30315708300000.0,12364.0,152678.0,0.2791
1,1,1,1,1,1,1,1,5730,2019-01-02,VOLTAS,EQ,555.45,555.05,556.4,534.2,534.4,537.85,544.37,926605,50441950380000.0,18661.0,347493.0,0.375
2,2,2,2,2,2,2,2,5731,2019-01-03,VOLTAS,EQ,537.85,536.0,544.1,532.95,537.0,536.35,538.13,1357716,73062504135000.0,24159.0,503741.0,0.371
3,3,3,3,3,3,3,3,5732,2019-01-04,VOLTAS,EQ,536.35,538.0,541.05,527.55,536.5,536.15,534.78,1551273,82959165440000.0,50442.0,622154.0,0.4011
4,4,4,4,4,4,4,4,5733,2019-01-07,VOLTAS,EQ,536.15,540.8,545.35,538.5,541.2,541.75,542.4,877380,47588958455000.0,26551.0,419372.0,0.478
5,5,5,5,5,5,5,5,5734,2019-01-08,VOLTAS,EQ,541.75,542.65,542.65,537.85,539.6,539.6,539.58,718834,38786781655000.0,30679.0,350935.0,0.4882
6,6,6,6,6,6,6,6,5735,2019-01-09,VOLTAS,EQ,539.6,544.2,544.2,531.25,534.0,535.15,535.44,769323,41192453035000.0,25514.0,351328.0,0.4567000000000001
7,7,7,7,7,7,7,7,5736,2019-01-10,VOLTAS,EQ,535.15,535.25,542.5,533.5,539.2,539.35,539.4,1070036,57717551295000.01,38142.0,711901.0,0.6653
8,8,8,8,8,8,8,8,5737,2019-01-11,VOLTAS,EQ,539.35,539.0,544.0,534.5,542.8,542.2,539.01,691132,37252913840000.0,21381.0,359595.0,0.5203
9,9,9,9,9,9,9,9,5738,2019-01-14,VOLTAS,EQ,542.2,541.25,545.4,538.15,541.0,540.7,542.71,562376,30520528400000.0,13670.0,227809.0,0.4051
10,10,10,10,10,10,10,10,5739,2019-01-15,VOLTAS,EQ,540.7,541.9,543.75,525.65,531.15,531.05,531.71,1562999,83105772335000.0,28636.0,651452.0,0.4168
11,11,11,11,11,11,11,11,5740,2019-01-16,VOLTAS,EQ,531.05,531.2,537.8,530.15,534.2,533.3,534.45,1219163,65158123779999.99,27965.0,427020.0,0.3503
12,12,12,12,12,12,12,12,5741,2019-01-17,VOLTAS,EQ,533.3,535.5,540.35,532.5,534.25,534.65,536.28,509792,27339160825000.0,21018.0,160730.0,0.3153
13,13,13,13,13,13,13,13,5742,2019-01-18,VOLTAS,EQ,534.65,535.5,537.8,532.25,535.0,535.15,535.0,371360,19867576310000.0,8734.0,179319.0,0.4829
14,14,14,14,14,14,14,14,5743,2019-01-21,VOLTAS,EQ,535.15,537.65,542.7,530.4,534.65,536.55,538.4,711696,38317537350000.0,15296.0,197554.0,0.2776
15,15,15,15,15,15,15,15,5744,2019-01-22,VOLTAS,EQ,536.55,535.4,544.4,526.1,539.05,540.15,533.46,1444834,77076231900000.0,24442.0,533673.0,0.3694
16,16,16,16,16,16,16,16,5745,2019-01-23,VOLTAS,EQ,540.15,539.95,541.95,531.4,532.0,532.75,536.42,424146,22751897530000.0,17873.0,173183.0,0.4083
17,17,17,17,17,17,17,17,5746,2019-01-24,VOLTAS,EQ,532.75,532.7,541.9,531.65,537.85,538.7,536.31,677637,36342544795000.0,19686.0,240490.0,0.35490000000000005
18,18,18,18,18,18,18,18,5747,2019-01-25,VOLTAS,EQ,538.7,543.0,543.0,531.1,533.4,532.45,534.86,750228,40126364885000.0,17159.0,280327.0,0.3737
19,19,19,19,19,19,19,19,5748,2019-01-28,VOLTAS,EQ,532.45,538.0,538.0,531.25,532.75,534.1,533.08,942490,50242030825000.0,37289.0,458068.0,0.486
20,20,20,20,20,20,20,20,5749,2019-01-29,VOLTAS,EQ,534.1,533.4,544.5,528.5,541.1,541.35,537.03,1102180,59189899875000.0,25454.0,265922.0,0.2413
21,21,21,21,21,21,21,21,5750,2019-01-30,VOLTAS,EQ,541.35,540.6,544.1,532.0,540.6,541.6,537.92,572806,30812331020000.0,11142.0,111886.0,0.19530000000000008
22,22,22,22,22,22,22,22,5751,2019-01-31,VOLTAS,EQ,541.6,542.5,544.0,531.1,539.5,541.1,537.8,1406501,75641526225000.0,25479.0,746682.0,0.5309
23,23,23,23,23,23,23,23,5752,2019-02-01,VOLTAS,EQ,541.1,541.1,557.7,533.0,554.2,553.65,548.2,1915869,105028116005000.0,39220.0,725652.0,0.3788
24,24,24,24,24,24,24,24,5753,2019-02-04,VOLTAS,EQ,553.65,555.9,556.0,535.45,543.0,544.0,543.38,900993,48958261620000.0,53590.0,359323.0,0.3988
25,25,25,25,25,25,25,25,5754,2019-02-05,VOLTAS,EQ,544.0,543.9,546.5,532.0,532.0,533.55,537.04,810734,43539445920000.0,27007.0,310686.0,0.3832
26,26,26,26,26,26,26,26,5755,2019-02-06,VOLTAS,EQ,533.55,532.25,533.8,513.1,526.0,528.65,524.44,1691734,88720597360000.0,34104.0,359134.0,0.2123
27,27,27,27,27,27,27,27,5756,2019-02-07,VOLTAS,EQ,528.65,523.75,541.15,523.7,539.7,538.1,536.24,694326,37232772130000.0,15329.0,128155.0,0.1846
28,28,28,28,28,28,28,28,5757,2019-02-08,VOLTAS,EQ,538.1,536.25,540.9,530.0,530.25,531.6,535.94,735498,39418371580000.0,48223.0,284145.0,0.3863
29,29,29,29,29,29,29,29,5758,2019-02-11,VOLTAS,EQ,531.6,533.7,533.7,519.25,524.6,524.45,523.59,602314,31536652930000.0,30118.0,250308.0,0.4156
30,30,30,30,30,30,30,30,5759,2019-02-12,VOLTAS,EQ,524.45,527.0,528.75,520.0,520.05,522.3,524.72,316796,16622848240000.0,8198.0,77415.0,0.2444
31,31,31,31,31,31,31,31,5760,2019-02-13,VOLTAS,EQ,522.3,523.5,529.15,504.0,504.0,507.5,516.77,1455332,75207518505000.0,26960.0,376105.0,0.2584
32,32,32,32,32,32,32,32,5761,2019-02-14,VOLTAS,EQ,507.5,504.0,522.5,501.05,513.95,514.95,511.31,1431983,73219061835000.0,31101.0,225198.0,0.1573
33,33,33,33,33,33,33,33,5762,2019-02-15,VOLTAS,EQ,514.95,511.0,534.6,511.0,521.05,522.0,524.91,3136801,164653980305000.0,54257.0,299589.0,0.09550000000000004
34,34,34,34,34,34,34,34,5763,2019-02-18,VOLTAS,EQ,522.0,524.2,529.8,519.0,520.05,522.2,523.84,664220,34794766450000.0,28662.0,128126.0,0.1929
35,35,35,35,35,35,35,35,5764,2019-02-19,VOLTAS,EQ,522.2,519.0,528.8,515.55,525.9,524.1,524.12,604529,31684501650000.0,14183.0,108846.0,0.1801
36,36,36,36,36,36,36,36,5765,2019-02-20,VOLTAS,EQ,524.1,526.55,533.4,524.1,529.8,529.8,529.41,658574,34865377910000.004,23253.0,211419.0,0.321
37,37,37,37,37,37,37,37,5766,2019-02-21,VOLTAS,EQ,529.8,530.0,535.95,526.35,532.2,533.1,532.03,1033996,55011296225000.0,24726.0,434023.0,0.4198
38,38,38,38,38,38,38,38,5767,2019-02-22,VOLTAS,EQ,533.1,527.5,532.75,524.05,532.0,531.25,529.09,739498,39126365115000.0,18196.0,136831.0,0.185
39,39,39,39,39,39,39,39,5768,2019-02-25,VOLTAS,EQ,531.25,535.0,535.0,527.0,530.2,530.1,530.18,714560,37884280140000.0,12198.0,272258.0,0.381
40,40,40,40,40,40,40,40,5769,2019-02-26,VOLTAS,EQ,530.1,529.9,539.0,525.0,535.75,537.45,533.88,1199389,64032386535000.0,21847.0,282054.0,0.2352
41,41,41,41,41,41,41,41,5770,2019-02-27,VOLTAS,EQ,537.45,537.65,557.35,536.8,542.25,542.95,546.05,1871732,102205410305000.0,32008.0,243188.0,0.12990000000000002
42,42,42,42,42,42,42,42,5771,2019-02-28,VOLTAS,EQ,542.95,545.0,570.5,541.5,568.05,566.55,557.71,3207480,178884399720000.0,39282.0,1337535.0,0.417
43,43,43,43,43,43,43,43,5772,2019-03-01,VOLTAS,EQ,566.55,568.3,577.85,563.3,575.9,574.95,569.21,2529959,144009045165000.0,44797.0,952930.0,0.3767
44,44,44,44,44,44,44,44,5773,2019-03-05,VOLTAS,EQ,574.95,572.0,600.95,572.0,597.35,597.3,586.74,2280910,133830805734999.98,53686.0,762779.0,0.3344
45,45,45,45,45,45,45,45,5774,2019-03-06,VOLTAS,EQ,597.3,605.0,605.0,591.55,596.0,598.3,597.96,1554217,92935456855000.0,58487.0,567132.0,0.3649
46,46,46,46,46,46,46,46,5775,2019-03-07,VOLTAS,EQ,598.3,599.0,601.55,591.15,592.0,593.75,595.36,1348466,80282074005000.0,63301.0,723026.0,0.5362
47,47,47,47,47,47,47,47,5776,2019-03-08,VOLTAS,EQ,593.75,590.05,596.6,588.1,593.4,593.7,593.11,949009,56287030765000.0,50849.0,394663.0,0.4159000000000001
48,48,48,48,48,48,48,48,5777,2019-03-11,VOLTAS,EQ,593.7,594.0,627.8,594.0,627.55,625.1,612.24,2785319,170528204370000.0,47061.0,557365.0,0.20010000000000008
49,49,49,49,49,49,49,49,5778,2019-03-12,VOLTAS,EQ,625.1,626.5,630.9,616.95,622.4,622.35,624.49,1765103,110229130540000.02,37309.0,462348.0,0.2619
50,50,50,50,50,50,50,50,5779,2019-03-13,VOLTAS,EQ,622.35,622.6,629.9,615.1,621.0,618.8,622.53,1225549,76293828055000.0,28052.0,387854.0,0.3165
51,51,51,51,51,51,51,51,5780,2019-03-14,VOLTAS,EQ,618.8,613.9,615.9,598.1,603.0,602.5,603.57,1829422,110418906970000.0,30241.0,452259.0,0.2472
52,52,52,52,52,52,52,52,5781,2019-03-15,VOLTAS,EQ,602.5,603.5,607.0,596.1,599.0,600.0,600.34,2575864,154639404455000.0,74340.0,1508096.0,0.5855
53,53,53,53,53,53,53,53,5782,2019-03-18,VOLTAS,EQ,600.0,601.0,610.65,600.0,603.05,604.25,604.7,1547903,93601787795000.0,35233.0,423230.0,0.27340000000000003
54,54,54,54,54,54,54,54,5783,2019-03-19,VOLTAS,EQ,604.25,606.0,614.0,600.05,612.8,612.35,607.37,1168935,70997888485000.0,25366.0,326791.0,0.2796
55,55,55,55,55,55,55,55,5784,2019-03-20,VOLTAS,EQ,612.35,613.75,616.0,607.5,614.05,614.1,612.59,1171383,71758190995000.0,40906.0,354093.0,0.3023
56,56,56,56,56,56,56,56,5785,2019-03-22,VOLTAS,EQ,614.1,615.0,619.45,608.1,612.9,614.9,614.64,1486474,91365264720000.0,16453.0,924779.0,0.6221
57,57,57,57,57,57,57,57,5786,2019-03-25,VOLTAS,EQ,614.9,602.4,612.9,598.25,601.5,602.95,606.29,1529031,92703977035000.0,29717.0,764931.0,0.5003
58,58,58,58,58,58,58,58,5787,2019-03-26,VOLTAS,EQ,602.95,606.0,614.8,603.5,614.0,612.9,608.48,717467,43656560955000.0,12528.0,199499.0,0.2781
59,59,59,59,59,59,59,59,5788,2019-03-27,VOLTAS,EQ,612.9,617.0,627.0,615.0,623.45,623.8,623.73,1883340,117469293095000.0,30649.0,532572.0,0.2828
60,60,60,60,60,60,60,60,5789,2019-03-28,VOLTAS,EQ,623.8,624.95,633.5,622.35,624.5,626.3,627.72,2122939,133260613745000.0,40749.0,789855.0,0.3721
61,61,61,61,61,61,61,61,5790,2019-03-29,VOLTAS,EQ,626.3,629.8,633.7,625.8,626.75,629.45,629.21,839471,52820666430000.0,16449.0,203313.0,0.2422
