,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1722,2019-01-01,WELINV,EQ,154.8,158.0,158.0,156.0,156.0,156.0,157.82,11,173600000.0,2.0,11,1.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1723,2019-01-02,WELINV,EQ,156.0,153.5,153.5,147.5,147.5,148.1,151.05,128,1933480000.0,14.0,113,0.8828
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1724,2019-01-03,WELINV,EQ,148.1,156.0,156.0,148.6,148.6,151.75,152.13,3101,47175240000.0,9.0,1,0.0003
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1725,2019-01-04,WELINV,EQ,151.75,147.6,154.9,147.6,154.7,154.7,153.98,48,739080000.0,6.0,44,0.9167
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1726,2019-01-07,WELINV,EQ,154.7,159.0,159.0,152.0,155.0,156.05,156.0,28,436800000.0,6.0,16,0.5714
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1727,2019-01-08,WELINV,EQ,156.05,158.95,158.95,150.0,152.0,152.0,154.69,22,340325000.0,4.0,11,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1728,2019-01-09,WELINV,EQ,152.0,148.1,154.0,148.1,149.0,149.0,150.01,22,330030000.0,6.0,11,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1729,2019-01-10,WELINV,EQ,149.0,149.0,149.0,149.0,149.0,149.0,149.0,1,14900000.0,1.0,1,1.0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1730,2019-01-11,WELINV,EQ,149.0,148.05,159.95,148.05,159.95,157.9,156.58,22,344480000.0,6.0,10,0.4545
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1731,2019-01-14,WELINV,EQ,157.9,153.0,164.9,149.0,153.0,153.35,159.62,652,10407285000.0,40.0,461,0.7071
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1732,2019-01-15,WELINV,EQ,153.35,153.0,159.95,150.05,157.0,157.0,157.28,262,4120700000.0,10.0,253,0.9656
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1733,2019-01-16,WELINV,EQ,157.0,151.3,157.0,151.3,157.0,154.5,153.62,76,1167485000.0,8.0,75,0.9868
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1734,2019-01-17,WELINV,EQ,154.5,151.05,153.0,151.05,151.25,151.8,151.46,70,1060245000.0,6.0,37,0.5286
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1735,2019-01-18,WELINV,EQ,151.8,151.2,158.0,147.5,149.05,153.4,154.7,11581,179155085000.0,41.0,10392,0.8973000000000001
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1736,2019-01-21,WELINV,EQ,153.4,154.0,158.95,148.1,150.0,150.45,153.9,2842,43737445000.0,46.0,547,0.1925
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1737,2019-01-22,WELINV,EQ,150.45,150.05,150.05,145.0,146.1,146.05,147.63,427,6303870000.0,18.0,325,0.7611
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1738,2019-01-23,WELINV,EQ,146.05,143.7,156.95,143.7,143.7,143.7,154.31,25,385780000.0,7.0,22,0.88
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1739,2019-01-24,WELINV,EQ,143.7,145.0,150.0,143.0,146.0,146.0,143.37,393,5634500000.0,8.0,361,0.9186
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1740,2019-01-25,WELINV,EQ,146.0,142.0,145.0,140.05,140.05,140.45,140.94,21,295965000.0,6.0,19,0.9048
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,1741,2019-01-28,WELINV,EQ,140.45,140.05,145.0,136.1,136.1,136.1,139.78,229,3200860000.0,13.0,153,0.6681
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1742,2019-01-29,WELINV,EQ,136.1,135.05,149.85,135.05,149.0,149.05,146.54,39,571505000.0,15.0,35,0.8974
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1743,2019-01-30,WELINV,EQ,149.05,143.15,149.0,138.0,138.1,138.75,142.32,149,2120555000.0,17.0,74,0.4966
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1744,2019-01-31,WELINV,EQ,138.75,137.05,147.0,137.05,140.0,140.0,139.69,6,83815000.0,3.0,3,0.5
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1745,2019-02-01,WELINV,EQ,140.0,136.55,145.5,136.5,136.6,136.6,139.9,1625,22733895000.0,18.0,302,0.1858
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1746,2019-02-04,WELINV,EQ,136.6,135.15,136.6,135.0,135.0,135.0,135.02,489,6602535000.000001,15.0,416,0.8506999999999999
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1747,2019-02-05,WELINV,EQ,135.0,147.0,147.0,135.0,144.95,137.45,139.27,375,5222650000.0,21.0,271,0.7227
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1748,2019-02-06,WELINV,EQ,137.45,135.2,144.0,135.0,135.0,135.0,138.14,263,3633065000.0,14.0,203,0.7719
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1749,2019-02-08,WELINV,EQ,135.0,135.05,144.0,135.0,135.0,140.05,139.0,31,430910000.00000006,10.0,17,0.5484
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1750,2019-02-11,WELINV,EQ,140.05,136.0,142.0,135.0,135.0,135.0,136.54,238,3249550000.0,13.0,137,0.5756
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1751,2019-02-12,WELINV,EQ,135.0,135.0,135.0,135.0,135.0,135.0,135.0,25,337500000.0,1.0,25,1.0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1752,2019-02-13,WELINV,EQ,135.0,135.05,136.0,132.5,132.55,132.55,135.94,18194,247333515000.0,11.0,18144,0.9973
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1753,2019-02-15,WELINV,EQ,132.55,132.0,133.0,132.0,133.0,132.5,132.5,14,185500000.0,2.0,7,0.5
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1754,2019-02-18,WELINV,EQ,132.5,130.05,139.0,130.0,130.0,130.0,130.22,1257,16368300000.0,6.0,1197,0.9523
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,1755,2019-02-19,WELINV,EQ,130.0,130.05,130.05,130.0,130.0,130.0,130.03,20,260050000.0,3.0,10,0.5
