,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,3485,2019-01-01,WELSPUNIND,EQ,59.8,59.8,60.75,59.3,60.75,60.5,60.16,377138,2268693625000.0,4642.0,80145,0.2125
1,1,1,1,1,1,1,1,3486,2019-01-02,WELSPUNIND,EQ,60.5,60.45,62.4,59.75,61.25,61.35,61.42,782890,4808167260000.0,8695.0,221174,0.28250000000000003
2,2,2,2,2,2,2,2,3487,2019-01-03,WELSPUNIND,EQ,61.35,61.7,62.25,60.8,61.7,61.2,61.63,398033,2453269700000.0,5770.0,95726,0.2405
3,3,3,3,3,3,3,3,3488,2019-01-04,WELSPUNIND,EQ,61.2,61.2,61.6,60.25,61.2,60.85,61.04,369574,2255711070000.0,4803.0,114753,0.3105
4,4,4,4,4,4,4,4,3489,2019-01-07,WELSPUNIND,EQ,60.85,61.05,61.8,61.0,61.5,61.3,61.43,252967,1553918145000.0,4956.0,76674,0.3031
5,5,5,5,5,5,5,5,3490,2019-01-08,WELSPUNIND,EQ,61.3,61.2,61.9,60.75,61.1,61.25,61.36,321598,1973380035000.0,6298.0,102858,0.31980000000000003
6,6,6,6,6,6,6,6,3491,2019-01-09,WELSPUNIND,EQ,61.25,61.1,61.8,60.55,61.1,61.25,61.14,422659,2584084305000.0,5086.0,262696,0.6215
7,7,7,7,7,7,7,7,3492,2019-01-10,WELSPUNIND,EQ,61.25,61.1,61.9,61.0,61.5,61.55,61.53,255807,1573899450000.0,3705.0,98691,0.3858
8,8,8,8,8,8,8,8,3493,2019-01-11,WELSPUNIND,EQ,61.55,61.7,65.0,61.25,61.75,62.15,62.89,1062571,6682153235000.0,8472.0,268092,0.2523
9,9,9,9,9,9,9,9,3494,2019-01-14,WELSPUNIND,EQ,62.15,62.2,62.5,61.2,61.5,61.5,61.86,290487,1796961280000.0,5526.0,86438,0.29760000000000003
10,10,10,10,10,10,10,10,3495,2019-01-15,WELSPUNIND,EQ,61.5,62.15,63.05,61.4,62.05,62.6,62.22,419450,2609975370000.0,4148.0,129813,0.3095
11,11,11,11,11,11,11,11,3496,2019-01-16,WELSPUNIND,EQ,62.6,62.6,62.85,61.3,61.3,61.5,61.96,292231,1810751975000.0,7170.0,106187,0.3634000000000001
12,12,12,12,12,12,12,12,3497,2019-01-17,WELSPUNIND,EQ,61.5,61.85,61.9,60.7,60.7,61.05,61.44,448510,2755856480000.0,8968.0,241331,0.5381
13,13,13,13,13,13,13,13,3498,2019-01-18,WELSPUNIND,EQ,61.05,61.1,61.5,60.15,60.4,60.4,60.85,349885,2129040020000.0,8427.0,103530,0.2959
14,14,14,14,14,14,14,14,3499,2019-01-21,WELSPUNIND,EQ,60.4,60.1,60.45,59.65,60.05,60.1,60.17,576128,3466722770000.0005,5436.0,385644,0.6694
15,15,15,15,15,15,15,15,3500,2019-01-22,WELSPUNIND,EQ,60.1,60.2,60.65,57.35,59.25,58.95,59.56,905600,5393469335000.0,8714.0,488452,0.5394
16,16,16,16,16,16,16,16,3501,2019-01-23,WELSPUNIND,EQ,58.95,59.3,60.2,58.7,59.35,59.35,59.34,398605,2365387340000.0,4387.0,206584,0.5183
17,17,17,17,17,17,17,17,3502,2019-01-24,WELSPUNIND,EQ,59.35,59.35,59.75,58.7,59.25,59.15,59.16,603585,3570768785000.0,5983.0,342277,0.5671
18,18,18,18,18,18,18,18,3503,2019-01-25,WELSPUNIND,EQ,59.15,59.2,59.55,56.75,57.8,57.3,58.02,582461,3379397600000.0,6748.0,363162,0.6235
19,19,19,19,19,19,19,19,3504,2019-01-28,WELSPUNIND,EQ,57.3,56.2,58.8,54.4,58.6,58.6,56.52,1164632,6582981005000.0,9980.0,710263,0.6099
20,20,20,20,20,20,20,20,3505,2019-01-29,WELSPUNIND,EQ,58.6,59.0,59.25,56.1,58.95,58.9,57.74,1064592,6146593350000.0,9624.0,638003,0.5993
21,21,21,21,21,21,21,21,3506,2019-01-30,WELSPUNIND,EQ,58.9,59.2,60.2,58.8,59.8,59.8,59.44,521031,3096973450000.0,6699.0,306239,0.5878
22,22,22,22,22,22,22,22,3507,2019-01-31,WELSPUNIND,EQ,59.8,60.0,60.45,58.8,60.2,60.2,59.41,413321,2455566625000.0,7451.0,250585,0.6063000000000001
23,23,23,23,23,23,23,23,3508,2019-02-01,WELSPUNIND,EQ,60.2,60.0,60.1,58.4,59.7,59.4,59.43,242211,1439411430000.0,4285.0,98279,0.4058
24,24,24,24,24,24,24,24,3509,2019-02-04,WELSPUNIND,EQ,59.4,59.2,60.8,57.5,58.05,58.35,59.05,896166,5291519770000.0,8900.0,240858,0.2688
25,25,25,25,25,25,25,25,3510,2019-02-05,WELSPUNIND,EQ,58.35,56.0,58.5,55.1,55.3,55.45,55.84,540717,3019579710000.0,8717.0,273677,0.5061
26,26,26,26,26,26,26,26,3511,2019-02-06,WELSPUNIND,EQ,55.45,56.0,56.0,52.9,54.6,54.25,53.9,506205,2728577690000.0,8092.0,268154,0.5297
27,27,27,27,27,27,27,27,3512,2019-02-07,WELSPUNIND,EQ,54.25,54.25,54.7,53.0,53.45,53.35,53.49,364175,1948072800000.0,5397.0,194529,0.5342
28,28,28,28,28,28,28,28,3513,2019-02-08,WELSPUNIND,EQ,53.35,53.1,53.3,52.2,52.3,52.4,52.5,1276791,6702863625000.0,3597.0,1202987,0.9422
29,29,29,29,29,29,29,29,3514,2019-02-11,WELSPUNIND,EQ,52.4,52.0,52.35,50.4,51.45,51.65,50.85,2763331,14050416644999.998,9420.0,2535064,0.9174
30,30,30,30,30,30,30,30,3515,2019-02-12,WELSPUNIND,EQ,51.65,51.9,52.0,51.0,51.0,51.0,51.09,386223,1973394795000.0,3681.0,295506,0.7651000000000001
31,31,31,31,31,31,31,31,3516,2019-02-13,WELSPUNIND,EQ,51.0,51.05,51.4,49.65,50.1,49.85,50.4,838491,4226302310000.0,11342.0,630631,0.7521
32,32,32,32,32,32,32,32,3517,2019-02-14,WELSPUNIND,EQ,49.85,50.15,50.15,48.3,49.35,49.3,48.86,524734,2563754295000.0,11101.0,369284,0.7038
33,33,33,33,33,33,33,33,3518,2019-02-15,WELSPUNIND,EQ,49.3,49.2,49.2,48.1,48.5,48.5,48.47,333475,1616199480000.0,9761.0,213650,0.6406999999999999
34,34,34,34,34,34,34,34,3519,2019-02-18,WELSPUNIND,EQ,48.5,48.0,48.5,46.5,47.25,47.15,47.78,4980802,23798278290000.0,9861.0,4731946,0.95
35,35,35,35,35,35,35,35,3520,2019-02-19,WELSPUNIND,EQ,47.15,47.0,48.6,46.2,47.1,47.15,47.29,444912,2103846390000.0,5740.0,158222,0.3556
36,36,36,36,36,36,36,36,3521,2019-02-20,WELSPUNIND,EQ,47.15,47.5,48.45,46.5,48.35,48.25,47.68,310304,1479562705000.0,2241.0,173315,0.5585
37,37,37,37,37,37,37,37,3522,2019-02-21,WELSPUNIND,EQ,48.25,48.35,54.35,47.7,52.8,52.1,50.98,659220,3360850879999.9995,6548.0,437420,0.6635
38,38,38,38,38,38,38,38,3523,2019-02-22,WELSPUNIND,EQ,52.1,52.1,53.5,51.05,51.7,51.85,52.01,1515615,7882545295000.0,7016.0,914774,0.6036
39,39,39,39,39,39,39,39,3524,2019-02-25,WELSPUNIND,EQ,51.85,52.0,52.3,51.15,51.55,51.65,51.63,159744,824798535000.0,1566.0,75602,0.4733
40,40,40,40,40,40,40,40,3525,2019-02-26,WELSPUNIND,EQ,51.65,51.0,51.5,49.4,50.95,50.65,50.52,462399,2336269665000.0,5529.0,212802,0.4602000000000001
41,41,41,41,41,41,41,41,3526,2019-02-27,WELSPUNIND,EQ,50.65,50.65,52.5,50.65,52.2,52.2,51.68,506987,2620016655000.0,5412.0,288404,0.5689000000000001
42,42,42,42,42,42,42,42,3527,2019-02-28,WELSPUNIND,EQ,52.2,52.9,52.9,50.95,51.3,51.55,51.91,282996,1469089680000.0,2199.0,192472,0.6801
43,43,43,43,43,43,43,43,3528,2019-03-01,WELSPUNIND,EQ,51.55,51.8,54.8,51.55,54.45,54.1,53.44,736277,3934993840000.0,5964.0,398032,0.5406000000000001
44,44,44,44,44,44,44,44,3529,2019-03-05,WELSPUNIND,EQ,54.1,54.95,58.1,54.4,57.5,57.75,56.9,936439,5328205605000.0,5839.0,523773,0.5593
45,45,45,45,45,45,45,45,3530,2019-03-06,WELSPUNIND,EQ,57.75,58.2,58.5,55.15,56.65,56.6,56.51,347733,1964995215000.0,2401.0,145601,0.4187
46,46,46,46,46,46,46,46,3531,2019-03-07,WELSPUNIND,EQ,56.6,56.6,60.4,55.65,59.35,59.95,58.66,2216428,13002367285000.0,6096.0,1690743,0.7628
47,47,47,47,47,47,47,47,3532,2019-03-08,WELSPUNIND,EQ,59.95,60.45,61.0,57.6,58.6,58.55,58.7,783921,4601610580000.0,3384.0,436764,0.5572
48,48,48,48,48,48,48,48,3533,2019-03-11,WELSPUNIND,EQ,58.55,59.0,63.4,58.8,62.4,62.55,61.71,1667583,10290618645000.0,9238.0,1075881,0.6452
49,49,49,49,49,49,49,49,3534,2019-03-12,WELSPUNIND,EQ,62.55,63.25,66.0,62.5,65.1,65.1,64.19,1723802,11065936925000.0,8655.0,1119855,0.6496
50,50,50,50,50,50,50,50,3535,2019-03-13,WELSPUNIND,EQ,65.1,65.5,65.75,63.0,64.2,64.5,64.11,817900,5243548650000.0,7103.0,589359,0.7206
51,51,51,51,51,51,51,51,3536,2019-03-14,WELSPUNIND,EQ,64.5,65.0,65.0,63.4,63.85,63.65,64.15,394439,2530440005000.0,3263.0,207077,0.525
52,52,52,52,52,52,52,52,3537,2019-03-15,WELSPUNIND,EQ,63.65,64.45,64.45,61.0,61.6,61.4,61.93,499072,3090953975000.0,4041.0,264204,0.5294
53,53,53,53,53,53,53,53,3538,2019-03-18,WELSPUNIND,EQ,61.4,61.9,61.9,59.55,60.6,60.5,60.58,1044404,6326869240000.0,5364.0,805332,0.7711
54,54,54,54,54,54,54,54,3539,2019-03-19,WELSPUNIND,EQ,60.5,60.05,61.9,60.0,60.0,60.05,61.04,392715,2397301480000.0,2290.0,298960,0.7613
55,55,55,55,55,55,55,55,3540,2019-03-20,WELSPUNIND,EQ,60.05,60.0,61.75,59.85,60.2,60.4,60.65,314858,1909603775000.0,4114.0,135204,0.4294
56,56,56,56,56,56,56,56,3541,2019-03-22,WELSPUNIND,EQ,60.4,60.1,61.25,59.95,60.8,60.55,60.85,482604,2936502555000.0,5062.0,371970,0.7708
57,57,57,57,57,57,57,57,3542,2019-03-25,WELSPUNIND,EQ,60.55,60.0,60.95,58.3,59.0,59.15,59.75,2694090,16096499750000.0,2426.0,137520,0.051
58,58,58,58,58,58,58,58,3543,2019-03-26,WELSPUNIND,EQ,59.15,59.0,59.9,58.3,58.65,58.75,58.91,404579,2383292345000.0,3116.0,214822,0.531
59,59,59,59,59,59,59,59,3544,2019-03-27,WELSPUNIND,EQ,58.75,58.75,60.65,58.0,60.05,60.2,59.58,1643058,9789016555000.0,4832.0,1330222,0.8096
60,60,60,60,60,60,60,60,3545,2019-03-28,WELSPUNIND,EQ,60.2,60.9,61.45,59.25,59.5,59.5,60.15,335772,2019759285000.0,3748.0,151781,0.452
61,61,61,61,61,61,61,61,3546,2019-03-29,WELSPUNIND,EQ,59.5,59.1,60.7,59.1,59.5,59.65,59.97,303453,1819877810000.0,2724.0,136752,0.4507
62,62,62,62,62,62,62,62,3547,2019-04-01,WELSPUNIND,EQ,59.65,60.9,62.2,60.45,61.45,61.15,61.34,555286,3406200195000.0005,5096.0,309962,0.5582
