,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4507,2019-01-01,WOCKPHARMA,EQ,523.25,523.0,536.0,522.95,529.6,528.75,531.43,1817409,96582079090000.0,27441.0,200515.0,0.1103
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4508,2019-01-02,WOCKPHARMA,EQ,528.75,528.75,532.8,513.2,516.75,517.75,523.32,1114110,58303642910000.0,17851.0,131626.0,0.1181
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4509,2019-01-03,WOCKPHARMA,EQ,517.75,517.9,522.2,505.85,507.45,507.8,513.18,759014,38951022065000.0,18425.0,154246.0,0.2032
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4510,2019-01-04,WOCKPHARMA,EQ,507.8,508.05,512.95,501.0,509.75,510.7,507.55,935163,47464243450000.0,14391.0,88075.0,0.0942
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4511,2019-01-07,WOCKPHARMA,EQ,510.7,514.65,516.45,504.25,507.45,506.7,509.18,554024,28209606360000.004,9239.0,96034.0,0.17329999999999998
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4512,2019-01-08,WOCKPHARMA,EQ,506.7,509.8,515.4,507.95,513.6,513.7,512.61,1056420,54153013904999.99,17087.0,120176.0,0.1138
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4513,2019-01-09,WOCKPHARMA,EQ,513.7,516.0,517.8,504.45,509.05,510.35,511.11,729692,37295216900000.0,14314.0,76905.0,0.1054
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4514,2019-01-10,WOCKPHARMA,EQ,510.35,510.35,520.5,507.0,516.2,517.1,515.63,868139,44763878415000.0,15759.0,138867.0,0.16
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4515,2019-01-11,WOCKPHARMA,EQ,517.1,516.0,523.0,511.5,513.45,515.1,516.74,772958,39942173420000.0,11832.0,81087.0,0.1049
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4516,2019-01-14,WOCKPHARMA,EQ,515.1,515.0,518.8,508.1,509.7,509.65,512.75,670517,34380736030000.0,11360.0,103921.0,0.155
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4517,2019-01-15,WOCKPHARMA,EQ,509.65,513.0,514.9,506.8,508.95,509.4,510.22,749516,38241844400000.0,9642.0,172360.0,0.23
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4518,2019-01-16,WOCKPHARMA,EQ,509.4,509.8,516.2,507.9,510.85,510.45,512.34,681044,34892360465000.0,9957.0,132792.0,0.195
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,4519,2019-01-17,WOCKPHARMA,EQ,510.45,513.05,513.7,499.0,500.05,501.3,505.28,846304,42761918345000.0,14042.0,207733.0,0.2455
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,4520,2019-01-18,WOCKPHARMA,EQ,501.3,503.0,503.6,486.6,487.7,489.35,491.8,1504398,73986679660000.0,25549.0,184798.0,0.1228
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,4521,2019-01-21,WOCKPHARMA,EQ,489.35,491.7,504.85,491.4,493.5,494.7,498.19,1701061,84745791465000.0,27101.0,278078.0,0.1635
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,4522,2019-01-22,WOCKPHARMA,EQ,494.7,495.0,497.9,488.2,495.0,494.95,492.72,815987,40205688815000.0,13236.0,152751.0,0.1872
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,4523,2019-01-23,WOCKPHARMA,EQ,494.95,496.0,500.95,490.4,491.5,492.25,495.59,666872,33049485880000.0,11086.0,125335.0,0.1879
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,4524,2019-01-24,WOCKPHARMA,EQ,492.25,492.9,496.8,480.2,484.7,483.6,487.15,794794,38718121165000.0,15203.0,128109.0,0.1612
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,4525,2019-01-25,WOCKPHARMA,EQ,483.6,486.85,489.4,475.3,478.9,478.9,482.2,766588,36964803040000.0,18730.0,127294.0,0.1661
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,4526,2019-01-28,WOCKPHARMA,EQ,478.9,481.0,481.0,426.85,446.0,444.95,446.31,3243195,144746660425000.0,56802.0,216956.0,0.0669
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,4527,2019-01-29,WOCKPHARMA,EQ,444.95,444.0,456.65,437.35,448.5,449.05,448.54,1494060,67013907390000.0,23710.0,138882.0,0.093
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,4528,2019-01-30,WOCKPHARMA,EQ,449.05,446.0,451.2,440.1,444.7,443.8,444.2,706195,31369248115000.0,13460.0,92412.0,0.1309
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,4529,2019-01-31,WOCKPHARMA,EQ,443.8,444.8,448.0,435.0,441.85,441.45,440.69,706054,31114905355000.0,13119.0,105647.0,0.1496
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,4530,2019-02-01,WOCKPHARMA,EQ,441.45,443.7,455.0,438.5,453.0,449.75,445.15,805950,35876765355000.0,14450.0,152418.0,0.1891
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,4531,2019-02-04,WOCKPHARMA,EQ,449.75,450.5,451.35,418.55,421.35,422.0,429.18,1757302,75420166530000.0,27094.0,294060.0,0.1673
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4532,2019-02-05,WOCKPHARMA,EQ,422.0,420.7,424.5,406.4,409.55,411.0,415.68,1228930,51083611435000.0,21134.0,135310.0,0.1101
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,4533,2019-02-06,WOCKPHARMA,EQ,411.0,409.5,412.7,380.35,406.0,400.0,396.1,2385005,94471034575000.0,58794.0,336104.0,0.1409
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,4534,2019-02-07,WOCKPHARMA,EQ,400.0,404.9,428.5,403.4,418.85,419.0,419.26,2522836,105771262715000.0,40549.0,238085.0,0.0944
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,4535,2019-02-08,WOCKPHARMA,EQ,419.0,419.0,422.35,405.2,411.1,415.15,413.14,1071755,44278882395000.0,18258.0,96379.0,0.08990000000000001
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,4536,2019-02-11,WOCKPHARMA,EQ,415.15,412.6,413.45,399.25,406.4,407.2,406.01,1012571,41111354345000.0,14858.0,163176.0,0.1612
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,4537,2019-02-12,WOCKPHARMA,EQ,407.2,407.0,415.55,403.7,407.8,407.85,409.14,818406,33484248845000.0,14317.0,96618.0,0.1181
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,4538,2019-02-13,WOCKPHARMA,EQ,407.85,410.7,413.85,392.0,393.45,396.85,403.02,1018978,41067333315000.0,16436.0,159230.0,0.15630000000000002
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,4539,2019-02-14,WOCKPHARMA,EQ,396.85,392.8,416.9,390.3,406.15,405.1,402.37,1532295,61655491260000.0,21707.0,184299.0,0.1203
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,4540,2019-02-15,WOCKPHARMA,EQ,405.1,405.4,405.4,389.5,392.0,392.7,395.18,1148491,45386300770000.0,19289.0,157193.0,0.1369
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,4541,2019-02-18,WOCKPHARMA,EQ,392.7,394.7,397.0,387.5,390.35,389.6,390.74,815106,31849134700000.0,12299.0,108674.0,0.1333
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,4542,2019-02-19,WOCKPHARMA,EQ,389.6,391.7,401.3,388.45,391.65,392.15,394.33,906772,35756760710000.0,15178.0,93620.0,0.1032
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,4543,2019-02-20,WOCKPHARMA,EQ,392.15,393.4,395.7,389.1,392.7,392.65,392.24,824487,32339619445000.0,13355.0,153458.0,0.1861
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,4544,2019-02-21,WOCKPHARMA,EQ,392.65,393.6,404.0,392.9,397.15,397.4,399.34,1814014,72440552785000.0,25501.0,228979.0,0.1262
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,4545,2019-02-22,WOCKPHARMA,EQ,397.4,398.8,402.0,392.35,393.45,393.7,396.87,951506,37762622870000.0,14069.0,187024.0,0.1966
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,4546,2019-02-25,WOCKPHARMA,EQ,393.7,395.75,404.4,394.2,397.9,397.5,399.72,1551423,62013977075000.0,22406.0,301978.0,0.1946
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4547,2019-02-26,WOCKPHARMA,EQ,397.5,393.0,394.75,383.0,394.4,391.7,389.63,1798575,70078302535000.0,21363.0,246254.0,0.1369
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,4548,2019-02-27,WOCKPHARMA,EQ,391.7,396.0,404.1,391.0,394.85,394.85,397.51,1481908,58907079400000.0,20756.0,183961.0,0.1241
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,4549,2019-02-28,WOCKPHARMA,EQ,394.85,397.0,401.85,393.1,398.0,396.0,397.46,1111206,44166083230000.0,15668.0,148613.0,0.1337
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,4550,2019-03-01,WOCKPHARMA,EQ,396.0,400.8,427.0,396.2,424.65,420.65,411.5,3206426,131944264709999.98,42617.0,626387.0,0.1954
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,4551,2019-03-05,WOCKPHARMA,EQ,420.65,424.8,431.6,420.1,425.0,425.85,425.76,2428343,103389894595000.0,38192.0,339118.0,0.1396
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,4552,2019-03-06,WOCKPHARMA,EQ,425.85,427.5,437.85,421.25,432.0,430.55,429.3,3709997,159269994495000.0,41571.0,401399.0,0.1082
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,4553,2019-03-07,WOCKPHARMA,EQ,430.55,430.55,436.4,423.05,423.95,427.15,431.56,1915292,82656388745000.0,23304.0,231032.0,0.1206
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,4554,2019-03-08,WOCKPHARMA,EQ,427.15,424.8,429.9,416.0,421.8,421.8,422.54,1531464,64710992985000.0,21495.0,213763.0,0.1396
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,4555,2019-03-11,WOCKPHARMA,EQ,421.8,424.0,442.7,423.0,440.0,439.7,434.32,1849523,80327753315000.0,25523.0,508701.0,0.275
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,4556,2019-03-12,WOCKPHARMA,EQ,439.7,444.0,450.8,435.0,436.85,439.0,444.26,2179203,96812610395000.0,34811.0,380641.0,0.1747
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,4557,2019-03-13,WOCKPHARMA,EQ,439.0,438.7,444.0,425.55,426.2,427.0,435.04,1241150,53995460290000.0,20362.0,244621.0,0.19710000000000005
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,4558,2019-03-14,WOCKPHARMA,EQ,427.0,428.9,439.6,421.05,434.0,431.65,430.11,1537188,66115498970000.01,21762.0,237667.0,0.15460000000000002
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,4559,2019-03-15,WOCKPHARMA,EQ,431.65,431.8,438.5,428.0,430.5,430.55,432.62,1782635,77119511415000.0,25841.0,368321.0,0.2066
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,4560,2019-03-18,WOCKPHARMA,EQ,430.55,434.95,434.95,426.6,429.25,429.0,429.77,962282,41355758300000.0,14080.0,103704.0,0.1078
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,4561,2019-03-19,WOCKPHARMA,EQ,429.0,430.7,436.6,429.05,432.1,431.15,432.67,755735,32698033750000.0,13546.0,120330.0,0.1592
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,4562,2019-03-20,WOCKPHARMA,EQ,431.15,430.8,433.85,424.25,427.95,427.15,427.95,757132,32401822355000.0,11312.0,111124.0,0.1468
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,4563,2019-03-22,WOCKPHARMA,EQ,427.15,428.95,430.2,422.5,427.9,427.85,426.54,836694,35688305375000.0,11704.0,116542.0,0.1393
