,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,1921,2019-01-01,ZEELEARN,EQ,35.75,36.15,36.2,35.6,36.05,36.05,35.98,23701,85273940000.0,524.0,14821,0.6253000000000001
1,1,1,1,1,1,1,1,1922,2019-01-02,ZEELEARN,EQ,36.05,36.05,36.25,35.55,35.9,35.8,35.74,50493,180486820000.0,972.0,30057,0.5953
2,2,2,2,2,2,2,2,1923,2019-01-03,ZEELEARN,EQ,35.8,36.0,36.0,35.25,35.75,35.7,35.78,137041,490330740000.0001,732.0,127506,0.9304
3,3,3,3,3,3,3,3,1924,2019-01-04,ZEELEARN,EQ,35.7,36.45,36.45,35.4,35.5,35.55,35.63,29611,105494545000.0,363.0,20790,0.7021
4,4,4,4,4,4,4,4,1925,2019-01-07,ZEELEARN,EQ,35.55,35.85,36.4,35.4,35.65,35.55,35.76,50856,181872800000.0,554.0,39128,0.7694
5,5,5,5,5,5,5,5,1926,2019-01-08,ZEELEARN,EQ,35.55,35.4,35.85,35.35,35.85,35.7,35.69,31678,113072900000.0,387.0,22717,0.7171
6,6,6,6,6,6,6,6,1927,2019-01-09,ZEELEARN,EQ,35.7,35.6,35.85,34.0,34.85,34.5,34.76,143240,497865195000.0,617.0,94696,0.6611
7,7,7,7,7,7,7,7,1928,2019-01-10,ZEELEARN,EQ,34.5,34.35,35.15,34.35,34.7,34.8,34.86,36790,128262405000.0,398.0,22269,0.6053000000000001
8,8,8,8,8,8,8,8,1929,2019-01-11,ZEELEARN,EQ,34.8,35.05,35.15,34.55,34.85,34.95,34.89,20921,72985540000.0,702.0,11885,0.5681
9,9,9,9,9,9,9,9,1930,2019-01-14,ZEELEARN,EQ,34.95,34.8,35.25,34.55,35.25,35.15,35.0,39393,137875690000.0,569.0,28704,0.7287
10,10,10,10,10,10,10,10,1931,2019-01-15,ZEELEARN,EQ,35.15,35.0,35.7,34.7,35.45,35.35,35.32,84804,299543135000.0,541.0,51604,0.6085
11,11,11,11,11,11,11,11,1932,2019-01-16,ZEELEARN,EQ,35.35,35.6,36.1,35.25,36.0,36.0,35.91,68391,245566840000.0,677.0,53636,0.7843000000000001
12,12,12,12,12,12,12,12,1933,2019-01-17,ZEELEARN,EQ,36.0,36.0,36.45,35.2,35.3,35.5,35.84,86533,310177430000.0,987.0,56193,0.6494
13,13,13,13,13,13,13,13,1934,2019-01-18,ZEELEARN,EQ,35.5,36.15,36.15,35.4,35.9,35.65,35.84,83394,298910085000.0,680.0,50053,0.6002000000000001
14,14,14,14,14,14,14,14,1935,2019-01-21,ZEELEARN,EQ,35.65,36.5,36.5,35.05,35.35,35.25,35.61,146187,520535500000.0,1038.0,72885,0.4986
15,15,15,15,15,15,15,15,1936,2019-01-22,ZEELEARN,EQ,35.25,35.25,35.45,34.9,35.0,35.1,35.21,35785,125999920000.0,355.0,25703,0.7183
16,16,16,16,16,16,16,16,1937,2019-01-23,ZEELEARN,EQ,35.1,35.0,35.3,34.55,34.55,34.7,34.88,50134,174874320000.0,537.0,34796,0.6940999999999999
17,17,17,17,17,17,17,17,1938,2019-01-24,ZEELEARN,EQ,34.7,34.8,34.8,33.65,33.7,33.8,34.04,111618,379922435000.0,738.0,87324,0.7823000000000001
18,18,18,18,18,18,18,18,1939,2019-01-25,ZEELEARN,EQ,33.8,33.7,34.1,27.05,27.05,27.35,28.62,1220306,3491929410000.0,3818.0,847953,0.6949
19,19,19,19,19,19,19,19,1940,2019-01-28,ZEELEARN,EQ,27.35,27.35,31.0,24.2,25.7,25.3,26.01,3304775,8595678784999.999,11644.0,1489057,0.4506000000000001
20,20,20,20,20,20,20,20,1941,2019-01-29,ZEELEARN,EQ,25.3,25.7,26.5,24.25,26.0,25.7,25.6,700539,1793090570000.0,3297.0,207743,0.2965
21,21,21,21,21,21,21,21,1942,2019-01-30,ZEELEARN,EQ,25.7,26.35,30.25,25.85,29.3,29.25,28.85,1173169,3384232975000.0,6514.0,507043,0.4322
22,22,22,22,22,22,22,22,1943,2019-01-31,ZEELEARN,EQ,29.25,29.5,29.6,26.35,27.7,27.55,27.53,281344,774548760000.0,1852.0,123567,0.4392
23,23,23,23,23,23,23,23,1944,2019-02-01,ZEELEARN,EQ,27.55,27.8,28.55,27.6,27.95,27.75,28.06,291086,816736805000.0,3007.0,171383,0.5888
24,24,24,24,24,24,24,24,1945,2019-02-04,ZEELEARN,EQ,27.75,28.0,28.0,25.0,25.7,25.65,25.77,347252,894888144999.9999,1700.0,171258,0.4932
25,25,25,25,25,25,25,25,1946,2019-02-05,ZEELEARN,EQ,25.65,25.2,26.25,24.9,25.2,25.2,25.34,305602,774465950000.0,1199.0,221239,0.7239
26,26,26,26,26,26,26,26,1947,2019-02-06,ZEELEARN,EQ,25.2,25.15,26.15,24.8,25.45,25.2,25.35,302408,766748300000.0,1352.0,153424,0.5073
27,27,27,27,27,27,27,27,1948,2019-02-07,ZEELEARN,EQ,25.2,25.0,27.4,25.0,27.1,27.1,26.46,430414,1138903880000.0,2421.0,258337,0.6002000000000001
28,28,28,28,28,28,28,28,1949,2019-02-08,ZEELEARN,EQ,27.1,26.1,28.8,26.1,27.5,27.2,27.79,211560,587854550000.0,1224.0,148010,0.6996
29,29,29,29,29,29,29,29,1950,2019-02-11,ZEELEARN,EQ,27.2,28.25,28.25,26.5,26.6,26.85,26.89,132967,357515360000.0,830.0,84583,0.6361
30,30,30,30,30,30,30,30,1951,2019-02-12,ZEELEARN,EQ,26.85,26.7,28.75,26.2,28.6,28.15,27.45,358506,984200760000.0,1248.0,273414,0.7626000000000001
31,31,31,31,31,31,31,31,1952,2019-02-13,ZEELEARN,EQ,28.15,28.45,28.45,26.95,27.0,27.15,27.72,219792,609319045000.0,1214.0,105812,0.4814
32,32,32,32,32,32,32,32,1953,2019-02-14,ZEELEARN,EQ,27.15,27.15,28.3,26.9,27.65,27.65,27.69,109579,303430570000.0,596.0,56015,0.5112
33,33,33,33,33,33,33,33,1954,2019-02-15,ZEELEARN,EQ,27.65,27.0,27.75,26.45,27.05,27.15,27.11,106339,288288850000.0,675.0,54942,0.5167
34,34,34,34,34,34,34,34,1955,2019-02-18,ZEELEARN,EQ,27.15,27.0,27.75,26.75,26.75,26.85,27.15,76998,209012245000.0,489.0,44528,0.5783
35,35,35,35,35,35,35,35,1956,2019-02-19,ZEELEARN,EQ,26.85,27.5,27.5,26.55,26.7,26.8,27.04,58417,157974150000.0,429.0,40423,0.6920000000000001
36,36,36,36,36,36,36,36,1957,2019-02-20,ZEELEARN,EQ,26.8,26.8,27.45,26.8,26.9,26.85,27.06,121609,329016160000.0,417.0,85494,0.703
37,37,37,37,37,37,37,37,1958,2019-02-21,ZEELEARN,EQ,26.85,27.15,28.25,26.9,28.2,28.05,27.75,181814,504600890000.0001,600.0,136269,0.7495
38,38,38,38,38,38,38,38,1959,2019-02-22,ZEELEARN,EQ,28.05,28.0,28.8,27.6,28.05,28.35,28.35,177509,503278790000.0001,533.0,107694,0.6067
39,39,39,39,39,39,39,39,1960,2019-02-25,ZEELEARN,EQ,28.35,28.05,30.25,27.75,29.15,29.05,29.25,323596,946510475000.0,1370.0,143244,0.4427
40,40,40,40,40,40,40,40,1961,2019-02-26,ZEELEARN,EQ,29.05,29.15,30.0,27.75,29.0,28.6,28.88,358354,1035055245000.0,1156.0,87585,0.2444
41,41,41,41,41,41,41,41,1962,2019-02-27,ZEELEARN,EQ,28.6,28.85,29.5,27.75,28.1,28.15,28.47,191220,544401230000.0,715.0,109984,0.5752
42,42,42,42,42,42,42,42,1963,2019-02-28,ZEELEARN,EQ,28.15,28.15,30.25,28.0,30.15,30.0,29.38,326897,960325025000.0,1063.0,211898,0.6482
43,43,43,43,43,43,43,43,1964,2019-03-01,ZEELEARN,EQ,30.0,30.0,30.75,29.85,30.75,30.7,30.44,158991,483997510000.0,837.0,112164,0.7055
44,44,44,44,44,44,44,44,1965,2019-03-05,ZEELEARN,EQ,30.7,30.7,31.8,30.35,31.3,31.4,31.35,236904,742614145000.0,1259.0,154577,0.6525
45,45,45,45,45,45,45,45,1966,2019-03-06,ZEELEARN,EQ,31.4,31.7,32.25,31.0,31.0,31.2,31.66,158853,502872465000.0001,894.0,102539,0.6455
46,46,46,46,46,46,46,46,1967,2019-03-07,ZEELEARN,EQ,31.2,31.0,32.25,29.95,30.6,30.6,30.8,210792,649222820000.0,1312.0,107580,0.5104
47,47,47,47,47,47,47,47,1968,2019-03-08,ZEELEARN,EQ,30.6,30.4,31.45,30.05,31.3,31.35,30.98,110319,341713585000.0,569.0,73941,0.6702
48,48,48,48,48,48,48,48,1969,2019-03-11,ZEELEARN,EQ,31.35,31.95,31.95,31.25,31.35,31.4,31.46,88532,278504565000.0,463.0,69467,0.7847
49,49,49,49,49,49,49,49,1970,2019-03-12,ZEELEARN,EQ,31.4,30.95,32.1,30.95,31.85,31.6,31.65,169033,535069765000.0001,840.0,124269,0.7352
50,50,50,50,50,50,50,50,1971,2019-03-13,ZEELEARN,EQ,31.6,32.0,32.05,30.0,30.6,30.65,30.76,134623,414114795000.0,1736.0,86415,0.6419
51,51,51,51,51,51,51,51,1972,2019-03-14,ZEELEARN,EQ,30.65,30.5,31.5,30.5,30.55,30.7,31.12,159788,497216320000.0,911.0,116584,0.7295999999999999
52,52,52,52,52,52,52,52,1973,2019-03-15,ZEELEARN,EQ,30.7,30.6,31.2,30.3,30.6,30.5,30.69,401376,1231939620000.0,840.0,339987,0.8471
53,53,53,53,53,53,53,53,1974,2019-03-18,ZEELEARN,EQ,30.5,32.5,32.5,30.25,30.3,30.35,30.75,98374,302487580000.0,551.0,47249,0.4803
54,54,54,54,54,54,54,54,1975,2019-03-19,ZEELEARN,EQ,30.35,30.95,30.95,29.65,29.95,29.85,29.94,124443,372593680000.0,789.0,75727,0.6085
55,55,55,55,55,55,55,55,1976,2019-03-20,ZEELEARN,EQ,29.85,29.35,29.9,28.75,29.1,28.95,29.32,309779,908326890000.0,981.0,246336,0.7952
56,56,56,56,56,56,56,56,1977,2019-03-22,ZEELEARN,EQ,28.95,28.3,29.65,28.3,28.75,28.85,29.27,122265,357891115000.0,571.0,81862,0.6695000000000001
57,57,57,57,57,57,57,57,1978,2019-03-25,ZEELEARN,EQ,28.85,28.7,29.0,26.75,27.15,27.05,27.56,284609,784439630000.0,1316.0,205267,0.7212000000000001
58,58,58,58,58,58,58,58,1979,2019-03-26,ZEELEARN,EQ,27.05,27.15,27.95,27.15,27.6,27.4,27.63,145706,402590960000.0,586.0,94301,0.6472
59,59,59,59,59,59,59,59,1980,2019-03-27,ZEELEARN,EQ,27.4,27.5,27.85,27.4,27.4,27.6,27.68,185193,512659865000.0001,633.0,140189,0.757
60,60,60,60,60,60,60,60,1981,2019-03-28,ZEELEARN,EQ,27.6,27.6,27.95,27.5,27.7,27.65,27.69,131875,365097000000.0,377.0,104228,0.7904000000000001
61,61,61,61,61,61,61,61,1982,2019-03-29,ZEELEARN,EQ,27.65,27.85,28.35,27.5,27.95,27.9,27.91,121542,339236040000.0,504.0,83103,0.6837000000000001
62,62,62,62,62,62,62,62,1983,2019-04-01,ZEELEARN,EQ,27.9,28.45,28.8,27.5,27.6,28.1,28.45,180894,514584090000.0001,560.0,139578,0.7716
63,63,63,63,63,63,63,63,1984,2019-04-02,ZEELEARN,EQ,28.1,28.4,28.4,26.5,27.4,27.3,27.43,312703,857818344999.9999,1210.0,182915,0.5849000000000001
64,64,64,64,64,64,64,64,1985,2019-04-03,ZEELEARN,EQ,27.3,27.5,27.7,27.25,27.45,27.4,27.46,72597,199348085000.0,397.0,40434,0.557
