Date,Close,Volume
2019-01-01,99.6,259452
2019-01-02,97.2,183950
2019-01-03,96.45,186566
2019-01-04,95.25,132255
2019-01-07,97.65,523470
2019-01-08,97.5,161619
2019-01-09,96.4,167949
2019-01-10,93.95,174819
2019-01-11,92.9,163313
2019-01-14,95.25,201461
2019-01-15,95.6,172211
2019-01-16,94.55,77610
2019-01-17,93.25,137062
2019-01-18,90.15,154785
2019-01-21,89.75,175219
2019-01-22,88.25,131634
2019-01-23,90.15,299048
2019-01-24,87.35,176588
2019-01-25,87.1,228223
2019-01-28,82.55,185029
2019-01-29,82.1,126364
2019-01-30,91.75,1361538
2019-01-31,88.35,312524
2019-02-01,84.95,170269
2019-02-04,82.3,137856
2019-02-05,81.7,224102
2019-02-06,80.55,177025
2019-02-07,80.3,213460
2019-02-08,77.7,151080
2019-02-11,76.15,176131
2019-02-12,74.75,167653
2019-02-13,73.2,225471
2019-02-14,73.75,155507
2019-02-15,73.45,126940
2019-02-18,71.5,148976
2019-02-19,75.0,519460
2019-02-20,74.35,123623
2019-02-21,75.5,160170
2019-02-22,75.8,137673
2019-02-25,80.75,570219
2019-02-26,78.35,292308
2019-02-27,77.25,209446
2019-02-28,79.55,222241
2019-03-01,82.0,275273
2019-03-05,85.5,440559
2019-03-06,85.25,198616
2019-03-07,83.05,190022
2019-03-08,81.15,133495
2019-03-11,82.65,183097
2019-03-12,83.4,183272
2019-03-13,83.75,203579
2019-03-14,83.7,195863
2019-03-15,84.55,358077
2019-03-18,85.45,283876
2019-03-19,85.2,177516
2019-03-20,84.0,151820
2019-03-22,81.2,129417
2019-03-25,78.5,140648
2019-03-26,78.65,133258
2019-03-27,78.05,132342
2019-03-28,79.55,182918
2019-03-29,81.1,146924
2019-04-01,82.6,159290
2019-04-02,82.4,109183
2019-04-03,80.8,88969
2019-04-04,80.35,74702
2019-04-05,79.9,89333
2019-04-08,79.45,72954
2019-04-09,81.2,119140
2019-04-10,79.55,103280
2019-04-11,79.8,80026
2019-04-12,95.75,2425672
2019-04-15,109.6,3410871
2019-04-16,128.2,3755276
2019-04-18,131.6,4287163
2019-04-22,120.45,1774941
2019-04-23,116.2,1131811
2019-04-24,113.05,512507
2019-04-25,113.85,1072933
2019-04-26,113.95,450157
2019-04-30,125.3,1144424
2019-05-02,137.8,124006
2019-05-03,151.55,2594750
2019-05-06,159.1,963616
2019-05-07,167.05,207767
2019-05-08,175.4,101708
2019-05-09,184.15,188306
2019-05-10,174.95,845526
2019-05-13,166.25,18003
2019-05-14,157.95,17488
2019-05-15,152.0,1576403
2019-05-16,144.4,380435
2019-05-17,138.55,325532
2019-05-20,145.45,593793
2019-05-21,140.5,260576
2019-05-22,140.65,168781
2019-05-23,136.85,208968
2019-05-24,143.65,157230
2019-05-27,150.8,619240
2019-05-28,143.3,87894
2019-05-29,136.15,315981
2019-05-30,134.8,139882
2019-05-31,129.1,203311
2019-06-03,130.75,131877
2019-06-04,128.9,108145
2019-06-06,122.9,151165
2019-06-07,116.8,174061
2019-06-10,111.0,107862
2019-06-11,116.55,208470
2019-06-12,118.45,383385
2019-06-13,123.95,297144
2019-06-14,122.55,188941
2019-06-17,122.1,143212
2019-06-18,116.3,119546
2019-06-19,112.1,113792
2019-06-20,111.4,119746
2019-06-21,116.7,169533
2019-06-24,115.7,128950
2019-06-25,112.55,65760
2019-06-26,115.5,106588
2019-06-27,112.1,96189
2019-06-28,112.0,77761
2019-07-01,112.05,58233
2019-07-02,110.15,43501
2019-07-03,111.0,155044
2019-07-04,108.95,78529
2019-07-05,106.9,62276
2019-07-08,101.6,79450
2019-07-09,97.1,231028
2019-07-10,101.85,100177
2019-07-11,106.65,301849
2019-07-12,104.95,143124
2019-07-15,103.7,73502
2019-07-16,101.05,52953
2019-07-17,103.25,253214
2019-07-18,100.0,69480
2019-07-19,96.9,64374
2019-07-22,92.3,51559
2019-07-23,93.2,80786
2019-07-24,89.35,176495
2019-07-25,92.9,163307
2019-07-26,88.9,94402
2019-07-29,93.3,222551
2019-07-30,90.95,166936
2019-07-31,95.4,232053
2019-08-01,100.15,152581
2019-08-02,100.6,226709
2019-08-05,96.25,98243
2019-08-06,93.45,96385
2019-08-07,97.85,328663
2019-08-08,99.9,110203
2019-08-09,99.65,138118
2019-08-13,91.7,167004
2019-08-14,91.55,68561
2019-08-16,91.6,71973
2019-08-19,91.3,67448
2019-08-20,91.45,60747
2019-08-21,97.6,216219
2019-08-22,104.75,781293
2019-08-23,115.2,127508
2019-08-26,120.95,19535
2019-08-27,126.95,465566
2019-08-28,120.65,269282
2019-08-29,114.65,140435
2019-08-30,110.1,295387
2019-09-03,108.95,123531
2019-09-04,103.55,214498
2019-09-05,108.7,355398
2019-09-06,110.65,281033
2019-09-09,114.05,80691
2019-09-11,119.75,65226
2019-09-12,125.35,296901
2019-09-13,121.3,172112
2019-09-16,127.35,149901
2019-09-17,133.7,615276
2019-09-18,140.35,646434
2019-09-19,133.35,280365
2019-09-20,135.7,316155
2019-09-23,142.45,223684
2019-09-24,137.55,383130
2019-09-25,130.7,114305
2019-09-26,127.65,178834
2019-09-27,127.5,94307
2019-09-30,125.0,251054
2019-10-01,120.6,92460
2019-10-03,119.4,98903
2019-10-04,114.85,94969
2019-10-07,117.1,104486
2019-10-09,120.45,232365
2019-10-10,115.3,127577
2019-10-11,113.55,115637
2019-10-14,116.8,133209
2019-10-15,115.55,126148
2019-10-16,114.8,65685
2019-10-17,114.9,61171
2019-10-18,114.85,145859
2019-10-22,115.05,108727
2019-10-23,123.25,771515
2019-10-24,118.45,180741
2019-10-25,122.45,187223
2019-10-27,122.0,30361
2019-10-29,123.15,116796
2019-10-30,122.2,156137
2019-10-31,121.2,178130
2019-11-01,119.8,104787
2019-11-04,117.6,152881
2019-11-05,117.45,70674
2019-11-06,119.25,128783
2019-11-07,118.2,66815
2019-11-08,115.85,85270
2019-11-11,117.45,85190
2019-11-13,114.05,148726
2019-11-14,113.7,122789
2019-11-15,110.35,152806
2019-11-18,107.3,190363
2019-11-19,104.2,151202
2019-11-20,101.9,134765
2019-11-21,109.5,196806
2019-11-22,115.5,532261
2019-11-25,110.9,160665
2019-11-26,105.45,252666
2019-11-27,107.4,99874
2019-11-28,104.15,195489
2019-11-29,104.85,131757
2019-12-02,103.0,145226
2019-12-03,99.9,268677
2019-12-04,100.7,85399
2019-12-05,100.55,69055
2019-12-06,104.95,975207
2019-12-09,102.8,108671
2019-12-10,100.75,77034
2019-12-11,101.1,320718
2019-12-12,101.65,122063
2019-12-13,102.1,105274
2019-12-16,102.15,113495
2019-12-17,102.1,106184
2019-12-18,103.85,194287
2019-12-19,103.95,131085
2019-12-20,102.1,120956
2019-12-23,103.0,127143
2019-12-24,102.45,70297
2019-12-26,100.3,83462
2019-12-27,102.1,180398
2019-12-30,103.0,91335
2019-12-31,101.8,62501
