Date,Close,Volume
2018-11-20,80.9,3819027
2018-11-21,97.05,7785820
2018-11-22,111.55,17594459
2018-11-26,104.1,7818868
2018-11-27,101.05,4647882
2018-11-28,99.0,4517227
2018-11-29,99.45,2006532
2018-11-30,98.75,1745738
2018-12-03,97.5,1065560
2018-12-04,96.2,1044937
2018-12-05,105.35,6794511
2018-12-06,104.3,4175920
2018-12-07,100.15,1674014
2018-12-10,94.85,965256
2018-12-11,96.15,1521664
2018-12-12,98.05,1142024
2018-12-13,98.95,966517
2018-12-14,98.85,513487
2018-12-17,99.7,584085
2018-12-18,106.25,3127798
2018-12-19,103.0,1107432
2018-12-20,102.8,657144
2018-12-21,99.65,763820
2018-12-24,98.3,415118
2018-12-26,100.5,1298911
2018-12-27,100.1,455898
2018-12-28,101.2,618916
2018-12-31,100.8,394322
2019-01-01,101.85,501670
2019-01-02,100.45,379628
2019-01-03,100.85,560741
2019-01-04,100.85,360516
2019-01-07,101.65,787978
2019-01-08,101.1,385585
2019-01-09,101.25,563962
2019-01-10,100.4,336970
2019-01-11,99.0,533121
2019-01-14,98.05,457526
2019-01-15,98.4,341359
2019-01-16,99.05,363370
2019-01-17,98.5,509916
2019-01-18,98.6,378266
2019-01-21,97.75,440885
2019-01-22,96.9,462224
2019-01-23,96.8,323343
2019-01-24,99.45,715971
2019-01-25,98.1,1095182
2019-01-28,88.55,1186589
2019-01-29,93.65,1667154
2019-01-30,94.7,455516
2019-01-31,92.45,572228
2019-02-01,92.45,285635
2019-02-04,96.0,1260974
2019-02-05,96.35,879131
2019-02-06,96.4,383885
2019-02-07,97.9,798768
2019-02-08,95.45,252817
2019-02-11,94.8,239324
2019-02-12,94.0,178252
2019-02-13,97.7,992892
2019-02-14,96.2,389712
2019-02-15,96.9,358062
2019-02-18,95.45,343653
2019-02-19,95.1,316209
2019-02-20,95.75,414982
2019-02-21,98.75,426183
2019-02-22,102.2,932312
2019-02-25,100.8,344984
2019-02-26,100.55,581121
2019-02-27,99.8,548376
2019-02-28,102.0,464224
2019-03-01,106.0,1269475
2019-03-05,110.65,2046300
2019-03-06,113.1,1096455
2019-03-07,115.2,1018859
2019-03-08,114.75,463357
2019-03-11,117.25,669356
2019-03-12,120.05,1551133
2019-03-13,118.75,468422
2019-03-14,117.2,643626
2019-03-15,116.5,659518
2019-03-18,116.75,244883
2019-03-19,118.0,285002
2019-03-20,116.65,204846
2019-03-22,116.2,389292
2019-03-25,115.35,225454
2019-03-26,116.15,153241
2019-03-27,115.5,273625
2019-03-28,116.9,123587
2019-03-29,128.7,3150937
2019-04-01,133.5,1017473
2019-04-02,132.3,1784606
2019-04-03,128.5,415786
2019-04-04,130.85,501350
2019-04-05,130.1,313703
2019-04-08,133.05,1111499
2019-04-09,131.3,308999
2019-04-10,129.8,338994
2019-04-11,130.35,388571
2019-04-12,130.15,230302
2019-04-15,130.05,298257
2019-04-16,141.65,3175557
2019-04-18,141.1,2284428
2019-04-22,145.5,2627799
2019-04-23,147.6,1012260
2019-04-24,151.2,988450
2019-04-25,146.15,499126
2019-04-26,143.25,293719
2019-04-30,134.0,804450
2019-05-02,131.2,662221
2019-05-03,132.75,274700
2019-05-06,129.75,309542
2019-05-07,134.8,904522
2019-05-08,130.95,309514
2019-05-09,132.25,380930
2019-05-10,131.05,232537
2019-05-13,123.2,532402
2019-05-14,117.95,835593
2019-05-15,118.95,469929
2019-05-16,114.8,419323
2019-05-17,115.55,478070
2019-05-20,130.3,1909809
2019-05-21,131.25,832157
2019-05-22,133.7,766826
2019-05-23,135.85,2298249
2019-05-24,136.0,538701
2019-05-27,143.25,2739690
2019-05-28,163.25,7666645
2019-05-29,167.75,6101639
2019-05-30,171.15,2433004
2019-05-31,164.85,1269835
2019-06-03,178.65,4940331
2019-06-04,181.7,2395791
2019-06-06,170.35,1884457
2019-06-07,169.9,1044187
2019-06-10,170.65,585996
2019-06-11,166.3,461658
2019-06-12,169.6,1088194
2019-06-13,168.75,461180
2019-06-14,173.95,2435871
2019-06-17,167.35,498593
2019-06-18,165.4,405246
2019-06-19,161.5,699957
2019-06-20,158.35,676637
2019-06-21,159.45,683080
2019-06-24,158.7,275114
2019-06-25,162.2,826013
2019-06-26,162.25,554210
2019-06-27,167.45,983387
2019-06-28,170.1,868765
2019-07-01,172.0,743786
2019-07-02,175.55,1576370
2019-07-03,174.25,631985
2019-07-04,174.1,473313
2019-07-05,167.35,469789
2019-07-08,163.45,327217
2019-07-09,164.4,863251
2019-07-10,163.25,383523
2019-07-11,163.9,165980
2019-07-12,163.2,277761
2019-07-15,163.15,235989
2019-07-16,172.15,1773978
2019-07-17,175.5,2390851
2019-07-18,169.95,499924
2019-07-19,164.25,540401
2019-07-22,164.6,438196
2019-07-23,163.5,272935
2019-07-24,161.3,346275
2019-07-25,160.35,278894
2019-07-26,160.85,274778
2019-07-29,159.7,267937
2019-07-30,157.55,320824
2019-07-31,153.05,569728
2019-08-01,152.75,610162
2019-08-02,153.9,527332
2019-08-05,149.6,489051
2019-08-06,154.55,415635
2019-08-07,156.95,901026
2019-08-08,160.8,1353872
2019-08-09,157.65,496456
2019-08-13,152.7,352156
2019-08-14,153.45,310914
2019-08-16,153.15,275742
2019-08-19,152.8,234600
2019-08-20,155.15,490947
2019-08-21,152.1,384147
2019-08-22,146.3,289216
2019-08-23,146.6,353163
2019-08-26,148.0,320649
2019-08-27,148.2,552020
2019-08-28,147.1,232974
2019-08-29,143.85,158967
2019-08-30,140.45,606027
2019-09-03,139.2,339958
2019-09-04,135.95,294187
2019-09-05,137.15,351954
2019-09-06,137.45,325892
2019-09-09,134.8,639225
2019-09-11,137.5,853048
2019-09-12,138.05,297367
2019-09-13,143.25,1503990
2019-09-16,140.8,714126
2019-09-17,139.5,426875
2019-09-18,138.35,227492
