Date,Close,Volume
2019-01-01,270.1,19989
2019-01-02,269.55,21749
2019-01-03,268.0,31430
2019-01-04,264.4,25595
2019-01-07,263.7,17280
2019-01-08,265.65,16317
2019-01-09,263.3,24789
2019-01-10,261.4,10544
2019-01-11,262.65,37449
2019-01-14,259.2,16196
2019-01-15,268.95,58026
2019-01-16,275.4,159799
2019-01-17,271.75,39338
2019-01-18,265.35,26365
2019-01-21,261.35,19620
2019-01-22,262.05,29369
2019-01-23,258.0,10407
2019-01-24,254.95,10624
2019-01-25,250.55,18668
2019-01-28,240.0,29531
2019-01-29,246.55,17909
2019-01-30,243.2,13121
2019-01-31,242.3,12992
2019-02-01,235.9,40555
2019-02-04,230.85,18729
2019-02-05,226.65,19015
2019-02-06,228.55,17662
2019-02-07,241.7,44821
2019-02-08,242.0,17187
2019-02-11,228.75,20484
2019-02-12,230.6,17900
2019-02-13,219.85,72367
2019-02-14,216.7,23120
2019-02-15,214.8,10006
2019-02-18,208.75,29778
2019-02-19,208.05,33937
2019-02-20,220.9,37964
2019-02-21,228.6,19280
2019-02-22,230.3,10312
2019-02-25,221.65,37368
2019-02-26,218.45,16229
2019-02-27,214.6,34069
2019-02-28,232.3,185116
2019-03-01,249.75,179408
2019-03-05,263.2,88718
2019-03-06,262.95,47347
2019-03-07,259.5,30047
2019-03-08,252.85,15662
2019-03-11,256.2,12673
2019-03-12,256.7,56636
2019-03-13,254.4,46930
2019-03-14,251.2,15821
2019-03-15,249.7,22957
2019-03-18,255.85,24083
2019-03-19,252.7,31293
2019-03-20,252.65,16093
2019-03-22,243.4,23298
2019-03-25,239.65,12744
2019-03-26,238.8,30197
2019-03-27,239.4,123191
2019-03-28,241.1,10131
2019-03-29,239.65,17669
2019-04-01,246.95,24434
2019-04-02,246.7,40104
2019-04-03,246.65,12380
2019-04-04,244.35,7684
2019-04-05,249.95,36903
2019-04-08,244.55,29451
2019-04-09,244.5,19576
2019-04-10,243.15,28955
2019-04-11,245.75,16837
2019-04-12,248.65,171809
2019-04-15,246.85,28881
2019-04-16,245.05,16401
2019-04-18,245.85,31052
2019-04-22,242.0,26316
2019-04-23,242.85,22593
