Date,Close,Volume
2019-01-01,24.6,298331
2019-01-02,25.45,1786399
2019-01-03,24.9,511840
2019-01-04,24.65,543978
2019-01-07,24.55,327430
2019-01-08,24.8,922212
2019-01-09,24.8,1179335
2019-01-10,24.5,642934
2019-01-11,24.35,441944
2019-01-14,24.25,447834
2019-01-15,24.2,488953
2019-01-16,23.65,852296
2019-01-17,23.7,523918
2019-01-18,23.4,531330
2019-01-21,23.35,675456
2019-01-22,23.05,446019
2019-01-23,22.9,349286
2019-01-24,22.65,335863
2019-01-25,22.05,565847
2019-01-28,20.8,997105
2019-01-29,20.3,894972
2019-01-30,21.1,911576
2019-01-31,21.8,463225
2019-02-01,21.95,864694
2019-02-04,21.25,555648
2019-02-05,20.25,704851
2019-02-06,20.25,400324
2019-02-07,20.9,670524
2019-02-08,20.45,807200
2019-02-11,20.6,333745
2019-02-12,20.7,577186
2019-02-13,19.05,1684927
2019-02-14,18.55,920994
2019-02-15,18.45,477657
2019-02-18,18.55,399110
2019-02-19,18.55,437159
2019-02-20,18.6,280470
2019-02-21,18.4,734773
2019-02-22,18.9,835371
2019-02-25,19.2,289555
2019-02-26,18.5,421226
2019-02-27,18.6,582212
2019-02-28,18.75,358399
2019-03-01,19.6,722099
2019-03-05,21.05,1524655
2019-03-06,21.1,1226324
2019-03-07,20.95,736443
2019-03-08,20.15,623351
2019-03-11,20.75,648018
2019-03-12,20.95,771141
2019-03-13,20.65,700464
2019-03-14,20.15,444784
2019-03-15,19.75,613416
2019-03-18,19.25,1042970
2019-03-19,19.0,627824
2019-03-20,18.95,692789
2019-03-22,18.7,691413
2019-03-25,18.35,519869
2019-03-26,18.75,748029
2019-03-27,19.25,928672
2019-03-28,19.3,596799
2019-03-29,18.85,471023
2019-04-01,19.45,701354
2019-04-02,19.0,494715
2019-04-03,18.5,596903
2019-04-04,18.6,388629
2019-04-05,18.7,343908
2019-04-08,18.5,496034
2019-04-09,18.4,316032
2019-04-10,18.3,307533
2019-04-11,18.35,263527
2019-04-12,18.3,277973
2019-04-15,18.6,320003
2019-04-16,18.3,341775
2019-04-18,17.6,635565
2019-04-22,17.1,462051
2019-04-23,17.5,401862
2019-04-24,17.1,347927
2019-04-25,17.1,252710
2019-04-26,17.0,301323
2019-04-30,16.5,436847
2019-05-02,16.25,361195
2019-05-03,16.05,296301
2019-05-06,16.05,412986
2019-05-07,16.1,195595
2019-05-08,15.7,333802
2019-05-09,15.8,348963
2019-05-10,15.75,270292
2019-05-13,15.45,265898
2019-05-14,14.85,499178
2019-05-15,14.65,299513
2019-05-16,14.0,495374
2019-05-17,12.75,985393
2019-05-20,15.3,1263234
2019-05-21,16.75,3715794
2019-05-22,17.6,1550386
2019-05-23,16.95,1450501
2019-05-24,17.7,867312
2019-05-27,14.6,3602300
2019-05-28,14.05,1603839
2019-05-29,13.65,1149232
2019-05-30,13.75,480629
2019-05-31,13.4,432107
2019-06-03,12.7,903313
2019-06-04,13.4,1151409
2019-06-06,13.1,466206
2019-06-07,12.9,360604
2019-06-10,12.55,417629
2019-06-11,12.6,433089
2019-06-12,12.85,763776
2019-06-13,13.05,353747
2019-06-14,12.75,270374
2019-06-17,12.45,286654
2019-06-18,12.25,179301
2019-06-19,10.45,1724011
2019-06-20,11.0,981341
2019-06-21,11.1,296447
2019-06-24,10.8,271820
2019-06-25,10.95,260313
2019-06-26,11.05,179390
2019-06-27,10.95,196514
2019-06-28,10.55,223378
2019-07-01,10.9,389778
2019-07-02,11.05,210331
2019-07-03,11.3,296312
2019-07-04,11.35,206388
2019-07-05,12.05,1059197
2019-07-08,11.55,515165
2019-07-09,11.6,307680
2019-07-10,11.25,168777
2019-07-11,11.15,164300
2019-07-12,11.35,332125
2019-07-15,11.0,168342
2019-07-16,10.95,140849
2019-07-17,10.8,170649
2019-07-18,10.15,449582
2019-07-19,9.9,509245
2019-07-22,9.25,786878
2019-07-23,9.15,412265
2019-07-24,9.1,243092
2019-07-25,9.1,194418
2019-07-26,9.45,387974
2019-07-29,9.35,502524
2019-07-30,8.9,365204
2019-07-31,9.35,422493
2019-08-01,9.15,216885
2019-08-02,9.1,197398
2019-08-05,8.95,148357
2019-08-06,9.05,128347
2019-08-07,8.85,239213
2019-08-08,8.8,263595
2019-08-09,8.85,262242
2019-08-13,8.3,231894
2019-08-14,8.2,399456
2019-08-16,7.8,308039
2019-08-19,7.95,310813
2019-08-20,7.35,288865
2019-08-21,6.6,507488
2019-08-22,5.6,1678748
2019-08-23,6.15,722452
2019-08-26,6.75,694148
2019-08-27,7.4,306280
2019-08-28,7.75,192472
2019-08-29,8.1,587534
2019-08-30,8.5,136961
2019-09-03,8.9,153536
2019-09-04,9.1,1090410
2019-09-05,8.65,234140
2019-09-06,8.25,96838
2019-09-09,7.85,82185
2019-09-11,8.2,342615
2019-09-12,8.6,51282
2019-09-13,8.9,326729
2019-09-16,8.95,136938
2019-09-17,9.0,232835
2019-09-18,8.95,142985
2019-09-19,8.55,135618
2019-09-20,8.95,287652
2019-09-23,9.1,267625
2019-09-24,9.0,206141
2019-09-25,8.7,79024
2019-09-26,8.6,146029
2019-09-27,8.2,228272
2019-09-30,7.8,142442
2019-10-01,7.45,85354
2019-10-03,7.1,137548
2019-10-04,6.75,133736
2019-10-07,7.05,252508
2019-10-09,7.4,277354
2019-10-10,7.4,435915
2019-10-11,7.7,420064
2019-10-14,7.5,106922
2019-10-15,7.45,232789
2019-10-16,7.25,198978
2019-10-17,7.05,158444
2019-10-18,7.15,205921
2019-10-22,6.95,239957
2019-10-23,6.8,185725
2019-10-24,7.05,243705
2019-10-25,7.15,179708
2019-10-27,6.95,170703
2019-10-29,6.9,335067
2019-10-30,6.9,135897
2019-10-31,7.2,244719
2019-11-01,7.55,168799
2019-11-04,7.9,139760
2019-11-05,7.95,668418
2019-11-06,7.8,268419
2019-11-07,7.55,173849
2019-11-08,7.5,152548
2019-11-11,7.15,193178
2019-11-13,6.95,225875
2019-11-14,6.8,239565
2019-11-15,6.55,380818
2019-11-18,6.45,168900
2019-11-19,6.5,354354
2019-11-20,6.2,346404
2019-11-21,6.5,325896
2019-11-22,6.8,320610
2019-11-25,7.1,294748
2019-11-26,6.85,275231
2019-11-27,7.05,259895
2019-11-28,6.9,135297
2019-11-29,7.05,240307
2019-12-02,7.3,410748
2019-12-03,6.95,228662
2019-12-04,6.85,171346
2019-12-05,6.8,88670
2019-12-06,6.45,213327
2019-12-09,6.25,207116
2019-12-10,6.25,138400
2019-12-11,6.4,164915
2019-12-12,7.0,356308
2019-12-13,6.85,385109
2019-12-16,6.7,126721
2019-12-17,6.65,162212
2019-12-18,6.55,160260
2019-12-19,6.4,149192
2019-12-20,6.65,353000
2019-12-23,6.55,112604
2019-12-24,6.4,117766
2019-12-26,6.6,132527
2019-12-27,6.5,152923
2019-12-30,6.45,159112
2019-12-31,6.7,199827
